Date,Open,High,Low,Close,Volume
2020-01-06,51.75,53.5,51.75,52.5,11866000
2020-01-03,52.75,53.0,52.5,52.5,6098400
2020-01-02,52.5,53.25,52.5,53.0,6092200
2019-12-30,52.5,52.75,52.25,52.5,3424100
2019-12-27,52.5,53.25,51.5,52.5,10622700
2019-12-26,52.5,53.0,52.0,52.0,7130100
2019-12-25,51.5,52.75,51.5,52.5,6012200
2019-12-24,50.25,52.5,50.25,51.75,10493100
2019-12-23,50.25,51.0,50.25,50.5,6257400
2019-12-20,51.0,51.5,50.25,51.0,10557500
2019-12-19,50.0,51.75,49.75,51.25,11992300
2019-12-18,50.0,50.5,49.25,50.0,10295500
2019-12-17,51.5,51.75,49.0,49.75,25516000
2019-12-16,53.25,53.25,51.5,51.75,12725000
2019-12-13,54.0,54.0,52.75,53.5,11160600
2019-12-12,53.25,54.25,53.25,53.75,12485400
2019-12-11,52.25,53.5,51.75,53.0,12572000
2019-12-09,52.5,52.75,51.5,52.0,12475200
2019-12-06,54.25,54.5,53.0,53.25,15006500
2019-12-04,52.75,54.25,52.25,54.25,16288000
2019-12-03,51.5,53.0,51.25,53.0,12614500
2019-12-02,53.0,53.25,51.75,52.0,19623600
2019-11-29,52.75,53.25,52.25,53.0,14347300
2019-11-28,53.0,53.75,52.5,53.0,14442100
2019-11-27,53.75,54.0,52.25,53.0,24977000
2019-11-26,56.5,56.75,54.0,54.0,93111296
2019-11-25,54.75,57.0,54.5,56.0,25349100
2019-11-22,54.0,54.25,53.25,54.25,14561700
2019-11-21,53.75,54.5,53.0,53.5,20457200
2019-11-20,53.75,54.5,53.5,53.75,24409000
2019-11-19,52.75,54.0,52.5,54.0,19950900
2019-11-18,52.0,52.75,51.5,52.75,13146100
2019-11-15,51.75,52.25,51.25,51.75,10184400
2019-11-14,51.25,52.0,51.0,51.5,14305700
2019-11-13,52.75,53.25,50.5,50.75,29954400
2019-11-12,52.25,54.5,52.0,52.75,37135200
2019-11-11,51.75,52.75,51.0,52.0,19694400
2019-11-08,52.0,53.0,51.75,52.25,23594900
2019-11-07,50.75,51.75,49.75,51.25,17436700
2019-11-06,52.0,52.25,49.5,50.5,27718900
2019-11-05,52.5,53.25,51.5,51.75,21323600
2019-11-04,50.0,52.5,50.0,52.5,35721300
2019-11-01,48.0,48.75,47.25,47.75,13254300
2019-10-31,47.5,48.5,47.0,48.0,20082900
2019-10-30,48.0,48.0,45.75,47.0,34205700
2019-10-29,51.5,51.75,48.75,48.75,25318300
2019-10-28,52.0,52.25,50.5,51.25,22196300
2019-10-25,52.5,53.75,50.25,52.0,34932400
2019-10-24,51.25,52.75,51.0,52.25,31456100
2019-10-22,49.25,51.0,49.0,51.0,17025200
2019-10-21,49.5,49.75,48.5,48.75,11406600
2019-10-18,52.0,52.0,49.25,49.75,29643600
2019-10-17,49.5,51.75,49.25,51.25,21649100
2019-10-16,48.5,50.0,48.5,49.25,15430300
2019-10-15,48.0,48.75,47.25,48.75,15930700
2019-10-11,45.75,48.25,45.75,48.0,21897800
2019-10-10,44.5,45.75,44.5,45.75,16115800
2019-10-09,43.25,44.75,43.0,44.25,32836000
2019-10-08,43.25,44.0,43.0,43.0,8267700
2019-10-07,43.0,43.5,42.5,43.0,9358700
2019-10-04,43.25,43.75,42.5,42.75,14158000
2019-10-03,42.75,43.5,42.75,43.0,7251500
2019-10-02,42.5,43.25,42.5,43.0,7759500
2019-10-01,43.25,43.75,43.0,43.0,5377900
2019-09-30,43.5,44.5,43.0,43.25,15700200
2019-09-27,43.0,43.5,42.5,43.25,14239400
2019-09-26,41.75,43.0,41.5,42.75,11373200
2019-09-25,41.5,41.75,41.0,41.5,5450500
2019-09-24,40.75,41.75,40.75,41.5,9545300
2019-09-23,41.0,41.25,40.5,40.75,6774300
2019-09-20,42.0,42.0,40.5,41.0,15714000
2019-09-19,42.75,43.0,41.75,42.0,11358600
2019-09-18,42.25,42.5,41.5,42.25,12342400
2019-09-17,41.0,42.5,41.0,42.25,15234700
2019-09-16,40.5,41.5,40.25,41.25,12693700
2019-09-13,40.5,41.25,40.0,40.5,15751500
2019-09-12,41.0,41.25,40.0,40.25,18481200
2019-09-11,42.25,42.5,40.5,41.0,30246200
2019-09-10,44.0,44.0,42.25,42.5,13240200
2019-09-09,42.0,43.5,41.75,43.5,20423300
2019-09-06,41.25,42.0,41.0,41.75,11811800
2019-09-05,42.25,42.5,40.5,41.25,11632800
2019-09-04,42.25,42.75,41.75,42.25,13602400
2019-09-03,41.0,44.0,40.5,42.0,29900100
2019-09-02,39.0,41.0,38.75,40.75,14947800
2019-08-30,39.75,39.75,39.0,39.25,6308000
2019-08-29,39.0,39.75,38.25,39.5,11172400
2019-08-28,38.5,39.25,38.25,38.75,5213500
2019-08-27,38.25,39.25,38.0,38.5,10248300
2019-08-26,36.75,38.25,36.5,38.25,12898800
2019-08-23,37.75,38.0,37.0,37.5,8468800
2019-08-22,36.75,37.75,36.5,37.25,21313800
2019-08-21,35.75,36.75,35.5,36.75,14786500
