Date,Open,High,Low,Close,Volume
2020-01-06,3.8,3.8,3.74,3.74,715200
2020-01-03,3.8,3.82,3.8,3.8,381100
2020-01-02,3.76,3.8,3.7,3.78,416800
2019-12-30,3.7,3.74,3.68,3.68,99200
2019-12-27,3.72,3.74,3.68,3.68,122200
2019-12-26,3.72,3.74,3.72,3.72,67700
2019-12-25,3.74,3.76,3.7,3.7,246600
2019-12-24,3.64,3.78,3.64,3.72,510700
2019-12-23,3.52,3.72,3.52,3.64,970000
2019-12-20,3.48,3.52,3.48,3.52,172800
2019-12-19,3.46,3.5,3.46,3.48,102900
2019-12-18,3.44,3.48,3.44,3.46,186200
2019-12-17,3.44,3.48,3.44,3.44,254800
2019-12-16,3.48,3.52,3.44,3.44,181600
2019-12-13,3.52,3.52,3.46,3.5,228700
2019-12-12,3.48,3.5,3.48,3.5,148100
2019-12-11,3.46,3.5,3.46,3.48,130100
2019-12-09,3.44,3.48,3.44,3.46,19600
2019-12-06,3.48,3.48,3.4,3.48,230800
2019-12-04,3.5,3.5,3.46,3.48,79800
2019-12-03,3.52,3.52,3.48,3.5,71100
2019-12-02,3.54,3.54,3.48,3.5,36400
2019-11-29,3.54,3.54,3.48,3.54,268100
2019-11-28,3.54,3.56,3.54,3.54,39700
2019-11-27,3.54,3.58,3.52,3.54,214200
2019-11-26,3.5,3.6,3.5,3.52,592600
2019-11-25,3.48,3.52,3.48,3.5,222000
2019-11-22,3.46,3.5,3.46,3.48,16500
2019-11-21,3.48,3.52,3.46,3.46,442000
2019-11-20,3.44,3.48,3.42,3.46,1205300
2019-11-19,3.42,3.5,3.4,3.44,546200
2019-11-18,3.46,3.46,3.36,3.4,278200
2019-11-15,3.48,3.5,3.44,3.44,287400
2019-11-14,3.5,3.52,3.46,3.48,446000
2019-11-13,3.62,3.62,3.52,3.56,373900
2019-11-12,3.5,3.64,3.48,3.62,832900
2019-11-11,3.5,3.5,3.44,3.48,594100
2019-11-08,3.5,3.52,3.5,3.5,645200
2019-11-07,3.48,3.52,3.48,3.5,717200
2019-11-06,3.54,3.54,3.48,3.48,314500
2019-11-05,3.56,3.6,3.5,3.5,587900
2019-11-04,3.48,3.6,3.48,3.54,538500
2019-11-01,3.6,3.6,3.48,3.48,682500
2019-10-31,3.62,3.7,3.6,3.6,818500
2019-10-30,3.62,3.62,3.56,3.58,410100
2019-10-29,3.66,3.72,3.6,3.6,678800
2019-10-28,3.76,3.76,3.6,3.66,1196200
2019-10-25,4.0,4.02,3.74,3.74,1050100
2019-10-24,4.2,4.22,3.96,3.96,1558200
2019-10-22,4.26,4.28,4.26,4.28,337100
2019-10-21,4.26,4.28,4.24,4.26,188200
2019-10-18,4.26,4.26,4.22,4.24,337900
2019-10-17,4.26,4.28,4.24,4.24,109300
2019-10-16,4.28,4.28,4.26,4.28,73500
2019-10-15,4.32,4.32,4.22,4.28,497100
2019-10-11,4.28,4.3,4.26,4.3,90400
2019-10-10,4.28,4.3,4.28,4.3,16500
2019-10-09,4.28,4.3,4.26,4.3,168700
2019-10-08,4.28,4.32,4.28,4.32,216400
2019-10-07,4.32,4.32,4.22,4.28,185100
2019-10-04,4.32,4.36,4.3,4.32,266700
2019-10-03,4.32,4.36,4.32,4.32,178900
2019-10-02,4.34,4.34,4.32,4.32,117100
2019-10-01,4.4,4.4,4.32,4.32,371700
2019-09-30,4.42,4.44,4.36,4.36,109100
2019-09-27,4.38,4.44,4.38,4.44,178400
2019-09-26,4.28,4.44,4.26,4.38,420300
2019-09-25,4.22,4.28,4.22,4.28,111400
2019-09-24,4.24,4.26,4.24,4.26,157200
2019-09-23,4.24,4.24,4.22,4.24,297600
2019-09-20,4.28,4.32,4.22,4.24,234500
2019-09-19,4.32,4.36,4.24,4.26,368200
2019-09-18,4.28,4.4,4.28,4.3,684700
2019-09-17,4.4,4.44,4.28,4.28,1496000
2019-09-16,4.42,4.44,4.4,4.4,314900
2019-09-13,4.42,4.46,4.38,4.4,722500
2019-09-12,4.46,4.48,4.4,4.4,666000
2019-09-11,4.52,4.56,4.42,4.42,1431000
2019-09-10,4.44,4.54,4.44,4.48,781700
2019-09-09,4.5,4.5,4.44,4.44,306200
2019-09-06,4.48,4.52,4.44,4.46,660800
2019-09-05,4.46,4.58,4.44,4.44,1079800
2019-09-04,4.48,4.48,4.42,4.42,670200
2019-09-03,4.48,4.54,4.4,4.4,1536200
2019-09-02,4.68,4.7,4.48,4.48,1694000
2019-08-30,4.7,4.72,4.66,4.7,608900
2019-08-29,4.7,4.76,4.68,4.7,576900
2019-08-28,4.76,4.76,4.66,4.66,1075300
2019-08-27,4.9,4.96,4.82,4.84,1015800
2019-08-26,4.94,4.94,4.8,4.88,768700
2019-08-23,4.86,4.98,4.86,4.98,1088000
2019-08-22,4.88,4.9,4.8,4.84,819200
2019-08-21,4.8,4.88,4.78,4.88,423600
2019-08-20,4.74,4.84,4.74,4.78,1339900
2019-08-19,4.72,4.8,4.7,4.72,1058800
2019-08-16,4.48,4.84,4.48,4.7,3283400
2019-08-15,4.34,4.5,4.22,4.46,1681700
2019-08-14,4.42,4.62,4.4,4.4,5096900
2019-08-13,4.82,4.84,4.64,4.68,1718500
2019-08-09,5.15,5.15,4.8,4.82,3379500
2019-08-08,5.15,5.15,5.05,5.15,876400
2019-08-07,5.15,5.25,5.05,5.15,2017000
2019-08-06,5.0,5.15,4.9,5.15,2795200
2019-08-05,5.15,5.35,5.05,5.1,3944200
2019-08-02,5.05,5.15,4.98,5.15,4295500
2019-08-01,5.15,5.35,5.15,5.2,4302500
2019-07-31,5.2,5.3,5.05,5.15,4200300
2019-07-30,5.45,5.5,5.2,5.2,6601500
2019-07-26,5.25,5.45,5.15,5.35,7063600
2019-07-25,5.6,5.6,5.2,5.2,8579200
2019-07-24,5.1,5.6,4.98,5.5,17442100
2019-07-23,5.0,5.15,4.98,5.0,9747300
2019-07-22,4.56,4.94,4.52,4.88,7955600
2019-07-19,4.66,4.74,4.5,4.52,3403300
2019-07-18,4.82,4.84,4.66,4.66,4617000
2019-07-17,4.96,4.96,4.84,4.84,1016500
2019-07-15,4.9,4.94,4.9,4.92,561700
2019-07-12,4.96,4.96,4.9,4.9,1912700
2019-07-11,4.96,4.96,4.92,4.94,829100
2019-07-10,4.98,4.98,4.92,4.96,840200
2019-07-09,4.92,5.0,4.9,4.94,1665000
2019-07-08,4.86,4.9,4.82,4.9,627400
2019-07-05,4.82,4.88,4.8,4.84,869200
2019-07-04,4.98,4.98,4.78,4.82,4054900
2019-07-03,5.2,5.25,4.94,4.94,2547200
2019-07-02,5.3,5.3,5.1,5.1,1481700
2019-07-01,5.3,5.35,5.2,5.25,1422300
2019-06-28,5.3,5.4,5.3,5.35,212700
2019-06-27,5.3,5.35,5.3,5.3,311500
2019-06-26,5.35,5.35,5.3,5.3,451000
2019-06-25,5.25,5.4,5.25,5.35,401600
2019-06-24,5.6,5.6,5.25,5.25,1180000
2019-06-21,5.4,5.6,5.35,5.55,818600
2019-06-20,5.4,5.4,5.35,5.35,108600
2019-06-19,5.35,5.45,5.35,5.35,832000
2019-06-18,5.3,5.35,5.3,5.35,574200
2019-06-17,5.45,5.5,5.3,5.3,462800
2019-06-14,5.4,5.45,5.4,5.4,561800
2019-06-13,5.4,5.5,5.35,5.35,901100
2019-06-12,5.4,5.45,5.35,5.35,377500
2019-06-11,5.4,5.45,5.3,5.35,449900
2019-06-10,5.15,5.35,5.15,5.35,652300
2019-06-07,5.15,5.2,5.15,5.15,327200
2019-06-06,5.15,5.2,5.15,5.15,302600
2019-06-05,5.1,5.2,5.1,5.15,240900
2019-06-04,5.05,5.1,5.05,5.1,163900
2019-05-31,5.0,5.1,5.0,5.05,309100
