Date,Open,High,Low,Close,Volume
2020-01-06,4.0,4.0,3.84,3.86,104400
2020-01-03,3.86,4.02,3.86,4.0,688600
2020-01-02,3.84,3.84,3.78,3.84,108300
2019-12-30,3.7,3.86,3.7,3.8,214600
2019-12-27,3.64,3.68,3.64,3.66,40500
2019-12-26,3.62,3.62,3.6,3.62,47100
2019-12-25,3.62,3.66,3.62,3.62,36200
2019-12-24,3.62,3.62,3.6,3.6,26100
2019-12-23,3.64,3.64,3.6,3.62,111900
2019-12-20,3.64,3.66,3.62,3.62,213700
2019-12-19,3.62,3.64,3.6,3.64,86200
2019-12-18,3.68,3.68,3.62,3.66,104500
2019-12-17,3.7,3.74,3.64,3.64,239600
2019-12-16,3.78,3.78,3.7,3.7,168700
2019-12-13,3.78,3.82,3.72,3.76,726000
2019-12-12,3.98,3.98,3.72,3.76,1624100
2019-12-11,4.06,4.08,3.98,3.98,384500
2019-12-09,4.14,4.14,4.0,4.06,710600
2019-12-06,4.2,4.2,4.16,4.18,63200
2019-12-04,4.18,4.18,4.14,4.18,36500
2019-12-03,4.22,4.22,4.14,4.18,183700
2019-12-02,4.24,4.26,4.22,4.22,22600
2019-11-29,4.26,4.26,4.22,4.24,71600
2019-11-28,4.32,4.32,4.28,4.28,75800
2019-11-27,4.26,4.32,4.24,4.32,168700
2019-11-26,4.3,4.3,4.26,4.26,68100
2019-11-25,4.3,4.32,4.22,4.32,35800
2019-11-22,4.32,4.32,4.2,4.3,754900
2019-11-21,4.3,4.34,4.3,4.32,71500
2019-11-20,4.3,4.32,4.26,4.32,93600
2019-11-19,4.24,4.32,4.22,4.3,191700
2019-11-18,4.36,4.36,4.2,4.3,431300
2019-11-15,4.38,4.4,4.36,4.4,53500
2019-11-14,4.3,4.42,4.3,4.38,337200
2019-11-13,4.34,4.34,4.28,4.3,43700
2019-11-12,4.38,4.38,4.28,4.28,89100
2019-11-11,4.42,4.5,4.38,4.38,13400
2019-11-08,4.4,4.42,4.38,4.42,127000
2019-11-07,4.4,4.4,4.38,4.4,186900
2019-11-06,4.34,4.4,4.32,4.38,140400
2019-11-05,4.4,4.4,4.36,4.36,7700
2019-11-04,4.38,4.4,4.3,4.4,136600
2019-11-01,4.32,4.4,4.32,4.4,95700
2019-10-31,4.32,4.38,4.3,4.38,18200
2019-10-30,4.4,4.4,4.32,4.32,47500
2019-10-29,4.34,4.36,4.3,4.32,81800
2019-10-28,4.46,4.46,4.34,4.34,355500
2019-10-25,4.6,4.6,4.3,4.5,198300
2019-10-24,4.64,4.66,4.6,4.6,124900
2019-10-22,4.66,4.66,4.64,4.64,133200
2019-10-21,4.68,4.68,4.66,4.66,142500
2019-10-18,4.7,4.74,4.66,4.66,92500
