Date,Open,High,Low,Close,Volume
2020-01-06,21.9,22.9,21.3,21.5,35414200
2020-01-03,23.2,23.8,22.4,22.4,32994100
2020-01-02,24.4,24.5,22.4,23.2,43574700
2019-12-30,25.0,25.0,24.3,24.5,10960600
2019-12-27,25.0,26.0,24.8,25.0,31437900
2019-12-26,22.8,25.0,22.8,25.0,31096500
2019-12-25,23.4,23.6,22.8,22.8,11440500
2019-12-24,23.9,24.1,23.2,23.2,12053000
2019-12-23,24.1,24.4,23.5,23.9,14979000
2019-12-20,24.1,25.0,23.5,23.9,38948400
2019-12-19,22.7,24.2,22.7,24.0,32132000
2019-12-18,23.4,23.6,22.8,22.9,11749600
2019-12-17,23.1,23.5,22.7,23.2,23812100
2019-12-16,22.3,23.6,21.7,22.8,31764900
2019-12-13,23.0,23.0,22.0,22.6,37840900
2019-12-12,20.9,22.0,20.9,21.7,28899200
2019-12-11,20.2,21.0,20.2,20.6,27176400
2019-12-09,19.3,20.5,19.3,20.0,32800500
2019-12-06,18.8,19.5,18.8,19.2,19093600
2019-12-04,19.1,19.3,17.9,18.5,20962900
2019-12-03,19.2,19.6,19.1,19.2,7743000
2019-12-02,19.5,19.7,19.1,19.4,9216200
2019-11-29,19.3,19.7,18.8,19.5,14115300
2019-11-28,19.3,20.4,19.1,19.5,26311400
2019-11-27,19.8,19.9,19.2,19.3,6703100
2019-11-26,19.8,20.1,19.5,19.7,20617000
2019-11-25,18.7,19.8,18.7,19.7,31668900
2019-11-22,18.1,18.5,18.0,18.4,12373800
2019-11-21,17.6,18.2,17.4,18.1,11235500
2019-11-20,18.1,18.3,17.5,17.7,11168800
2019-11-19,17.6,18.5,17.3,18.4,19312600
2019-11-18,16.8,17.6,16.7,17.6,12635100
2019-11-15,16.4,16.9,16.4,16.7,5009200
2019-11-14,16.6,16.8,16.2,16.3,5359200
2019-11-13,17.2,17.2,16.1,16.5,13385700
2019-11-12,17.0,17.4,16.8,17.1,6363100
2019-11-11,17.2,17.4,16.7,16.9,8129000
2019-11-08,17.2,17.8,17.0,17.5,12067500
2019-11-07,16.2,17.3,16.0,17.1,14884100
2019-11-06,15.8,16.3,15.8,16.1,7948400
2019-11-05,15.6,15.8,15.3,15.7,3312600
2019-11-04,14.7,15.8,14.7,15.5,8730500
2019-11-01,14.8,14.9,14.4,14.7,3688800
2019-10-31,14.4,14.8,14.3,14.7,3345200
2019-10-30,13.5,14.4,13.5,14.4,7095500
2019-10-29,14.0,14.0,13.5,13.5,2895600
2019-10-28,13.4,13.8,13.3,13.8,3866200
2019-10-25,14.4,14.4,13.6,13.8,10020000
2019-10-24,15.1,15.2,14.4,14.4,4411800
2019-10-22,15.0,15.2,14.9,15.0,2449400
2019-10-21,15.3,15.4,14.9,14.9,2588600
2019-10-18,15.4,15.6,15.2,15.3,3357400
2019-10-17,15.3,15.7,15.3,15.5,4686900
2019-10-16,15.3,15.5,15.1,15.3,6271200
2019-10-15,15.9,16.0,15.0,15.2,12806900
2019-10-11,16.5,16.7,15.8,15.8,8718200
2019-10-10,16.2,16.8,16.2,16.5,3877800
2019-10-09,16.0,16.3,16.0,16.3,3205300
2019-10-08,16.0,16.4,16.0,16.2,5740700
2019-10-07,16.0,16.2,15.9,15.9,3048100
2019-10-04,16.2,16.3,16.0,16.1,1287800
2019-10-03,16.1,16.2,15.8,16.1,7789800
2019-10-02,16.6,16.9,16.2,16.3,6323600
2019-10-01,16.8,16.9,16.6,16.7,5322900
2019-09-30,17.3,17.4,16.6,16.6,7516700
2019-09-27,17.6,17.6,17.1,17.3,4365600
2019-09-26,17.7,18.0,17.4,17.5,3605600
2019-09-25,17.4,17.7,17.4,17.5,2375100
2019-09-24,17.4,17.7,17.1,17.5,4895500
2019-09-23,17.2,17.8,17.1,17.5,7065700
2019-09-20,17.4,17.5,17.0,17.1,5509500
2019-09-19,17.5,17.7,17.2,17.3,7046000
2019-09-18,18.0,18.3,17.3,17.4,9332300
2019-09-17,17.9,18.0,17.6,17.9,5825200
2019-09-16,18.2,18.6,17.9,17.9,9465500
2019-09-13,18.2,18.4,18.0,18.2,5520000
2019-09-12,18.7,18.8,18.0,18.1,9862500
2019-09-11,18.3,18.6,18.0,18.6,11758700
2019-09-10,18.2,18.8,18.0,18.2,18260900
2019-09-09,18.4,18.4,17.9,18.0,8131800
2019-09-06,18.0,18.4,17.6,18.2,22748000
2019-09-05,17.0,18.1,17.0,18.0,28984200
2019-09-04,16.6,16.8,16.4,16.6,5275000
2019-09-03,16.4,16.8,16.2,16.4,6251100
2019-09-02,16.4,16.5,16.0,16.3,5850200
2019-08-30,16.7,16.9,16.4,16.6,10338400
2019-08-29,16.0,16.5,15.9,16.5,5646200
2019-08-28,15.8,16.0,15.6,16.0,4687500
2019-08-27,15.9,16.0,15.6,15.6,4313800
2019-08-26,15.5,15.9,15.3,15.8,8339200
2019-08-23,16.2,16.5,16.2,16.4,6689000
2019-08-22,16.5,16.8,16.1,16.1,12772000
2019-08-21,15.9,16.5,15.9,16.4,8815000
2019-08-20,15.9,16.6,15.7,15.8,18209500
2019-08-19,15.6,16.1,15.5,15.9,7630300
2019-08-16,15.0,15.6,15.0,15.4,11129900
2019-08-15,15.5,15.5,14.7,14.9,23400700
2019-08-14,15.7,16.4,15.6,15.7,17877300
2019-08-13,15.9,16.1,15.3,15.3,9052100
2019-08-09,16.1,16.4,15.9,15.9,6193300
2019-08-08,16.4,17.1,16.0,16.0,14404200
2019-08-07,16.0,16.8,15.9,16.4,12672700
2019-08-06,15.8,16.2,15.6,16.0,5930200
2019-08-05,16.0,16.4,15.6,16.0,12342100
2019-08-02,16.8,17.0,15.9,16.1,18316600
2019-08-01,17.3,17.3,16.9,16.9,5225900
2019-07-31,17.6,17.7,17.2,17.2,9058700
2019-07-30,18.3,18.4,17.6,17.7,13167100
2019-07-26,18.5,18.6,18.3,18.4,3890800
2019-07-25,18.6,18.9,18.5,18.6,12421100
2019-07-24,18.4,18.7,18.2,18.6,9185000
2019-07-23,18.2,18.5,18.1,18.2,7306300
2019-07-22,18.0,18.1,17.8,18.0,2732100
2019-07-19,18.2,18.4,17.7,18.0,12030000
2019-07-18,18.1,18.4,18.1,18.1,4525400
2019-07-17,18.5,18.6,18.1,18.2,11861600
2019-07-15,19.2,19.2,18.4,18.5,15296500
2019-07-12,18.7,19.3,18.6,19.2,24003500
2019-07-11,18.6,18.9,18.5,18.7,5487100
2019-07-10,18.4,18.6,18.4,18.5,3044400
2019-07-09,18.4,18.9,18.4,18.4,5188400
2019-07-08,18.4,18.6,18.3,18.4,5680100
2019-07-05,18.5,18.7,18.2,18.5,8762000
2019-07-04,18.9,19.0,18.5,18.5,10909600
2019-07-03,18.7,19.1,18.4,18.9,19277500
2019-07-02,19.6,19.6,18.6,18.7,17576100
2019-07-01,19.7,19.9,19.5,19.5,18987200
2019-06-28,19.0,19.3,18.9,19.0,9129900
2019-06-27,19.3,19.4,18.8,19.0,15865400
2019-06-26,18.7,19.2,18.3,19.2,16098600
2019-06-25,18.6,18.9,18.2,18.8,11348200
2019-06-24,18.7,18.8,18.4,18.5,6166000
2019-06-21,18.9,19.2,18.7,18.7,8476300
2019-06-20,19.5,19.7,18.7,19.1,26585000
2019-06-19,18.6,19.2,18.5,19.2,29280800
2019-06-18,18.0,18.2,17.8,18.0,6268000
2019-06-17,18.3,18.5,18.0,18.0,4747400
2019-06-14,18.6,18.7,18.2,18.2,6620400
2019-06-13,18.6,18.8,18.5,18.6,6638400
2019-06-12,18.9,18.9,18.5,18.5,7317900
2019-06-11,18.9,19.2,18.8,18.9,9817600
2019-06-10,18.1,19.0,18.0,18.9,21253500
2019-06-07,18.1,18.2,17.9,17.9,4223700
2019-06-06,18.0,18.4,17.7,18.1,14536100
2019-06-05,17.9,18.1,17.8,18.0,7169900
2019-06-04,17.5,17.7,17.4,17.7,7306600
2019-05-31,17.2,17.4,17.1,17.3,3927500
2019-05-30,17.4,17.7,16.9,17.2,14764400
2019-05-29,18.1,18.1,17.3,17.4,14951400
2019-05-28,17.5,18.4,17.4,18.0,19309400
2019-05-27,17.2,17.6,17.0,17.4,9176600
2019-05-24,17.1,17.5,16.8,17.0,11196400
2019-05-23,17.7,17.8,17.1,17.2,7353900
2019-05-22,17.1,18.0,16.9,17.9,15938700
2019-05-21,16.9,17.5,16.4,16.7,15412900
2019-05-17,18.7,18.8,17.2,17.2,28298700
2019-05-16,18.5,19.2,18.1,18.8,32413000
2019-05-15,21.0,21.1,18.4,18.4,38097300
2019-05-14,21.7,22.4,21.0,21.2,12360600
2019-05-13,23.4,23.5,22.0,22.0,14347900
2019-05-10,24.3,24.4,22.9,23.4,12552700
2019-05-09,24.3,24.5,24.1,24.1,3784500
2019-05-08,24.6,24.6,24.2,24.3,4565800
2019-05-07,24.8,24.9,24.5,24.6,7341800
2019-05-03,25.25,25.5,24.9,24.9,4321600
2019-05-02,24.9,25.5,24.8,25.25,3930700
2019-04-30,24.9,25.0,24.7,24.8,5569200
2019-04-29,25.0,25.25,24.7,24.8,6101100
2019-04-26,25.5,25.75,24.9,24.9,11358900
2019-04-25,26.0,26.25,25.75,25.75,3374400
2019-04-24,27.0,27.25,26.25,26.25,5854400
2019-04-23,26.5,27.25,26.25,27.0,7602100
2019-04-22,26.25,26.75,26.0,26.25,4016300
2019-04-19,27.0,27.0,26.0,26.5,5914600
2019-04-18,27.5,27.5,26.75,27.0,5625900
2019-04-17,26.5,27.75,26.5,27.5,19145600
2019-04-12,26.0,26.75,25.5,26.25,6925100
2019-04-11,26.25,26.5,25.75,26.0,2180300
2019-04-10,26.5,26.75,26.25,26.25,3136500
2019-04-09,26.75,27.0,26.25,26.75,5214800
2019-04-05,26.25,26.75,26.0,26.5,4854400
2019-04-04,26.5,26.75,25.75,26.25,8043400
2019-04-03,25.75,26.75,25.75,26.5,14616500
2019-04-02,25.75,26.0,25.5,25.5,5040300
