Date,Open,High,Low,Close,Volume
2020-01-06,17.0,17.0,16.7,17.0,1347900
2020-01-03,17.4,17.4,17.1,17.2,340800
2020-01-02,17.4,17.4,17.0,17.4,430100
2019-12-30,17.0,17.4,16.8,17.4,1111600
2019-12-27,16.7,17.1,16.7,17.0,1116900
2019-12-26,16.7,16.8,16.5,16.8,461100
2019-12-25,16.7,16.9,16.5,16.6,1651100
2019-12-24,16.3,16.7,16.3,16.6,443200
2019-12-23,15.8,16.4,15.8,16.3,400500
2019-12-20,15.5,15.9,15.4,15.9,1874800
2019-12-19,14.9,15.5,14.8,15.5,1723800
2019-12-18,15.0,15.1,14.8,15.0,1638700
2019-12-17,14.4,15.0,14.4,15.0,345200
2019-12-16,14.4,14.6,14.3,14.5,3501900
2019-12-13,15.0,15.1,14.3,14.6,3742300
2019-12-12,15.8,15.9,15.0,15.1,4373400
2019-12-11,16.4,16.5,15.8,15.9,1603600
2019-12-09,16.7,16.7,16.3,16.5,842400
2019-12-06,16.8,16.8,16.6,16.7,1575700
2019-12-04,16.8,16.9,16.7,16.8,1318300
2019-12-03,17.0,17.0,16.8,16.9,510800
2019-12-02,17.1,17.1,16.9,16.9,843600
2019-11-29,16.9,17.1,16.9,17.1,1975100
2019-11-28,17.0,17.1,17.0,17.0,943700
2019-11-27,16.9,17.0,16.9,17.0,173300
2019-11-26,16.9,16.9,16.8,16.9,835600
2019-11-25,16.8,16.9,16.8,16.9,770400
2019-11-22,16.8,16.9,16.7,16.7,564500
2019-11-21,16.7,16.8,16.7,16.8,743600
2019-11-20,16.7,16.8,16.4,16.8,3496200
2019-11-19,16.8,16.8,16.7,16.8,2193700
2019-11-18,16.7,16.8,16.7,16.8,664100
2019-11-15,16.7,16.8,16.7,16.7,577200
2019-11-14,16.7,16.8,16.7,16.8,513800
2019-11-13,16.7,16.8,16.7,16.8,568000
2019-11-12,16.7,16.8,16.6,16.7,2168900
2019-11-11,16.8,16.8,16.0,16.6,4628300
2019-11-08,16.8,16.8,16.7,16.8,1066700
2019-11-07,16.98,16.98,16.78,16.88,3241100
2019-11-06,17.18,17.18,16.88,16.98,1138600
2019-11-05,17.28,17.28,16.98,17.08,485800
2019-11-04,17.18,17.38,17.18,17.38,274700
2019-11-01,17.3,17.4,17.1,17.4,802000
2019-10-31,17.4,17.5,17.2,17.3,708900
2019-10-30,17.7,17.7,17.3,17.5,822700
2019-10-29,17.3,17.5,17.0,17.5,714700
2019-10-28,17.9,17.9,17.4,17.4,455600
2019-10-25,17.73,17.93,17.73,17.93,1436620
2019-10-24,17.83,17.93,17.73,17.73,1366570
2019-10-22,17.83,17.93,17.73,17.73,320570
2019-10-21,18.03,18.03,17.83,17.83,1103940
2019-10-18,18.23,18.23,17.83,17.93,897420
2019-10-17,17.85,18.25,17.75,18.05,920680
2019-10-16,17.85,17.85,17.35,17.85,1245290
2019-10-15,18.64,18.74,18.05,18.05,487270
2019-10-11,19.1,19.1,18.8,18.9,1175400
2019-10-10,18.9,19.2,18.8,19.2,378700
2019-10-09,19.1,19.2,18.9,18.9,1270700
2019-10-08,19.3,19.3,18.9,19.3,829900
2019-10-07,19.3,19.3,19.2,19.3,1268100
2019-10-04,19.2,19.3,19.2,19.3,2014100
2019-10-03,19.4,19.4,19.1,19.3,351000
2019-10-02,19.5,19.5,19.1,19.2,950500
2019-10-01,19.3,19.5,19.3,19.5,2223600
2019-09-30,19.5,19.5,19.2,19.4,169600
2019-09-27,19.7,19.7,19.4,19.4,1173400
2019-09-26,20.0,20.0,19.7,19.8,264800
2019-09-25,20.2,20.2,19.9,19.9,874700
2019-09-24,20.4,20.6,20.0,20.0,1030300
2019-09-23,20.7,20.7,20.3,20.4,1116200
2019-09-20,20.0,20.9,20.0,20.8,1874800
2019-09-19,20.2,20.2,19.6,20.0,905700
2019-09-18,19.7,20.1,19.7,20.1,2697200
2019-09-17,19.2,19.7,19.2,19.6,731500
2019-09-16,18.8,19.2,18.8,19.2,719400
2019-09-13,18.9,18.9,18.5,18.8,815600
2019-09-12,19.0,19.0,18.8,19.0,441700
2019-09-11,19.0,19.0,18.8,18.9,733000
2019-09-10,19.4,19.6,18.9,19.0,1031700
2019-09-09,19.5,19.7,19.3,19.4,2076900
2019-09-06,19.4,19.5,19.3,19.5,574800
2019-09-05,19.4,19.4,19.2,19.4,1576000
2019-09-04,19.4,19.5,19.3,19.4,230600
2019-09-03,19.2,19.6,19.2,19.5,1853000
2019-09-02,18.6,19.5,18.5,19.2,536800
2019-08-30,18.7,18.7,18.3,18.5,703500
2019-08-29,18.6,18.7,18.4,18.5,878700
2019-08-28,18.4,18.5,18.3,18.5,511000
2019-08-27,17.5,18.2,17.5,18.2,2377100
2019-08-26,17.3,17.6,17.3,17.5,1272800
2019-08-23,17.4,17.7,17.4,17.5,1448900
2019-08-22,17.6,17.6,17.3,17.4,231400
2019-08-21,17.3,17.5,17.3,17.4,883800
2019-08-20,17.1,17.4,17.1,17.3,356100
2019-08-19,17.6,17.7,17.1,17.1,431000
2019-08-16,17.6,17.7,17.4,17.6,1930400
2019-08-15,17.7,17.7,17.4,17.6,1739500
2019-08-14,17.8,17.8,17.6,17.6,235600
2019-08-13,17.8,17.8,17.5,17.7,529100
2019-08-09,17.5,17.7,17.5,17.6,1014100
2019-08-08,17.2,17.6,17.2,17.6,1099400
2019-08-07,16.7,17.3,16.7,17.2,2161900
2019-08-06,16.8,16.8,16.4,16.8,502800
2019-08-05,16.78,16.88,16.58,16.78,414700
2019-08-02,16.48,16.88,16.48,16.88,1425500
2019-08-01,16.48,16.58,16.38,16.58,225100
2019-07-31,16.48,16.78,16.48,16.58,640700
2019-07-30,16.58,16.58,16.18,16.58,898300
2019-07-26,16.38,16.58,16.28,16.58,360200
2019-07-25,16.18,16.68,16.18,16.68,408800
2019-07-24,16.68,16.68,16.28,16.48,913900
2019-07-23,16.78,16.78,16.58,16.68,1057800
2019-07-22,16.38,16.58,16.18,16.58,1177400
2019-07-19,15.48,16.18,15.48,16.18,1530400
2019-07-18,14.78,15.68,14.48,15.48,3160100
2019-07-17,15.98,15.98,14.68,14.98,5606300
2019-07-15,16.68,17.08,16.18,16.18,3904800
2019-07-12,17.18,17.18,16.58,16.98,1821200
2019-07-11,17.08,17.58,17.08,17.18,4042800
2019-07-10,17.48,17.48,17.08,17.08,889600
2019-07-09,17.58,17.78,17.38,17.38,2883300
2019-07-08,17.38,17.88,17.28,17.48,2675500
2019-07-05,17.18,17.38,17.18,17.38,1235200
2019-07-04,17.18,17.28,17.18,17.18,828700
2019-07-03,17.18,17.18,17.08,17.18,1627200
2019-07-02,17.08,17.28,16.98,17.08,1754600
2019-07-01,17.48,17.48,17.08,17.28,663800
2019-06-28,16.68,17.38,16.68,17.38,1482800
2019-06-27,16.68,16.78,16.58,16.78,777500
2019-06-26,16.48,16.78,16.38,16.68,1533800
2019-06-25,16.38,16.48,16.28,16.48,602000
2019-06-24,16.68,16.68,15.78,16.38,3383000
2019-06-21,15.68,16.58,15.58,16.58,2950300
2019-06-20,15.38,15.68,15.28,15.68,969400
2019-06-19,15.18,15.38,15.08,15.38,1114800
2019-06-18,15.08,15.18,14.98,15.18,791900
2019-06-17,15.28,15.38,15.08,15.08,848700
2019-06-14,15.08,15.28,15.08,15.28,1084900
2019-06-13,15.18,15.28,15.08,15.08,1506300
2019-06-12,15.08,15.18,14.98,15.18,1831600
2019-06-11,15.08,15.28,15.08,15.08,102200
2019-06-10,15.28,15.28,15.08,15.08,686400
2019-06-07,15.08,15.08,14.98,15.08,162600
2019-06-06,14.78,15.28,14.78,15.08,1885100
2019-06-05,14.58,14.78,14.58,14.78,297000
2019-06-04,14.48,14.68,14.48,14.58,78500
2019-05-31,14.48,14.68,14.28,14.58,1196700
2019-05-30,14.98,14.98,14.28,14.68,3678000
2019-05-29,14.58,14.98,14.48,14.98,946800
2019-05-28,14.68,14.68,14.48,14.68,563700
2019-05-27,14.98,14.98,14.68,14.68,253500
2019-05-24,14.18,14.98,14.08,14.98,3123000
2019-05-23,13.88,14.18,13.88,14.18,1256300
2019-05-22,13.88,14.08,13.78,13.78,2105300
2019-05-21,14.08,14.08,13.48,13.88,2932100
2019-05-17,13.88,14.08,13.88,14.08,1769100
2019-05-16,13.68,13.98,13.58,13.98,1119400
2019-05-15,13.68,13.88,13.58,13.88,417800
2019-05-14,13.78,13.98,13.68,13.68,347600
2019-05-13,13.88,13.98,13.78,13.98,453300
2019-05-10,13.98,13.98,13.78,13.98,217100
2019-05-09,13.88,13.98,13.58,13.98,1203500
2019-05-08,13.58,13.88,13.48,13.88,1420700
2019-05-07,13.68,13.78,13.38,13.68,1187800
2019-05-03,13.48,13.68,13.48,13.58,1401300
2019-05-02,13.38,13.48,13.18,13.48,1449400
2019-04-30,13.44,13.74,13.34,13.44,3124100
2019-04-29,13.64,13.64,13.44,13.64,769800
2019-04-26,13.44,13.64,13.44,13.64,511100
2019-04-25,13.34,13.44,13.34,13.44,293000
2019-04-24,13.14,13.34,13.14,13.24,865400
2019-04-23,13.34,13.34,13.14,13.14,345900
2019-04-22,13.54,13.74,13.34,13.34,513200
2019-04-19,13.14,13.54,13.14,13.44,1444500
2019-04-18,13.14,13.34,13.04,13.14,745600
2019-04-17,13.24,13.34,13.14,13.24,615900
2019-04-12,13.54,13.64,13.14,13.14,425100
2019-04-11,13.44,13.54,13.44,13.54,71100
2019-04-10,13.14,13.64,13.14,13.64,631500
2019-04-09,13.34,13.34,13.14,13.24,175200
2019-04-05,13.34,13.64,13.14,13.44,796200
2019-04-04,13.54,13.54,13.34,13.54,710000
2019-04-03,13.64,13.64,13.24,13.34,691600
2019-04-02,13.74,13.84,13.54,13.64,483900
2019-04-01,13.74,13.94,13.74,13.84,296100
2019-03-29,13.64,13.84,13.54,13.84,203000
2019-03-28,13.84,13.94,13.64,13.64,578800
2019-03-27,13.74,13.84,13.64,13.74,856900
2019-03-26,13.94,13.94,13.44,13.74,1258500
