,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,1.06,1.96,2.23,2.29,1.38,1.11,1.35,0.79,,,1.03,1.11,1.10,1.43,1.41,0.99,0.91,0.83,0.81,0.69
Earnings per Share,-0.13,0.13,0.59,0.078,0.070,-0.046,0.033,-0.21,,,-0.016,0.055,0.012,-0.005,-0.006,0.005,-0.20,-0.021,0.040,0.014
Revenue per Share,2.21,2.76,1.47,1.53,1.56,1.21,1.25,1.09,,,0.27,0.41,0.33,0.25,0.29,0.27,0.29,0.18,0.31,0.30
Dividend per Share,,0.005,0.050,0.070,0.050,0.025,0.030,,,,,,0.030,,,,,,,
Capital Expenditures per Share,0.044,0.059,0.056,0.044,0.042,0.049,0.054,0.021,,,0.016,0.006,0.004,0.002,0.010,0.003,0.009,0.006,0.008,0.003
Book Value per Share,0.33,0.47,0.96,0.99,0.99,0.89,0.89,0.66,,,0.83,0.88,0.89,0.89,0.85,0.86,0.66,0.64,0.68,0.70
Price to Earnings Ratio,,14.0,2.00,38.2,19.9,,31.5,,,,,,31.5,28.6,18.8,146.6,,,,
Price to Book Value Ratio,2.46,4.67,1.23,2.53,1.47,1.28,1.14,1.22,,,1.20,1.20,1.14,1.81,1.20,0.92,1.22,1.20,1.08,0.86
EV to EBITDA,3.10,5.68,5.82,15.4,8.18,50.2,12.3,15.2,,,693.4,17.3,12.3,10.9,9.24,12.5,15.2,17.5,11.5,9.25
Dividend Payout Ratio,,3.9%,8.5%,89.8%,71.0%,-53.8%,91.0%,,,,,,91.0%,,,,,,,
Common Shares Outstanding,839.6,839.6,"1,343","1,343","1,343","1,343","1,343","1,343",,,"1,343","1,343","1,343","1,343","1,343","1,343","1,343","1,343","1,343","1,343"
Total Revenue,"1,858","2,313","1,971","2,050","2,095","1,623","1,684","1,464",,,367.8,545.0,443.1,335.5,384.9,358.8,385.2,247.3,421.8,404.8
"Cost of Revenue, Total","1,480","1,673","1,480","1,442","1,531","1,385","1,354","1,194",,,324.4,382.2,384.3,277.2,314.3,292.7,309.6,205.1,281.0,311.5
Gross Profit,377.9,640.6,491.3,608.0,563.9,238.1,330.1,270.6,,,43.5,162.8,58.9,58.3,70.6,66.1,75.6,42.1,140.9,93.3
"Selling/General/Administrative Expenses, Total",285.3,348.1,338.7,436.1,416.6,302.3,291.4,275.0,,,68.7,92.4,36.9,70.7,75.6,58.7,76.2,66.2,90.4,72.0
Operating Income,92.6,292.5,152.5,171.9,147.4,-64.1,38.8,-4.37,,,-25.2,70.4,22.0,-12.4,-4.95,7.38,-0.56,-24.0,50.5,21.2
Net Income,-105.4,111.5,504.2,104.7,94.6,-62.4,44.3,-279.6,,,-21.0,73.3,16.5,-6.44,-8.42,6.78,-271.6,-27.6,53.5,18.7
EBITDA,189.9,386.9,245.5,262.3,241.9,36.9,144.0,102.4,,,-0.76,96.7,51.3,13.5,21.8,34.6,26.5,-7.51,67.2,37.8
Gross Profit Margin,20.3%,27.7%,24.9%,29.7%,26.9%,14.7%,19.6%,18.5%,,,11.8%,29.9%,13.3%,17.4%,18.4%,18.4%,19.6%,17.0%,33.4%,23.0%
Operating Margin,5.0%,12.6%,7.7%,8.4%,7.0%,-3.9%,2.3%,-0.3%,,,-6.9%,12.9%,5.0%,-3.7%,-1.3%,2.1%,-0.1%,-9.7%,12.0%,5.2%
Net Profit Margin,-5.7%,4.8%,25.6%,5.1%,4.5%,-3.8%,2.6%,-19.1%,,,-5.7%,13.5%,3.7%,-1.9%,-2.2%,1.9%,-70.5%,-11.2%,12.7%,4.6%
Return on Assets,-4.9%,5.1%,23.7%,4.8%,4.3%,-3.0%,2.1%,-15.4%,,,-4.3%,-0.6%,2.1%,3.1%,3.8%,0.4%,-15.8%,-19.0%,-14.6%,-13.3%
Return on Equity,-37.7%,28.2%,39.1%,7.9%,7.1%,-5.2%,3.7%,-31.7%,,,-1.9%,6.2%,1.4%,-0.5%,-0.7%,0.6%,-30.8%,-3.2%,5.8%,2.0%
Return on Total Capital,-37.4%,6.7%,31.6%,6.8%,6.6%,-4.8%,3.4%,-28.5%,,,-7.5%,-0.9%,3.4%,4.8%,6.0%,0.7%,-28.5%,-30.9%,-23.5%,-22.0%
SG&A to Sale,15.4%,15.0%,17.2%,21.3%,19.9%,18.6%,17.3%,18.8%,,,18.7%,16.9%,8.3%,21.1%,19.6%,16.4%,19.8%,26.8%,21.4%,17.8%
Depreciation & Amortisation,97.3,94.4,93.0,90.4,94.5,101.0,105.3,106.8,,,24.5,26.2,29.3,25.9,26.7,27.2,27.0,16.5,16.7,16.6
Tax Rate,-133.1%,46.9%,9.6%,22.7%,22.8%,16.2%,11.4%,19.6%,,,-0.3%,-2.1%,32.7%,16.3%,-26.5%,-14.1%,20.0%,-8.2%,-5.7%,7.7%
Current Ratio,0.52,2.05,1.94,1.70,1.68,1.25,1.34,1.35,,,1.11,1.22,1.34,1.36,1.31,1.34,1.35,1.35,1.44,1.50
Quick Ratio,0.25,0.75,0.75,0.71,0.73,0.60,0.40,0.49,,,0.36,0.36,0.40,0.38,0.32,0.37,0.49,0.34,0.58,0.55
Days Inventory Outstanding,106.5,100.7,100.8,89.1,100.0,114.6,123.9,143.7,,,145.9,129.8,139.0,141.3,142.1,143.9,139.0,143.5,150.6,151.6
Days Sale Outstanding,93.1,51.4,63.1,83.7,76.3,99.5,50.4,67.7,,,67.7,51.8,50.4,50.4,39.1,50.2,67.7,46.0,87.7,70.9
Days Payable Outstanding,0.00,0.00,0.00,0.00,21.7,60.0,71.3,73.0,,,78.6,70.3,73.7,61.7,61.4,73.6,73.9,71.5,64.7,59.6
Cash Conversion Cycle,181.6,163.8,162.5,161.3,135.8,141.6,128.1,138.8,,,132.8,115.4,125.4,136.4,119.4,115.7,131.2,131.6,160.6,165.8
Debt to Asset Ratio,0.88,0.82,0.39,0.42,0.37,0.44,0.40,0.45,,,0.48,0.44,0.40,0.40,0.40,0.40,0.45,0.45,0.46,0.45
Debt to Equity Ratio,7.07,4.44,0.64,0.71,0.59,0.78,0.68,0.83,,,0.91,0.79,0.68,0.67,0.68,0.66,0.83,0.80,0.86,0.81
Interest Coverage Ratio,0.61,3.13,1.71,4.40,4.27,,1.06,,,,,7.31,3.12,,,1.56,,,9.66,3.62
Cash and Short Term Investments,108.1,143.2,218.2,260.6,93.0,69.4,63.8,52.7,,,42.4,129.9,63.8,45.3,68.8,57.5,52.7,61.8,81.0,97.6
"Total Receivables, Net",474.1,325.4,340.6,470.4,438.0,442.5,232.5,271.4,,,301.1,264.5,232.5,233.7,182.8,209.6,271.4,173.3,339.6,283.6
Total Inventory,437.7,485.2,332.3,372.2,466.8,403.1,516.3,423.8,,,587.9,537.4,516.3,542.5,514.6,485.6,423.8,458.4,439.9,480.0
Total Current Assets,"1,029",967.7,914.3,"1,147","1,016",928.3,822.0,754.9,,,943.1,940.0,822.0,831.1,773.5,761.7,754.9,702.6,873.9,871.8
"Property/Plant/Equipment, Total - Net","1,182","1,130","1,145","1,105","1,065","1,134","1,121",711.3,,,"1,119","1,113","1,121","1,096","1,085","1,071",711.3,708.0,695.6,682.0
Total Assets,"2,255","2,154","2,109","2,272","2,110","2,119","2,012","1,616",,,"2,120","2,124","2,012","1,999","1,923","1,913","1,616","1,558","1,710","1,696"
Accounts Payable,,,,,181.7,273.3,255.7,221.6,,,306.2,303.0,255.7,206.8,250.0,261.6,221.6,217.8,167.9,193.5
Accrued Expenses,70.7,85.6,51.5,75.3,64.5,62.6,56.4,34.9,,,46.9,61.1,56.4,50.3,50.2,39.2,34.9,38.2,45.9,47.4
Debt Due,"1,373",50.7,111.3,177.5,258.3,337.8,243.9,247.1,,,414.3,329.4,243.9,284.9,221.5,210.5,247.1,213.2,327.2,282.7
Total Current Liabilities,"1,962",472.2,470.6,672.8,604.7,745.0,614.0,559.0,,,847.1,773.3,614.0,613.3,590.5,569.3,559.0,520.6,605.9,579.3
Long Term Debt,2.44,"1,265",306.5,218.3,116.6,114.8,119.6,101.6,,,89.7,87.7,119.6,112.6,106.6,109.4,101.6,109.1,101.3,93.7
Total Liabilities,"1,976","1,758",821.0,945.9,783.6,929.0,811.0,735.2,,,"1,008",938.9,811.0,804.2,776.9,760.3,735.2,693.5,792.4,759.9
Common Stock,790.2,632.1,"1,075","1,075","1,075","1,075","1,075","1,075",,,"1,075","1,075","1,075","1,075","1,075","1,075","1,075","1,075","1,075","1,075"
Additional Paid-In Capital,296.6,,,,,,,,,,,,,,,,,,,
Retained Earnings (Accumulated Deficit),-807.4,-236.3,213.8,251.3,251.9,115.6,126.3,-193.6,,,37.1,110.5,126.3,119.9,71.2,77.9,-193.6,-211.3,-157.8,-139.1
Shareholders' Equity,279.3,395.8,"1,288","1,326","1,327","1,190","1,201",881.0,,,"1,112","1,185","1,201","1,195","1,146","1,153",881.0,863.7,917.2,935.9
Cash from Operating Activities,142.4,186.6,230.6,160.9,17.4,55.1,188.2,106.7,,,-33.0,178.8,22.6,-44.2,149.8,21.5,-19.7,37.9,-83.9,48.8
Cash from Investing Activities,-61.3,-58.3,-69.1,-15.0,-63.2,-66.2,-77.9,-43.1,,,-3.10,-4.87,-21.1,-2.45,-12.4,-16.9,-11.8,-7.00,-10.3,-4.00
Cash from Financing Activities,-83.2,-103.6,-68.4,-97.6,-121.8,-10.4,-123.5,-63.7,,,26.8,-89.9,-69.0,39.2,-120.2,-12.1,29.4,-25.5,106.3,-51.5
