,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,7.23,7.02,6.09,6.78,6.88,8.45,8.33,7.65,,,8.53,9.23,8.95,8.93,9.40,8.13,7.65,8.15,7.65,7.43
Earnings per Share,0.50,0.70,0.64,0.83,0.83,0.86,1.00,1.23,,,0.19,0.20,0.43,0.28,0.38,0.30,0.30,0.34,0.16,0.20
Revenue per Share,4.41,5.54,6.37,7.37,7.06,6.46,7.07,8.82,,,1.53,1.58,2.63,1.76,2.06,2.16,2.76,2.48,1.52,1.88
Dividend per Share,0.16,0.23,0.23,0.28,0.30,0.30,0.35,0.40,,,,,0.35,,,,0.40,,,
Capital Expenditures per Share,0.022,0.016,0.022,0.017,0.009,0.010,0.070,0.068,,,0.021,0.012,0.006,0.003,0.016,0.020,0.029,0.023,0.019,0.008
Book Value per Share,3.43,4.05,4.45,5.04,5.61,6.17,6.88,7.75,,,6.24,6.45,6.88,7.13,7.16,7.45,7.75,8.13,7.89,8.08
Price to Earnings Ratio,10.4,13.4,7.10,8.36,6.96,8.32,8.37,5.73,,,8.56,9.04,8.37,8.33,7.30,4.92,5.63,5.87,6.65,6.86
Price to Book Value Ratio,1.61,2.08,1.06,1.43,1.09,1.17,1.15,0.91,,,1.26,1.42,1.15,1.14,1.27,0.81,0.91,0.97,0.86,0.92
EV to EBITDA,10.1,11.9,8.30,8.29,7.63,10.6,11.9,9.76,,,12.7,13.8,11.9,10.6,10.8,9.72,9.76,10.3,12.7,12.2
Dividend Payout Ratio,32.9%,32.6%,35.5%,33.5%,36.0%,34.9%,34.9%,32.5%,,,,,34.9%,,,,31.9%,,,
Common Shares Outstanding,"3,104","3,133","3,146","3,146","3,146","3,146","3,146","3,146",,,"3,146","3,146","3,146","3,146","3,146","3,146","3,146","3,146","3,146","3,146"
Total Revenue,"13,691","17,365","20,047","23,197","22,203","20,336","22,257","27,750",,,"4,805","4,976","8,264","5,523","6,469","6,792","8,670","7,800","4,772","5,915"
"Cost of Revenue, Total","8,434","11,273","13,270","15,304","14,545","13,292","14,262","18,339",,,"3,150","3,130","5,157","3,630","4,282","4,589","5,839","5,230","3,177","3,818"
Gross Profit,"5,257","6,091","6,776","7,892","7,658","7,043","7,995","9,411",,,"1,654","1,845","3,107","1,893","2,187","2,203","2,831","2,571","1,594","2,097"
"Selling/General/Administrative Expenses, Total","2,695","3,128","3,867","4,128","3,969","4,012","4,543","5,731",,,"1,002","1,087","1,539",927.5,"1,253","1,351","1,811","1,501","1,138","1,250"
Operating Income,"2,562","2,963","2,910","3,765","3,689","3,031","3,452","3,680",,,651.7,758.2,"1,568",965.6,933.8,852.7,"1,020","1,070",456.9,846.5
Net Income,"1,551","2,186","2,013","2,615","2,623","2,703","3,157","3,865",,,613.0,636.7,"1,359",866.8,"1,191",928.1,956.7,"1,078",488.2,619.3
EBITDA,"2,604","3,013","2,963","3,815","3,739","3,074","3,506","3,750",,,663.7,773.0,"1,585",982.3,950.3,869.9,"1,039","1,090",479.1,871.0
Gross Profit Margin,38.4%,35.1%,33.8%,34.0%,34.5%,34.6%,35.9%,33.9%,,,34.4%,37.1%,37.6%,34.3%,33.8%,32.4%,32.7%,33.0%,33.4%,35.5%
Operating Margin,18.7%,17.1%,14.5%,16.2%,16.6%,14.9%,15.5%,13.3%,,,13.6%,15.2%,19.0%,17.5%,14.4%,12.6%,11.8%,13.7%,9.6%,14.3%
Net Profit Margin,11.3%,12.6%,10.0%,11.3%,11.8%,13.3%,14.2%,13.9%,,,12.8%,12.8%,16.4%,15.7%,18.4%,13.7%,11.0%,13.8%,10.2%,10.5%
Return on Assets,5.8%,7.4%,6.3%,7.5%,7.3%,7.3%,7.7%,8.3%,,,7.1%,7.4%,7.4%,7.6%,8.5%,8.9%,8.0%,8.1%,6.4%,5.6%
Return on Equity,14.5%,17.2%,14.4%,16.5%,14.9%,13.9%,14.6%,15.8%,,,3.1%,3.1%,6.3%,3.9%,5.3%,4.0%,3.9%,4.2%,2.0%,2.4%
Return on Total Capital,8.2%,10.5%,8.3%,10.0%,9.3%,9.7%,10.2%,10.3%,,,10.1%,10.7%,10.2%,10.5%,12.1%,12.5%,10.5%,11.1%,8.7%,7.6%
SG&A to Sale,19.7%,18.0%,19.3%,17.8%,17.9%,19.7%,20.4%,20.7%,,,20.9%,21.9%,18.6%,16.8%,19.4%,19.9%,20.9%,19.2%,23.8%,21.1%
Depreciation & Amortisation,41.9,49.5,52.9,50.1,50.0,42.5,54.2,69.9,,,12.0,14.8,17.3,16.7,16.6,17.1,19.5,20.3,22.2,24.5
Tax Rate,35.3%,24.0%,21.1%,19.3%,21.8%,18.6%,19.0%,16.8%,,,22.3%,20.7%,18.7%,18.1%,13.9%,16.5%,18.3%,17.5%,15.3%,22.3%
Current Ratio,2.84,3.42,3.43,3.77,4.47,3.41,3.02,3.85,,,3.03,2.89,3.02,2.95,2.89,3.09,3.85,3.11,3.28,3.39
Quick Ratio,0.007,0.013,0.011,0.011,0.010,0.017,0.031,0.033,,,0.008,0.008,0.031,0.021,0.023,0.028,0.033,0.022,0.021,0.024
Days Inventory Outstanding,"1,038",859.7,787.7,744.8,798.1,860.6,846.7,762.0,,,891.5,894.5,892.8,891.8,885.9,845.0,820.8,766.8,853.8,932.3
Days Sale Outstanding,1.83,2.27,2.01,1.51,1.19,2.94,6.40,4.95,,,1.55,1.63,6.40,4.58,4.98,5.27,5.00,4.06,4.00,4.65
Days Payable Outstanding,27.8,21.0,27.7,34.6,33.7,27.4,24.7,24.1,,,24.3,24.5,25.4,12.2,0.00,0.00,14.1,13.0,0.00,0.00
Cash Conversion Cycle,"1,015",838.1,754.2,707.9,772.7,837.3,825.5,738.9,,,869.2,870.3,871.0,897.1,890.5,850.0,797.7,771.1,857.9,936.7
Debt to Asset Ratio,0.64,0.57,0.59,0.55,0.51,0.49,0.51,0.51,,,0.52,0.51,0.51,0.52,0.54,0.52,0.51,0.52,0.55,0.55
Debt to Equity Ratio,1.76,1.32,1.46,1.24,1.05,0.95,1.03,1.02,,,1.08,1.04,1.03,1.10,1.16,1.09,1.02,1.08,1.23,1.21
Interest Coverage Ratio,13.4,13.9,9.95,11.0,13.2,16.1,23.0,29.9,,,15.1,38.3,46.3,28.4,27.2,33.5,35.2,23.7,5.67,12.8
Cash and Short Term Investments,437.7,743.8,889.0,462.9,421.0,"1,087","1,054",951.3,,,"1,038",664.2,"1,054","1,162","1,325",784.5,951.3,"2,350","1,511",754.6
