,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,,,6.62,7.97,2.90,,,7.95,8.45,10.7,8.78,7.08,5.67,3.52,3.30,3.27,2.40
Earnings per Share,,0.00,0.24,0.048,0.30,0.096,0.22,0.12,,,0.046,0.049,0.066,0.049,0.046,0.028,0.000,0.008,0.008,-0.008
Revenue per Share,,0.67,0.90,1.14,1.47,1.98,2.91,3.63,,,0.70,0.76,0.79,0.83,0.87,0.94,0.99,1.02,1.02,1.10
Dividend per Share,,0.00,0.00,0.00,0.00,0.00,0.042,,,,0.036,0.00,0.005,,0.006,,,,,
Capital Expenditures per Share,,0.00,0.006,0.014,0.008,0.40,2.08,1.68,,,0.39,0.48,1.18,0.044,0.48,0.85,0.31,0.013,0.18,-0.094
Book Value per Share,,0.31,0.55,0.50,0.82,0.91,1.94,2.06,,,1.82,1.87,1.94,1.98,2.03,2.05,2.06,2.07,2.07,2.07
Price to Earnings Ratio,,,,,,39.9,49.8,27.5,,,40.5,41.7,48.8,33.0,28.5,19.9,27.5,28.5,60.7,223.0
Price to Book Value Ratio,,,,,,4.19,5.42,1.50,,,3.90,3.74,5.42,2.75,3.60,1.50,1.50,1.35,1.32,0.92
EV to EBITDA,,,,,0.00,0.00,10.1,7.03,,,10.3,9.37,10.1,9.40,8.51,8.39,7.03,6.33,6.20,5.61
Dividend Payout Ratio,,,0.0%,0.0%,0.0%,0.0%,18.6%,,,,21.2%,0.0%,2.2%,,2.7%,,,,,
Common Shares Outstanding,,726.0,726.0,726.0,726.0,726.0,726.0,726.0,,,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0
Total Revenue,,489.0,655.1,826.6,"1,069","1,437","2,112","2,634",,,510.7,551.6,572.6,599.5,634.9,684.6,715.3,743.1,742.3,797.5
"Cost of Revenue, Total",,272.4,446.4,676.9,858.4,"1,127","1,661","2,092",,,403.3,429.7,454.1,466.4,498.1,551.2,576.0,599.3,599.3,650.4
Gross Profit,,216.6,274.0,149.7,210.5,310.6,451.0,542.7,,,107.4,121.9,118.5,133.1,136.8,133.4,139.4,143.8,143.1,147.1
"Selling/General/Administrative Expenses, Total",,26.3,46.0,33.1,46.3,85.5,144.2,177.7,,,30.3,40.8,45.9,38.0,36.1,48.6,55.1,56.6,50.7,62.5
Operating Income,,190.3,228.5,116.6,164.2,225.2,306.8,365.0,,,77.1,81.1,72.6,95.2,100.7,84.8,84.3,87.2,92.3,84.6
Net Income,,151.8,177.0,34.6,56.0,69.8,150.8,89.6,,,33.5,35.5,48.3,35.5,33.6,20.4,0.20,5.89,6.04,-5.61
EBITDA,,190.3,518.8,460.8,578.8,821.1,"1,221","1,556",,,295.7,318.2,326.6,350.7,378.0,401.9,425.6,438.1,456.5,460.9
Gross Profit Margin,,44.3%,41.8%,18.1%,19.7%,21.6%,21.4%,20.6%,,,21.0%,22.1%,20.7%,22.2%,21.6%,19.5%,19.5%,19.3%,19.3%,18.4%
Operating Margin,,38.9%,34.9%,14.1%,15.4%,15.7%,14.5%,13.9%,,,15.1%,14.7%,12.7%,15.9%,15.9%,12.4%,11.8%,11.7%,12.4%,10.6%
Net Profit Margin,,31.0%,27.0%,4.2%,5.2%,4.9%,7.1%,3.4%,,,6.6%,6.4%,8.4%,5.9%,5.3%,3.0%,0.0%,0.8%,0.8%,-0.7%
Return on Assets,,7.7%,8.3%,1.4%,1.8%,1.4%,2.0%,0.8%,,,1.3%,1.5%,1.8%,1.7%,1.5%,1.2%,0.7%,0.5%,0.2%,0.0%
Return on Equity,,67.8%,44.2%,9.5%,9.4%,10.5%,10.7%,6.0%,,,2.5%,2.6%,3.4%,2.5%,2.3%,1.4%,0.0%,0.4%,0.4%,-0.4%
Return on Total Capital,,12.3%,12.2%,2.2%,2.2%,1.5%,2.1%,0.9%,,,1.6%,1.8%,2.1%,2.0%,1.8%,1.5%,0.9%,0.6%,0.3%,0.1%
SG&A to Sale,,5.4%,7.0%,4.0%,4.3%,5.9%,6.8%,6.7%,,,5.9%,7.4%,8.0%,6.3%,5.7%,7.1%,7.7%,7.6%,6.8%,7.8%
Depreciation & Amortisation,,,290.3,344.2,414.6,595.9,914.6,"1,191",,,218.6,237.0,254.0,255.5,277.2,317.1,341.3,351.0,364.2,376.3
Tax Rate,,7.2%,2.6%,19.7%,21.9%,22.0%,-66.6%,-33.0%,,,-36.6%,-26.6%,-352.6%,-12.0%,-17.9%,-162.6%,139.0%,8.9%,0.0%,0.0%
Current Ratio,,0.24,0.17,0.16,0.18,0.21,0.35,0.28,,,0.36,0.32,0.35,0.31,0.28,0.30,0.28,0.24,0.28,0.29
Quick Ratio,,0.17,0.11,0.096,0.088,0.15,0.21,0.20,,,0.21,0.13,0.21,0.13,0.13,0.13,0.20,0.18,0.17,0.16
Days Inventory Outstanding,,,0.74,0.58,4.28,7.70,10.4,6.42,,,3.60,2.87,9.20,7.33,0.68,0.45,0.80,1.14,11.6,30.0
Days Sale Outstanding,,94.3,51.5,43.1,31.9,57.4,60.2,77.1,,,38.2,38.4,60.2,38.3,47.2,50.7,77.1,74.1,72.6,69.1
Days Payable Outstanding,,,22.7,16.7,17.7,38.9,30.8,50.6,,,51.2,60.8,44.8,51.9,106.3,122.5,99.9,96.3,118.2,127.8
Cash Conversion Cycle,,94.3,39.0,24.0,16.1,-13.6,40.4,-16.5,,,-7.14,-36.1,37.4,-30.3,-89.5,-73.2,-22.2,-37.4,-45.5,-32.5
Debt to Asset Ratio,,0.89,0.85,0.86,0.84,0.90,0.84,0.88,,,0.83,0.83,0.84,0.85,0.87,0.88,0.88,0.88,0.89,0.89
Debt to Equity Ratio,,7.82,4.87,6.34,5.17,8.60,5.23,7.46,,,4.92,5.06,5.23,5.68,6.49,7.14,7.46,7.60,7.76,7.93
