,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,28.8,30.5,26.7,27.6,23.6,29.1,54.3,54.1,45.1,,44.8,57.1,63.8,55.4,57.1,54.4,48.8,48.3,48.0,44.3
Earnings per Share,2.69,3.07,3.92,4.08,3.31,3.09,7.64,7.61,8.62,,2.27,2.29,1.84,1.21,3.92,1.22,1.74,1.74,0.67,1.75
Revenue per Share,36.1,32.3,28.5,26.0,22.0,16.1,16.8,24.4,28.5,,6.07,5.90,6.15,6.31,6.72,6.99,7.49,7.32,7.17,6.53
Dividend per Share,0.80,0.44,0.44,0.44,0.60,0.60,0.80,1.00,1.10,,,,,1.00,,,,1.10,,
Capital Expenditures per Share,0.46,0.68,0.80,0.46,0.25,0.75,0.30,0.26,0.99,,0.044,0.032,0.026,0.16,0.17,0.18,0.38,0.26,0.24,0.098
Book Value per Share,31.0,33.9,34.6,38.0,38.3,40.6,47.8,54.5,61.2,,50.2,51.5,53.4,54.5,57.9,58.0,59.8,61.2,61.8,62.0
Price to Earnings Ratio,9.00,11.1,7.21,6.31,7.40,7.38,4.84,7.23,5.51,,5.02,5.49,5.71,7.23,5.86,5.98,5.62,5.51,7.83,6.70
Price to Book Value Ratio,0.78,0.84,0.65,0.67,0.64,0.55,0.75,0.96,0.78,,0.91,1.03,1.02,0.96,0.92,0.78,0.71,0.78,0.70,0.64
EV to EBITDA,10.7,15.6,10.7,8.21,7.56,8.77,8.22,8.24,5.47,,7.14,9.00,9.45,8.24,7.06,7.34,6.30,5.47,5.52,4.50
Dividend Payout Ratio,29.8%,14.3%,11.2%,10.8%,18.1%,19.4%,10.5%,13.1%,12.8%,,,,,13.1%,,,,12.8%,,
Common Shares Outstanding,300.0,300.0,298.4,300.0,300.0,300.0,300.0,300.0,300.0,,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
Total Revenue,"10,832","9,685","8,497","7,797","6,613","4,840","5,049","7,328","8,555",,"1,820","1,770","1,844","1,894","2,016","2,098","2,246","2,196","2,152","1,959"
"Cost of Revenue, Total","9,690","8,632","7,394","6,539","5,423","3,779","3,553","5,088","6,298",,"1,226","1,187","1,303","1,372","1,464","1,592","1,671","1,571","1,533","1,331"
Gross Profit,"1,142","1,053","1,103","1,257","1,190","1,061","1,496","2,239","2,257",,594.4,582.3,541.5,521.2,552.8,505.4,574.7,624.4,618.6,628.2
"Selling/General/Administrative Expenses, Total",519.9,461.0,358.6,416.3,437.7,417.1,425.6,542.0,562.3,,133.0,132.1,138.0,139.0,135.9,127.3,146.5,152.7,139.0,128.9
Operating Income,622.0,591.8,744.4,840.9,752.0,644.0,"1,071","1,697","1,695",,461.4,450.3,403.5,382.2,416.8,378.2,428.2,471.7,479.6,499.3
Net Income,806.4,922.3,934.8,"1,128",993.5,927.3,"2,293","2,282","2,585",,680.2,686.5,551.2,363.9,"1,175",366.7,521.7,521.7,200.1,525.7
EBITDA,"1,063","1,094","1,234","1,201","1,049",896.7,"1,264","1,887","1,909",,508.0,496.7,449.9,432.9,470.7,432.2,481.5,524.6,535.1,559.9
