,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,61.3,65.6,53.8,44.0,25.8,19.6,9.80,8.53,,,20.0,16.5,13.3,11.4,8.48,6.35,7.75,10.2,9.25,6.98
Earnings per Share,1.77,2.39,2.79,2.17,1.49,0.61,0.031,-0.17,,,0.056,0.017,-0.17,-0.063,-0.011,0.039,-0.13,-0.064,-0.052,0.047
Revenue per Share,6.40,7.44,8.21,8.12,7.97,6.19,5.57,5.23,,,1.63,1.40,1.04,1.19,1.37,1.32,1.28,1.02,1.06,1.27
Dividend per Share,1.80,2.25,2.60,2.00,1.40,0.60,0.10,,,,0.10,0.00,0.00,,,,,,,
Capital Expenditures per Share,0.029,0.050,0.073,0.15,0.19,0.12,0.027,0.018,,,0.008,0.006,0.005,0.004,0.006,0.003,0.004,0.001,0.004,0.006
Book Value per Share,3.63,4.04,4.41,4.28,3.98,3.45,3.20,3.04,,,3.46,3.37,3.20,3.13,3.11,3.15,3.04,2.97,2.90,2.95
Price to Earnings Ratio,25.1,28.2,18.1,21.7,21.1,25.8,331.1,,,,63.8,91.3,331.1,,,,,,,
Price to Book Value Ratio,14.0,15.9,12.3,9.57,7.11,5.05,4.07,2.22,,,4.71,3.89,4.07,2.51,2.23,1.53,2.22,2.96,2.55,2.00
EV to EBITDA,15.2,21.6,12.2,16.2,12.6,15.4,27.4,25.7,,,23.6,27.0,27.4,41.2,56.4,31.3,25.7,41.8,65.8,59.8
Dividend Payout Ratio,102.0%,94.2%,93.0%,92.2%,93.9%,98.5%,327.8%,,,,36.9%,0.0%,0.0%,,,,,,,
Common Shares Outstanding,"2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000",,,"2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000"
Total Revenue,"12,804","14,886","16,429","16,234","15,942","12,383","11,140","10,470",,,"3,265","2,799","2,075","2,390","2,739","2,631","2,552","2,036","2,115","2,532"
"Cost of Revenue, Total","6,068","6,881","7,545","8,674","9,910","8,796","9,177","8,924",,,"2,608","2,324","2,041","2,109","2,346","2,160","2,295","1,819","1,867","2,007"
Gross Profit,"6,736","8,005","8,884","7,561","6,031","3,587","1,963","1,546",,,657.3,474.3,34.3,280.5,392.9,471.0,256.9,217.4,247.2,525.0
"Selling/General/Administrative Expenses, Total","1,650","1,811","1,947","2,027","2,115","1,985","1,799","1,795",,,465.0,425.1,446.6,388.5,376.5,349.1,536.8,346.5,366.7,391.1
Operating Income,"5,086","6,194","6,937","5,534","3,916","1,602",163.4,-249.6,,,192.3,49.2,-412.4,-108.0,16.4,121.9,-279.9,-129.1,-119.6,134.0
Net Income,"3,530","4,777","5,589","4,337","2,983","1,218",61.0,-330.2,,,112.7,34.8,-335.5,-126.0,-22.6,78.3,-259.9,-128.0,-103.6,93.6
EBITDA,"5,365","6,448","7,214","6,174","4,696","2,392",994.7,561.7,,,395.6,259.7,-202.3,96.4,220.4,325.4,-80.4,54.9,20.1,260.4
Gross Profit Margin,52.6%,53.8%,54.1%,46.6%,37.8%,29.0%,17.6%,14.8%,,,20.1%,16.9%,1.7%,11.7%,14.3%,17.9%,10.1%,10.7%,11.7%,20.7%
Operating Margin,39.7%,41.6%,42.2%,34.1%,24.6%,12.9%,1.5%,-2.4%,,,5.9%,1.8%,-19.9%,-4.5%,0.6%,4.6%,-11.0%,-6.3%,-5.7%,5.3%
Net Profit Margin,27.6%,32.1%,34.0%,26.7%,18.7%,9.8%,0.5%,-3.2%,,,3.5%,1.2%,-16.2%,-5.3%,-0.8%,3.0%,-10.2%,-6.3%,-4.9%,3.7%
Return on Assets,36.3%,46.3%,48.7%,30.0%,18.8%,8.2%,0.4%,-2.3%,,,3.5%,2.2%,0.4%,-2.2%,-3.1%,-2.8%,-2.3%,-2.3%,-3.1%,-3.3%
Return on Equity,48.6%,59.1%,63.3%,50.6%,37.5%,17.7%,1.0%,-5.4%,,,1.6%,0.5%,-5.2%,-2.0%,-0.4%,1.2%,-4.3%,-2.2%,-1.8%,1.6%
Return on Total Capital,48.6%,59.1%,63.3%,50.6%,37.5%,17.7%,0.6%,-2.9%,,,5.5%,3.3%,0.6%,-3.4%,-4.9%,-4.4%,-2.9%,-3.0%,-4.7%,-4.5%
SG&A to Sale,12.9%,12.2%,11.9%,12.5%,13.3%,16.0%,16.2%,17.1%,,,14.2%,15.2%,21.5%,16.3%,13.7%,13.3%,21.0%,17.0%,17.3%,15.4%
Depreciation & Amortisation,279.3,254.1,277.0,640.5,779.6,790.0,831.3,811.3,,,203.3,210.5,210.1,204.4,204.0,203.5,199.4,184.0,139.6,126.5
Tax Rate,30.9%,23.3%,20.1%,20.1%,20.3%,21.3%,60.4%,18.8%,,,22.6%,26.4%,16.4%,17.8%,47.3%,16.8%,16.7%,20.2%,22.8%,20.2%
Current Ratio,3.04,3.43,2.93,1.45,0.94,0.62,1.32,1.85,,,1.26,1.38,1.32,1.20,1.59,1.84,1.85,1.66,1.40,2.12
Quick Ratio,1.40,1.84,1.85,0.69,0.46,0.25,0.60,0.57,,,0.40,0.48,0.60,0.54,0.61,0.63,0.57,0.53,0.38,1.06
Days Inventory Outstanding,0.13,0.15,0.15,0.28,0.29,0.25,0.20,0.20,,,0.23,0.22,0.21,0.24,0.32,0.35,0.25,0.21,0.25,0.23
Days Sale Outstanding,26.3,30.0,35.5,29.2,34.1,38.0,48.4,45.3,,,35.6,38.0,48.4,51.9,55.4,51.7,46.0,44.9,44.8,86.1
Days Payable Outstanding,20.8,21.9,29.8,36.8,36.9,37.1,32.5,29.6,,,41.1,39.0,34.0,37.6,39.1,37.9,30.6,27.5,31.5,33.1
Cash Conversion Cycle,5.57,1.58,-5.47,-8.50,-5.24,9.68,11.5,25.3,,,-5.59,3.18,9.31,11.8,19.3,16.3,24.6,16.3,16.3,34.2
Debt to Asset Ratio,0.25,0.23,0.25,0.47,0.45,0.52,0.54,0.56,,,0.53,0.53,0.54,0.56,0.57,0.56,0.56,0.57,0.53,0.48
Debt to Equity Ratio,0.33,0.31,0.35,0.92,0.85,1.13,1.22,1.33,,,1.18,1.15,1.22,1.32,1.33,1.28,1.33,1.37,1.14,0.96
Interest Coverage Ratio,"7,991","14,209","2,937",42.5,21.0,9.06,0.90,,,,4.23,1.03,,,0.37,3.18,,,,4.58
Cash and Short Term Investments,"5,148","5,666","5,789","3,300","1,236","1,300","1,201","2,168",,,"1,458","1,331","1,201","1,568","1,797","1,930","2,168","2,023","2,400","1,586"
"Total Receivables, Net",921.1,"1,224","1,598","1,297","1,488","1,290","1,478","1,298",,,"1,133","1,155","1,478","1,496","1,518","1,392","1,298","1,224","1,146","2,178"
Total Inventory,4.06,1.48,4.68,8.73,7.17,4.74,5.13,4.44,,,5.11,5.24,5.13,6.93,8.72,7.74,4.44,5.26,5.94,4.29
Total Current Assets,"6,224","7,081","7,630","5,345","3,250","3,135","3,235","4,201",,,"3,589","3,398","3,235","3,546","3,929","4,065","4,201","3,841","4,183","4,349"
"Property/Plant/Equipment, Total - Net",258.2,268.8,316.8,543.4,800.4,"6,200","5,411","4,628",,,759.5,714.5,"5,411","5,219","5,023","4,822","4,628","4,447","2,666","1,755"
Total Assets,"9,849","10,774","12,196","16,745","14,958","14,931","14,331","14,320",,,"15,249","14,675","14,331","14,702","14,684","14,489","14,320","14,238","12,604","11,748"
Accounts Payable,357.7,468.8,764.1,985.2,"1,021",769.0,865.9,579.6,,,"1,024",842.7,865.9,"1,007",883.8,913.0,579.6,721.1,684.3,762.5
Accrued Expenses,584.8,730.4,783.2,786.4,"1,668","1,054",537.8,591.0,,,"1,125",943.8,537.8,965.0,565.5,423.4,591.0,538.0,658.8,455.9
Debt Due,7.84,0.75,211.0,160.7,216.6,"2,514",725.6,362.5,,,215.0,228.5,725.6,254.5,354.4,354.4,362.5,402.4,924.2,363.5
Total Current Liabilities,"2,046","2,062","2,607","3,692","3,461","5,082","2,451","2,274",,,"2,860","2,462","2,451","2,953","2,477","2,204","2,274","2,312","2,979","2,052"
Long Term Debt,,2.65,2.90,1.80,4.74,8.67,"4,676","5,192",,,"3,003","3,003","4,676","3,000","3,000","2,999","5,192","5,199","2,998","2,998"
