,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,1.95,1.99,1.88,2.12,1.50,1.73,1.76,1.60,,,1.71,1.92,1.89,1.74,1.67,1.63,1.64,1.65,1.60,1.54
Earnings per Share,0.17,0.29,0.16,0.061,0.054,0.18,0.26,0.20,,,0.092,0.068,0.065,0.031,0.049,0.051,0.065,0.029,0.006,0.023
Revenue per Share,1.84,2.30,2.01,2.02,2.16,2.47,2.59,2.04,,,0.68,0.66,0.76,0.47,0.53,0.51,0.53,0.40,0.32,0.38
Dividend per Share,0.050,0.10,0.020,0.050,0.050,0.12,0.12,,,,0.060,0.00,0.060,,0.040,0.00,,,,
Capital Expenditures per Share,0.015,0.006,0.061,0.15,0.026,0.011,0.003,0.033,,,0.001,0.000,0.001,0.001,0.000,0.020,0.013,0.002,0.004,0.002
Book Value per Share,2.84,3.09,3.15,3.19,3.19,3.26,3.40,3.50,,,3.33,3.33,3.40,3.43,3.42,3.43,3.50,3.52,3.53,3.55
Price to Earnings Ratio,8.27,8.55,8.39,33.7,22.2,8.87,7.08,8.21,,,7.26,7.39,7.08,6.42,7.52,8.18,8.21,8.25,10.5,12.2
Price to Book Value Ratio,0.45,0.76,0.43,0.53,0.41,0.45,0.52,0.46,,,0.48,0.53,0.52,0.45,0.48,0.46,0.46,0.46,0.44,0.43
EV to EBITDA,15.6,10.8,18.6,49.2,26.1,12.0,9.24,10.2,,,11.2,9.69,9.24,9.51,9.06,9.94,10.2,11.5,14.4,15.8
Dividend Payout Ratio,30.0%,34.5%,12.7%,81.9%,91.9%,67.8%,46.2%,,,,28.8%,0.0%,23.1%,,18.8%,0.0%,,,,
Common Shares Outstanding,"1,216","1,219","1,220","1,220","1,220","1,220","1,220","1,220",,,"1,220","1,220","1,220","1,220","1,220","1,220","1,220","1,220","1,220","1,220"
Total Revenue,"2,238","2,803","2,456","2,459","2,639","3,018","3,155","2,487",,,833.0,807.8,924.8,576.8,652.3,616.1,641.7,489.3,386.1,466.9
"Cost of Revenue, Total","1,403","1,795","1,645","1,750","1,854","2,132","2,217","1,691",,,603.4,557.7,644.9,402.3,445.7,419.8,423.6,333.8,272.0,310.8
Gross Profit,835.1,"1,007",810.8,708.5,785.5,886.1,937.5,795.5,,,229.6,250.1,279.9,174.6,206.6,196.3,218.0,155.5,114.2,156.0
"Selling/General/Administrative Expenses, Total",543.1,571.2,534.3,578.8,615.5,542.1,516.6,422.5,,,130.9,128.6,148.6,107.0,111.3,100.1,104.1,91.9,91.8,104.3
Operating Income,291.2,434.7,274.4,125.6,150.7,344.1,420.9,373.1,,,98.7,121.5,131.3,67.6,95.3,96.2,114.0,63.6,22.3,51.8
Net Income,203.0,354.4,191.8,74.5,66.4,215.9,317.0,239.3,,,111.9,82.8,78.8,38.3,59.7,61.7,79.6,35.5,7.04,27.5
EBITDA,302.4,443.6,281.8,135.7,201.4,395.8,475.0,429.4,,,111.8,134.5,146.2,81.1,108.3,109.0,130.9,76.7,35.6,65.1
Gross Profit Margin,37.3%,35.9%,33.0%,28.8%,29.8%,29.4%,29.7%,32.0%,,,27.6%,31.0%,30.3%,30.3%,31.7%,31.9%,34.0%,31.8%,29.6%,33.4%
Operating Margin,13.0%,15.5%,11.2%,5.1%,5.7%,11.4%,13.3%,15.0%,,,11.8%,15.0%,14.2%,11.7%,14.6%,15.6%,17.8%,13.0%,5.8%,11.1%
Net Profit Margin,9.1%,12.6%,7.8%,3.0%,2.5%,7.2%,10.0%,9.6%,,,13.4%,10.3%,8.5%,6.6%,9.2%,10.0%,12.4%,7.3%,1.8%,5.9%
Return on Assets,3.2%,5.0%,2.4%,0.8%,0.7%,2.3%,3.6%,2.8%,,,2.9%,3.7%,3.8%,3.8%,3.2%,2.9%,2.9%,2.7%,2.0%,1.6%
Return on Equity,5.9%,9.4%,5.0%,1.9%,1.7%,5.4%,7.6%,5.6%,,,2.8%,2.0%,1.9%,0.9%,1.4%,1.5%,1.9%,0.8%,0.2%,0.6%
Return on Total Capital,3.6%,6.7%,2.8%,1.0%,1.0%,3.3%,4.8%,3.6%,,,4.0%,4.8%,4.8%,4.8%,3.9%,3.6%,3.6%,3.3%,2.3%,2.1%
SG&A to Sale,24.3%,20.4%,21.8%,23.5%,23.3%,18.0%,16.4%,17.0%,,,15.7%,15.9%,16.1%,18.5%,17.1%,16.2%,16.2%,18.8%,23.8%,22.3%
Depreciation & Amortisation,11.2,8.85,7.41,10.1,50.7,51.7,54.1,56.3,,,13.1,13.0,15.0,13.5,13.0,12.8,17.0,13.1,13.2,13.4
Tax Rate,27.3%,18.4%,21.2%,28.7%,40.2%,24.0%,21.5%,24.4%,,,16.8%,23.7%,24.5%,25.3%,24.5%,22.8%,25.2%,25.5%,39.1%,29.6%
Current Ratio,4.39,3.04,3.25,2.52,2.64,2.71,3.17,3.38,,,2.90,3.49,3.17,3.46,3.78,3.45,3.38,3.68,4.02,3.39
Quick Ratio,0.017,0.036,0.007,0.020,0.034,0.007,0.010,0.017,,,0.005,0.009,0.010,0.010,0.014,0.010,0.017,0.016,0.015,0.013
Days Inventory Outstanding,"1,237","1,105","1,336","1,470","1,393","1,082",871.1,"1,031",,,999.3,916.1,819.2,782.6,844.2,912.2,"1,052","1,169","1,435","1,610"
Days Sale Outstanding,2.11,2.40,2.49,9.73,13.0,2.03,1.89,3.97,,,1.22,1.71,1.89,1.72,2.48,2.13,3.97,3.86,4.46,4.27
Days Payable Outstanding,50.1,25.9,34.5,53.4,51.5,31.6,19.3,15.4,,,19.8,12.0,12.0,11.5,15.0,20.7,19.8,21.9,30.1,26.8
Cash Conversion Cycle,"1,203","1,084","1,295","1,410","1,363","1,062",860.9,"1,020",,,989.1,905.2,808.9,773.5,828.1,892.9,"1,040","1,144","1,411","1,591"
Debt to Asset Ratio,0.51,0.48,0.58,0.63,0.60,0.56,0.51,0.49,,,0.53,0.51,0.51,0.48,0.49,0.50,0.49,0.52,0.56,0.53
Debt to Equity Ratio,1.04,0.91,1.36,1.68,1.53,1.27,1.03,0.98,,,1.11,1.06,1.03,0.94,0.97,0.98,0.98,1.07,1.28,1.12
Interest Coverage Ratio,10.1,25.4,13.1,3.62,2.68,5.32,5.21,5.14,,,6.56,7.80,3.72,3.66,5.22,5.45,6.24,3.67,1.26,2.72
Cash and Short Term Investments,111.5,202.9,323.9,392.0,477.2,434.8,468.6,196.3,,,362.0,414.0,468.6,146.8,324.1,146.2,196.3,186.3,793.2,138.6
"Total Receivables, Net",13.0,18.4,16.8,65.6,94.3,16.8,16.3,27.0,,,9.75,14.4,16.3,14.8,20.1,16.2,27.0,25.4,26.1,23.2
Total Inventory,"5,513","5,360","6,688","7,407","6,743","5,904","4,678","4,881",,,"5,532","5,274","4,678","4,791","4,694","4,866","4,881","5,511","5,885","5,937"
Total Current Assets,"5,697","5,723","7,440","8,136","7,376","6,510","5,325","5,423",,,"6,071","5,911","5,325","5,100","5,256","5,332","5,423","5,921","6,812","6,194"
"Property/Plant/Equipment, Total - Net",33.4,30.5,93.9,264.8,265.1,252.4,228.6,239.3,,,238.1,223.9,228.6,221.1,211.2,228.5,239.3,233.2,230.3,224.1
Total Assets,"7,028","7,203","9,076","10,435","9,842","9,035","8,431","8,422",,,"8,551","8,374","8,431","8,098","8,220","8,304","8,422","8,908","9,826","9,205"
Accounts Payable,141.3,113.3,197.4,314.7,208.0,161.5,73.4,69.2,,,69.2,72.9,73.4,65.8,102.6,114.0,69.2,125.7,113.0,84.1
Accrued Expenses,66.8,80.2,81.9,80.8,48.0,95.9,107.1,73.3,,,81.8,85.6,107.1,79.6,82.5,77.6,73.3,84.4,71.3,76.9
Debt Due,897.5,"1,528","1,805","2,590","2,294","1,904","1,291","1,266",,,"1,732","1,343","1,291","1,128","1,016","1,173","1,266","1,200","1,337","1,497"
Total Current Liabilities,"1,298","1,881","2,292","3,231","2,794","2,403","1,679","1,607",,,"2,093","1,696","1,679","1,472","1,391","1,546","1,607","1,607","1,693","1,826"
Long Term Debt,"2,251","1,530","2,901","3,235","3,075","2,570","2,509","2,441",,,"2,309","2,517","2,509","2,341","2,559","2,470","2,441","2,889","3,712","2,929"
Total Liabilities,"3,577","3,438","5,237","6,545","5,948","5,058","4,284","4,158",,,"4,492","4,305","4,284","3,913","4,048","4,120","4,158","4,609","5,519","4,868"
Common Stock,"1,216","1,219","1,220","1,220","1,220","1,220","1,220","1,220",,,"1,220","1,220","1,220","1,220","1,220","1,220","1,220","1,220","1,220","1,220"
Additional Paid-In Capital,440.2,442.8,443.3,443.3,443.3,443.3,451.5,451.5,,,443.3,443.3,451.5,451.5,451.5,451.5,451.5,451.5,451.5,451.5
Retained Earnings (Accumulated Deficit),"1,796","2,098","2,168","2,218","2,223","2,305","2,475","2,593",,,"2,387","2,397","2,475","2,514","2,500","2,513","2,593","2,628","2,635","2,666"
Shareholders' Equity,"3,452","3,765","3,839","3,890","3,895","3,977","4,147","4,264",,,"4,059","4,068","4,147","4,185","4,172","4,185","4,264","4,300","4,307","4,337"
Cash from Operating Activities,"-1,592",331.4,"-1,117",-332.7,683.4,"1,013",864.6,-4.93,,,325.1,307.8,111.9,10.6,138.6,-173.0,19.0,-389.0,-317.5,-30.2
Cash from Investing Activities,201.3,-49.3,-195.5,-695.7,-81.3,-25.7,5.03,-51.7,,,-9.81,-1.50,17.2,-0.80,4.14,-24.4,-30.6,-2.84,-35.1,-1.87
