,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,12.4,9.83,8.73,7.73,8.18,,,8.60,8.60,8.00,7.68,7.88,7.55,7.38,8.15,8.55,7.88
Earnings per Share,0.017,0.13,0.21,0.35,0.59,0.69,0.64,0.72,,,0.15,0.16,0.17,0.18,0.16,0.19,0.19,0.22,0.21,0.22
Revenue per Share,,0.56,1.01,1.30,1.63,1.88,2.16,2.51,,,0.53,0.55,0.58,0.59,0.61,0.64,0.67,0.69,0.70,0.74
Dividend per Share,0.00,0.00,0.00,0.15,0.27,0.34,0.32,0.36,,,0.11,0.00,0.21,,0.12,0.00,0.24,,0.15,0.00
Capital Expenditures per Share,0.056,0.051,0.016,0.015,0.020,0.016,0.020,0.006,,,0.003,0.005,0.004,0.001,0.001,0.003,0.002,0.001,0.008,0.001
Book Value per Share,0.75,0.91,1.37,1.72,2.81,3.11,3.42,3.81,,,3.20,3.24,3.42,3.60,3.55,3.61,3.81,4.02,3.99,4.06
Price to Earnings Ratio,,,,36.8,16.3,12.8,12.0,10.2,,,12.1,12.4,12.0,11.3,11.0,10.8,10.1,10.2,10.4,8.86
Price to Book Value Ratio,,,,5.87,3.49,2.83,2.22,1.93,,,2.50,2.47,2.22,2.04,2.13,1.90,1.93,2.03,2.04,1.82
EV to EBITDA,,,0.00,0.00,13.7,12.7,12.1,10.7,,,13.5,12.9,12.1,11.0,11.5,11.8,10.7,10.4,10.6,10.3
Dividend Payout Ratio,0.0%,0.0%,0.0%,42.5%,46.1%,49.5%,49.6%,50.2%,,,16.5%,0.0%,32.4%,,17.9%,0.0%,33.3%,,18.5%,0.0%
Common Shares Outstanding,613.0,613.0,613.0,613.0,613.0,613.0,613.0,613.0,,,613.0,613.0,613.0,613.0,613.0,613.0,613.0,613.0,613.0,613.0
Total Revenue,73.3,240.8,430.8,585.3,792.8,896.8,958.1,"1,103",,,230.7,243.5,259.2,271.3,256.5,282.8,292.3,307.3,303.2,317.5
"Cost of Revenue, Total",40.6,90.7,172.3,181.2,214.0,222.4,296.3,323.5,,,81.7,76.8,75.8,84.2,79.2,79.1,81.0,83.3,89.8,88.2
Gross Profit,0.00,235.9,423.2,576.5,774.7,885.3,945.0,"1,084",,,227.6,239.6,255.6,267.3,252.7,276.7,287.4,300.8,297.7,310.0
"Selling/General/Administrative Expenses, Total",0.00,90.7,172.3,181.2,214.0,222.4,296.3,323.5,,,81.7,76.8,75.8,84.2,79.2,79.1,81.0,83.3,89.8,88.2
Operating Income,18.3,98.7,149.3,266.2,441.2,526.7,493.9,549.8,,,111.2,122.0,133.2,140.4,119.1,142.2,148.0,168.7,159.7,165.7
Net Income,10.7,75.1,116.3,213.0,353.0,421.4,395.3,439.3,,,89.0,97.7,106.6,112.3,95.3,113.8,117.8,135.0,127.6,132.5
EBITDA,19.7,103.2,154.9,273.2,448.3,532.9,500.0,555.9,,,112.8,123.5,134.7,142.0,120.6,143.7,149.6,170.2,161.8,167.4
Gross Profit Margin,0.0%,68.7%,68.2%,72.4%,77.7%,76.8%,71.3%,70.4%,,,70.2%,71.0%,72.3%,73.5%,67.7%,70.4%,70.0%,71.5%,69.1%,68.7%
Operating Margin,25.0%,28.7%,24.1%,33.5%,44.2%,45.7%,37.3%,35.7%,,,34.3%,36.1%,37.7%,38.6%,31.9%,36.2%,36.0%,40.1%,37.1%,36.7%
Net Profit Margin,14.6%,31.2%,27.0%,36.4%,44.5%,47.0%,41.3%,39.8%,,,38.6%,40.1%,41.1%,41.4%,37.2%,40.3%,40.3%,43.9%,42.1%,41.7%
Return on Assets,1.5%,6.1%,5.4%,7.6%,10.5%,10.6%,8.5%,8.1%,,,9.0%,8.5%,8.1%,7.9%,7.7%,7.7%,7.6%,7.8%,8.0%,8.0%
Return on Equity,2.3%,13.4%,13.8%,20.2%,20.5%,22.1%,18.9%,18.8%,,,4.5%,4.9%,5.1%,5.1%,4.4%,5.1%,5.0%,5.5%,5.2%,5.3%
Return on Total Capital,1.8%,6.7%,7.8%,11.5%,16.7%,13.9%,13.1%,13.4%,,,12.7%,13.9%,13.1%,13.2%,13.3%,12.8%,13.4%,13.5%,13.7%,13.9%
SG&A to Sale,0.0%,26.4%,27.8%,22.8%,21.5%,19.3%,22.3%,21.0%,,,25.2%,22.7%,21.5%,23.1%,21.2%,20.1%,19.7%,19.8%,20.9%,19.5%
Depreciation & Amortisation,1.38,4.47,5.69,7.01,7.16,6.20,6.07,6.10,,,1.53,1.53,1.50,1.55,1.50,1.51,1.55,1.52,2.13,1.69
Tax Rate,28.1%,23.9%,22.1%,20.0%,20.0%,20.0%,20.0%,20.1%,,,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,20.4%,20.0%,20.1%,20.0%
Current Ratio,2.84,2.62,2.35,2.40,2.28,3.30,2.40,2.19,,,3.11,2.39,2.40,2.31,2.21,2.35,2.19,2.22,2.25,2.21
Quick Ratio,2.66,2.53,2.26,2.31,2.21,3.22,2.33,2.13,,,3.02,2.33,2.33,2.26,2.15,2.29,2.13,2.16,2.20,2.15
Days Inventory Outstanding,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Days Sale Outstanding,,"1,708","1,365","1,311","1,233","1,260","1,277","1,290",,,"1,259","1,263","1,277","1,283","1,296","1,295","1,290","1,294","1,294","1,299"
Days Payable Outstanding,4.95,3.98,16.8,17.2,4.91,10.4,23.2,42.4,,,61.3,69.3,54.0,57.5,74.3,68.4,62.0,77.9,97.7,82.5
Cash Conversion Cycle,-4.95,1.93,-21.3,5.94,7.14,4.55,-12.5,-34.0,,,-40.6,-54.4,-13.6,-63.4,-46.9,-53.0,-33.6,-83.9,-78.7,-54.5
Debt to Asset Ratio,0.34,0.68,0.67,0.66,0.53,0.55,0.58,0.60,,,0.58,0.59,0.58,0.58,0.60,0.61,0.60,0.59,0.61,0.62
Debt to Equity Ratio,0.53,2.13,2.00,1.94,1.12,1.24,1.39,1.51,,,1.35,1.41,1.39,1.37,1.51,1.56,1.51,1.46,1.57,1.63
Interest Coverage Ratio,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,30.0,25.0,41.1,35.0,41.3,4.95,21.3,23.7,,,14.8,8.06,21.3,14.5,12.9,24.1,23.7,24.8,29.4,34.9
