,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,16.0,10.9,9.93,9.70,10.8,12.0,8.28,7.23,,,12.0,11.2,9.73,9.13,8.93,8.15,7.98,7.50,7.43,6.90
Earnings per Share,1.03,1.09,-0.028,0.64,0.64,0.57,-0.031,-0.24,,,0.081,0.022,-0.23,-0.13,-0.042,-0.073,0.005,0.062,-0.042,0.094
Revenue per Share,23.2,24.0,21.0,18.5,18.6,21.2,20.6,18.8,,,5.44,5.17,4.80,4.63,4.42,4.89,4.85,5.22,4.94,6.06
Dividend per Share,0.57,0.52,0.35,0.27,0.43,0.30,0.37,0.37,,,,,0.37,,,,0.37,,,
Capital Expenditures per Share,0.41,0.54,0.70,0.35,1.26,1.58,2.10,2.37,,,0.76,0.33,0.68,0.40,0.40,0.61,0.96,0.30,0.15,0.12
Book Value per Share,5.82,6.40,5.86,6.15,6.64,6.72,6.40,6.06,,,6.60,6.62,6.40,6.27,6.12,6.05,6.06,6.12,5.73,5.82
Price to Earnings Ratio,11.2,10.9,,14.3,14.4,19.4,,,,,20.8,35.3,,,,,,,,49.9
Price to Book Value Ratio,2.15,1.77,1.69,1.46,1.36,1.62,1.34,1.11,,,1.65,1.42,1.34,1.36,1.36,1.16,1.11,1.28,1.17,1.07
EV to EBITDA,4.03,6.21,23.2,6.65,5.45,5.49,8.72,11.0,,,6.06,8.23,8.72,11.8,14.8,15.6,11.0,7.32,7.33,5.95
Dividend Payout Ratio,55.1%,47.9%,-1240.0%,42.3%,67.5%,52.4%,-1195.5%,-154.2%,,,,,-1195.4%,,,,-154.2%,,,
Common Shares Outstanding,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,,,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0
Total Revenue,"6,267","6,472","5,671","4,982","5,016","5,721","5,556","5,073",,,"1,468","1,396","1,297","1,250","1,193","1,321","1,308","1,410","1,335","1,635"
