,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,1.60,2.25,1.68,1.72,1.42,1.96,1.76,1.18,,,1.95,2.30,2.05,1.62,1.44,1.36,1.28,1.20,1.19,1.11
Earnings per Share,0.14,0.087,0.064,0.066,0.13,0.077,0.20,0.12,,,0.051,0.049,0.067,0.034,0.041,0.046,0.000,0.038,0.035,0.034
Revenue per Share,9.59,10.2,7.40,6.57,7.06,6.93,9.15,8.22,,,2.30,2.40,2.09,2.22,2.39,2.00,1.60,2.20,2.03,2.10
Dividend per Share,0.053,0.019,0.012,0.013,0.056,0.014,0.046,0.030,,,,,0.046,,,,0.030,,,
Capital Expenditures per Share,0.017,0.020,0.028,0.009,0.032,0.009,0.023,0.012,,,0.001,0.014,0.004,0.002,0.000,0.007,0.002,0.044,0.033,-0.001
Book Value per Share,1.71,1.79,1.84,1.89,2.01,2.04,2.23,2.30,,,2.11,2.15,2.23,2.26,2.26,2.30,2.30,2.34,2.35,2.38
Price to Earnings Ratio,8.95,22.9,17.7,27.0,11.0,17.7,10.1,9.93,,,18.3,15.4,10.1,7.71,7.36,6.66,9.95,8.90,9.40,9.54
Price to Book Value Ratio,0.73,1.64,0.65,0.83,0.72,0.67,0.76,0.51,,,0.93,0.91,0.76,0.53,0.62,0.52,0.51,0.50,0.46,0.42
EV to EBITDA,13.2,19.9,14.1,-57.6,44.2,-84.1,410.4,13.9,,,26.4,22.4,410.4,"8,238",-194.1,-168.0,13.9,15.1,15.1,11.8
Dividend Payout Ratio,38.6%,21.9%,18.8%,19.8%,42.6%,18.2%,23.1%,24.8%,,,,,23.1%,,,,24.9%,,,
Common Shares Outstanding,947.0,947.0,947.0,947.0,947.0,947.0,947.0,947.0,,,947.0,947.0,947.0,947.0,947.0,947.0,947.0,947.0,947.0,947.0
Total Revenue,"9,080","9,693","7,009","6,220","6,686","6,564","8,666","7,783",,,"2,178","2,276","1,978","2,104","2,267","1,892","1,517","2,086","1,923","1,986"
"Cost of Revenue, Total","7,940","8,623","6,000","5,456","5,865","5,808","7,818","6,881",,,"1,931","2,022","1,910","1,890","2,033","1,651","1,302","1,849","1,679","1,759"
Gross Profit,"1,140","1,070","1,009",763.8,821.9,756.2,847.6,901.9,,,246.6,253.4,68.1,213.2,233.6,240.2,214.7,237.4,244.4,226.9
"Selling/General/Administrative Expenses, Total",920.4,899.8,856.0,827.8,797.1,807.6,858.2,762.2,,,192.6,206.2,224.4,177.9,197.3,191.2,195.7,196.3,200.3,181.8
Operating Income,219.4,169.9,153.3,-64.0,24.8,-51.4,-10.6,139.7,,,53.9,47.2,-156.3,35.3,36.3,49.1,19.0,41.1,44.0,45.2
Net Income,124.4,82.0,60.5,62.3,124.5,72.7,188.7,114.4,,,48.6,46.5,63.1,32.3,38.4,43.9,-0.29,36.2,33.2,32.3
EBITDA,256.3,202.9,182.4,-39.8,46.5,-29.0,8.51,157.1,,,59.7,55.3,-156.8,42.3,43.0,55.9,23.3,44.9,49.8,51.3
Gross Profit Margin,12.6%,11.0%,14.4%,12.3%,12.3%,11.5%,9.8%,11.6%,,,11.3%,11.1%,3.4%,10.1%,10.3%,12.7%,14.2%,11.4%,12.7%,11.4%
Operating Margin,2.4%,1.8%,2.2%,-1.0%,0.4%,-0.8%,-0.1%,1.8%,,,2.5%,2.1%,-7.9%,1.7%,1.6%,2.6%,1.3%,2.0%,2.3%,2.3%
Net Profit Margin,1.4%,0.8%,0.9%,1.0%,1.9%,1.1%,2.2%,1.5%,,,2.2%,2.0%,3.2%,1.5%,1.7%,2.3%,0.0%,1.7%,1.7%,1.6%
Return on Assets,2.5%,1.4%,1.1%,1.4%,3.0%,1.5%,3.3%,1.9%,,,1.8%,2.0%,2.9%,3.0%,2.9%,2.9%,2.0%,2.1%,1.9%,1.8%
Return on Equity,7.7%,4.8%,3.5%,3.5%,6.5%,3.8%,8.9%,5.2%,,,2.4%,2.3%,3.0%,1.5%,1.8%,2.0%,0.0%,1.6%,1.5%,1.4%
Return on Total Capital,7.6%,4.8%,3.4%,3.4%,6.5%,3.8%,8.9%,5.2%,,,5.4%,6.2%,8.9%,8.9%,8.4%,8.1%,5.2%,5.3%,5.1%,4.5%
SG&A to Sale,10.1%,9.3%,12.2%,13.3%,11.9%,12.3%,9.9%,9.8%,,,8.8%,9.1%,11.3%,8.5%,8.7%,10.1%,12.9%,9.4%,10.4%,9.2%
Depreciation & Amortisation,36.9,32.9,29.1,24.1,21.8,22.5,19.1,17.5,,,5.73,8.05,-0.47,6.95,6.69,6.81,4.32,3.80,5.77,6.12
Tax Rate,35.6%,23.3%,31.6%,22.5%,17.4%,17.8%,17.9%,22.6%,,,15.2%,10.2%,12.9%,21.3%,11.0%,18.8%,101.5%,16.2%,18.4%,29.8%
Current Ratio,1.23,1.21,1.28,1.47,1.41,1.27,1.15,1.17,,,1.14,1.14,1.15,1.13,1.13,1.15,1.17,1.18,1.20,1.24
Quick Ratio,0.73,0.71,0.84,0.99,0.87,0.74,0.71,0.65,,,0.75,0.74,0.71,0.71,0.79,0.81,0.65,0.79,0.82,0.81
Days Inventory Outstanding,67.4,71.7,84.0,60.6,58.3,77.0,60.4,61.1,,,70.0,72.3,64.9,61.0,53.8,46.7,52.7,53.6,54.4,53.4
Days Sale Outstanding,114.2,108.7,131.9,111.0,115.1,129.5,124.4,106.3,,,151.8,148.1,124.4,126.8,136.4,135.1,106.4,130.6,149.9,126.6
Days Payable Outstanding,38.2,39.0,44.4,37.0,40.4,47.6,39.2,46.2,,,45.2,49.7,48.4,44.5,36.2,35.5,41.6,46.4,52.4,51.4
Cash Conversion Cycle,125.4,146.6,190.3,159.5,117.5,157.1,126.0,147.1,,,171.9,167.7,151.6,144.1,154.0,146.1,141.1,124.3,152.9,141.9
Debt to Asset Ratio,0.71,0.71,0.64,0.53,0.57,0.63,0.67,0.62,,,0.69,0.69,0.67,0.66,0.66,0.64,0.62,0.62,0.63,0.59
