,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,1.49,1.42,1.82,2.96,2.58,2.43,2.02,1.80,,,2.32,2.26,2.04,1.94,1.91,2.02,2.12,2.03,1.77,1.48
Earnings per Share,0.49,0.014,0.030,0.068,-0.063,0.026,-0.063,0.016,,,-0.033,-0.023,-0.018,-0.002,-0.008,0.009,0.018,0.028,0.011,0.020
Revenue per Share,1.30,1.40,1.43,1.51,1.45,1.53,1.53,1.90,,,0.38,0.39,0.36,0.43,0.44,0.47,0.52,0.50,0.53,0.47
Dividend per Share,0.015,0.010,0.015,0.020,0.020,0.020,0.020,0.020,,,,,0.020,,,,0.020,,0.030,0.00
Capital Expenditures per Share,0.15,0.15,0.34,0.93,0.39,0.40,0.38,0.38,,,0.10,0.085,0.066,0.12,0.053,0.097,0.11,0.14,0.080,0.12
Book Value per Share,3.07,2.95,2.89,2.89,2.80,1.84,2.25,2.25,,,2.29,2.27,2.25,2.25,2.22,2.23,2.25,2.28,2.27,2.29
Price to Earnings Ratio,3.32,102.8,36.2,49.5,,93.8,,130.7,,,,,,,,,130.6,42.8,24.9,16.7
Price to Book Value Ratio,0.46,0.54,0.38,0.99,0.96,1.42,0.76,0.92,,,0.98,0.90,0.76,0.75,0.83,0.89,0.92,0.88,0.67,0.61
EV to EBITDA,6.69,15.9,9.58,25.1,24.9,25.5,26.8,14.6,,,28.5,26.9,26.8,23.8,19.4,16.4,14.6,12.4,11.7,9.75
Dividend Payout Ratio,3.1%,69.4%,49.4%,29.3%,-31.8%,77.5%,-31.7%,123.3%,,,,,-31.7%,,,,123.2%,,45.5%,0.0%
Common Shares Outstanding,"19,970","19,970","19,968","19,968","19,968","19,968","19,968","19,332",,,"19,968","19,968","19,968","19,968","19,968","19,968","19,332","19,185","19,181","19,181"
Total Revenue,"25,899","27,904","28,593","30,072","28,925","30,607","30,617","36,764",,,"7,594","7,696","7,110","8,518","8,824","9,408","10,014","9,646","10,082","9,021"
"Cost of Revenue, Total","18,052","22,606","22,911","24,053","24,949","24,380","24,602","28,115",,,"6,224","6,144","5,734","6,728","6,729","7,098","7,560","7,062","7,498","6,523"
Gross Profit,"7,846","5,298","5,682","6,019","3,976","6,227","6,015","8,649",,,"1,370","1,552","1,377","1,791","2,095","2,311","2,454","2,584","2,584","2,498"
"Selling/General/Administrative Expenses, Total","4,284","5,248","4,520","5,006","5,006","5,299","5,703","5,868",,,"1,475","1,442","1,355","1,403","1,432","1,535","1,498","1,462","1,710","1,376"
Operating Income,"3,675",473.9,"1,451","1,188",-881.3,"1,056",420.4,"2,868",,,-104.9,109.7,130.6,387.9,662.3,775.3,"1,043","1,122",874.2,"1,122"
Net Income,"9,751",287.6,606.0,"1,364","-1,257",515.0,"-1,260",323.8,,,-653.0,-466.1,-351.9,-49.5,-167.8,178.1,363.0,529.6,215.1,389.4
EBITDA,"5,414","2,447","3,307","3,133","3,220","3,529","3,032","5,644",,,542.5,774.9,788.1,"1,050","1,348","1,486","1,760","1,887","1,665","1,939"
Gross Profit Margin,30.3%,19.0%,19.9%,20.0%,13.7%,20.3%,19.6%,23.5%,,,18.0%,20.2%,19.4%,21.0%,23.7%,24.6%,24.5%,26.8%,25.6%,27.7%
Operating Margin,14.2%,1.7%,5.1%,4.0%,-3.0%,3.5%,1.4%,7.8%,,,-1.4%,1.4%,1.8%,4.6%,7.5%,8.2%,10.4%,11.6%,8.7%,12.4%
Net Profit Margin,37.7%,1.0%,2.1%,4.5%,-4.3%,1.7%,-4.1%,0.9%,,,-8.6%,-6.1%,-4.9%,-0.6%,-1.9%,1.9%,3.6%,5.5%,2.1%,4.3%
Return on Assets,13.7%,0.4%,0.8%,1.5%,-1.2%,0.5%,-1.3%,0.3%,,,-0.3%,-1.0%,-1.2%,-1.5%,-1.0%,-0.4%,0.3%,0.8%,1.2%,1.3%
Return on Equity,15.9%,0.5%,1.1%,2.4%,-2.2%,1.4%,-2.8%,0.7%,,,-1.4%,-1.0%,-0.8%,-0.1%,-0.4%,0.4%,0.8%,1.2%,0.5%,0.9%
Return on Total Capital,15.3%,0.5%,0.9%,1.7%,-1.4%,0.7%,-1.6%,0.4%,,,-0.5%,-1.2%,-1.6%,-2.0%,-1.3%,-0.5%,0.4%,1.1%,1.6%,1.7%
SG&A to Sale,16.5%,18.8%,15.8%,16.6%,17.3%,17.3%,18.6%,16.0%,,,19.4%,18.7%,19.1%,16.5%,16.2%,16.3%,15.0%,15.2%,17.0%,15.3%
Depreciation & Amortisation,"1,739","1,973","1,856","1,945","4,101","2,473","2,612","2,776",,,647.4,665.3,657.4,661.8,685.6,711.0,717.7,765.0,791.2,816.7
Tax Rate,8.8%,21.3%,20.8%,21.5%,26.9%,-143.0%,25.7%,13.3%,,,34.9%,-13.5%,-31.1%,30.5%,33.5%,6.8%,6.7%,3.6%,-10.4%,-3.8%
Current Ratio,1.59,1.31,1.27,1.22,1.45,1.15,1.49,1.48,,,1.85,1.64,1.49,1.21,1.66,1.29,1.48,1.51,1.46,1.64
Quick Ratio,0.32,0.34,0.32,0.28,0.33,0.22,0.30,0.34,,,0.73,0.58,0.30,0.22,0.51,0.27,0.34,0.34,0.33,0.31
Days Inventory Outstanding,137.8,121.6,123.4,133.1,148.0,169.9,184.4,178.3,,,169.0,179.7,189.9,196.9,203.3,203.9,189.1,182.9,175.2,181.6
Days Sale Outstanding,30.2,36.3,40.3,37.6,39.8,43.8,45.5,50.6,,,41.4,45.3,45.5,49.9,52.1,53.5,50.6,51.6,50.9,49.6
Days Payable Outstanding,41.5,37.1,48.1,47.4,38.8,35.5,37.3,37.8,,,40.0,42.7,42.1,44.3,47.5,44.6,39.1,40.6,37.9,35.1
Cash Conversion Cycle,126.9,112.5,106.4,129.4,151.3,177.7,187.6,184.1,,,168.5,181.6,194.1,197.7,205.1,214.0,200.7,191.2,191.9,197.4
Debt to Asset Ratio,0.14,0.23,0.30,0.42,0.48,0.60,0.50,0.54,,,0.49,0.49,0.50,0.49,0.52,0.51,0.54,0.53,0.53,0.54
Debt to Equity Ratio,0.17,0.30,0.43,0.73,0.92,1.52,1.14,1.37,,,1.10,1.10,1.14,1.13,1.27,1.19,1.37,1.32,1.31,1.41
Interest Coverage Ratio,15.7,2.16,5.76,2.58,,0.64,0.26,1.67,,,,0.27,0.33,0.97,1.51,1.79,2.35,2.35,1.86,2.13
Cash and Short Term Investments,568.0,517.0,844.9,762.1,"2,376","3,541","6,709","8,627",,,"9,431","7,130","6,709","4,972","8,355","3,839","8,627","5,641","4,552","7,527"
"Total Receivables, Net","2,145","2,774","3,157","3,097","3,152","3,676","3,815","5,095",,,"3,466","3,841","3,815","4,227","4,591","4,965","5,095","5,359","5,462","5,272"
Total Inventory,"7,842","7,220","8,274","9,268","10,969","11,724","13,133","14,334",,,"12,198","12,463","13,133","13,652","14,576","14,797","14,334","14,179","13,876","14,634"
Total Current Assets,"10,773","10,838","12,601","13,515","16,953","19,549","24,195","28,391",,,"25,641","23,967","24,195","23,235","27,934","24,052","28,391","25,527","24,255","27,776"
"Property/Plant/Equipment, Total - Net","58,300","63,274","67,012","82,368","85,848","69,833","76,551","79,456",,,"74,321","75,108","76,551","77,405","77,659","78,476","79,456","80,686","81,383","83,231"
Total Assets,"71,683","76,535","82,412","99,931","107,645","92,618","103,178","110,488",,,"103,048","101,986","103,178","102,976","107,929","104,936","110,488","108,951","108,616","113,953"
Accounts Payable,"2,035","2,562","3,471","2,777","2,524","2,214","2,818","3,002",,,"3,001","2,857","2,818","3,206","3,393","3,029","3,002","3,322","2,743","2,766"
Accrued Expenses,927.8,602.7,907.9,"1,035","1,214",992.9,996.0,"1,001",,,258.2,263.5,996.0,227.2,289.8,243.8,"1,001",312.8,289.9,427.8
Debt Due,"1,993","3,044","3,022","3,640","4,531","9,604","7,932","11,971",,,"5,045","6,390","7,932","11,407","8,773","11,268","11,971","10,046","10,228","10,264"
Total Current Liabilities,"6,780","8,261","9,924","11,118","11,671","17,069","16,217","19,220",,,"13,876","14,589","16,217","19,210","16,787","18,667","19,220","16,854","16,624","16,978"
Long Term Debt,"2,434","1,550","7,203","23,960","33,150","37,005","33,040","38,485",,,"34,412","33,158","33,040","29,657","37,609","32,477","38,485","38,689","38,111","42,599"
Total Liabilities,"10,317","17,523","24,699","42,146","51,679","55,864","51,092","59,551",,,"50,100","49,577","51,092","50,715","56,302","53,081","59,551","57,493","57,203","62,080"
Common Stock,"20,190","20,190","20,190","20,190","20,190","20,190","20,190","20,190",,,"20,190","20,190","20,190","20,190","20,190","20,190","20,190","20,190","20,190","19,181"
Additional Paid-In Capital,60.8,60.6,60.6,60.6,60.6,60.6,60.6,95.8,,,60.6,60.6,60.6,60.6,60.6,60.6,95.8,95.8,95.8,95.8
Retained Earnings (Accumulated Deficit),"14,889","14,691","14,990","16,696","16,528","16,694","15,037","14,929",,,"15,853","15,387","15,037","14,987","14,420","14,598","14,929","15,458","15,290","14,705"
Shareholders' Equity,"61,365","59,011","57,712","57,769","55,958","36,749","44,883","43,482",,,"45,698","45,232","44,883","44,833","44,262","44,441","43,482","43,711","43,543","43,926"
Cash from Operating Activities,"2,522","3,222","2,569","1,834","1,155","1,932","1,955","3,762",,,112.3,-23.5,-153.7,802.4,270.5,694.0,"1,995","1,892","1,861","1,711"
Cash from Investing Activities,"-2,895","-2,638","-6,678","-18,398","-8,389","-7,962","-11,055","-7,369",,,"-3,771",283.5,-298.6,"-1,275","-4,128","3,136","-5,102",-956.0,-171.2,"-2,139"
Cash from Financing Activities,-366.8,-583.9,"4,437","16,659","8,151","7,059","8,533","5,047",,,"-6,753",-626.8,907.8,-241.6,"4,136","-3,282","4,434","-2,322","-1,438","3,594"
Net Change in Cash,-740.4,0.12,327.9,101.4,933.0,"1,770",-546.6,"1,448",,,"-10,423",-340.5,455.0,-710.4,294.4,525.1,"1,338","-1,381",235.9,"3,174"
Free Cashflows,-481.0,236.1,"-4,247","-16,700","-6,537","-6,127","-5,569","-3,646",,,"-1,920","-1,729","-1,463","-1,522",-792.2,"-1,252",-79.3,-711.6,336.2,-637.7
Free Cashflow per Share,-0.024,0.012,-0.21,-0.84,-0.33,-0.31,-0.28,-0.19,,,-0.096,-0.087,-0.073,-0.076,-0.040,-0.063,-0.004,-0.037,0.018,-0.033
