,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,,,7.68,7.18,5.44,,,7.83,8.25,7.63,6.63,6.60,6.53,6.35,6.25,5.52,4.71
Earnings per Share,,0.14,0.047,0.054,0.14,0.22,0.33,0.44,,,0.084,0.071,0.071,0.090,0.11,0.12,0.12,0.12,0.15,0.13
Revenue per Share,,0.28,0.25,0.24,0.32,0.52,0.58,0.91,,,0.15,0.14,0.16,0.16,0.22,0.25,0.27,0.29,0.31,0.32
Dividend per Share,,0.00,0.00,0.00,0.30,0.19,0.30,0.40,,,0.10,0.060,0.040,0.10,0.10,0.10,0.10,,0.10,0.10
Capital Expenditures per Share,,0.057,0.10,0.40,0.36,0.64,0.59,0.59,,,0.15,0.15,0.093,0.22,0.083,0.13,0.16,0.24,0.13,0.16
Book Value per Share,,0.72,0.75,0.70,1.08,0.99,2.88,2.98,,,2.90,2.87,2.88,2.97,2.95,2.97,2.98,3.10,3.15,3.18
Price to Earnings Ratio,,,,,,,21.8,14.2,,,24.7,24.5,21.2,21.4,18.6,15.6,14.2,12.9,11.1,9.44
Price to Book Value Ratio,,,,,,,2.36,2.05,,,2.62,2.84,2.36,1.85,2.26,1.90,2.05,1.97,1.52,1.38
EV to EBITDA,,,,,0.00,0.00,23.1,13.1,,,22.5,22.9,23.1,19.4,15.6,13.4,13.1,11.7,10.9,8.12
Dividend Payout Ratio,,0.0%,0.0%,0.0%,214.3%,87.3%,90.2%,90.8%,,,33.6%,18.7%,11.7%,31.7%,28.9%,25.3%,22.7%,,19.9%,19.5%
Common Shares Outstanding,,"8,400","8,400","8,400","8,400","8,400","8,400","8,400",,,"8,400","8,400","8,400","8,400","8,400","8,400","8,400","8,400","8,400","8,400"
Total Revenue,,"2,332","2,117","1,985","2,675","4,402","4,865","7,620",,,"1,241","1,143","1,314","1,350","1,879","2,107","2,283","2,430","2,577","2,687"
"Cost of Revenue, Total",,"1,477","1,662","1,631","1,624","2,265","2,228","3,651",,,533.8,535.0,683.2,652.4,801.1,"1,047","1,151","1,337","1,245","1,438"
Gross Profit,,855.5,454.7,353.6,"1,051","2,137","2,637","3,968",,,707.3,608.2,630.8,697.9,"1,078","1,060","1,132","1,092","1,332","1,248"
"Selling/General/Administrative Expenses, Total",,114.2,116.6,105.5,102.2,190.6,252.6,385.3,,,49.7,77.2,77.8,79.0,55.5,88.5,162.3,122.6,140.1,112.1
Operating Income,,744.8,345.1,248.2,961.3,"1,947","2,385","3,651",,,657.6,530.9,553.0,618.9,"1,023",971.4,"1,038",969.5,"1,192","1,136"
Net Income,,742.4,329.4,284.8,"1,021","1,824","2,592","3,699",,,706.4,593.4,593.3,753.9,965.6,"1,005",974.3,982.9,"1,251","1,098"
EBITDA,,"1,003",629.4,625.6,"1,414","2,318","2,749","4,132",,,748.9,626.8,646.1,710.3,"1,145","1,100","1,177","1,148","1,396","1,350"
Gross Profit Margin,,36.7%,21.5%,17.8%,39.3%,48.5%,54.2%,52.1%,,,57.0%,53.2%,48.0%,51.7%,57.4%,50.3%,49.6%,45.0%,51.7%,46.5%
Operating Margin,,31.9%,16.3%,12.5%,35.9%,44.2%,49.0%,47.9%,,,53.0%,46.4%,42.1%,45.8%,54.4%,46.1%,45.4%,39.9%,46.2%,42.3%
Net Profit Margin,,31.8%,15.6%,14.3%,38.2%,41.4%,53.3%,48.5%,,,56.9%,51.9%,45.2%,55.8%,51.4%,47.7%,42.7%,40.5%,48.5%,40.9%
Return on Assets,,10.3%,4.3%,2.7%,7.9%,11.8%,11.3%,12.5%,,,7.2%,8.7%,9.4%,9.6%,10.5%,11.9%,12.4%,12.3%,13.0%,12.4%
Return on Equity,,12.3%,5.2%,4.9%,11.3%,21.9%,10.7%,14.8%,,,2.9%,2.5%,2.5%,3.0%,3.9%,4.0%,3.9%,3.8%,4.7%,4.1%
Return on Total Capital,,12.3%,4.7%,3.3%,9.6%,12.0%,10.7%,12.7%,,,8.6%,10.0%,10.7%,10.6%,11.7%,13.3%,12.7%,13.1%,13.8%,12.4%
SG&A to Sale,,4.9%,5.5%,5.3%,3.8%,4.3%,5.2%,5.1%,,,4.0%,6.8%,5.9%,5.8%,3.0%,4.2%,7.1%,5.0%,5.4%,4.2%
Depreciation & Amortisation,,257.3,283.2,376.2,387.1,371.1,364.4,481.1,,,91.4,95.8,92.8,91.5,121.8,128.5,139.4,178.3,204.9,214.3
Tax Rate,,-1.4%,-11.7%,4.5%,-11.5%,-0.4%,2.8%,4.2%,,,1.4%,4.2%,5.9%,7.5%,4.4%,3.2%,2.2%,3.0%,1.6%,2.0%
Current Ratio,,1.72,2.04,0.78,1.16,0.60,1.85,2.99,,,2.37,2.19,1.85,2.02,1.72,1.50,2.99,3.31,3.04,4.11
Quick Ratio,,1.34,1.65,0.33,0.87,0.31,0.61,1.24,,,1.75,1.81,0.61,0.40,0.53,0.53,1.24,1.18,1.17,1.13
Days Inventory Outstanding,,92.5,85.6,224.2,229.0,67.1,69.0,51.8,,,68.0,70.6,73.9,81.1,102.0,94.0,67.7,51.2,54.6,61.6
Days Sale Outstanding,,245.9,342.5,277.8,233.0,73.0,66.9,80.0,,,63.4,62.7,66.9,71.5,88.8,84.5,80.0,74.0,78.1,85.1
Days Payable Outstanding,,28.2,26.5,255.4,251.8,14.7,22.1,27.5,,,24.9,26.6,28.1,35.6,43.3,33.7,31.3,31.2,24.9,24.5
Cash Conversion Cycle,,310.2,364.4,63.4,433.1,159.6,107.0,75.5,,,102.8,104.1,109.7,104.2,131.9,145.7,106.9,92.7,106.0,112.1
Debt to Asset Ratio,,0.16,0.23,0.56,0.29,0.54,0.12,0.21,,,0.13,0.12,0.12,0.097,0.10,0.11,0.21,0.19,0.19,0.28
Debt to Equity Ratio,,0.20,0.29,1.27,0.40,1.18,0.14,0.26,,,0.14,0.13,0.14,0.11,0.11,0.13,0.26,0.23,0.23,0.39
