,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,0.44,0.67,0.39,0.67,0.58,0.33,0.41,0.36,,,0.25,0.22,0.31,0.36,0.42,0.45,0.41,0.38,0.36,0.31
Earnings per Share,-0.12,0.001,0.017,-0.014,0.005,-0.036,-0.009,0.013,,,-0.004,-0.001,-0.001,0.001,0.003,0.005,0.001,0.001,-0.002,0.000
Revenue per Share,0.18,0.094,0.070,0.040,0.065,0.024,0.11,0.28,,,0.017,0.025,0.058,0.11,0.077,0.067,0.021,0.023,0.034,0.032
Dividend per Share,,,,,,,,0.003,,,,,,,,,0.003,,,
Capital Expenditures per Share,0.007,0.013,0.008,0.025,0.006,0.003,0.001,0.001,,,0.001,0.001,-0.002,0.000,0.003,0.000,-0.003,0.000,0.000,0.000
Book Value per Share,-0.004,0.048,0.13,0.12,0.17,0.12,0.11,0.13,,,0.11,0.11,0.11,0.11,0.12,0.12,0.13,0.13,0.13,0.16
Price to Earnings Ratio,,740.0,18.2,,75.1,,,29.0,,,,,,,216.8,56.4,42.1,40.1,67.4,"1,485"
Price to Book Value Ratio,-23.2,17.9,2.44,3.23,3.67,2.90,2.97,2.79,,,1.95,1.81,2.97,2.38,4.05,3.08,2.79,2.84,2.43,1.81
EV to EBITDA,-2.82,83.9,14.2,-85.4,-82.4,-55.5,-46.4,74.0,,,-13.8,-20.0,-46.4,524.8,28.9,29.4,74.0,44.2,-429.0,-45.8
Dividend Payout Ratio,,,,,,,,26.0%,,,,,,,,,37.7%,,,
Common Shares Outstanding,"1,620","2,912","4,325","6,140","7,251","8,034","8,034","8,034",,,"8,034","8,034","8,034","8,034","8,034","8,034","8,034","8,034","8,234","9,634"
Total Revenue,294.3,275.1,303.7,245.1,469.9,195.1,854.7,"2,286",,,137.4,200.2,467.4,891.6,621.7,537.6,170.5,183.3,279.3,311.5
"Cost of Revenue, Total",346.8,176.7,171.1,215.1,349.7,213.3,850.8,"2,157",,,135.5,186.6,477.6,859.0,559.5,470.8,236.9,141.8,266.0,292.0
Gross Profit,-52.4,98.4,132.7,29.9,120.2,-18.2,3.89,129.2,,,1.90,13.6,-10.1,32.7,62.1,66.8,-66.3,41.6,13.4,19.5
"Selling/General/Administrative Expenses, Total",132.5,82.5,80.3,113.8,217.7,164.1,91.6,119.4,,,30.4,27.6,4.14,23.6,33.3,29.2,23.5,28.0,27.7,30.3
