,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,2.04,3.61,3.65,3.60,3.33,3.86,4.32,4.51,,,3.54,4.23,4.33,4.26,4.32,4.42,4.38,4.62,4.94,4.40
Earnings per Share,0.091,0.028,0.15,0.099,0.16,0.20,0.23,0.20,,,0.068,0.035,0.12,0.054,0.021,0.025,0.10,0.028,0.072,0.038
Revenue per Share,0.023,0.23,0.73,0.51,0.87,1.32,0.80,0.76,,,0.23,0.13,0.36,0.23,0.13,0.11,0.29,0.26,0.19,0.14
Dividend per Share,0.00,,,,,0.15,0.14,0.083,,,,0.049,0.091,,,,0.083,,,0.082
Capital Expenditures per Share,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Book Value per Share,0.094,0.30,0.43,0.46,1.30,1.50,1.76,1.90,,,1.42,1.47,1.76,1.82,1.75,1.79,1.90,1.87,1.94,2.04
Price to Earnings Ratio,,110.1,19.4,36.2,18.5,15.3,18.1,21.0,,,13.0,14.1,18.1,15.9,17.5,19.0,21.0,24.5,21.8,17.7
Price to Book Value Ratio,,9.41,6.91,6.78,2.40,2.10,2.12,2.22,,,2.50,2.72,2.12,2.01,2.49,2.39,2.22,2.54,2.45,1.90
EV to EBITDA,0.00,57.3,15.7,29.1,15.3,11.8,17.8,18.4,,,11.1,13.0,17.8,13.9,16.5,17.3,18.4,21.5,18.4,18.7
Dividend Payout Ratio,0.0%,,,,,75.9%,61.2%,41.6%,,,,17.7%,39.7%,,,,41.6%,,,34.2%
Common Shares Outstanding,"9,639","9,639","9,639","9,639","14,322","14,322","14,322","14,327",,,"14,322","14,322","14,322","14,326","14,326","14,334","14,327","14,391","14,334","14,709"
Total Revenue,221.0,"2,169","7,084","4,880","12,475","18,862","11,477","10,865",,,"3,257","1,813","5,179","3,331","1,857","1,582","4,158","3,688","2,765","2,077"
"Cost of Revenue, Total",43.3,"1,743","5,141","3,269","7,431","11,415","5,002","4,632",,,"1,249",691.7,"2,542","1,528",859.8,492.6,"1,751","2,614",881.0,916.3
Gross Profit,177.7,425.7,"1,943","1,611","5,044","7,447","6,476","6,233",,,"2,008","1,122","2,637","1,803",996.9,"1,090","2,407","1,074","1,884","1,160"
"Selling/General/Administrative Expenses, Total",31.0,68.1,131.8,283.3,"1,133","1,495","1,702","1,608",,,467.6,311.6,596.9,315.3,382.9,347.8,561.7,336.7,494.4,381.3
Operating Income,146.7,357.6,"1,812","1,328","3,911","5,952","4,773","4,625",,,"1,540",810.0,"2,040","1,488",614.0,741.9,"1,846",737.2,"1,390",779.0
Net Income,427.7,212.4,"1,464",978.6,"1,954","2,898","3,266","2,907",,,972.4,505.8,"1,707",779.9,303.0,363.0,"1,461",406.6,"1,052",569.6
EBITDA,174.1,468.7,"1,954","1,509","4,933","6,606","5,265","5,135",,,"1,672",930.5,"2,138","1,617",735.9,870.3,"1,976",863.3,"1,491",885.1
Gross Profit Margin,80.4%,19.6%,27.4%,33.0%,40.4%,39.5%,56.4%,57.4%,,,61.7%,61.9%,50.9%,54.1%,53.7%,68.9%,57.9%,29.1%,68.1%,55.9%
Operating Margin,66.4%,16.5%,25.6%,27.2%,31.4%,31.6%,41.6%,42.6%,,,47.3%,44.7%,39.4%,44.7%,33.1%,46.9%,44.4%,20.0%,50.3%,37.5%
Net Profit Margin,193.5%,9.8%,20.7%,20.1%,15.7%,15.4%,28.5%,26.8%,,,29.9%,27.9%,33.0%,23.4%,16.3%,22.9%,35.1%,11.0%,38.0%,27.4%
Return on Assets,14.4%,3.2%,15.1%,7.2%,4.1%,3.8%,4.4%,3.8%,,,4.7%,5.3%,4.4%,5.4%,4.4%,4.2%,3.8%,3.3%,4.2%,4.4%
Return on Equity,47.1%,7.4%,35.2%,21.8%,10.5%,13.5%,12.9%,10.7%,,,4.8%,2.4%,6.8%,3.0%,1.2%,1.4%,5.4%,1.5%,3.8%,1.9%
Return on Total Capital,19.1%,3.9%,17.5%,7.6%,3.9%,5.6%,6.0%,5.1%,,,6.9%,7.8%,6.0%,7.1%,5.9%,5.9%,5.1%,4.4%,6.1%,6.4%
SG&A to Sale,14.0%,3.1%,1.9%,5.8%,9.1%,7.9%,14.8%,14.8%,,,14.4%,17.2%,11.5%,9.5%,20.6%,22.0%,13.5%,9.1%,17.9%,18.4%
Depreciation & Amortisation,25.4,104.6,137.4,179.1,763.6,609.1,472.9,497.0,,,122.7,118.2,95.3,126.4,119.5,124.9,126.2,123.9,99.5,102.9
Tax Rate,0.6%,16.0%,14.5%,18.6%,3.9%,20.4%,6.2%,7.7%,,,5.2%,5.2%,8.6%,9.0%,7.0%,6.4%,7.5%,12.2%,2.4%,9.1%
Current Ratio,0.63,1.39,1.05,1.32,1.18,1.29,2.35,1.97,,,2.14,2.13,2.35,2.68,1.95,1.66,1.97,2.13,1.19,1.14
Quick Ratio,0.00,0.00,0.00,0.045,0.082,0.12,0.17,0.14,,,0.13,0.15,0.17,0.19,0.12,0.13,0.14,0.16,0.071,0.071
Days Inventory Outstanding,,,,,757.7,480.8,"1,036","1,068",,,454.0,437.4,"1,013",828.3,873.8,901.6,"1,055",855.8,843.1,770.3
Days Sale Outstanding,,,,9.76,50.5,35.9,43.7,42.0,,,24.7,26.1,43.7,36.7,35.4,40.0,41.8,46.2,34.8,33.2
Days Payable Outstanding,165.0,0.00,0.00,12.9,34.5,24.6,25.9,33.5,,,15.1,14.1,29.8,20.7,20.2,20.8,33.1,16.2,0.00,0.00
Cash Conversion Cycle,0.077,0.00,0.00,17.4,870.0,753.5,"1,343","1,323",,,686.4,693.1,"1,277","1,105","1,135","1,147","1,292","1,139","1,119","1,030"
Debt to Asset Ratio,0.83,0.65,0.62,0.72,0.73,0.71,0.61,0.60,,,0.64,0.63,0.61,0.60,0.63,0.61,0.60,0.60,0.61,0.58
Debt to Equity Ratio,4.72,1.87,1.66,2.56,3.08,2.46,1.79,1.74,,,2.35,2.22,1.79,1.71,1.93,1.78,1.74,1.67,1.75,1.55
Interest Coverage Ratio,1.71,2.40,9.90,4.52,1.83,2.57,3.11,4.24,,,3.68,1.99,7.95,4.75,1.82,2.53,12.5,2.65,4.99,5.28
Cash and Short Term Investments,29.3,978.7,319.8,377.4,"2,555","2,635","1,920","3,172",,,"3,631","1,758","1,920","2,930","2,950","1,375","3,172","2,439","3,824","2,962"
"Total Receivables, Net",,,,130.5,"1,724","1,853","1,374","1,250",,,"1,344","1,441","1,374","1,367","1,182","1,311","1,250","1,428","1,161","1,155"
Total Inventory,,,,,"15,425","14,648","13,740","13,364",,,"14,262","14,019","13,740","13,542","13,377","13,413","13,364","13,448","13,064","12,947"
Total Current Assets,"1,622","3,314","2,668","3,867","24,693","19,951","18,793","18,210",,,"22,304","20,263","18,793","19,425","18,658","17,190","18,210","18,578","19,603","18,620"
"Property/Plant/Equipment, Total - Net","3,142","3,963","6,211","8,025","18,357","14,748","13,712","14,556",,,"12,979","13,470","13,712","13,127","13,181","13,329","14,556","12,494","13,300","14,632"
Total Assets,"5,188","8,298","11,049","15,952","79,066","74,784","73,619","78,345",,,"74,564","74,147","73,619","74,320","76,705","74,783","78,345","75,115","80,002","80,382"
Accounts Payable,,,,231.1,"1,172",367.2,343.1,506.6,,,439.5,473.4,343.1,338.5,283.8,334.1,506.6,,,
Accrued Expenses,,,,229.4,759.0,605.0,543.4,461.2,,,492.6,361.5,543.4,461.3,409.3,375.5,461.2,,,
Debt Due,601.1,985.4,285.7,641.2,"16,622","11,991","4,843","6,121",,,"7,120","6,320","4,843","4,240","7,055","7,954","6,121","5,293","12,337","13,531"
Total Current Liabilities,"2,572","2,386","2,530","2,931","20,902","15,414","8,007","9,245",,,"10,446","9,507","8,007","7,250","9,563","10,370","9,245","8,724","16,417","16,368"
Long Term Debt,"1,336","2,604","4,197","8,366","31,005","30,004","29,556","30,259",,,"30,361","29,843","29,556","29,544","30,984","27,509","30,259","30,272","26,269","24,159"
Total Liabilities,"4,280","5,410","6,895","11,472","57,407","52,821","45,086","47,331",,,"47,979","46,724","45,086","44,640","48,319","45,618","47,331","44,795","48,740","46,719"
Common Stock,907.7,"2,887","4,154",963.9,"1,432","1,432","1,432","1,433",,,"1,432","1,432","1,432","1,433","1,433","1,433","1,433","1,439","1,439","1,471"
Additional Paid-In Capital,,,,"1,722","12,564","12,564","12,564","12,611",,,"12,564","12,564","12,564","12,580","12,580","12,611","12,611","12,839","12,839","14,107"
Retained Earnings (Accumulated Deficit),,,,"1,801","3,755","6,653","7,021","8,628",,,"5,506","6,012","7,021","7,801","6,804","7,167","8,628","7,326","7,179","7,749"
Shareholders' Equity,907.7,"2,887","4,154","4,480","18,656","21,429","25,244","27,226",,,"20,396","21,057","25,244","26,099","25,057","25,616","27,226","26,851","27,805","30,068"
Cash from Operating Activities,85.5,-89.8,165.5,-0.14,"4,510","-1,581","1,789",422.7,,,746.7,212.6,"1,306",-333.3,243.2,-62.5,575.2,-23.1,915.9,218.2
Cash from Investing Activities,"-1,639","-1,878","-1,705","-4,599","-33,584","10,168","2,144",354.4,,,-278.3,-810.3,"1,380","2,056","-2,887","1,139",47.0,109.2,"-2,036",-252.6
Cash from Financing Activities,"1,551","2,920",884.4,"4,651","31,266","-8,491","-4,625",477.5,,,465.7,"-1,285","-2,493",-700.7,"2,634","-2,627","1,171",-807.3,"2,516",-825.7
