Date,Open,High,Low,Close,Volume,Adj Close,Return
2009-12-30,0.62,0.63,0.6,0.61,48791800.0,0.4462,
2010-01-04,0.61,0.61,0.58,0.59,63181700.0,0.4316,-0.032721
2010-01-05,0.6,0.61,0.59,0.6,31118100.0,0.4389,0.016914
2010-01-06,0.6,0.63,0.6,0.61,75014200.0,0.4462,0.016632
2010-01-07,0.61,0.62,0.6,0.61,30364100.0,0.4462,0.0
2010-01-08,0.61,0.63,0.61,0.61,83574500.0,0.4462,0.0
2010-01-11,0.62,0.63,0.61,0.62,48750900.0,0.4535,0.01636
2010-01-12,0.61,0.63,0.61,0.61,70944000.0,0.4462,-0.016097
2010-01-13,0.61,0.61,0.6,0.61,13204900.0,0.4462,0.0
2010-01-14,0.61,0.62,0.6,0.61,35388600.0,0.4462,0.0
2010-01-15,0.61,0.62,0.59,0.6,68681700.0,0.4389,-0.01636
2010-01-18,0.6,0.6,0.59,0.6,3285400.0,0.4389,0.0
2010-01-19,0.6,0.61,0.58,0.59,41677400.0,0.4316,-0.016632
2010-01-20,0.59,0.6,0.55,0.57,92607300.0,0.417,-0.033828
2010-01-21,0.57,0.58,0.56,0.56,17121300.0,0.4096,-0.017746
2010-01-22,0.55,0.56,0.54,0.55,37673200.0,0.4023,-0.017822
2010-01-25,0.55,0.56,0.54,0.55,17542200.0,0.4023,0.0
2010-01-26,0.55,0.56,0.54,0.56,17022400.0,0.4096,0.018146
2010-01-27,0.56,0.56,0.53,0.54,20725700.0,0.395,-0.035645
2010-01-28,0.54,0.55,0.49,0.51,67314400.0,0.3731,-0.055443
2010-01-29,0.51,0.52,0.5,0.52,19322100.0,0.3804,0.019566
2010-02-01,0.51,0.54,0.5,0.53,34226900.0,0.3877,0.01919
2010-02-02,0.54,0.54,0.52,0.52,11768000.0,0.3804,-0.018829
2010-02-03,0.52,0.55,0.52,0.55,81422500.0,0.4023,0.057571
2010-02-04,0.54,0.55,0.53,0.53,23195700.0,0.3877,-0.036291
2010-02-05,0.52,0.53,0.51,0.52,31846000.0,0.3804,-0.018829
2010-02-08,0.52,0.53,0.5,0.51,23234900.0,0.3731,-0.01919
2010-02-09,0.51,0.52,0.51,0.52,13894200.0,0.3804,0.019566
2010-02-10,0.52,0.53,0.51,0.52,26079400.0,0.3804,0.0
2010-02-11,0.51,0.53,0.51,0.52,10263700.0,0.3804,0.0
2010-02-12,0.53,0.53,0.51,0.52,22035900.0,0.3804,0.0
2010-02-15,0.52,0.52,0.51,0.51,11542500.0,0.3731,-0.01919
2010-02-16,0.52,0.52,0.51,0.52,14119800.0,0.3804,0.019566
2010-02-17,0.52,0.53,0.51,0.52,35716300.0,0.3804,0.0
2010-02-18,0.52,0.54,0.51,0.52,48102200.0,0.3804,0.0
2010-02-19,0.52,0.52,0.51,0.52,13943800.0,0.3804,0.0
2010-02-22,0.53,0.54,0.52,0.54,23076500.0,0.395,0.038381
2010-02-23,0.53,0.55,0.52,0.53,116741100.0,0.3877,-0.018481
2010-02-24,0.52,0.54,0.52,0.53,13594200.0,0.3877,0.0
2010-02-25,0.54,0.54,0.52,0.53,13613100.0,0.3877,0.0
2010-02-26,0.53,0.54,0.52,0.53,21228700.0,0.3877,0.0
2010-03-02,0.53,0.54,0.52,0.53,16097000.0,0.3877,0.0
2010-03-03,0.54,0.57,0.54,0.55,141950300.0,0.4023,0.037658
2010-03-04,0.56,0.58,0.56,0.56,134244000.0,0.4096,0.018146
2010-03-05,0.57,0.58,0.56,0.57,110024700.0,0.417,0.018066
2010-03-08,0.57,0.58,0.54,0.55,44509600.0,0.4023,-0.035252
2010-03-09,0.55,0.56,0.54,0.54,20518600.0,0.395,-0.018146
2010-03-10,0.54,0.55,0.53,0.53,7955800.0,0.3877,-0.018481
2010-03-11,0.53,0.55,0.53,0.53,27476500.0,0.3877,0.0
2010-03-12,0.54,0.55,0.52,0.54,35567900.0,0.395,0.018829
2010-03-15,0.53,0.55,0.53,0.54,14048900.0,0.395,0.0
2010-03-16,0.54,0.57,0.54,0.56,60264000.0,0.4096,0.036962
2010-03-17,0.56,0.6,0.56,0.58,163933000.0,0.4243,0.035889
2010-03-18,0.59,0.59,0.56,0.57,66349300.0,0.417,-0.017205
2010-03-19,0.57,0.61,0.57,0.6,135392400.0,0.4389,0.052518
2010-03-22,0.6,0.61,0.58,0.59,71741900.0,0.4316,-0.016632
2010-03-23,0.6,0.6,0.58,0.59,27855500.0,0.4316,0.0
2010-03-24,0.6,0.6,0.57,0.58,36881500.0,0.4243,-0.016914
2010-03-25,0.58,0.59,0.56,0.57,29136600.0,0.417,-0.017205
2010-03-26,0.58,0.58,0.56,0.57,12208300.0,0.417,0.0
2010-03-29,0.57,0.58,0.56,0.57,10347200.0,0.417,0.0
2010-03-30,0.56,0.58,0.56,0.58,17069500.0,0.4243,0.017506
2010-03-31,0.58,0.59,0.57,0.58,16602600.0,0.4243,0.0
2010-04-01,0.57,0.59,0.57,0.58,22146800.0,0.4243,0.0
2010-04-02,0.58,0.59,0.56,0.57,23014800.0,0.417,-0.017205
2010-04-05,0.57,0.58,0.56,0.57,12782600.0,0.417,0.0
2010-04-07,0.57,0.58,0.56,0.56,25946600.0,0.4096,-0.017746
2010-04-08,0.55,0.57,0.53,0.54,52221800.0,0.395,-0.035645
2010-04-09,0.54,0.55,0.53,0.53,13743900.0,0.3877,-0.018481
2010-04-12,0.52,0.53,0.5,0.52,68841600.0,0.3804,-0.018829
2010-04-16,0.52,0.52,0.48,0.48,92308900.0,0.3511,-0.077024
2010-04-19,0.48,0.48,0.45,0.46,40083900.0,0.3365,-0.041584
2010-04-20,0.47,0.49,0.47,0.49,35250800.0,0.3584,0.065082
2010-04-21,0.48,0.49,0.48,0.48,19105900.0,0.3511,-0.020368
2010-04-22,0.48,0.49,0.47,0.48,7259400.0,0.3511,0.0
2010-04-23,0.47,0.48,0.46,0.48,11931000.0,0.3511,0.0
2010-04-26,0.48,0.49,0.48,0.48,4417700.0,0.3511,0.0
2010-04-27,0.48,0.49,0.47,0.48,9960400.0,0.3511,0.0
2010-04-28,0.48,0.49,0.47,0.48,14448500.0,0.3511,0.0
2010-04-29,0.47,0.48,0.47,0.48,6475000.0,0.3511,0.0
2010-04-30,0.48,0.52,0.48,0.5,80991900.0,0.3658,0.041868
