Date,Open,High,Low,Close,Volume,Adj Close,Return
2009-12-30,0.6146,0.6146,0.6049,0.6049,276852.0,0.565,
2010-01-04,0.6244,0.6342,0.6244,0.6244,11787.0,0.5832,0.032212
2010-01-05,0.6244,0.6244,0.6244,0.6244,43665.0,0.5832,0.0
2010-01-06,0.6342,0.6537,0.6244,0.6244,352600.0,0.5832,0.0
2010-01-07,0.6342,0.6342,0.6049,0.6049,523262.0,0.565,-0.031207
2010-01-08,0.6342,0.6342,0.6049,0.6244,62935.0,0.5832,0.032212
2010-01-11,0.6244,0.6342,0.6146,0.6342,212687.0,0.5923,0.015604
2010-01-12,0.6342,0.6732,0.6244,0.6244,752452.0,0.5832,-0.015364
2010-01-13,0.6342,0.6439,0.6244,0.6342,256250.0,0.5923,0.015604
2010-01-14,0.6342,0.6537,0.6342,0.6342,291920.0,0.5923,0.0
2010-01-15,0.6439,0.6537,0.6342,0.6342,95940.0,0.5923,0.0
2010-01-18,0.6439,0.6537,0.6342,0.6342,761985.0,0.5923,0.0
2010-01-19,0.6537,0.6537,0.6342,0.6342,243745.0,0.5923,0.0
2010-01-20,0.6342,0.761,0.6342,0.6732,8403975.0,0.6288,0.061624
2010-01-21,0.6732,0.7317,0.6634,0.6634,11927617.0,0.6196,-0.014631
2010-01-22,0.6634,0.6732,0.6634,0.6732,1070612.0,0.6288,0.014848
2010-01-25,0.6732,0.6829,0.6634,0.6634,1493425.0,0.6196,-0.014631
2010-01-26,0.6732,0.6732,0.6537,0.6537,722420.0,0.6105,-0.014687
2010-01-27,0.6732,0.6732,0.5951,0.5951,2103505.0,0.5559,-0.089435
2010-01-28,0.6146,0.6146,0.5854,0.5854,939617.0,0.5468,-0.01637
2010-01-29,0.5951,0.6049,0.5951,0.5951,48995.0,0.5559,0.016642
2010-02-01,0.6439,0.6439,0.6049,0.6049,78002.0,0.565,0.01637
2010-02-02,0.6049,0.6244,0.6049,0.6049,136222.0,0.565,0.0
2010-02-03,0.6244,0.6244,0.6049,0.6049,304015.0,0.565,0.0
2010-02-04,0.6146,0.6244,0.6146,0.6146,235647.0,0.5741,0.016106
2010-02-05,0.6146,0.6146,0.6049,0.6049,350550.0,0.565,-0.015851
2010-02-08,0.6049,0.6049,0.439,0.439,369000.0,0.4101,-0.274159
2010-02-09,0.5659,0.5659,0.5659,0.5659,314880.0,0.5285,0.28871
2010-02-10,0.6439,0.6439,0.6049,0.6146,646468.0,0.5741,0.086282
2010-02-11,0.6244,0.6244,0.6049,0.6146,410512.0,0.5741,0.0
2010-02-12,0.6146,0.6244,0.6146,0.6146,152930.0,0.5741,0.0
2010-02-15,0.6146,0.6146,0.6049,0.6049,111725.0,0.565,-0.015851
2010-02-16,0.6244,0.6244,0.6049,0.6244,75850.0,0.5832,0.032212
2010-02-17,0.6146,0.6244,0.6146,0.6244,10762.0,0.5832,0.0
2010-02-18,0.6146,0.6244,0.6146,0.6146,318160.0,0.5741,-0.015604
2010-02-19,0.6244,0.6244,0.6049,0.6049,136530.0,0.565,-0.015851
