Date,Open,High,Low,Close,Volume,Adj Close,Return
2009-12-30,3.4091,3.4318,3.3409,3.3409,2908400.0,1.299,
2010-01-04,3.3636,3.4091,3.3182,3.3864,7785800.0,1.3167,0.013626
2010-01-05,3.4091,3.4091,3.3409,3.3409,6593400.0,1.299,-0.013443
2010-01-06,3.3636,3.3636,3.2727,3.3182,6835400.0,1.2902,-0.006774
2010-01-07,3.3182,3.3636,3.3182,3.3409,2217600.0,1.299,0.006821
2010-01-08,3.3182,3.3409,3.3182,3.3182,2123000.0,1.2902,-0.006774
2010-01-11,3.3182,3.3409,3.3182,3.3409,1446500.0,1.299,0.006821
2010-01-12,3.3182,3.3409,3.2954,3.3182,2097700.0,1.2902,-0.006774
2010-01-13,3.2954,3.3182,3.2954,3.3182,1435500.0,1.2902,0.0
2010-01-14,3.2954,3.4318,3.2727,3.4318,8848400.0,1.3344,0.034258
2010-01-15,3.4318,3.5682,3.4091,3.5227,29364500.0,1.3697,0.026454
2010-01-18,3.5227,3.5227,3.4546,3.4546,4731100.0,1.3432,-0.019347
2010-01-19,3.5,3.5,3.3864,3.4318,8523900.0,1.3344,-0.006552
2010-01-20,3.4546,3.4546,3.3409,3.4091,4028200.0,1.3255,-0.00667
2010-01-21,3.3636,3.4091,3.3409,3.3864,4558400.0,1.3167,-0.006639
2010-01-22,3.3409,3.4091,3.25,3.4091,15877400.0,1.3255,0.006683
2010-01-25,3.4091,3.4318,3.3409,3.4318,4423100.0,1.3344,0.006714
2010-01-26,3.4091,3.5,3.3864,3.5,9750400.0,1.3609,0.019859
2010-01-27,3.4773,3.5,3.3636,3.3636,4213000.0,1.3079,-0.038945
2010-01-28,3.3864,3.3864,3.3182,3.3864,2577300.0,1.3167,0.006728
2010-01-29,3.3409,3.3864,3.3409,3.3864,740300.0,1.3167,0.0
2010-02-01,3.3409,3.3636,3.3182,3.3182,2686200.0,1.2902,-0.020126
2010-02-02,3.3182,3.3182,3.0454,3.1136,28035700.0,1.2107,-0.061618
2010-02-03,3.0909,3.1591,3.0909,3.1364,3179000.0,1.2195,0.007269
2010-02-04,3.0909,3.0909,2.9546,3.0454,17794700.0,1.1841,-0.029028
2010-02-05,2.9318,2.9546,2.8409,2.9546,16188700.0,1.1488,-0.029812
2010-02-08,2.9091,2.9773,2.8409,2.9773,10401600.0,1.1576,0.00766
2010-02-09,2.9091,3.0227,2.8636,2.9773,7570200.0,1.1576,0.0
2010-02-10,2.9773,2.9773,2.9318,2.9318,3006300.0,1.14,-0.015204
2010-02-11,2.9318,2.9318,2.9318,2.9318,1812800.0,1.14,0.0
2010-02-12,2.9318,2.9318,2.9091,2.9091,1675300.0,1.1311,-0.007807
2010-02-15,2.8864,2.8864,2.7954,2.8182,3150400.0,1.0958,-0.031209
2010-02-16,2.7954,2.8409,2.7954,2.8409,630300.0,1.1046,0.008031
2010-02-17,2.8409,2.8636,2.8409,2.8409,982300.0,1.1046,0.0
2010-02-18,2.8636,2.8636,2.8182,2.8409,1095600.0,1.1046,0.0
2010-02-19,2.7954,2.8182,2.7727,2.7727,2369400.0,1.0781,-0.023991
2010-02-22,2.7727,2.8636,2.7727,2.8636,2129600.0,1.1135,0.032836
2010-02-23,2.8409,2.9546,2.8409,2.9091,5263500.0,1.1311,0.015806
2010-02-24,2.8864,2.9091,2.8864,2.8864,617100.0,1.1223,-0.00778
2010-02-25,2.8864,2.8864,2.7954,2.8409,6543900.0,1.1046,-0.015771
2010-02-26,2.8409,3.1591,2.8409,3.0227,37447300.0,1.1753,0.064005
2010-03-02,3.0682,3.1136,3.0454,3.0682,5893800.0,1.193,0.01506
2010-03-03,3.0909,3.0909,3.0682,3.0909,2334200.0,1.2018,0.007376
2010-03-04,3.0909,3.2954,3.0682,3.2273,11630300.0,1.2548,0.044101
2010-03-05,3.2954,3.3409,3.1591,3.1591,6869500.0,1.2283,-0.021119
2010-03-08,3.1818,3.2046,3.1136,3.1136,2202200.0,1.2107,-0.014329
2010-03-09,3.1591,3.2046,3.1136,3.1136,3372600.0,1.2107,0.0
2010-03-10,3.1136,3.1364,3.0682,3.0682,1602700.0,1.193,-0.01462
2010-03-11,3.0454,3.1591,3.0454,3.0909,2004200.0,1.2018,0.007376
2010-03-12,3.0909,3.1364,3.0682,3.1364,1493800.0,1.2195,0.014728
2010-03-15,3.1364,3.1364,3.0909,3.1136,305800.0,1.2107,-0.007216
2010-03-16,3.0909,3.2046,3.0909,3.2046,3866500.0,1.246,0.029157
2010-03-17,3.2273,3.25,3.2046,3.25,3353900.0,1.2637,0.014205
2010-03-18,3.2727,3.2954,3.2046,3.2046,3198800.0,1.246,-0.014006
2010-03-19,3.2046,3.2727,3.2046,3.2273,2192300.0,1.2548,0.007063
2010-03-22,3.1591,3.2273,3.1591,3.1818,4620000.0,1.2372,-0.014026
2010-03-23,3.2046,3.2273,3.1818,3.2046,1270500.0,1.246,0.007113
2010-03-24,3.2273,3.2273,3.1818,3.1818,2370500.0,1.2372,-0.007063
2010-03-25,3.1591,3.3636,3.1591,3.3182,18661500.0,1.2902,0.042839
2010-03-26,3.2954,3.4318,3.2954,3.3409,14267000.0,1.299,0.006821
2010-03-29,3.3636,3.4091,3.3409,3.3636,2765400.0,1.3079,0.006851
2010-03-30,3.3636,3.3636,3.2954,3.3182,1628000.0,1.2902,-0.013533
2010-03-31,3.3409,3.3636,3.2727,3.2727,821700.0,1.2725,-0.013719
2010-04-01,3.2954,3.4318,3.2954,3.3636,10430200.0,1.3079,0.027819
