Date,Open,High,Low,Close,Volume,Return
2009-12-30,1.156,1.165,1.147,1.147,721128,
2010-01-04,1.156,1.156,1.139,1.147,421762,0.0
2010-01-05,1.165,1.165,1.147,1.156,483074,0.007847
2010-01-06,1.147,1.147,1.139,1.139,544614,-0.014706
2010-01-07,1.147,1.2,1.147,1.174,12723069,0.030729
2010-01-08,1.174,1.174,1.156,1.156,5027117,-0.015332
2010-01-11,1.156,1.174,1.156,1.156,947080,0.0
2010-01-12,1.156,1.165,1.156,1.156,3097791,0.0
2010-01-13,1.156,1.165,1.147,1.156,1984244,0.0
2010-01-14,1.156,1.174,1.156,1.156,1470115,0.0
2010-01-15,1.165,1.165,1.156,1.156,1362905,0.0
2010-01-18,1.156,1.174,1.156,1.156,2791688,0.0
2010-01-19,1.165,1.165,1.121,1.13,2455557,-0.022491
2010-01-20,1.139,1.139,1.121,1.121,1594908,-0.007965
2010-01-21,1.121,1.121,1.104,1.104,892162,-0.015165
2010-01-22,1.095,1.104,1.077,1.104,1833305,0.0
2010-01-25,1.086,1.165,1.086,1.121,7526517,0.015399
2010-01-26,1.13,1.13,1.095,1.095,642005,-0.023194
2010-01-27,1.104,1.139,1.095,1.104,4911914,0.008219
2010-01-28,1.104,1.112,1.077,1.086,1048239,-0.016304
2010-01-29,1.077,1.086,1.077,1.086,211223,0.0
2010-02-01,1.086,1.095,1.086,1.086,353714,0.0
2010-02-02,1.112,1.112,1.095,1.095,149569,0.008287
2010-02-03,1.086,1.095,1.077,1.086,995604,-0.008219
2010-02-04,1.095,1.095,1.086,1.086,428270,0.0
2010-02-05,1.077,1.077,1.069,1.069,1013644,-0.015654
2010-02-08,1.086,1.086,1.069,1.069,420277,0.0
2010-02-09,1.077,1.077,1.069,1.069,240224,0.0
2010-02-10,1.086,1.086,1.069,1.069,306331,0.0
2010-02-11,1.077,1.077,1.069,1.077,782554,0.007484
2010-02-12,1.077,1.086,1.077,1.077,354513,0.0
2010-02-15,1.077,1.077,1.077,1.077,212251,0.0
2010-02-16,1.086,1.086,1.077,1.077,233944,0.0
2010-02-17,1.086,1.095,1.077,1.077,341611,0.0
2010-02-18,1.086,1.086,1.069,1.077,393675,0.0
2010-02-19,1.077,1.086,1.069,1.069,368670,-0.007428
2010-02-22,1.077,1.077,1.077,1.077,321973,0.007484
2010-02-23,1.086,1.095,1.086,1.095,516184,0.016713
2010-02-24,1.086,1.104,1.086,1.104,469144,0.008219
2010-02-25,1.086,1.104,1.086,1.095,205286,-0.008152
2010-02-26,1.095,1.104,1.086,1.095,227893,0.0
2010-03-02,1.095,1.121,1.095,1.095,1010447,0.0
2010-03-03,1.104,1.104,1.077,1.086,1067991,-0.008219
2010-03-04,1.086,1.104,1.086,1.104,246161,0.016575
2010-03-05,1.104,1.104,1.077,1.077,545185,-0.024457
2010-03-08,1.077,1.095,1.077,1.077,392761,0.0
2010-03-09,1.086,1.086,1.069,1.069,288862,-0.007428
2010-03-10,1.077,1.077,1.06,1.069,1178284,0.0
2010-03-11,1.095,1.112,1.086,1.086,2801393,0.015903
2010-03-12,1.104,1.112,1.095,1.112,1264372,0.023941
2010-03-15,1.112,1.121,1.104,1.112,908946,0.0
2010-03-16,1.121,1.13,1.121,1.121,1507907,0.008094
2010-03-17,1.13,1.139,1.13,1.139,1603813,0.016057
2010-03-18,1.139,1.147,1.13,1.13,2113261,-0.007902
2010-03-19,1.139,1.156,1.139,1.147,4675915,0.015044
2010-03-22,1.156,1.165,1.147,1.147,7107267,0.0
2010-03-23,1.06,1.069,1.06,1.06,3251927,-0.07585
2010-03-24,1.069,1.069,1.042,1.051,3141405,-0.008491
2010-03-25,1.051,1.051,1.042,1.051,294571,0.0
2010-03-26,1.051,1.051,1.034,1.034,1010904,-0.016175
2010-03-29,1.042,1.042,1.025,1.034,1584632,0.0
2010-03-30,1.034,1.042,1.025,1.034,842039,0.0
2010-03-31,1.034,1.051,1.034,1.042,825141,0.007737
2010-04-01,1.042,1.051,1.042,1.042,463207,0.0
2010-04-02,1.051,1.06,1.051,1.051,800936,0.008637
2010-04-05,1.042,1.051,1.042,1.051,345950,0.0
2010-04-07,1.051,1.051,1.042,1.042,411829,-0.008563
2010-04-08,1.042,1.051,1.016,1.025,1863447,-0.016315
2010-04-09,1.016,1.034,1.016,1.025,218759,0.0
2010-04-12,1.016,1.016,0.998,0.998,843866,-0.026341
2010-04-16,1.007,1.016,0.99,0.998,640749,0.0
2010-04-19,0.998,0.998,0.981,0.981,604213,-0.017034
2010-04-20,0.99,1.007,0.99,0.998,741794,0.017329
2010-04-21,0.998,0.998,0.998,0.998,275504,0.0
2010-04-22,0.998,1.016,0.99,1.007,684478,0.009018
2010-04-23,0.998,1.016,0.998,0.998,600331,-0.008937
2010-04-26,1.007,1.016,0.998,0.998,406576,0.0
2010-04-27,0.998,1.007,0.998,1.007,179825,0.009018
2010-04-28,0.998,1.007,0.99,0.998,334532,-0.008937
2010-04-29,0.998,1.007,0.998,0.998,158246,0.0
2010-04-30,1.007,1.016,1.007,1.007,381458,0.009018
2010-05-04,1.025,1.034,1.016,1.034,524062,0.026812
2010-05-06,1.025,1.025,0.998,0.998,515043,-0.034816
2010-05-07,0.998,1.007,0.99,0.99,1689445,-0.008016
2010-05-10,0.998,1.016,0.998,0.998,506594,0.008081
2010-05-11,1.016,1.016,0.998,1.016,1133299,0.018036
