Date,Open,High,Low,Close,Volume,Return
2012-06-01,3.7,3.72,3.3,3.3,376302496,
2012-06-05,3.28,3.36,3.04,3.04,282164992,-0.078788
2012-06-06,3.12,3.32,3.1,3.24,260005296,0.065789
2012-06-07,3.3,3.38,3.12,3.12,198174896,-0.037037
2012-06-08,3.14,3.18,3.12,3.14,40641800,0.00641
2012-06-11,3.2,3.32,3.18,3.28,97382096,0.044586
2012-06-12,3.22,3.5,3.22,3.46,191659904,0.054878
2012-06-13,3.46,3.48,3.36,3.36,106480800,-0.028902
2012-06-14,3.36,3.38,3.28,3.32,71738000,-0.011905
2012-06-15,3.36,3.48,3.34,3.42,99295104,0.03012
2012-06-18,3.48,3.48,3.36,3.36,61209300,-0.017544
2012-06-19,3.38,3.44,3.38,3.4,20310200,0.011905
2012-06-20,3.44,3.52,3.42,3.44,82848000,0.011765
2012-06-21,3.44,3.46,3.4,3.4,46381400,-0.011628
2012-06-22,3.38,3.4,3.36,3.4,18605900,0.0
2012-06-25,3.44,3.46,3.38,3.38,35635700,-0.005882
2012-06-26,3.4,3.44,3.38,3.38,23395500,0.0
2012-06-27,3.4,3.48,3.4,3.44,52023600,0.017751
2012-06-28,3.44,3.46,3.38,3.42,27832300,-0.005814
2012-06-29,3.42,3.44,3.4,3.4,21202700,-0.005848
2012-07-02,3.42,3.44,3.38,3.38,23706400,-0.005882
2012-07-03,3.4,3.42,3.36,3.38,20744300,0.0
2012-07-04,3.42,3.62,3.38,3.6,178994208,0.065089
2012-07-05,3.64,3.72,3.6,3.7,156498400,0.027778
2012-07-06,3.68,3.7,3.62,3.66,52171500,-0.010811
2012-07-09,3.66,3.66,3.62,3.64,18972000,-0.005464
2012-07-10,3.66,3.76,3.64,3.74,94271400,0.027473
2012-07-11,3.72,3.74,3.68,3.68,46644600,-0.016043
2012-07-12,3.64,3.66,3.56,3.56,50355100,-0.032609
2012-07-13,3.58,3.68,3.56,3.64,29259800,0.022472
2012-07-16,3.68,3.74,3.66,3.68,36926800,0.010989
2012-07-17,3.7,3.7,3.66,3.68,18721900,0.0
2012-07-18,3.68,3.68,3.62,3.68,24800900,0.0
2012-07-19,3.68,3.74,3.64,3.66,53955700,-0.005435
2012-07-20,3.68,3.68,3.62,3.62,12708100,-0.010929
2012-07-23,3.58,3.58,3.52,3.54,31265300,-0.022099
2012-07-24,3.54,3.58,3.52,3.52,14487300,-0.00565
2012-07-25,3.54,3.54,3.4,3.46,29066100,-0.017045
2012-07-26,3.48,3.56,3.48,3.5,31491200,0.011561
2012-07-27,3.56,3.58,3.5,3.52,34617700,0.005714
2012-07-30,3.54,3.56,3.48,3.48,14566100,-0.011364
2012-07-31,3.5,3.52,3.42,3.42,26383200,-0.017241
2012-08-01,3.44,3.48,3.38,3.42,29671800,0.0
2012-08-03,3.42,3.44,3.4,3.42,9801200,0.0
2012-08-06,3.46,3.52,3.42,3.52,47452500,0.02924
2012-08-07,3.58,3.62,3.52,3.54,55463400,0.005682
2012-08-08,3.56,3.58,3.52,3.54,27786000,0.0
2012-08-09,3.6,3.72,3.52,3.56,204372896,0.00565
2012-08-10,3.54,3.56,3.42,3.46,120963696,-0.02809
2012-08-14,3.5,3.58,3.46,3.56,45571000,0.028902
2012-08-15,3.56,3.64,3.56,3.6,72006600,0.011236
2012-08-16,3.64,3.66,3.58,3.6,50334700,0.0
2012-08-17,3.62,3.64,3.5,3.52,70339600,-0.022222
2012-08-20,3.52,3.56,3.5,3.56,19496500,0.011364
2012-08-21,3.56,3.58,3.52,3.54,27267500,-0.005618
2012-08-22,3.54,3.58,3.5,3.52,39214500,-0.00565
2012-08-23,3.54,3.56,3.5,3.52,29499500,0.0
2012-08-24,3.5,3.54,3.46,3.46,37165500,-0.017045
2012-08-27,3.5,3.5,3.42,3.44,39221700,-0.00578
2012-08-28,3.44,3.46,3.42,3.42,10747400,-0.005814
2012-08-29,3.44,3.48,3.44,3.46,33776900,0.011696
2012-08-30,3.48,3.48,3.42,3.44,23051600,-0.00578
2012-08-31,3.44,3.48,3.42,3.46,10608200,0.005814
2012-09-03,3.46,3.48,3.44,3.46,9016000,0.0
2012-09-04,3.48,3.48,3.44,3.44,19367100,-0.00578
2012-09-05,3.44,3.46,3.4,3.42,11466000,-0.005814
2012-09-06,3.46,3.46,3.42,3.44,11607100,0.005848
2012-09-07,3.46,3.58,3.44,3.5,105695600,0.017442
2012-09-10,3.52,3.54,3.48,3.5,26515900,0.0
2012-09-11,3.48,3.6,3.48,3.52,99747504,0.005714
2012-09-12,3.54,3.7,3.54,3.66,232221200,0.039773
2012-09-13,3.68,3.72,3.6,3.62,125573504,-0.010929
2012-09-14,3.7,3.82,3.66,3.8,255317200,0.049724
2012-09-17,3.8,3.82,3.7,3.74,140938592,-0.015789
2012-09-18,3.74,3.84,3.74,3.84,135012400,0.026738
2012-09-19,3.86,4.08,3.82,3.98,302841600,0.036458
2012-09-20,3.98,4.06,3.94,3.94,121360896,-0.01005
2012-09-21,3.98,4.14,3.96,4.14,188761792,0.050761
2012-09-24,4.16,4.22,4.04,4.1,147607696,-0.009662
2012-09-25,4.12,4.24,4.1,4.22,131812704,0.029268
2012-09-26,4.18,4.22,4.08,4.14,91687400,-0.018957
2012-09-27,4.16,4.32,4.14,4.28,121754704,0.033816
2012-09-28,4.3,4.34,4.26,4.28,47651200,0.0
2012-10-01,4.3,4.44,4.28,4.36,134953504,0.018692
2012-10-02,4.38,4.44,4.34,4.42,65920100,0.013761
2012-10-03,4.42,4.44,4.3,4.4,54039700,-0.004525
2012-10-04,4.42,4.46,4.36,4.36,67704000,-0.009091
2012-10-05,4.38,4.4,4.26,4.34,70704800,-0.004587
2012-10-08,4.34,4.36,4.26,4.36,44564700,0.004608
2012-10-09,4.34,4.42,4.32,4.38,82413200,0.004587
2012-10-10,4.36,4.66,4.34,4.66,234064496,0.063927
2012-10-11,4.64,4.96,4.56,4.88,236702592,0.04721
2012-10-12,4.9,4.94,4.7,4.72,154654704,-0.032787
2012-10-15,4.76,4.76,4.62,4.7,65921200,-0.004237
2012-10-16,4.7,4.74,4.66,4.7,54693100,0.0
2012-10-17,4.72,4.76,4.62,4.68,81211600,-0.004255
2012-10-18,4.68,4.78,4.6,4.68,100297400,0.0
2012-10-19,4.66,4.7,4.64,4.66,25805000,-0.004274
2012-10-22,4.64,4.68,4.62,4.66,12166200,0.0
2012-10-24,4.66,4.68,4.52,4.6,36612700,-0.012876
2012-10-25,4.58,4.62,4.54,4.58,25114800,-0.004348
2012-10-26,4.56,4.56,4.4,4.52,60298700,-0.0131
2012-10-29,4.5,4.52,4.44,4.48,14494800,-0.00885
2012-10-30,4.48,4.62,4.46,4.62,56470800,0.03125
2012-10-31,4.62,4.62,4.54,4.58,20059400,-0.008658
2012-11-01,4.58,4.58,4.46,4.5,35359000,-0.017467
2012-11-02,4.54,4.58,4.46,4.5,44852500,0.0
2012-11-05,4.48,4.52,4.46,4.48,11856900,-0.004444
2012-11-06,4.5,4.72,4.5,4.66,134724992,0.040179
2012-11-07,4.68,4.72,4.62,4.7,67365600,0.008584
2012-11-08,4.64,4.7,4.6,4.66,47116600,-0.008511
2012-11-09,4.68,4.78,4.66,4.72,97467800,0.012876
