Date,Open,High,Low,Close,Volume,Return
2009-12-30,1.03,1.05,1.01,1.01,409659,
2010-01-04,1.01,1.03,1.01,1.03,90062,0.019802
2010-01-05,1.03,1.07,1.03,1.05,3864249,0.019417
2010-01-06,1.03,1.07,1.03,1.03,5457654,-0.019048
2010-01-07,1.05,1.08,1.03,1.03,11930094,0.0
2010-01-08,1.05,1.05,1.03,1.03,564820,0.0
2010-01-11,1.03,1.05,1.03,1.03,538883,0.0
2010-01-12,1.05,1.05,1.03,1.03,653966,0.0
2010-01-13,1.05,1.05,1.03,1.05,338548,0.019417
2010-01-14,1.05,1.12,1.03,1.05,118041792,0.0
2010-01-15,1.05,1.07,1.03,1.03,6094214,-0.019048
2010-01-18,1.03,1.05,1.01,1.03,4389964,0.0
2010-01-19,1.03,1.03,0.94,0.94,15757986,-0.087379
2010-01-20,0.96,0.96,0.94,0.96,3886121,0.021277
2010-01-21,0.96,0.96,0.93,0.96,2924295,0.0
2010-01-22,0.94,0.94,0.93,0.94,1980162,-0.020833
2010-01-25,0.93,0.94,0.93,0.94,298985,0.0
2010-01-26,0.96,0.96,0.93,0.94,1959722,0.0
2010-01-27,0.94,0.96,0.93,0.94,1472196,0.0
2010-01-28,0.94,0.96,0.91,0.94,2652850,0.0
2010-01-29,0.94,0.94,0.91,0.94,1615505,0.0
2010-02-01,0.93,0.94,0.93,0.94,691697,0.0
2010-02-02,0.93,0.94,0.93,0.93,101914,-0.010638
2010-02-03,0.93,0.96,0.93,0.94,1845040,0.010753
2010-02-04,0.94,0.96,0.94,0.96,549647,0.021277
2010-02-05,0.94,0.94,0.93,0.93,262170,-0.03125
2010-02-08,0.94,0.94,0.91,0.93,102544,0.0
2010-02-09,0.93,0.94,0.93,0.94,253353,0.010753
2010-02-10,0.94,0.94,0.94,0.94,185220,0.0
2010-02-11,0.94,0.94,0.93,0.94,418877,0.0
2010-02-12,0.94,0.94,0.91,0.94,2207979,0.0
2010-02-15,0.93,0.93,0.91,0.93,474414,-0.010638
2010-02-16,0.93,0.93,0.93,0.93,811302,0.0
2010-02-17,0.94,0.94,0.93,0.93,186479,0.0
2010-02-18,0.94,0.94,0.91,0.93,446188,0.0
2010-02-19,0.93,0.96,0.93,0.94,4744945,0.010753
2010-02-22,0.94,0.98,0.94,0.94,12607248,0.0
2010-02-23,0.94,0.96,0.93,0.94,9563175,0.0
2010-02-24,0.94,0.98,0.94,0.94,6796159,0.0
2010-02-25,0.94,0.96,0.94,0.94,4003493,0.0
2010-02-26,0.96,0.96,0.94,0.94,15138488,0.0
2010-03-02,0.94,0.96,0.93,0.93,9857122,-0.010638
2010-03-03,0.93,0.96,0.91,0.96,17527336,0.032258
2010-03-04,0.94,0.96,0.94,0.94,13037862,-0.020833
2010-03-05,0.94,0.98,0.93,0.93,8996752,-0.010638
2010-03-08,0.93,0.94,0.91,0.94,6217255,0.010753
2010-03-09,0.94,0.94,0.91,0.91,3009147,-0.031915
2010-03-10,0.91,0.91,0.87,0.87,4470808,-0.043956
2010-03-11,0.86,0.87,0.8,0.8,2249889,-0.08046
2010-03-12,0.79,0.82,0.77,0.82,1757440,0.025
2010-03-15,0.8,0.86,0.8,0.86,1672817,0.04878
2010-03-16,0.86,0.89,0.86,0.89,2107668,0.034884
2010-03-17,0.89,0.89,0.86,0.87,3051516,-0.022472
2010-03-18,0.87,0.91,0.86,0.87,4776320,0.0
2010-03-19,0.87,0.91,0.87,0.89,10698369,0.022989
2010-03-22,0.87,0.89,0.86,0.86,2636876,-0.033708
2010-03-23,0.87,0.87,0.84,0.86,2759115,0.0
2010-03-24,0.87,0.87,0.84,0.84,1396562,-0.023256
2010-03-25,0.86,0.86,0.82,0.84,1318180,0.0
2010-03-26,0.84,0.86,0.82,0.84,216710,0.0
2010-03-29,0.86,0.86,0.84,0.84,113995,0.0
2010-03-30,0.84,0.84,0.82,0.84,567568,0.0
2010-03-31,0.86,0.86,0.82,0.84,116628,0.0
2010-04-01,0.86,0.86,0.82,0.86,811131,0.02381
2010-04-02,0.84,0.84,0.82,0.84,314959,-0.023256
2010-04-05,0.84,0.84,0.8,0.8,2907462,-0.047619
2010-04-07,0.82,0.82,0.79,0.82,1470478,0.025
2010-04-08,0.82,0.82,0.79,0.8,178693,-0.02439
2010-04-09,0.79,0.8,0.79,0.79,257933,-0.0125
2010-04-12,0.79,0.79,0.75,0.75,465254,-0.050633
2010-04-16,0.77,0.77,0.7,0.72,975509,-0.04
2010-04-19,0.72,0.72,0.65,0.65,1406982,-0.097222
2010-04-20,0.66,0.68,0.66,0.68,573694,0.046154
2010-04-21,0.7,0.7,0.66,0.66,571805,-0.029412
2010-04-22,0.68,0.7,0.68,0.68,225470,0.030303
2010-04-23,0.68,0.7,0.68,0.68,637018,0.0
2010-04-26,0.68,0.7,0.68,0.7,846629,0.029412
2010-04-27,0.7,0.7,0.68,0.68,439947,-0.028571
2010-04-28,0.7,0.75,0.7,0.7,3577917,0.029412
2010-04-29,0.72,0.73,0.7,0.72,712652,0.028571
2010-04-30,0.72,0.73,0.72,0.72,479281,0.0
2010-05-04,0.73,0.73,0.72,0.72,4092868,0.0
2010-05-06,0.72,0.72,0.7,0.7,1235332,-0.027778
2010-05-07,0.7,0.7,0.68,0.68,1350930,-0.028571
2010-05-10,0.68,0.68,0.66,0.66,1297568,-0.029412
2010-05-11,0.68,0.68,0.66,0.66,1442710,0.0
2010-05-12,0.68,0.68,0.66,0.66,1932697,0.0
2010-05-13,0.68,0.68,0.65,0.65,1118532,-0.015152
2010-05-14,0.63,0.65,0.61,0.63,731775,-0.030769
2010-05-17,0.63,0.65,0.61,0.61,1029272,-0.031746
2010-05-18,0.63,0.63,0.61,0.61,836895,0.0
2010-05-19,0.61,0.63,0.61,0.63,68820,0.032787
2010-05-24,0.63,0.63,0.59,0.59,176918,-0.063492
2010-05-25,0.59,0.61,0.58,0.59,1039692,0.0
2010-05-26,0.61,0.61,0.59,0.59,498748,0.0
2010-05-27,0.58,0.61,0.58,0.59,358759,0.0
2010-05-31,0.59,0.61,0.59,0.61,234974,0.033898
2010-06-01,0.61,0.63,0.61,0.61,615777,0.0
2010-06-02,0.61,0.66,0.61,0.63,1819962,0.032787
2010-06-03,0.63,0.65,0.63,0.65,2678843,0.031746
2010-06-04,0.65,0.65,0.61,0.63,1501739,-0.030769
2010-06-07,0.63,0.63,0.61,0.63,690265,0.0
2010-06-08,0.63,0.63,0.63,0.63,379371,0.0
2010-06-09,0.63,0.66,0.63,0.65,2084480,0.031746
2010-06-10,0.65,0.65,0.65,0.65,359275,0.0
2010-06-11,0.66,0.66,0.65,0.65,972647,0.0
2010-06-14,0.66,0.66,0.65,0.65,214248,0.0
2010-06-15,0.66,0.66,0.66,0.66,1778109,0.015385
2010-06-16,0.68,0.7,0.68,0.68,2797590,0.030303
2010-06-17,0.68,0.68,0.66,0.66,1812863,-0.029412
2010-06-18,0.68,0.7,0.66,0.7,677841,0.060606
2010-06-21,0.7,0.7,0.68,0.7,633755,0.0
2010-06-22,0.7,0.72,0.68,0.72,1523153,0.028571
2010-06-23,0.7,0.72,0.7,0.72,540658,0.0
2010-06-24,0.72,0.72,0.68,0.68,1927373,-0.055556
2010-06-25,0.68,0.7,0.66,0.66,881611,-0.029412
2010-06-28,0.68,0.72,0.68,0.7,955356,0.060606
2010-06-29,0.72,0.73,0.7,0.7,1552983,0.0
2010-06-30,0.7,0.7,0.68,0.68,852240,-0.028571
2010-07-02,0.7,0.7,0.7,0.7,229592,0.029412
2010-07-05,0.72,0.8,0.72,0.79,16452718,0.128571
2010-07-06,0.8,0.86,0.8,0.82,13552813,0.037975
2010-07-07,0.82,0.84,0.79,0.79,6963172,-0.036585
2010-07-08,0.82,0.82,0.77,0.79,4447219,0.0
2010-07-09,0.79,0.8,0.77,0.77,3045847,-0.025316
2010-07-12,0.79,0.79,0.75,0.75,945336,-0.025974
2010-07-13,0.77,0.79,0.75,0.75,1763967,0.0
2010-07-14,0.77,0.79,0.75,0.79,682250,0.053333
2010-07-15,0.79,0.79,0.77,0.77,760574,-0.025316
2010-07-16,0.79,0.82,0.77,0.8,12798422,0.038961
2010-07-19,0.8,0.84,0.8,0.84,6244737,0.05
2010-07-20,0.84,0.84,0.79,0.79,11305557,-0.059524
2010-07-21,0.8,0.86,0.8,0.86,13315491,0.088608
2010-07-22,0.86,0.87,0.82,0.84,10166528,-0.023256
2010-07-23,0.84,0.86,0.84,0.86,2120665,0.02381
2010-07-27,0.84,0.91,0.82,0.84,21339484,-0.023256
2010-07-28,0.86,0.89,0.86,0.89,11023978,0.059524
2010-07-29,0.87,1.05,0.87,1.03,50102696,0.157303
2010-07-30,1.03,1.05,1.0,1.03,15078886,0.0
2010-08-02,1.01,1.07,0.98,1.07,11562288,0.038835
2010-08-03,1.07,1.08,1.03,1.08,26295584,0.009346
2010-08-04,1.08,1.08,1.03,1.03,14327758,-0.046296
2010-08-05,1.03,1.05,1.01,1.05,5378928,0.019417
2010-08-06,1.03,1.05,1.01,1.01,1559624,-0.038095
2010-08-09,1.03,1.08,1.01,1.03,7175931,0.019802
2010-08-10,1.05,1.05,0.98,1.0,8756854,-0.029126
2010-08-11,1.01,1.01,0.98,1.0,2356155,0.0
2010-08-16,1.01,1.01,0.98,1.01,437084,0.01
2010-08-17,1.01,1.03,0.98,1.0,836723,-0.009901
2010-08-18,1.0,1.0,0.94,0.96,5937450,-0.04
2010-08-19,0.98,1.05,0.98,1.05,10891203,0.09375
2010-08-20,1.08,1.1,1.05,1.05,12783135,0.0
