Date,Open,High,Low,Close,Volume,Return
2009-12-30,1.71,1.72,1.7,1.7,4636400,
2010-01-04,1.7,1.7,1.68,1.69,5220500,-0.005882
2010-01-05,1.7,1.71,1.69,1.69,5982800,0.0
2010-01-06,1.7,1.7,1.68,1.68,5797200,-0.005917
2010-01-07,1.68,1.7,1.68,1.68,3799700,0.0
2010-01-08,1.69,1.69,1.66,1.66,5543300,-0.011905
2010-01-11,1.67,1.69,1.67,1.67,3813000,0.006024
2010-01-12,1.68,1.68,1.67,1.68,3979600,0.005988
2010-01-13,1.68,1.69,1.67,1.68,2765900,0.0
2010-01-14,1.69,1.7,1.68,1.69,4062400,0.005952
2010-01-15,1.69,1.7,1.68,1.69,3014600,0.0
2010-01-18,1.68,1.7,1.68,1.68,3684900,-0.005917
2010-01-19,1.69,1.7,1.65,1.66,9600600,-0.011905
2010-01-20,1.67,1.67,1.63,1.63,7596900,-0.018072
2010-01-21,1.63,1.65,1.62,1.62,4942400,-0.006135
2010-01-22,1.62,1.62,1.56,1.57,8987600,-0.030864
2010-01-25,1.57,1.58,1.55,1.57,4641600,0.0
2010-01-26,1.56,1.57,1.54,1.54,3768800,-0.019108
2010-01-27,1.53,1.54,1.5,1.5,6949700,-0.025974
2010-01-28,1.51,1.52,1.45,1.47,4543200,-0.02
2010-01-29,1.47,1.5,1.45,1.49,4586400,0.013605
2010-02-01,1.51,1.52,1.48,1.52,1875500,0.020134
2010-02-02,1.53,1.55,1.51,1.53,1578400,0.006579
2010-02-03,1.54,1.55,1.53,1.55,2823200,0.013072
2010-02-04,1.54,1.55,1.52,1.52,3159600,-0.019355
2010-02-05,1.51,1.51,1.48,1.49,2812600,-0.019737
2010-02-08,1.48,1.5,1.48,1.5,1886400,0.006711
2010-02-09,1.5,1.5,1.49,1.5,2708000,0.0
2010-02-10,1.51,1.51,1.49,1.5,1540300,0.0
2010-02-11,1.51,1.52,1.5,1.51,2091200,0.006667
2010-02-12,1.53,1.55,1.53,1.54,6038300,0.019868
2010-02-15,1.54,1.61,1.53,1.59,11490300,0.032468
2010-02-16,1.6,1.62,1.59,1.61,8718400,0.012579
2010-02-17,1.62,1.68,1.62,1.68,30942500,0.043478
2010-02-18,1.68,1.71,1.68,1.69,16446100,0.005952
2010-02-19,1.67,1.68,1.65,1.68,2394100,-0.005917
2010-02-22,1.69,1.69,1.67,1.67,2604200,-0.005952
2010-02-23,1.67,1.69,1.67,1.69,2168300,0.011976
2010-02-24,1.68,1.72,1.68,1.71,9383700,0.011834
2010-02-25,1.72,1.73,1.71,1.71,11826900,0.0
2010-02-26,1.72,1.73,1.7,1.71,8228500,0.0
2010-03-02,1.71,1.72,1.7,1.7,9358600,-0.005848
2010-03-03,1.72,1.72,1.7,1.7,5226900,0.0
2010-03-04,1.7,1.72,1.7,1.71,2724900,0.005882
2010-03-05,1.72,1.72,1.7,1.7,6303600,-0.005848
2010-03-08,1.7,1.7,1.67,1.68,5044500,-0.011765
2010-03-09,1.68,1.69,1.66,1.67,6180900,-0.005952
2010-03-10,1.68,1.69,1.66,1.67,6811400,0.0
2010-03-11,1.67,1.69,1.67,1.67,7863400,0.0
2010-03-12,1.67,1.68,1.66,1.67,20565300,0.0
