Date,Open,High,Low,Close,Volume,Return
2009-12-30,43.81,43.81,43.51,43.51,3861944,
2010-01-04,43.66,43.81,42.3,43.05,7183720,-0.010572
2010-01-05,43.2,44.11,43.2,43.66,11776481,0.01417
2010-01-06,43.96,44.71,43.51,44.71,21180456,0.024049
2010-01-07,45.62,48.49,45.62,47.74,60566464,0.06777
2010-01-08,48.34,48.64,47.13,47.43,27331498,-0.006494
2010-01-11,47.74,48.19,47.28,47.43,15197552,0.0
2010-01-12,47.13,47.43,45.92,45.92,24287752,-0.031836
2010-01-13,45.77,46.98,45.77,46.83,25344260,0.019817
2010-01-14,47.28,48.49,46.98,48.04,35558488,0.025838
2010-01-15,48.34,48.34,47.13,47.43,20795188,-0.012698
2010-01-18,47.13,47.28,46.53,46.98,12699270,-0.009488
2010-01-19,46.98,47.43,46.38,46.38,16178595,-0.012771
2010-01-20,46.83,46.98,46.07,46.68,16002510,0.006468
2010-01-21,46.23,46.23,44.56,44.56,37057192,-0.045416
2010-01-22,43.81,43.96,42.9,43.36,49768376,-0.02693
2010-01-25,43.05,43.51,41.39,41.39,59333872,-0.045434
2010-01-26,41.69,42.45,41.24,41.39,49297052,0.0
2010-01-27,41.84,42.15,40.18,40.18,27564512,-0.029234
2010-01-28,40.79,41.39,38.97,40.03,45161052,-0.003733
2010-01-29,39.43,40.33,38.97,39.88,44435528,-0.003747
2010-02-01,39.13,39.28,38.07,38.97,64923560,-0.022818
2010-02-02,39.43,39.88,38.82,38.82,38622092,-0.003849
2010-02-03,39.28,41.39,39.28,41.39,49316912,0.066203
2010-02-04,41.39,42.75,40.94,42.15,56542996,0.018362
2010-02-05,40.79,41.24,40.49,40.79,39679924,-0.032266
2010-02-08,40.49,40.94,39.73,40.49,35341360,-0.007355
2010-02-09,40.49,40.79,39.73,40.64,19961104,0.003705
2010-02-10,40.94,41.09,40.33,40.33,19950512,-0.007628
2010-02-11,40.49,41.54,40.33,40.94,28622344,0.015125
2010-02-12,41.24,41.24,39.88,40.03,20339750,-0.022228
2010-02-15,39.88,39.88,39.13,39.43,12633073,-0.014989
2010-02-16,39.28,39.88,39.28,39.73,6823607,0.007608
2010-02-17,40.49,40.49,40.18,40.33,11939326,0.015102
2010-02-18,40.49,40.94,40.03,40.18,10599495,-0.003719
2010-02-19,39.73,39.88,39.43,39.88,21716652,-0.007466
2010-02-22,40.49,40.49,39.73,40.03,20642934,0.003761
2010-02-23,40.03,40.49,39.58,40.33,22079412,0.007494
2010-02-24,40.03,40.64,40.03,40.18,12038622,-0.003719
2010-02-25,40.79,40.94,40.18,40.49,18988004,0.007715
