Date,Open,High,Low,Close,Volume
2020-01-06,2.66,2.66,2.62,2.62,121100
2020-01-03,2.68,2.68,2.66,2.66,63200
2020-01-02,2.68,2.68,2.68,2.68,800
2019-12-30,2.64,2.7,2.64,2.7,26400
2019-12-27,2.64,2.66,2.64,2.66,20700
2019-12-26,2.64,2.66,2.64,2.66,177700
2019-12-25,2.66,2.68,2.66,2.66,125000
2019-12-24,2.66,2.68,2.64,2.66,281300
2019-12-23,2.66,2.68,2.66,2.66,35800
2019-12-20,2.66,2.68,2.64,2.68,13100
2019-12-19,2.62,2.66,2.6,2.66,144000
2019-12-18,2.64,2.64,2.62,2.62,40600
2019-12-17,2.64,2.64,2.62,2.62,10600
2019-12-16,2.64,2.64,2.64,2.64,14800
2019-12-13,2.64,2.66,2.64,2.66,16500
2019-12-12,2.64,2.68,2.62,2.64,105600
2019-12-11,2.66,2.72,2.66,2.68,116400
2019-12-09,2.66,2.72,2.64,2.72,13900
2019-12-06,2.64,2.66,2.64,2.66,4300
2019-12-04,2.66,2.68,2.66,2.66,19100
2019-12-03,2.68,2.7,2.68,2.68,2900
2019-12-02,2.68,2.7,2.68,2.68,21700
2019-11-29,2.68,2.7,2.68,2.7,10100
2019-11-28,2.68,2.72,2.66,2.7,102700
2019-11-27,2.66,2.7,2.66,2.7,6400
2019-11-26,2.64,2.72,2.64,2.7,154000
2019-11-25,2.66,2.72,2.62,2.72,48800
2019-11-22,2.7,2.72,2.7,2.72,33100
2019-11-21,2.72,2.72,2.7,2.72,32700
2019-11-20,2.72,2.72,2.66,2.72,157300
2019-11-19,2.7,2.76,2.7,2.76,87600
2019-11-18,2.7,2.76,2.7,2.76,61000
2019-11-15,2.68,2.8,2.68,2.76,54500
2019-11-14,2.66,2.7,2.66,2.7,17000
2019-11-13,2.7,2.74,2.68,2.68,49200
2019-11-12,2.72,2.8,2.7,2.74,91000
2019-11-11,2.74,2.74,2.72,2.74,86600
2019-11-08,2.76,2.76,2.76,2.76,100
2019-11-07,2.76,2.76,2.7,2.76,12100
2019-11-06,2.74,2.76,2.7,2.76,105900
2019-11-05,2.8,2.8,2.74,2.76,25000
2019-11-04,2.7,2.78,2.7,2.78,37800
2019-11-01,2.76,2.76,2.7,2.76,24600
2019-10-31,2.66,2.8,2.64,2.76,122300
2019-10-30,2.66,2.7,2.64,2.68,192400
2019-10-29,2.72,2.76,2.66,2.66,48100
2019-10-28,2.7,2.74,2.7,2.72,46100
2019-10-25,2.76,2.8,2.72,2.72,134800
2019-10-24,2.76,2.8,2.76,2.8,25400
2019-10-22,2.8,2.82,2.74,2.82,140200
2019-10-21,2.74,2.82,2.74,2.82,138000
2019-10-18,2.78,2.82,2.78,2.82,32000
2019-10-17,2.82,2.82,2.76,2.8,96500
2019-10-16,2.8,2.82,2.78,2.8,116000
2019-10-15,2.74,2.8,2.74,2.8,117700
2019-10-11,2.78,2.82,2.74,2.78,54600
2019-10-10,2.78,2.8,2.78,2.78,20800
2019-10-09,2.76,2.78,2.68,2.78,41400
2019-10-08,2.8,2.8,2.78,2.78,24600
2019-10-07,2.78,2.8,2.74,2.78,122700
2019-10-04,2.66,2.78,2.66,2.78,273000
2019-10-03,2.68,2.7,2.64,2.7,57700
2019-10-02,2.68,2.7,2.68,2.68,107000
2019-10-01,2.68,2.7,2.68,2.68,67000
2019-09-30,2.7,2.7,2.7,2.7,16200
2019-09-27,2.72,2.72,2.72,2.72,600
2019-09-26,2.72,2.72,2.7,2.72,7800
2019-09-25,2.72,2.72,2.72,2.72,300
2019-09-24,2.72,2.72,2.7,2.72,33100
2019-09-23,2.72,2.72,2.7,2.72,70500
2019-09-20,2.72,2.74,2.72,2.72,22200
2019-09-19,2.74,2.74,2.72,2.74,32900
2019-09-18,2.74,2.74,2.72,2.74,44600
2019-09-17,2.74,2.76,2.72,2.74,475600
