Date,Open,High,Low,Close,Volume,Return
2015-01-09,1.71,1.73,1.67,1.67,36204956,
2015-01-12,1.67,1.67,1.61,1.61,15159303,-0.035928
2015-01-13,1.61,1.62,1.55,1.55,7925051,-0.037267
2015-01-14,1.58,1.66,1.58,1.62,18363416,0.045161
2015-01-15,1.63,1.69,1.6,1.64,18158384,0.012346
2015-01-16,1.64,1.66,1.62,1.63,11086385,-0.006098
2015-01-19,1.64,1.7,1.62,1.64,29636012,0.006135
2015-01-20,1.65,1.69,1.64,1.64,6896510,0.0
2015-01-21,1.65,1.67,1.64,1.64,9070878,0.0
2015-01-22,1.65,1.67,1.64,1.64,8050323,0.0
2015-01-23,1.64,1.66,1.62,1.62,10350728,-0.012195
2015-01-26,1.62,1.64,1.58,1.59,5294782,-0.018519
2015-01-27,1.59,1.6,1.54,1.54,11287804,-0.031447
2015-01-28,1.56,1.63,1.54,1.57,10171628,0.019481
2015-01-29,1.51,1.51,1.36,1.44,60880316,-0.082803
2015-01-30,1.46,1.47,1.39,1.45,10139134,0.006944
2015-02-02,1.44,1.54,1.44,1.53,15278667,0.055172
2015-02-03,1.52,1.63,1.52,1.61,29950996,0.052288
2015-02-04,1.64,1.66,1.59,1.6,22412700,-0.006211
2015-02-05,1.63,1.63,1.59,1.6,4767109,0.0
2015-02-06,1.61,1.64,1.6,1.61,10131366,0.00625
2015-02-09,1.62,1.64,1.54,1.54,9873164,-0.043478
2015-02-10,1.54,1.62,1.54,1.6,10749628,0.038961
2015-02-11,1.62,1.66,1.58,1.66,23746818,0.0375
2015-02-12,1.66,1.66,1.6,1.61,7097164,-0.03012
2015-02-13,1.62,1.62,1.59,1.62,3240873,0.006211
2015-02-16,1.63,1.64,1.58,1.59,10531141,-0.018519
2015-02-17,1.6,1.64,1.56,1.64,38748684,0.031447
2015-02-18,1.66,1.75,1.64,1.73,82053424,0.054878
2015-02-19,1.74,1.75,1.69,1.69,19519964,-0.023121
2015-02-20,1.68,1.72,1.65,1.65,22244760,-0.023669
2015-02-23,1.66,1.81,1.66,1.76,64742952,0.066667
2015-02-24,1.76,1.92,1.75,1.85,116106120,0.051136
2015-02-25,1.88,1.88,1.82,1.85,29287220,0.0
2015-02-26,1.88,1.88,1.8,1.85,28543686,0.0
2015-02-27,1.87,1.96,1.85,1.88,47448120,0.016216
2015-03-02,1.9,1.9,1.85,1.85,16291234,-0.015957
2015-03-03,1.85,1.88,1.75,1.75,30768928,-0.054054
2015-03-05,1.75,1.76,1.73,1.73,15223306,-0.011429
2015-03-06,1.73,1.77,1.73,1.75,5116557,0.011561
2015-03-09,1.75,1.78,1.73,1.73,29210416,-0.011429
2015-03-10,1.74,1.75,1.73,1.73,9042213,0.0
2015-03-11,1.72,1.81,1.71,1.76,17956200,0.017341
2015-03-12,1.78,1.83,1.75,1.83,13844004,0.039773
2015-03-13,1.83,1.83,1.81,1.82,9596581,-0.005464
2015-03-16,1.81,1.81,1.73,1.73,7694092,-0.049451
2015-03-17,1.75,1.76,1.71,1.75,11716682,0.011561
2015-03-18,1.74,1.78,1.74,1.78,9865833,0.017143
2015-03-19,1.76,1.79,1.74,1.79,13551120,0.005618
2015-03-20,1.76,1.8,1.75,1.8,17751280,0.005587
2015-03-23,1.79,1.81,1.74,1.74,5900463,-0.033333
2015-03-24,1.73,1.75,1.64,1.75,8727119,0.005747
2015-03-25,1.71,1.71,1.64,1.64,5296314,-0.062857
2015-03-26,1.64,1.66,1.62,1.64,6487982,0.0
2015-03-27,1.64,1.64,1.6,1.62,894189,-0.012195
2015-03-30,1.64,1.66,1.62,1.64,2554996,0.012346
2015-03-31,1.64,1.65,1.64,1.64,1519672,0.0
2015-04-01,1.64,1.64,1.61,1.61,4246001,-0.018293
2015-04-02,1.61,1.63,1.61,1.62,1147248,0.006211
2015-04-03,1.63,1.64,1.61,1.64,2376006,0.012346
2015-04-07,1.64,1.64,1.62,1.64,1763104,0.0
2015-04-08,1.63,1.63,1.61,1.61,5465896,-0.018293
2015-04-09,1.63,1.69,1.63,1.69,8778431,0.049689
2015-04-10,1.69,1.69,1.65,1.68,2659371,-0.005917
2015-04-16,1.7,1.7,1.67,1.68,2207518,0.0
2015-04-17,1.7,1.73,1.66,1.69,3098534,0.005952
2015-04-20,1.68,1.69,1.64,1.67,1560153,-0.011834
2015-04-21,1.67,1.69,1.66,1.67,4337028,0.0
2015-04-22,1.66,1.67,1.65,1.65,4175324,-0.011976
2015-04-23,1.65,1.67,1.65,1.67,4489542,0.012121
2015-04-24,1.67,1.67,1.64,1.64,569904,-0.017964
2015-04-27,1.62,1.64,1.54,1.55,4884832,-0.054878
2015-04-28,1.55,1.55,1.5,1.53,3057834,-0.012903
2015-04-29,1.52,1.54,1.46,1.49,2811995,-0.026144
2015-04-30,1.49,1.53,1.43,1.43,13950458,-0.040268
2015-05-06,1.42,1.46,1.39,1.43,48606312,0.0
2015-05-07,1.44,1.44,1.35,1.35,7023700,-0.055944
2015-05-08,1.35,1.37,1.33,1.36,2957700,0.007407
2015-05-11,1.37,1.37,1.32,1.32,2277200,-0.029412
2015-05-12,1.33,1.36,1.32,1.35,1327000,0.022727
2015-05-13,1.34,1.34,1.33,1.34,1746100,-0.007407
2015-05-14,1.34,1.37,1.31,1.36,13903400,0.014925
2015-05-15,1.36,1.36,1.34,1.34,2118200,-0.014706
2015-05-18,1.34,1.34,1.31,1.32,4943400,-0.014925
2015-05-19,1.32,1.33,1.3,1.32,27504000,0.0
2015-05-20,1.32,1.32,1.31,1.31,7033800,-0.007576
2015-05-21,1.32,1.32,1.3,1.3,7217300,-0.007634
2015-05-22,1.31,1.32,1.31,1.31,3472200,0.007692
2015-05-25,1.31,1.31,1.3,1.3,3441400,-0.007634
2015-05-26,1.31,1.31,1.29,1.3,5533700,0.0
2015-05-27,1.3,1.31,1.29,1.29,4039200,-0.007692
2015-05-28,1.3,1.32,1.29,1.32,7541200,0.023256
2015-05-29,1.33,1.33,1.3,1.3,1471600,-0.015152
2015-06-02,1.29,1.3,1.29,1.3,1215700,0.0
2015-06-03,1.3,1.32,1.29,1.29,2661700,-0.007692
2015-06-04,1.32,1.32,1.31,1.31,1830500,0.015504
2015-06-05,1.31,1.32,1.3,1.31,1436700,0.0
2015-06-08,1.31,1.32,1.3,1.3,779100,-0.007634
2015-06-09,1.31,1.32,1.28,1.29,5691000,-0.007692
2015-06-10,1.29,1.32,1.29,1.31,1133600,0.015504
2015-06-11,1.32,1.34,1.31,1.34,5616600,0.022901
2015-06-12,1.35,1.35,1.33,1.33,1684600,-0.007463
2015-06-15,1.33,1.39,1.32,1.38,9555700,0.037594
2015-06-16,1.4,1.48,1.39,1.45,18805500,0.050725
2015-06-17,1.46,1.5,1.41,1.49,10262600,0.027586
2015-06-18,1.48,1.49,1.46,1.47,2177500,-0.013423
2015-06-19,1.48,1.49,1.42,1.46,2964900,-0.006803
2015-06-22,1.46,1.48,1.44,1.44,1555200,-0.013699
2015-06-23,1.45,1.45,1.41,1.41,2480600,-0.020833
2015-06-24,1.42,1.46,1.4,1.45,2068200,0.028369
2015-06-25,1.45,1.47,1.44,1.47,968800,0.013793
2015-06-26,1.47,1.49,1.47,1.48,1997800,0.006803
2015-06-29,1.47,1.48,1.46,1.46,2454500,-0.013514
2015-06-30,1.45,1.47,1.42,1.42,2868500,-0.027397
2015-07-02,1.44,1.44,1.42,1.44,1460900,0.014085
2015-07-03,1.41,1.41,1.35,1.39,1200900,-0.034722
2015-07-06,1.39,1.39,1.35,1.36,197600,-0.021583
2015-07-07,1.38,1.38,1.35,1.36,521800,0.0
2015-07-08,1.35,1.37,1.32,1.33,591000,-0.022059
