Date,Open,High,Low,Close,Volume,Return
2009-12-30,36.25,36.25,35.75,35.75,2192500,
2010-01-04,36.0,36.0,35.25,35.25,1408600,-0.013986
2010-01-05,35.75,36.5,35.0,35.25,4234200,0.0
2010-01-06,35.0,35.25,33.75,34.5,9213200,-0.021277
2010-01-07,34.75,35.0,33.5,33.75,6306800,-0.021739
2010-01-08,33.75,34.5,33.5,34.25,10660200,0.014815
2010-01-11,34.25,34.75,34.25,34.5,6914400,0.007299
2010-01-12,34.5,35.0,34.25,34.5,5000400,0.0
2010-01-13,34.0,34.75,34.0,34.75,4242500,0.007246
2010-01-14,35.0,35.75,34.5,35.25,9905300,0.014388
2010-01-15,35.5,35.75,34.75,35.0,5692600,-0.007092
2010-01-18,35.0,35.25,34.5,34.75,1760600,-0.007143
2010-01-19,34.5,34.75,33.75,34.0,4923400,-0.021583
2010-01-20,34.25,34.25,32.5,33.25,9267300,-0.022059
2010-01-21,32.75,33.25,32.25,32.25,4417500,-0.030075
2010-01-22,31.75,33.0,31.5,32.75,3180700,0.015504
2010-01-25,32.25,32.75,32.0,32.25,2824700,-0.015267
2010-01-26,32.25,32.5,31.75,32.0,1810100,-0.007752
2010-01-27,32.25,32.5,31.25,31.25,2251800,-0.023438
2010-01-28,31.75,31.75,30.0,30.75,4152100,-0.016
2010-01-29,30.75,32.25,30.75,32.25,4357200,0.04878
2010-02-01,31.75,32.75,31.5,32.5,3746500,0.007752
2010-02-02,32.75,32.75,31.75,32.0,2223200,-0.015385
2010-02-03,32.25,32.75,32.0,32.75,2384200,0.023438
2010-02-04,32.5,32.5,32.0,32.0,2604700,-0.022901
2010-02-05,31.25,31.5,31.0,31.25,2291000,-0.023438
2010-02-08,30.75,31.25,30.25,31.0,3171400,-0.008
2010-02-09,31.5,33.0,31.0,32.5,11157900,0.048387
2010-02-10,33.25,34.0,32.75,33.5,12053700,0.030769
2010-02-11,33.75,34.5,33.75,34.25,10050500,0.022388
2010-02-12,34.5,34.5,33.75,34.25,5900800,0.0
2010-02-15,34.25,34.25,33.0,33.5,1555800,-0.021898
2010-02-16,33.25,33.75,33.25,33.25,1721400,-0.007463
2010-02-17,34.0,34.25,33.75,34.0,5031400,0.022556
2010-02-18,34.5,35.25,34.25,34.5,12012900,0.014706
2010-02-19,34.5,35.0,34.0,34.75,1948100,0.007246
2010-02-22,35.25,35.5,34.75,35.25,6575100,0.014388
2010-02-23,35.0,35.75,35.0,35.5,4957800,0.007092
2010-02-24,35.25,35.25,34.5,34.75,4338600,-0.021127
2010-02-25,34.75,35.0,34.0,34.0,5019800,-0.021583
2010-02-26,34.5,35.0,34.0,34.75,3307600,0.022059
2010-03-02,33.0,34.0,33.0,33.75,8310500,-0.028777
2010-03-03,34.25,34.5,33.75,34.0,4708800,0.007407
2010-03-04,34.0,34.5,33.75,34.0,5363300,0.0
2010-03-05,34.25,34.5,31.5,33.0,12169000,-0.029412
2010-03-08,33.5,33.5,32.5,33.0,5140800,0.0
2010-03-09,33.0,33.25,32.75,32.75,3176800,-0.007576
2010-03-10,33.0,34.25,32.75,33.75,4148300,0.030534
2010-03-11,34.0,34.5,33.75,33.75,2601200,0.0
2010-03-12,34.25,35.0,33.75,34.75,2364500,0.02963
2010-03-15,34.75,35.5,34.5,35.0,2061300,0.007194
2010-03-16,35.5,36.75,35.5,36.0,7054800,0.028571
2010-03-17,36.25,37.0,36.25,36.25,4140200,0.006944
2010-03-18,36.5,36.75,35.5,36.25,4275700,0.0
2010-03-19,36.25,37.0,35.0,37.0,7100300,0.02069
2010-03-22,36.5,36.75,35.0,35.25,7670400,-0.047297
2010-03-23,35.5,35.75,34.5,35.0,4538800,-0.007092
2010-03-24,35.25,35.5,34.5,34.5,6001300,-0.014286
2010-03-25,34.75,35.75,34.75,35.25,5005200,0.021739
2010-03-26,35.25,35.75,35.0,35.0,5966300,-0.007092
2010-03-29,35.5,35.5,34.75,35.0,3750700,0.0
2010-03-30,35.5,36.25,35.5,36.0,7015100,0.028571
2010-03-31,36.5,38.0,36.5,37.5,12349400,0.041667
2010-04-01,37.75,38.25,37.5,38.25,5574200,0.02
2010-04-02,38.25,38.75,37.0,37.25,5760600,-0.026144
2010-04-05,36.75,38.0,36.5,38.0,4008100,0.020134
2010-04-07,38.25,38.25,36.5,36.5,7610300,-0.039474
2010-04-08,36.5,36.75,35.0,35.0,5029200,-0.041096
2010-04-09,34.5,35.5,34.25,35.5,2957700,0.014286
2010-04-12,33.75,34.75,33.75,34.5,3966700,-0.028169
2010-04-16,34.25,34.5,33.5,34.25,2663500,-0.007246
2010-04-19,34.0,34.0,33.0,33.25,2824300,-0.029197
2010-04-20,33.75,35.0,33.75,35.0,2014100,0.052632
2010-04-21,34.5,34.75,34.0,34.5,3418900,-0.014286
2010-04-22,34.5,35.25,34.25,34.5,3226500,0.0
2010-04-23,33.75,34.5,33.75,34.5,1034400,0.0
2010-04-26,35.0,35.0,34.25,34.5,2707100,0.0
