Date,Open,High,Low,Close,Volume,Return
2009-12-30,2.0,2.05,2.0,2.0,2796760,
2010-01-04,2.0,2.05,2.0,2.0,1492320,0.0
2010-01-05,2.05,2.1,2.0,2.0,18155520,0.0
2010-01-06,2.05,2.05,2.0,2.05,2218560,0.025
2010-01-07,2.05,2.1,2.0,2.05,10919420,0.0
2010-01-08,2.05,2.1,2.0,2.05,4613800,0.0
2010-01-11,2.05,2.15,2.05,2.1,20694080,0.02439
2010-01-12,2.1,2.15,2.05,2.05,8288620,-0.02381
2010-01-13,2.1,2.1,2.0,2.05,7638440,0.0
2010-01-14,2.05,2.1,2.0,2.05,4837120,0.0
2010-01-15,2.05,2.1,2.0,2.05,2908520,0.0
2010-01-18,2.05,2.1,2.0,2.05,3572120,0.0
2010-01-19,2.05,2.1,2.0,2.0,22607140,-0.02439
2010-01-20,2.0,2.05,1.95,1.95,5694660,-0.025
2010-01-21,2.0,2.05,1.95,2.05,5341640,0.051282
2010-01-22,2.0,2.05,1.95,2.0,9577800,-0.02439
2010-01-25,1.95,2.05,1.95,2.0,4617220,0.0
2010-01-27,2.0,2.0,1.85,1.9,17903020,-0.05
2010-01-28,1.9,1.95,1.7,1.75,14849360,-0.078947
2010-01-29,1.75,1.8,1.6,1.75,17470600,0.0
2010-02-01,1.75,1.85,1.75,1.8,7915720,0.028571
2010-02-02,1.85,1.85,1.75,1.8,3019140,0.0
2010-02-03,1.85,1.85,1.8,1.8,1889240,0.0
2010-02-04,1.85,1.9,1.8,1.85,11327680,0.027778
2010-02-05,1.85,1.85,1.75,1.75,11134280,-0.054054
2010-02-08,1.75,1.75,1.65,1.75,16560080,0.0
2010-02-09,1.75,1.8,1.7,1.75,8801860,0.0
2010-02-10,1.8,1.8,1.7,1.75,5467060,0.0
2010-02-11,1.75,1.8,1.75,1.75,1485660,0.0
2010-02-12,1.75,1.8,1.75,1.75,3490440,0.0
2010-02-15,1.75,1.75,1.7,1.7,3003940,-0.028571
2010-02-16,1.75,1.8,1.7,1.75,5721400,0.029412
2010-02-17,1.75,1.8,1.7,1.7,1899680,-0.028571
2010-02-18,1.75,1.75,1.7,1.7,1863120,0.0
2010-02-19,1.7,1.75,1.7,1.7,8169400,0.0
2010-02-22,1.7,1.8,1.7,1.75,10806580,0.029412
2010-02-23,1.75,1.8,1.75,1.75,2466700,0.0
2010-02-24,1.75,1.8,1.7,1.7,1191780,-0.028571
