Date,Open,High,Low,Close,Volume
2020-01-06,33.0,33.75,32.75,33.0,5173200
2020-01-03,33.5,33.5,33.0,33.0,2233000
2020-01-02,34.5,34.5,32.25,33.25,6706700
2019-12-30,35.0,35.25,34.5,34.5,1339800
2019-12-27,35.0,35.5,34.5,35.0,3574200
2019-12-26,33.75,35.0,33.75,34.75,2959000
2019-12-25,33.5,34.25,33.5,34.0,953000
2019-12-24,34.25,34.25,33.75,33.75,1092900
2019-12-23,34.0,34.5,34.0,34.25,1592000
2019-12-20,34.0,34.75,33.75,34.25,3840700
2019-12-19,33.5,34.5,33.5,34.0,8646500
2019-12-18,33.75,34.0,33.0,33.25,3615900
2019-12-17,33.5,33.75,32.75,33.75,5158700
2019-12-16,33.5,33.75,32.75,33.5,5428900
2019-12-13,34.0,34.0,33.5,33.5,13085700
2019-12-12,32.75,33.5,32.25,32.75,9018500
2019-12-11,31.75,32.75,31.5,32.75,5512500
2019-12-09,31.75,32.0,30.75,31.75,4571200
2019-12-06,30.75,32.25,30.75,31.5,5880200
2019-12-04,30.25,31.0,29.5,30.5,2342500
2019-12-03,30.5,31.25,30.5,30.75,905400
2019-12-02,31.25,31.5,30.25,30.75,1748300
2019-11-29,30.75,31.5,30.25,31.25,2176100
2019-11-28,31.25,31.75,30.25,30.75,4022500
2019-11-27,31.25,32.0,31.0,31.25,4282300
2019-11-26,32.5,33.0,31.5,31.75,3929300
2019-11-25,31.75,33.0,31.75,32.75,5772900
2019-11-22,30.0,31.75,30.0,31.25,5830400
2019-11-21,29.5,30.0,29.0,30.0,1857200
2019-11-20,29.5,30.0,29.25,29.25,1181000
2019-11-19,29.0,30.0,28.75,30.0,1975400
2019-11-18,28.75,29.25,28.5,28.75,1581900
2019-11-15,29.0,29.75,28.75,29.0,2025700
2019-11-14,29.25,29.5,28.25,29.25,2864200
2019-11-13,29.5,30.0,29.25,30.0,2068500
2019-11-12,29.75,30.25,28.5,29.5,2552000
2019-11-11,29.75,30.0,29.0,29.75,1655000
2019-11-08,29.25,30.25,29.0,30.0,4376500
2019-11-07,27.75,29.0,27.5,29.0,3369500
2019-11-06,27.5,28.0,27.0,27.75,1170100
2019-11-05,27.0,27.5,26.75,27.25,1409900
2019-11-04,25.0,27.0,24.9,26.5,1977300
2019-11-01,25.0,25.75,24.8,24.8,1345300
2019-10-31,24.7,25.75,24.6,25.5,3046200
2019-10-30,24.1,24.7,24.0,24.5,2492400
2019-10-29,25.25,25.75,23.9,24.0,3296400
2019-10-28,25.75,26.0,25.0,25.25,2367900
2019-10-25,27.75,27.75,26.5,26.5,1681600
2019-10-24,28.0,28.25,27.75,27.75,1013200
2019-10-22,28.25,29.0,28.25,28.75,1562600
2019-10-21,27.5,28.75,27.5,28.25,1076700
2019-10-18,28.0,28.5,28.0,28.0,1896200
2019-10-17,28.0,28.25,27.75,28.25,540200
2019-10-16,28.0,28.25,27.75,28.0,327700
2019-10-15,28.0,28.5,27.75,28.0,566000
2019-10-11,28.0,28.5,27.75,27.75,1648000
2019-10-10,27.5,29.0,27.5,28.0,2524100
2019-10-09,27.75,28.0,27.25,27.75,597300
2019-10-08,27.5,28.25,27.5,27.75,1156300
2019-10-07,27.5,27.75,27.0,27.25,459000
2019-10-04,27.0,27.75,26.75,27.5,1558700
2019-10-03,27.25,27.5,26.75,27.0,1025900
2019-10-02,27.75,28.5,27.25,27.25,1255400
2019-10-01,28.0,28.25,27.75,28.0,337200
2019-09-30,28.5,28.5,28.0,28.25,676000
2019-09-27,28.25,28.75,28.25,28.5,249000
2019-09-26,28.25,28.75,28.25,28.5,584700
2019-09-25,28.5,28.5,28.0,28.25,344600
2019-09-24,28.5,28.5,28.0,28.5,274700
2019-09-23,28.0,28.5,28.0,28.25,855100
2019-09-20,27.75,28.25,27.5,28.0,1388800
2019-09-19,28.5,28.5,27.5,27.5,1805900
2019-09-18,29.0,29.25,28.0,28.25,4444400
2019-09-17,28.75,29.25,28.5,29.0,964200
2019-09-16,28.75,29.25,28.5,28.5,527000
2019-09-13,29.0,29.5,28.75,28.75,606000
2019-09-12,29.75,29.75,29.0,29.0,1773700
2019-09-11,28.5,29.25,28.5,29.25,2616500
2019-09-10,29.0,29.0,28.0,28.5,837600
2019-09-09,28.5,29.25,28.5,28.5,769100
2019-09-06,29.5,29.75,28.0,28.5,4286800
2019-09-05,28.25,29.5,28.25,29.0,5282600
2019-09-04,28.5,28.5,27.75,27.75,1050500
2019-09-03,28.0,29.0,27.75,28.25,1062900
2019-09-02,28.25,28.25,27.75,28.0,484500
2019-08-30,28.25,28.5,28.0,28.5,1494100
2019-08-29,27.25,28.25,27.25,27.75,1127100
2019-08-28,27.0,27.5,26.75,27.25,997300
2019-08-27,27.25,27.75,26.5,26.75,2083200
2019-08-26,27.75,28.25,26.5,26.75,3609100
2019-08-23,28.75,29.0,28.5,28.75,342200
2019-08-22,28.75,29.25,28.5,28.5,1540700
2019-08-21,28.25,28.75,28.0,28.5,1314900
2019-08-20,28.0,28.75,27.75,28.0,759000
2019-08-19,28.75,29.0,27.75,28.0,1339100
2019-08-16,28.25,28.5,28.0,28.25,1297300
2019-08-15,28.0,28.5,27.25,28.25,3499100
2019-08-14,27.25,29.0,27.25,29.0,4349900
2019-08-13,26.25,27.25,26.25,26.75,2888300
2019-08-09,27.0,27.0,25.75,25.75,1079900
2019-08-08,26.25,27.0,26.0,26.75,2231100
2019-08-07,25.75,26.75,25.25,26.0,4061100
2019-08-06,25.75,26.25,25.25,25.75,1753700
2019-08-05,26.25,26.5,26.0,26.0,1081400
2019-08-02,27.25,27.25,26.0,26.5,4618700
2019-08-01,27.5,28.25,27.5,27.5,1064200
2019-07-31,28.25,28.5,27.75,28.0,3127800
2019-07-30,29.5,29.75,28.25,28.5,3462700
2019-07-26,30.0,30.25,29.25,29.5,3095100
2019-07-25,29.0,30.75,29.0,30.0,7642200
2019-07-24,28.25,29.25,28.25,28.75,8403600
2019-07-23,28.25,28.5,28.0,28.25,1732900
2019-07-22,27.75,28.5,27.5,28.25,2887100
2019-07-19,27.75,28.5,27.5,27.75,3500000
2019-07-18,28.0,28.0,27.0,27.75,4026300
2019-07-17,28.5,28.5,28.0,28.25,2266400
2019-07-15,28.5,29.0,28.0,28.25,4644800
2019-07-12,28.0,29.0,27.75,28.75,4888100
2019-07-11,27.5,28.5,27.5,27.75,3390500
2019-07-10,27.25,27.5,27.0,27.5,1153300
2019-07-09,27.5,27.5,27.0,27.25,3917400
2019-07-08,27.5,28.0,27.25,27.75,2372500
2019-07-05,27.75,28.0,27.0,27.5,2330200
2019-07-04,27.25,28.0,26.75,27.25,6795900
2019-07-03,27.25,27.5,26.75,27.25,7905800
2019-07-02,27.5,27.75,27.25,27.5,3457000
2019-07-01,27.25,28.0,27.0,27.25,8214300
2019-06-28,26.0,26.0,25.5,25.75,830900
2019-06-27,25.75,26.0,25.5,25.75,2963000
2019-06-26,25.5,25.75,25.0,25.5,3583500
2019-06-25,25.5,25.75,25.25,25.5,1993200
2019-06-24,25.75,26.25,25.5,25.5,1177800
2019-06-21,26.25,26.5,25.75,25.75,3217400
2019-06-20,26.75,27.0,26.0,26.25,7554100
2019-06-19,26.0,26.5,25.75,26.25,4936100
2019-06-18,25.5,25.5,25.0,25.0,1322600
2019-06-17,26.0,26.25,25.25,25.25,2793500
2019-06-14,26.0,26.25,25.5,26.0,1763600
2019-06-13,25.75,26.5,25.25,26.0,1836200
2019-06-12,25.75,26.0,25.5,25.75,1138400
2019-06-11,26.5,26.5,25.5,26.0,2221000
2019-06-10,25.25,26.25,25.25,26.25,5102500
2019-06-07,25.0,25.25,24.6,24.9,3492100
2019-06-06,25.25,25.5,24.7,25.0,1850500
2019-06-05,24.8,25.25,24.7,25.0,3455900
2019-06-04,24.9,24.9,24.4,24.6,5090600
2019-05-31,25.25,25.25,24.6,24.8,4994600
2019-05-30,24.7,25.75,24.7,25.5,6609700
2019-05-29,24.6,25.25,24.5,24.7,3875500
2019-05-28,24.2,24.9,24.1,24.5,5292000
2019-05-27,24.5,24.9,24.1,24.2,4339700
2019-05-24,24.1,24.6,23.6,24.3,4206000
2019-05-23,25.0,25.0,24.1,24.1,3896700
2019-05-22,25.0,25.75,24.4,25.25,6568000
2019-05-21,24.6,25.0,23.4,24.9,7929100
2019-05-17,27.25,27.25,24.9,24.9,11883100
2019-05-16,27.0,27.75,26.75,27.5,3484800
2019-05-15,30.25,30.25,26.5,26.75,13782400
2019-05-14,30.25,31.0,30.0,30.75,849900
2019-05-13,30.25,31.25,30.25,30.75,1937300
2019-05-10,31.25,31.25,30.25,30.25,4430300
2019-05-09,31.0,31.75,31.0,31.0,1469300
2019-05-08,31.25,31.25,30.75,31.0,2034200
2019-05-07,32.25,32.5,31.0,31.25,4936200
2019-05-03,32.75,33.0,32.5,32.5,708000
2019-05-02,32.5,33.0,32.25,33.0,704600
2019-04-30,32.25,32.5,32.25,32.5,155200
2019-04-29,33.0,33.25,32.0,32.25,1838700
2019-04-26,33.0,33.5,32.75,33.0,1305200
2019-04-25,33.5,33.75,32.75,33.0,1206600
2019-04-24,33.25,33.5,33.0,33.25,535700
2019-04-23,32.75,33.5,32.75,33.0,1941500
2019-04-22,32.5,33.25,32.25,32.75,1526900
2019-04-19,33.25,33.25,32.25,32.5,3383000
2019-04-18,33.5,33.75,33.0,33.25,1210200
2019-04-17,34.0,34.5,33.0,33.25,4439500
2019-04-12,33.25,34.0,33.0,34.0,1368300
2019-04-11,33.5,33.75,32.75,33.25,3906400
2019-04-10,33.75,34.0,33.25,33.5,3345000
2019-04-09,33.0,34.0,32.75,34.0,3353300
2019-04-05,33.0,34.0,32.75,33.5,5751700
2019-04-04,32.75,32.75,32.25,32.75,1307600
2019-04-03,32.75,32.75,32.25,32.25,990800
2019-04-02,32.25,33.0,32.25,32.5,1803200
2019-04-01,31.25,32.75,31.25,32.0,2982600
2019-03-29,31.5,32.0,31.0,31.0,3888100
2019-03-28,31.25,31.5,31.0,31.0,1826900
2019-03-27,31.25,31.5,31.0,31.0,1818000
2019-03-26,31.25,31.75,31.0,31.0,2056200
2019-03-25,30.75,31.5,30.5,31.0,3042900
2019-03-22,31.0,31.5,30.5,30.75,4015200
2019-03-21,30.75,31.0,30.5,31.0,1832100
2019-03-20,33.0,33.25,29.5,30.5,21883100
2019-03-19,34.0,34.25,33.25,33.25,1642100
2019-03-18,34.5,34.5,34.0,34.25,559800
2019-03-15,34.25,34.5,34.0,34.25,785500
2019-03-14,34.0,34.5,33.5,34.25,2088400
2019-03-13,34.75,35.5,34.5,35.0,2711400
2019-03-12,35.5,35.5,34.75,34.75,742000
2019-03-11,35.5,35.75,35.0,35.25,1782200
2019-03-08,35.25,35.75,35.0,35.5,2058100
2019-03-07,35.5,35.75,35.25,35.5,1178000
2019-03-06,35.5,35.75,35.25,35.75,1335600
2019-03-05,35.5,36.0,35.25,35.5,1554900
2019-03-04,35.5,36.5,35.5,35.75,1713500
2019-03-01,35.75,35.75,35.25,35.5,1254200
2019-02-28,35.5,36.0,35.5,35.75,461500
2019-02-27,35.75,35.75,35.25,35.75,620400
2019-02-26,35.75,36.0,35.5,35.75,367600
2019-02-25,35.75,36.0,35.5,36.0,949500
2019-02-22,35.5,36.0,35.25,35.5,1014700
2019-02-21,36.0,36.0,35.25,35.5,909400
2019-02-20,35.0,36.0,35.0,36.0,1846400
2019-02-18,35.5,35.75,35.0,35.0,3044000
2019-02-15,36.0,36.0,35.0,35.25,1931400
2019-02-14,36.0,36.25,35.5,36.0,1801600
2019-02-13,35.0,36.0,35.0,36.0,2236900
2019-02-12,34.75,35.25,34.5,34.75,937700
2019-02-11,34.75,35.25,34.5,35.0,1620600
2019-02-08,35.25,35.25,34.5,34.75,1178800
2019-02-07,34.75,35.5,34.75,35.0,2506200
2019-02-06,34.75,35.25,34.5,34.75,891100
2019-02-05,35.25,35.25,34.25,34.75,861300
2019-02-04,35.0,35.25,34.5,35.25,1294800
2019-02-01,34.75,35.0,34.25,34.75,1894300
2019-01-31,34.0,34.5,33.75,34.5,2186300
2019-01-30,33.5,33.75,33.0,33.75,1051900
2019-01-29,33.5,33.5,33.25,33.25,264100
2019-01-28,33.5,33.5,33.0,33.25,2527500
2019-01-25,33.75,34.0,33.25,33.5,839800
2019-01-24,33.75,34.0,33.5,33.75,906100
2019-01-23,32.75,33.75,32.75,33.5,4249800
2019-01-22,33.0,33.25,32.25,32.75,2706900
2019-01-21,32.25,33.0,32.25,32.75,2674100
2019-01-18,32.25,32.25,32.0,32.0,1058700
2019-01-17,31.25,32.25,31.25,32.25,2018100
2019-01-16,31.25,31.75,31.0,31.0,2522500
2019-01-15,31.75,32.0,31.25,31.25,1830400
2019-01-14,32.0,32.25,31.5,31.75,706000
2019-01-11,32.5,32.5,31.75,32.0,1953300
2019-01-10,31.75,32.5,31.75,32.5,2372800
2019-01-09,31.25,32.0,31.25,31.5,3864100
2019-01-08,30.75,31.5,30.5,30.75,4346500
2019-01-07,30.5,30.75,30.25,30.5,3483200
2019-01-04,30.75,31.0,29.75,30.0,4887600
2019-01-03,31.75,32.0,30.75,31.0,3900200
2019-01-02,32.5,33.0,32.0,32.0,1171800
2018-12-28,31.75,33.0,31.5,33.0,2634100
2018-12-27,32.75,33.0,31.5,31.5,1517900
2018-12-26,31.5,32.25,31.5,32.0,1187100
2018-12-25,32.0,32.25,31.5,31.75,3626800
2018-12-24,32.25,33.0,32.0,32.0,1795100
2018-12-21,33.5,33.75,32.25,32.25,6627700
2018-12-20,34.0,34.0,33.25,33.75,1717400
2018-12-19,33.75,34.25,33.5,34.0,1621000
2018-12-18,34.25,34.25,33.5,33.75,2287700
2018-12-17,35.0,35.0,34.25,34.25,727300
2018-12-14,34.75,35.25,34.5,35.0,589400
2018-12-13,35.25,35.5,34.5,34.75,1704500
2018-12-12,35.5,36.0,35.0,35.0,1588500
2018-12-11,36.0,36.25,35.0,35.25,2067100
2018-12-07,35.75,36.5,35.5,36.25,1449700
2018-12-06,36.0,36.0,35.25,35.5,2503200
