Date,Open,High,Low,Close,Volume,Return
2009-12-30,85.5,85.5,84.75,85.0,4945500,
2010-01-04,85.25,85.5,84.0,84.5,2410100,-0.005882
2010-01-05,85.0,85.25,84.25,84.5,4058600,0.0
2010-01-06,85.0,86.0,84.75,85.75,9900800,0.014793
2010-01-07,86.5,87.75,86.25,86.75,13073500,0.011662
2010-01-08,87.5,88.25,86.75,88.0,10187600,0.014409
2010-01-11,88.5,88.5,87.25,87.5,5286200,-0.005682
2010-01-12,87.25,89.0,87.25,88.0,10625200,0.005714
2010-01-13,87.5,88.0,87.25,88.0,5401000,0.0
2010-01-14,88.5,88.5,87.75,87.75,5234800,-0.002841
2010-01-15,88.0,88.25,86.25,86.5,6142900,-0.014245
2010-01-18,86.0,86.25,85.5,86.0,4600600,-0.00578
2010-01-19,86.0,86.5,84.75,84.75,5421900,-0.014535
2010-01-20,84.75,85.0,82.25,84.0,7530900,-0.00885
2010-01-21,83.5,83.75,82.0,82.5,9520300,-0.017857
2010-01-22,81.5,82.5,81.0,82.25,6556800,-0.00303
2010-01-25,81.5,84.5,81.25,83.75,5896100,0.018237
2010-01-26,84.0,84.25,82.0,82.0,4339300,-0.020896
2010-01-27,82.5,82.5,81.0,81.25,4147600,-0.009146
2010-01-28,82.0,83.0,80.75,81.5,3673700,0.003077
2010-01-29,81.0,82.5,80.75,82.5,4745200,0.01227
2010-02-01,82.75,83.0,81.5,82.5,2866500,0.0
2010-02-02,83.5,83.5,81.75,81.75,3544000,-0.009091
2010-02-03,82.25,84.0,82.0,84.0,2897500,0.027523
2010-02-04,83.25,83.5,82.25,82.25,3073600,-0.020833
2010-02-05,81.0,81.0,79.25,79.5,7593600,-0.033435
2010-02-08,79.5,79.5,77.25,78.5,6956600,-0.012579
2010-02-09,78.0,79.5,77.25,79.5,4568400,0.012739
2010-02-10,79.75,80.5,79.5,79.75,4056000,0.003145
2010-02-11,79.5,80.0,78.5,79.75,6064700,0.0
2010-02-12,79.75,80.0,79.25,79.75,4530700,0.0
2010-02-15,79.5,79.5,77.5,77.75,3844500,-0.025078
2010-02-16,77.75,79.25,77.75,79.0,3128500,0.016077
2010-02-17,80.0,80.5,79.75,80.0,4399300,0.012658
2010-02-18,80.0,80.75,79.5,80.0,4593400,0.0
2010-02-19,79.5,79.75,78.5,79.75,5063600,-0.003125
2010-02-22,80.25,80.75,80.0,80.5,4268100,0.009404
2010-02-23,80.25,83.0,80.25,83.0,11294900,0.031056
2010-02-24,83.0,84.75,82.5,84.75,10988200,0.021084
