Date,Open,High,Low,Close,Volume,Return
2012-04-03,10.0,10.1,10.0,10.1,507700,
2012-04-04,10.1,10.1,10.0,10.0,1340300,-0.009901
2012-04-05,10.0,10.0,10.0,10.0,315500,0.0
2012-04-10,9.95,10.0,9.95,10.0,206800,0.0
2012-04-11,10.0,10.1,9.95,10.0,672600,0.0
2012-04-12,10.0,10.1,10.0,10.1,174200,0.01
2012-04-17,10.1,10.1,10.0,10.0,9500,-0.009901
2012-04-18,10.0,10.0,10.0,10.0,54500,0.0
2012-04-19,10.0,10.1,10.0,10.0,117600,0.0
2012-04-20,10.0,10.0,10.0,10.0,451400,0.0
2012-04-23,10.1,10.1,10.0,10.0,95200,0.0
2012-04-24,10.0,10.1,10.0,10.0,305000,0.0
2012-04-25,10.0,10.1,10.0,10.0,336400,0.0
2012-04-27,10.0,10.0,10.0,10.0,27500,0.0
2012-04-30,10.0,10.1,10.0,10.0,270100,0.0
2012-05-02,10.1,10.1,10.1,10.1,1034100,0.01
2012-05-03,10.1,10.1,10.0,10.1,843000,0.0
2012-05-04,10.1,10.2,10.1,10.2,749100,0.009901
2012-05-08,10.1,10.1,10.1,10.1,488500,-0.009804
2012-05-09,10.1,10.1,10.1,10.1,443300,0.0
2012-05-10,10.1,10.1,10.0,10.0,452900,-0.009901
2012-05-11,10.1,10.1,10.1,10.1,70800,0.01
2012-05-14,10.1,10.1,10.0,10.0,225600,-0.009901
2012-05-15,10.1,10.1,10.0,10.0,110300,0.0
2012-05-16,10.1,10.1,10.0,10.0,218200,0.0
2012-05-17,10.0,10.1,10.0,10.1,5500,0.01
2012-05-18,10.0,10.1,10.0,10.0,53900,-0.009901
2012-05-21,10.0,10.0,10.0,10.0,222000,0.0
2012-05-22,10.1,10.1,10.1,10.1,5000,0.01
2012-05-23,10.0,10.0,10.0,10.0,195000,-0.009901
2012-05-24,10.0,10.0,10.0,10.0,320800,0.0
2012-05-25,10.0,10.0,10.0,10.0,10500,0.0
2012-05-28,10.0,10.0,10.0,10.0,10000,0.0
2012-05-29,10.1,10.1,10.1,10.1,4500,0.01
2012-05-31,10.0,10.0,10.0,10.0,35100,-0.009901
2012-06-01,10.0,10.0,10.0,10.0,45100,0.0
2012-06-05,10.0,10.0,10.0,10.0,86500,0.0
2012-06-06,10.0,10.0,10.0,10.0,32500,0.0
2012-06-07,10.1,10.1,10.1,10.1,2100,0.01
2012-06-08,10.1,10.1,10.1,10.1,10000,0.0
2012-06-11,10.0,10.1,10.0,10.1,384200,0.0
2012-06-12,10.1,10.1,10.1,10.1,101000,0.0
2012-06-13,10.1,10.1,10.0,10.1,224200,0.0
2012-06-14,10.1,10.1,10.1,10.1,77000,0.0
2012-06-15,10.1,10.1,10.0,10.1,71600,0.0
2012-06-18,10.1,10.1,10.1,10.1,15400,0.0
2012-06-19,10.1,10.1,10.1,10.1,300,0.0
2012-06-20,10.1,10.1,10.0,10.1,32100,0.0
2012-06-21,10.0,10.1,10.0,10.0,306500,-0.009901
2012-06-22,10.1,10.1,10.0,10.0,15000,0.0
2012-06-25,10.1,10.1,10.0,10.0,56200,0.0
2012-06-26,10.1,10.1,10.0,10.0,129900,0.0
2012-06-27,10.1,10.1,10.1,10.1,9500,0.01
2012-06-28,10.1,10.1,10.1,10.1,200,0.0
2012-06-29,10.0,10.0,10.0,10.0,10000,-0.009901
2012-07-02,10.0,10.2,10.0,10.2,283700,0.02
2012-07-03,10.1,10.1,10.0,10.1,173600,-0.009804
2012-07-04,10.1,10.1,10.1,10.1,40400,0.0
2012-07-05,10.1,10.1,10.0,10.0,80000,-0.009901
2012-07-06,10.1,10.1,10.0,10.1,240700,0.01
2012-07-09,10.1,10.1,10.1,10.1,155000,0.0
2012-07-10,10.1,10.1,10.1,10.1,451600,0.0
2012-07-11,10.2,10.2,10.1,10.1,93900,0.0
2012-07-12,10.2,10.2,10.2,10.2,200,0.009901
2012-07-16,10.2,10.2,10.2,10.2,100100,0.0
2012-07-17,10.2,10.2,10.2,10.2,11000,0.0
2012-07-18,10.2,10.2,10.1,10.1,21000,-0.009804
2012-07-19,10.1,10.1,10.1,10.1,1000,0.0
2012-07-20,10.1,10.2,10.1,10.2,32700,0.009901
2012-07-23,10.2,10.2,10.2,10.2,14600,0.0
2012-07-24,10.2,10.2,10.2,10.2,108300,0.0
2012-07-25,10.1,10.1,10.1,10.1,100200,-0.009804
2012-07-26,10.2,10.2,10.2,10.2,420000,0.009901
2012-07-27,10.2,10.2,10.2,10.2,143200,0.0
2012-07-30,10.2,10.3,10.2,10.2,117400,0.0
2012-07-31,10.2,10.2,10.2,10.2,205000,0.0
2012-08-01,10.3,10.3,10.2,10.2,301000,0.0
2012-08-03,10.3,10.3,10.2,10.2,357600,0.0
2012-08-06,10.2,10.3,10.2,10.2,220000,0.0
2012-08-07,10.3,10.3,10.2,10.2,204100,0.0
2012-08-08,10.2,10.2,10.2,10.2,88000,0.0
2012-08-09,10.2,10.3,10.2,10.3,91100,0.009804
2012-08-10,10.3,10.3,10.2,10.2,216300,-0.009709
2012-08-14,10.2,10.2,10.1,10.2,298100,0.0
2012-08-15,10.2,10.4,10.2,10.4,227800,0.019608
2012-08-16,10.4,10.4,10.3,10.4,85900,0.0
2012-08-17,10.3,10.4,10.3,10.3,125300,-0.009615
2012-08-20,10.3,10.3,10.3,10.3,312500,0.0
2012-08-21,10.3,10.3,10.3,10.3,249700,0.0
2012-08-22,10.4,10.4,10.3,10.3,58000,0.0
2012-08-23,10.3,10.4,10.3,10.4,134500,0.009709
2012-08-24,10.2,10.3,10.2,10.2,96000,-0.019231
2012-08-27,10.2,10.2,10.1,10.1,228200,-0.009804
2012-08-28,10.2,10.2,10.2,10.2,100,0.009901
2012-08-29,10.1,10.1,10.1,10.1,50000,-0.009804
2012-08-30,10.1,10.2,10.1,10.2,52000,0.009901
2012-08-31,10.2,10.2,10.1,10.1,157000,-0.009804
2012-09-03,10.2,10.2,10.2,10.2,5000,0.009901
2012-09-04,10.2,10.2,10.2,10.2,36200,0.0
2012-09-05,10.2,10.2,10.2,10.2,362700,0.0
2012-09-06,10.2,10.3,10.1,10.3,483400,0.009804
2012-09-07,10.2,10.2,10.2,10.2,15000,-0.009709
2012-09-11,10.2,10.3,10.2,10.3,394000,0.009804
2012-09-12,10.3,10.3,10.3,10.3,355000,0.0
2012-09-13,10.3,10.4,10.3,10.3,344400,0.0
2012-09-14,10.3,10.4,10.3,10.3,875100,0.0
2012-09-17,10.3,10.3,10.3,10.3,273000,0.0
2012-09-18,10.4,10.4,10.3,10.3,341000,0.0
2012-09-19,10.3,10.4,10.3,10.4,12500,0.009709
2012-09-20,10.4,10.4,10.3,10.4,148000,0.0
2012-09-21,10.4,10.5,10.3,10.4,1120500,0.0
2012-09-24,10.4,10.4,10.4,10.4,185000,0.0
2012-09-25,10.4,10.4,10.4,10.4,31500,0.0
2012-09-26,10.3,10.4,10.3,10.4,197600,0.0
2012-09-27,10.4,10.4,10.3,10.3,115200,-0.009615
2012-09-28,10.3,10.4,10.3,10.4,25000,0.009709
2012-10-01,10.4,10.4,10.3,10.4,61000,0.0
2012-10-02,10.4,10.4,10.4,10.4,85700,0.0
2012-10-03,10.4,10.5,10.4,10.5,206000,0.009615
2012-10-04,10.5,10.5,10.4,10.4,350000,-0.009524
2012-10-05,10.5,10.5,10.4,10.4,205200,0.0
2012-10-08,10.5,10.5,10.4,10.4,737000,0.0
2012-10-09,10.4,10.5,10.4,10.5,9000,0.009615
