Date,Open,High,Low,Close,Volume
2020-01-06,41.75,41.75,40.0,41.25,8100
2020-01-03,41.75,41.75,41.0,41.75,900
2020-01-02,42.0,42.0,40.75,41.75,5000
2019-12-30,42.0,43.0,41.0,43.0,6600
2019-12-27,42.0,42.0,41.25,41.25,3200
2019-12-26,41.25,41.25,41.0,41.0,7700
2019-12-25,41.25,42.0,41.25,42.0,5100
2019-12-24,41.25,42.0,41.0,42.0,800
2019-12-23,41.25,41.25,41.0,41.25,7400
2019-12-20,41.0,41.5,41.0,41.25,18800
2019-12-19,42.0,42.0,41.0,41.75,6200
2019-12-18,41.25,42.0,41.0,41.0,8900
2019-12-17,41.25,41.25,41.25,41.25,3800
2019-12-16,41.5,41.5,41.0,41.25,4200
2019-12-13,41.0,42.0,41.0,41.75,3800
2019-12-12,41.0,41.5,41.0,41.0,2500
2019-12-11,41.0,41.5,41.0,41.0,3200
2019-12-09,41.0,41.0,40.0,40.75,14100
2019-12-06,41.75,42.5,40.75,41.0,15500
2019-12-04,44.0,44.0,41.0,42.75,40800
2019-12-03,44.25,44.25,42.0,44.0,90900
2019-12-02,55.5,55.5,53.5,53.75,146300
2019-11-29,55.0,55.5,54.25,55.5,32300
2019-11-28,55.0,55.75,54.5,55.0,29800
2019-11-27,56.5,56.5,55.0,55.25,32000
2019-11-26,56.5,56.75,55.75,56.75,27100
2019-11-25,57.0,57.0,55.5,56.5,34300
2019-11-22,57.0,57.75,56.0,56.75,46900
2019-11-21,57.0,58.25,56.0,57.0,116500
2019-11-20,53.0,53.75,52.0,53.25,5600
2019-11-19,52.0,53.0,51.0,52.0,600
2019-11-18,50.25,52.75,50.0,51.0,2000
2019-11-15,52.0,56.0,52.0,52.75,1000
2019-11-14,50.0,54.5,50.0,51.5,3400
2019-11-13,50.0,53.0,50.0,51.5,1100
2019-11-12,50.0,50.0,49.0,50.0,4000
2019-11-11,50.0,50.0,49.0,49.0,7500
2019-11-08,51.0,51.75,51.0,51.25,12100
2019-11-07,52.5,54.25,51.25,53.75,1600
2019-11-06,54.0,54.0,51.25,53.5,400
2019-11-05,52.25,54.75,51.0,52.5,500
2019-11-04,53.75,53.75,52.5,52.5,200
2019-11-01,50.0,52.5,49.5,52.5,3300
2019-10-31,50.0,50.25,50.0,50.0,3000
2019-10-30,50.5,50.5,50.0,50.0,4700
2019-10-29,51.0,51.5,51.0,51.0,400
2019-10-28,51.0,51.5,50.0,51.25,4200
2019-10-25,51.0,52.5,50.0,50.25,2500
2019-10-24,55.0,55.0,49.75,51.75,32200
2019-10-22,54.0,57.5,54.0,56.0,18600
2019-10-21,55.0,55.25,54.0,54.25,3300
2019-10-18,57.5,57.5,50.0,56.25,11700
2019-10-17,57.75,57.75,55.5,56.75,26200
2019-10-16,56.5,56.5,55.0,55.0,1500
2019-10-15,55.75,56.75,55.75,56.75,1800
2019-10-11,56.5,56.5,55.5,56.5,1300
2019-10-10,56.0,56.0,55.0,55.0,2500
2019-10-09,57.5,57.5,56.0,56.75,24800
2019-10-08,56.0,58.0,56.0,56.5,67600
2019-10-07,54.75,58.5,53.0,56.0,59900
2019-10-04,45.0,58.0,45.0,58.0,5600
2019-10-03,46.25,46.25,45.0,46.25,3900
2019-10-02,45.0,46.25,45.0,46.25,3100
2019-10-01,46.75,46.75,46.75,46.75,1000
2019-09-30,45.75,46.5,45.5,46.0,4300
2019-09-27,45.75,46.75,45.5,46.75,3800
2019-09-26,45.0,45.0,45.0,45.0,2100
2019-09-25,45.5,46.5,45.0,46.5,9400
2019-09-24,45.0,45.75,45.0,45.0,5400
2019-09-20,45.0,45.0,45.0,45.0,100
2019-09-18,44.75,45.0,44.0,45.0,4200
2019-09-17,44.75,44.75,44.75,44.75,100
2019-09-16,45.0,45.0,45.0,45.0,1200
2019-09-13,45.0,45.75,44.5,45.75,1600
2019-09-11,45.5,45.75,45.5,45.75,1200
2019-09-10,45.5,45.5,45.5,45.5,2100
2019-09-09,44.75,45.5,44.75,45.5,1400
2019-09-06,44.75,45.0,44.75,45.0,2300
2019-09-05,45.0,45.5,44.75,45.25,5000
2019-09-04,45.5,45.75,45.5,45.75,900
2019-09-03,45.0,45.0,45.0,45.0,300
2019-09-02,45.5,45.5,45.5,45.5,200
2019-08-30,45.0,45.5,45.0,45.5,200
2019-08-27,44.75,45.75,44.75,45.75,300
2019-08-26,44.5,45.75,44.5,45.75,3200
2019-08-20,45.0,45.75,44.25,45.75,1400
2019-08-19,45.5,45.5,45.5,45.5,1000
2019-08-16,44.75,46.25,44.75,46.25,2800
2019-08-15,44.75,45.75,44.75,45.75,2100
2019-08-14,45.0,45.0,45.0,45.0,500
2019-08-13,45.0,45.0,45.0,45.0,800
2019-08-09,45.0,45.75,45.0,45.0,300
2019-08-08,45.25,45.75,45.0,45.75,1900
2019-08-07,45.25,45.25,45.25,45.25,500
2019-08-06,46.25,46.25,45.0,45.25,2400
2019-08-05,45.25,46.5,45.25,46.5,4500
2019-08-02,46.5,46.5,46.5,46.5,2000
2019-08-01,45.25,46.5,45.25,46.5,2500
2019-07-31,45.75,46.0,45.75,46.0,2800
2019-07-30,46.5,46.5,45.0,45.5,4100
2019-07-26,46.0,46.0,46.0,46.0,1500
2019-07-25,46.75,46.75,45.75,46.0,3300
2019-07-24,46.0,46.0,46.0,46.0,2300
