Date,Open,High,Low,Close,Volume,Return
2009-12-30,8.5,8.5,8.35,8.5,1788700,
2010-01-04,8.45,8.45,8.25,8.4,1006600,-0.011765
2010-01-05,8.45,8.5,8.35,8.4,1664600,0.0
2010-01-06,8.4,8.75,8.4,8.7,5388300,0.035714
2010-01-07,8.75,8.75,8.65,8.7,2041600,0.0
2010-01-08,8.7,8.95,8.7,8.9,5142600,0.022989
2010-01-11,8.95,9.05,8.8,8.8,5383400,-0.011236
2010-01-12,8.8,8.9,8.8,8.8,1559600,0.0
2010-01-13,8.8,8.85,8.7,8.75,1057200,-0.005682
2010-01-14,8.75,9.0,8.75,8.85,4485200,0.011429
2010-01-15,8.9,9.35,8.9,9.25,8738500,0.045198
2010-01-18,9.3,9.7,9.25,9.6,9403700,0.037838
2010-01-19,9.6,9.6,9.2,9.25,4475200,-0.036458
2010-01-20,9.25,9.3,8.85,9.2,6565300,-0.005405
2010-01-21,9.05,9.15,8.95,9.05,2844700,-0.016304
2010-01-22,8.95,9.15,8.85,9.15,2038200,0.01105
2010-01-25,9.1,9.5,9.05,9.4,5913000,0.027322
2010-01-26,9.45,9.5,9.15,9.15,3728500,-0.026596
2010-01-27,9.15,9.15,8.9,9.05,5109400,-0.010929
2010-01-28,9.15,9.15,8.7,8.8,4343000,-0.027624
2010-01-29,8.7,8.75,8.65,8.7,2635300,-0.011364
2010-02-01,8.7,8.9,8.6,8.85,3009500,0.017241
2010-02-02,8.9,8.9,8.8,8.8,2416300,-0.00565
2010-02-03,8.85,8.85,8.8,8.85,2118600,0.005682
2010-02-04,8.8,8.85,8.7,8.8,2144200,-0.00565
2010-02-05,8.55,8.55,8.3,8.45,4596900,-0.039773
2010-02-08,8.45,8.45,8.1,8.45,3803900,0.0
2010-02-09,8.3,8.6,8.2,8.55,2447400,0.011834
2010-02-10,8.55,8.65,8.55,8.6,2073600,0.005848
2010-02-11,8.55,8.7,8.55,8.7,2127900,0.011628
2010-02-12,8.75,8.85,8.65,8.85,2228700,0.017241
2010-02-15,8.75,8.75,8.65,8.65,802600,-0.022599
2010-02-16,8.6,8.75,8.6,8.65,790600,0.0
2010-02-17,8.6,8.65,8.55,8.55,1849400,-0.011561
2010-02-18,8.55,8.65,8.55,8.55,1296300,0.0
2010-02-19,8.6,8.7,8.5,8.55,2752300,0.0
2010-02-22,8.55,8.8,8.55,8.8,4107400,0.02924
2010-02-23,8.8,8.9,8.7,8.9,4116700,0.011364
2010-02-24,8.85,9.0,8.85,8.9,5028400,0.0
2010-02-25,8.9,8.95,8.75,8.85,5786200,-0.005618
2010-02-26,8.85,9.1,8.8,9.0,7228200,0.016949
2010-03-02,9.05,9.15,9.0,9.1,2771600,0.011111
2010-03-03,9.15,9.2,9.05,9.05,3474700,-0.005495
2010-03-04,9.05,9.05,8.95,9.0,1339300,-0.005525
2010-03-05,9.05,9.1,8.9,8.95,2999300,-0.005556
2010-03-08,8.95,9.0,8.75,8.75,1081500,-0.022346
2010-03-09,8.7,8.7,8.55,8.6,1182000,-0.017143
2010-03-10,8.6,8.8,8.6,8.75,1353400,0.017442
2010-03-11,8.75,8.75,8.6,8.65,2673600,-0.011429
2010-03-12,8.7,8.8,8.7,8.8,1356500,0.017341
2010-03-15,8.75,8.8,8.65,8.65,1115900,-0.017045
2010-03-16,8.75,8.95,8.7,8.9,2447000,0.028902
2010-03-17,9.0,9.1,8.9,9.05,3907500,0.016854
2010-03-18,9.0,9.1,8.95,8.95,1601400,-0.01105
2010-03-19,9.0,9.0,8.9,8.95,3752300,0.0
2010-03-22,8.9,9.0,8.9,8.9,1786100,-0.005587
2010-03-23,9.0,9.0,8.85,8.85,1941100,-0.005618
2010-03-24,8.9,9.1,8.9,9.05,4845600,0.022599
2010-03-25,9.1,9.1,8.95,8.95,8024600,-0.01105
2010-03-26,8.95,9.05,8.95,8.95,1399200,0.0
2010-03-29,9.0,9.0,8.75,8.8,2249400,-0.01676
2010-03-30,8.8,8.95,8.8,8.9,2540800,0.011364
2010-03-31,8.9,9.1,8.9,9.05,4859300,0.016854
2010-04-01,9.1,9.4,9.05,9.4,9627000,0.038674
2010-04-02,9.45,9.45,9.25,9.3,2896100,-0.010638
2010-04-05,9.15,9.25,9.1,9.15,2055700,-0.016129
2010-04-07,9.15,9.2,9.05,9.1,3011000,-0.005464
2010-04-08,9.1,9.1,8.9,9.05,3276500,-0.005495
2010-04-09,8.95,9.05,8.95,9.0,2522600,-0.005525
2010-04-12,8.4,8.55,8.35,8.55,3125700,-0.05
2010-04-16,8.5,8.5,8.4,8.4,1866500,-0.017544
2010-04-19,8.35,8.45,8.25,8.4,1584200,0.0
2010-04-20,8.4,8.55,8.4,8.5,1981300,0.011905
2010-04-21,8.45,8.5,8.4,8.4,901100,-0.011765
2010-04-22,8.45,8.65,8.4,8.55,1746000,0.017857
2010-04-23,8.45,8.5,8.3,8.4,1439600,-0.017544
2010-04-26,8.5,8.5,8.4,8.4,887300,0.0
2010-04-27,8.35,8.4,8.3,8.3,1241400,-0.011905
2010-04-28,8.3,8.35,8.2,8.3,1138200,0.0
2010-04-29,8.35,8.45,8.3,8.4,807800,0.012048
2010-04-30,8.5,8.6,8.45,8.6,1484100,0.02381
2010-05-04,8.8,9.05,8.7,8.9,3903400,0.034884
2010-05-06,8.85,8.95,8.75,8.95,878900,0.005618
2010-05-07,8.8,8.95,8.8,8.9,919100,-0.005587
2010-05-10,8.8,9.1,8.75,9.1,3195200,0.022472
2010-05-11,9.2,9.25,9.1,9.1,2442900,0.0
2010-05-12,9.1,9.15,9.0,9.05,947700,-0.005495
2010-05-13,9.1,9.15,8.95,9.0,2071100,-0.005525
2010-05-14,8.8,9.0,8.8,9.0,1155100,0.0
2010-05-17,8.7,8.75,8.6,8.7,916400,-0.033333
2010-05-18,8.7,8.85,8.7,8.7,749900,0.0
2010-05-19,8.7,8.75,8.65,8.7,2113500,0.0
2010-05-24,8.65,8.7,8.45,8.45,1186900,-0.028736
2010-05-25,8.35,8.4,8.25,8.25,1585400,-0.023669
2010-05-26,8.3,8.4,8.3,8.3,1007300,0.006061
2010-05-27,8.35,8.45,8.35,8.45,2013900,0.018072
2010-05-31,8.5,8.75,8.5,8.75,2240700,0.035503
2010-06-01,8.7,8.85,8.55,8.6,2005200,-0.017143
2010-06-02,8.65,8.7,8.6,8.6,1189300,0.0
2010-06-03,8.65,8.75,8.65,8.65,1601200,0.005814
2010-06-04,8.65,8.75,8.6,8.75,1703100,0.011561
2010-06-07,8.6,8.65,8.55,8.65,671900,-0.011429
2010-06-08,8.65,8.65,8.6,8.6,1012400,-0.00578
2010-06-09,8.6,8.65,8.55,8.6,823100,0.0
2010-06-10,8.6,8.85,8.55,8.75,3895900,0.017442
2010-06-11,8.8,8.9,8.7,8.75,2269200,0.0
2010-06-14,8.75,8.95,8.75,8.85,1419100,0.011429
2010-06-15,8.85,8.9,8.85,8.85,637100,0.0
2010-06-16,8.95,9.05,8.9,9.0,3876100,0.016949
2010-06-17,9.05,9.2,9.0,9.15,4036500,0.016667
2010-06-18,9.15,9.35,9.05,9.35,4880200,0.021858
2010-06-21,9.4,9.5,9.3,9.45,7815300,0.010695
2010-06-22,9.5,9.85,9.5,9.75,7496600,0.031746
2010-06-23,9.75,9.8,9.65,9.75,3937000,0.0
2010-06-24,9.7,9.75,9.3,9.35,3379700,-0.041026
2010-06-25,9.35,9.5,9.25,9.4,3096100,0.005348
2010-06-28,9.4,9.5,9.4,9.45,1807400,0.005319
2010-06-29,9.45,9.65,9.4,9.45,3435400,0.0
2010-06-30,9.4,9.55,9.35,9.4,2376500,-0.005291
2010-07-02,9.45,9.65,9.45,9.55,4849300,0.015957
2010-07-05,9.6,9.8,9.55,9.75,6352200,0.020942
2010-07-06,9.95,10.3,9.9,10.0,9873600,0.025641
2010-07-07,10.0,10.3,9.8,9.9,5443500,-0.01
2010-07-08,10.0,10.2,10.0,10.2,5221500,0.030303
2010-07-09,10.2,10.3,9.95,10.2,7804500,0.0
2010-07-12,10.2,10.3,9.95,9.95,6133500,-0.02451
2010-07-13,10.1,10.1,9.8,9.9,3251500,-0.005025
2010-07-14,9.95,10.2,9.9,9.9,3271800,0.0
2010-07-15,10.0,10.2,9.95,10.0,6209900,0.010101
2010-07-16,10.1,10.7,10.1,10.7,24306300,0.07
2010-07-19,11.0,11.4,10.6,10.9,20117200,0.018692
2010-07-20,10.9,11.0,10.5,10.7,5240100,-0.018349
2010-07-21,10.8,11.2,10.6,11.2,12122700,0.046729
2010-07-22,11.4,11.6,11.1,11.3,9843800,0.008929
2010-07-23,11.5,11.5,11.2,11.2,3335300,-0.00885
2010-07-27,11.2,11.4,11.2,11.3,3821500,0.008929
2010-07-28,11.3,11.4,10.9,11.0,4366200,-0.026549
