Date,Open,High,Low,Close,Volume,Return
2009-12-30,6.5,6.53,6.5,6.5,598000,
2010-01-04,6.5,6.53,6.5,6.5,259000,0.0
2010-01-05,6.65,6.67,6.53,6.62,765000,0.018462
2010-01-06,6.62,6.72,6.62,6.7,1465000,0.012085
2010-01-07,6.7,6.78,6.67,6.72,1715000,0.002985
2010-01-08,6.72,6.75,6.72,6.72,722000,0.0
2010-01-11,6.7,6.78,6.7,6.72,343000,0.0
2010-01-12,6.75,6.8,6.75,6.8,260000,0.011905
2010-01-13,6.8,6.92,6.8,6.9,992000,0.014706
2010-01-14,6.9,7.0,6.8,7.0,787000,0.014493
2010-01-15,7.0,7.05,7.0,7.05,161000,0.007143
2010-01-18,7.05,7.33,7.05,7.33,3034000,0.039716
2010-01-19,7.35,7.35,7.2,7.25,2647000,-0.010914
2010-01-20,7.25,7.25,7.12,7.2,720000,-0.006897
2010-01-21,7.25,7.28,7.2,7.2,75000,0.0
2010-01-22,7.17,7.2,7.15,7.2,352000,0.0
2010-01-25,7.2,7.38,7.2,7.38,1670000,0.025
2010-01-26,7.28,7.3,7.28,7.28,5373000,-0.01355
2010-01-27,7.28,7.28,7.17,7.17,456000,-0.01511
2010-01-28,7.17,7.25,7.15,7.22,787000,0.006974
2010-01-29,7.22,7.25,7.1,7.22,501000,0.0
2010-02-01,7.22,7.22,7.2,7.2,314000,-0.00277
2010-02-02,7.35,7.35,7.25,7.25,10000,0.006944
2010-02-03,7.25,7.3,7.25,7.25,401000,0.0
2010-02-04,7.25,7.3,7.22,7.22,622000,-0.004138
2010-02-05,7.35,7.35,7.25,7.28,42000,0.00831
2010-02-08,7.2,7.2,7.15,7.17,1706000,-0.01511
2010-02-09,7.3,7.3,7.1,7.25,362000,0.011158
2010-02-10,7.25,7.3,7.2,7.2,268000,-0.006897
2010-02-11,7.25,7.25,7.25,7.25,55000,0.006944
2010-02-12,7.25,7.25,7.22,7.22,261000,-0.004138
2010-02-15,7.3,7.3,7.05,7.3,30000,0.01108
2010-02-16,7.28,7.28,7.2,7.2,23000,-0.013699
2010-02-17,7.25,7.28,7.2,7.2,14000,0.0
2010-02-18,7.2,7.25,7.2,7.25,233000,0.006944
2010-02-19,7.15,7.22,7.15,7.22,48000,-0.004138
2010-02-22,7.22,7.22,7.2,7.22,84000,0.0
2010-02-23,7.2,7.2,7.15,7.17,496000,-0.006925
2010-02-24,7.05,7.17,7.05,7.17,359000,0.0
2010-02-25,7.25,7.25,7.17,7.17,751000,0.0
2010-02-26,7.1,7.17,7.1,7.17,7000,0.0
2010-03-02,7.2,7.33,7.2,7.33,100000,0.022315
2010-03-03,7.35,7.38,7.35,7.38,226000,0.006821
2010-03-04,7.38,7.4,7.35,7.38,510000,0.0
2010-03-05,7.47,7.47,7.35,7.38,117000,0.0
2010-03-08,7.38,7.38,7.35,7.38,80000,0.0
2010-03-09,7.38,7.4,7.38,7.38,667000,0.0
2010-03-10,7.38,7.45,7.38,7.45,198000,0.009485
2010-03-11,7.4,7.5,7.4,7.5,201000,0.006711
2010-03-12,7.5,7.53,7.5,7.5,400000,0.0
2010-03-15,7.5,7.5,7.47,7.5,655000,0.0
2010-03-16,7.47,7.5,7.47,7.5,463000,0.0
2010-03-17,7.47,7.5,7.45,7.5,2773000,0.0
2010-03-18,7.47,7.55,7.47,7.5,660000,0.0
2010-03-19,7.5,7.6,7.5,7.6,234000,0.013333
2010-03-22,7.62,7.62,7.6,7.6,1486000,0.0
