Date,Open,High,Low,Close,Volume
2020-01-06,84.0,84.0,82.0,82.5,3800
2020-01-03,83.5,85.0,83.0,85.0,800
2020-01-02,82.5,84.75,82.5,84.75,700
2019-12-30,79.5,85.0,79.25,85.0,6400
2019-12-27,80.0,81.0,79.0,79.5,2700
2019-12-25,80.0,81.0,80.0,81.0,2100
2019-12-23,80.0,80.0,80.0,80.0,1100
2019-12-20,80.0,80.0,79.0,79.0,600
2019-12-19,79.5,80.0,79.5,80.0,400
2019-12-18,80.0,80.0,80.0,80.0,300
2019-12-17,81.0,81.0,80.0,80.0,2600
2019-12-16,81.0,81.0,81.0,81.0,300
2019-12-13,81.25,81.25,81.0,81.0,2900
2019-12-12,81.75,82.0,81.75,82.0,200
2019-12-11,81.25,82.75,81.0,81.75,1300
2019-12-09,83.0,83.0,82.0,82.0,4900
2019-12-06,83.0,83.0,82.5,83.0,1500
2019-12-04,83.25,83.5,83.0,83.0,1100
2019-12-03,84.5,84.5,83.0,83.5,1600
2019-12-02,84.75,85.0,83.75,84.0,1900
2019-11-29,84.5,85.0,84.0,84.5,4200
2019-11-28,89.0,89.0,84.0,85.0,17500
2019-11-27,89.0,89.5,88.5,88.5,1700
2019-11-26,89.25,89.25,89.0,89.0,300
2019-11-25,89.75,89.75,89.75,89.75,100
2019-11-22,86.25,86.25,86.0,86.0,1000
2019-11-21,89.0,89.0,89.0,89.0,200
2019-11-20,88.5,88.75,88.5,88.5,1000
2019-11-19,89.25,89.25,88.5,88.5,600
2019-11-18,88.5,88.5,88.5,88.5,200
2019-11-15,88.25,88.25,88.0,88.0,800
2019-11-13,89.5,89.5,89.0,89.25,900
2019-11-12,89.0,95.0,89.0,90.0,6100
2019-11-11,87.5,87.5,87.5,87.5,100
2019-11-08,88.5,88.5,88.0,88.0,1600
2019-11-06,88.25,88.25,88.0,88.0,400
2019-10-31,87.75,87.75,87.75,87.75,300
2019-10-28,87.0,89.0,87.0,88.5,1400
2019-10-25,89.5,89.75,88.0,88.0,4400
2019-10-24,89.75,89.75,89.75,89.75,200
2019-10-22,88.0,89.5,88.0,89.5,700
2019-10-21,89.0,89.0,89.0,89.0,700
2019-10-18,89.25,89.25,89.0,89.0,400
2019-10-16,89.0,89.0,89.0,89.0,300
2019-10-11,89.0,89.0,89.0,89.0,400
2019-10-10,89.75,90.0,89.75,90.0,3600
2019-10-09,89.25,89.25,89.0,89.0,400
2019-10-07,89.75,89.75,88.75,88.75,300
2019-10-04,88.75,89.5,88.5,89.5,500
2019-10-03,89.5,89.75,89.0,89.0,5400
2019-10-02,88.5,90.0,88.5,88.5,19400
2019-09-30,89.5,89.5,88.5,88.5,1800
2019-09-27,92.5,92.5,89.25,89.25,2300
2019-09-26,88.25,89.0,88.0,89.0,2300
2019-09-24,88.25,92.5,87.75,87.75,1900
2019-09-23,88.25,92.0,87.75,92.0,2400
2019-09-20,88.0,88.5,87.75,88.5,1000
2019-09-19,89.25,90.25,86.25,88.0,11000
2019-09-18,87.75,88.75,87.0,88.0,1900
2019-09-17,87.5,90.0,87.25,88.0,2600
2019-09-16,89.5,89.5,89.5,89.5,100
2019-09-13,87.75,91.0,87.5,88.0,1000
2019-09-12,89.0,90.0,88.0,88.0,2300
2019-09-11,90.0,90.0,90.0,90.0,1000
2019-09-10,86.75,89.75,86.75,89.0,300
2019-09-05,87.25,89.5,87.0,89.5,900
2019-09-04,88.5,88.5,85.25,85.25,3100
2019-09-03,88.0,89.75,88.0,89.75,300
2019-08-30,92.0,92.0,92.0,92.0,100
2019-08-29,89.5,92.0,89.5,92.0,1700
2019-08-28,89.0,89.0,89.0,89.0,200
2019-08-26,87.25,89.25,87.0,89.25,3300
2019-08-21,88.0,90.0,88.0,90.0,1500
2019-08-20,88.0,88.0,88.0,88.0,400
2019-08-19,88.25,88.25,87.0,88.25,800
2019-08-16,93.0,93.75,88.0,88.25,1400
2019-08-15,91.0,91.75,88.0,88.0,1400
2019-08-14,90.0,90.5,87.0,90.5,3200
2019-08-13,89.0,92.75,89.0,89.0,1000
2019-08-09,93.0,93.0,93.0,93.0,1000
2019-08-08,94.75,94.75,94.0,94.25,1900
2019-08-07,94.0,94.0,93.0,93.0,700
2019-08-06,93.0,93.0,92.5,92.5,600
2019-08-05,93.5,93.5,93.5,93.5,100
2019-08-02,95.0,95.0,95.0,95.0,200
2019-08-01,96.0,96.0,95.0,95.0,2400
2019-07-31,92.0,95.25,92.0,95.25,400
2019-07-30,94.25,95.5,94.25,95.5,200
2019-07-26,94.5,95.5,94.0,94.0,3000
2019-07-25,94.5,94.5,94.0,94.0,800
2019-07-24,95.5,95.5,94.0,94.0,3400
2019-07-23,95.0,95.75,95.0,95.75,1800
2019-07-22,94.0,96.25,94.0,95.0,3400
2019-07-19,93.0,93.0,93.0,93.0,1200
2019-07-18,94.0,95.5,93.0,94.5,9300
2019-07-17,94.25,94.25,93.5,94.0,700
2019-07-15,94.0,94.25,94.0,94.25,2700
2019-07-12,93.75,94.25,93.75,94.25,1800
2019-07-11,94.25,94.25,94.25,94.25,100
2019-07-10,94.25,94.5,94.0,94.0,900
2019-07-09,94.0,94.0,94.0,94.0,500
2019-07-08,94.0,94.25,94.0,94.25,700
2019-07-05,94.0,94.25,94.0,94.25,600
2019-07-04,93.0,93.75,92.75,93.75,6000
2019-07-03,94.0,94.0,93.75,93.75,2900
2019-07-02,93.75,94.25,92.0,92.5,5200
2019-07-01,95.0,95.0,94.0,94.0,2000
2019-06-28,95.0,95.0,95.0,95.0,1400
2019-06-27,93.0,94.5,92.25,94.5,1700
2019-06-26,91.25,93.75,91.25,93.0,800
2019-06-25,94.25,94.5,92.75,92.75,8100
2019-06-24,95.0,95.0,92.75,92.75,2700
2019-06-21,96.0,96.0,93.25,95.5,3900
2019-06-20,94.25,95.0,94.25,95.0,500
2019-06-19,93.5,96.75,93.0,94.5,8300
2019-06-18,92.25,93.5,92.25,93.5,1900
2019-06-17,90.0,92.5,90.0,92.25,1800
2019-06-14,91.0,91.5,91.0,91.5,1400
2019-06-13,92.0,92.25,90.0,91.5,50000
2019-06-12,90.0,91.5,90.0,91.5,1900
2019-06-11,90.75,90.75,90.75,90.75,200
2019-06-10,90.25,91.0,90.0,90.5,6800
2019-06-07,90.25,90.5,90.0,90.5,1200
2019-06-06,88.25,90.0,88.25,90.0,1400
2019-06-05,87.5,90.0,86.0,88.0,3800
2019-06-04,87.5,87.5,87.5,87.5,1800
2019-05-31,87.25,88.0,87.25,87.5,2100
2019-05-30,86.5,87.0,86.5,86.75,800
2019-05-29,86.25,89.75,86.25,89.75,3700
2019-05-28,84.0,87.5,84.0,86.5,4100
2019-05-27,82.5,85.0,82.25,85.0,1600
2019-05-24,81.5,82.0,81.25,82.0,4300
2019-05-23,80.0,84.0,80.0,81.5,2300
2019-05-22,79.5,80.5,79.25,80.0,1000
2019-05-21,79.75,79.75,79.25,79.5,4200
2019-05-17,78.75,82.0,78.5,80.0,8400
2019-05-16,79.25,79.25,78.5,79.0,4000
2019-05-15,81.25,81.25,79.5,79.75,8100
2019-05-14,84.0,84.0,79.0,81.25,25000
2019-05-13,85.75,85.75,83.5,83.5,10000
2019-05-10,87.5,88.0,85.75,85.75,23300
2019-05-09,89.0,90.0,89.0,89.75,67600
2019-05-08,90.0,90.0,88.75,88.75,3300
2019-05-07,89.75,90.0,89.5,90.0,8700
2019-05-03,90.25,90.25,89.75,89.75,4100
2019-05-02,91.0,91.0,90.5,90.5,900
2019-04-30,89.75,90.5,89.75,90.5,4200
2019-04-29,90.0,90.25,90.0,90.0,10800
2019-04-26,91.0,91.5,91.0,91.25,2800
2019-04-25,89.75,91.0,89.75,90.0,6600
2019-04-24,90.0,90.5,89.5,89.75,1700
2019-04-23,88.75,90.25,88.75,90.25,2600
2019-04-22,89.5,89.5,89.25,89.5,1800
2019-04-19,89.5,89.5,88.0,89.25,18300
2019-04-18,90.0,90.0,89.0,89.75,12000
2019-04-17,90.25,91.0,89.5,90.0,14500
2019-04-12,91.25,91.25,91.25,91.25,300
2019-04-11,90.75,91.25,90.5,91.0,1100
2019-04-10,91.0,91.25,89.75,91.25,5600
2019-04-09,91.5,91.5,90.75,91.0,3700
2019-04-05,91.0,91.5,91.0,91.0,1500
2019-04-04,91.0,91.25,91.0,91.0,1900
2019-04-02,91.5,91.5,91.5,91.5,400
2019-04-01,91.5,91.5,91.5,91.5,4500
2019-03-29,91.5,91.75,91.5,91.75,20000
2019-03-27,91.5,91.5,91.5,91.5,100
2019-03-26,91.0,91.0,91.0,91.0,1000
2019-03-25,91.25,91.75,90.75,90.75,4000
2019-03-22,91.5,91.5,91.0,91.25,1900
2019-03-21,91.5,91.75,91.0,91.75,600
2019-03-20,91.25,91.75,90.75,91.75,2800
2019-03-19,91.75,91.75,91.5,91.75,1300
2019-03-18,92.0,92.0,92.0,92.0,300
2019-03-15,92.25,92.25,92.0,92.0,300
2019-03-14,92.0,92.25,92.0,92.25,1200
2019-03-13,91.75,92.0,91.75,92.0,1100
2019-03-12,91.0,92.5,91.0,91.5,2400
2019-03-11,93.75,94.0,93.75,93.75,1100
2019-03-08,94.25,94.25,93.75,93.75,4100
2019-03-07,91.75,94.75,91.75,94.75,7600
2019-03-06,92.0,92.25,91.0,92.0,1800
2019-03-05,90.75,92.0,90.75,91.75,4600
2019-03-04,94.25,95.0,90.0,90.5,52000
2019-03-01,94.75,95.0,92.75,95.0,110800
2019-02-28,95.0,95.5,94.0,94.75,154800
2019-02-27,98.5,98.5,97.75,97.75,500
2019-02-26,98.0,98.5,98.0,98.5,6200
2019-02-25,98.75,99.25,98.5,99.25,4900
2019-02-22,99.0,99.75,98.0,98.5,6500
2019-02-20,101.0,101.0,101.0,101.0,400
2019-02-18,101.0,103.0,99.0,100.0,5600
2019-02-15,105.0,105.0,103.5,103.5,500
2019-02-12,105.0,108.0,105.0,108.0,500
2019-02-11,104.5,104.5,102.0,103.0,3200
2019-02-08,105.0,105.0,104.5,105.0,800
2019-02-07,104.0,109.0,104.0,106.0,4100
2019-02-06,103.5,104.0,103.5,104.0,3800
2019-02-05,103.0,103.0,103.0,103.0,1000
2019-02-04,102.0,103.0,102.0,102.0,800
2019-02-01,99.5,99.75,99.5,99.75,600
2019-01-31,99.5,99.5,99.0,99.0,2400
2019-01-30,99.0,99.25,99.0,99.0,5100
2019-01-29,99.25,99.25,98.5,98.5,5000
2019-01-28,98.5,99.0,98.5,98.5,4500
2019-01-25,99.0,99.0,98.5,98.5,13100
2019-01-24,98.5,98.5,98.25,98.5,27700
2019-01-23,98.5,98.5,98.5,98.5,500
2019-01-22,98.5,98.5,98.5,98.5,500
2019-01-21,98.5,98.5,98.25,98.25,10100
2019-01-18,98.0,98.0,98.0,98.0,1400
2019-01-16,98.75,98.75,98.0,98.0,1700
2019-01-15,98.75,98.75,98.0,98.0,10400
2019-01-14,98.75,98.75,98.0,98.0,16600
2019-01-11,98.25,98.75,97.5,98.0,11500
2019-01-10,98.5,98.5,98.5,98.5,100
2019-01-09,98.5,98.75,97.75,97.75,7500
2019-01-08,98.0,98.25,98.0,98.25,11100
2019-01-07,97.75,98.0,97.75,98.0,72000
2019-01-04,98.0,98.25,97.75,98.0,93100
2019-01-03,97.25,98.25,97.25,98.0,2200
2019-01-02,97.0,97.25,97.0,97.0,9400
2018-12-28,97.0,97.25,97.0,97.0,109200
2018-12-27,97.5,97.5,97.0,97.0,900
2018-12-26,97.0,97.5,97.0,97.0,9600
2018-12-25,96.25,97.0,96.25,97.0,2600
2018-12-24,96.5,96.5,96.5,96.5,500
2018-12-21,97.25,97.25,97.25,97.25,200
2018-12-20,97.0,97.25,97.0,97.25,300
2018-12-19,97.0,97.25,96.5,97.25,800
2018-12-18,97.0,97.0,96.5,96.75,3100
2018-12-17,97.75,97.75,97.75,97.75,300
2018-12-14,98.25,98.5,96.75,96.75,7800
2018-12-13,98.5,98.5,98.0,98.0,1100
2018-12-12,99.5,99.5,97.75,97.75,9000
2018-12-11,98.25,99.25,98.25,99.25,3900
2018-12-07,99.5,99.5,98.25,98.25,8600
2018-12-06,99.0,99.25,98.75,99.25,4200
2018-12-04,99.5,99.5,99.5,99.5,300
2018-12-03,100.0,100.0,98.75,98.75,4700
2018-11-29,107.0,107.0,100.0,100.0,6500
2018-11-28,98.5,99.5,98.5,98.75,2900
2018-11-27,98.75,99.5,98.75,99.5,500
2018-11-26,98.25,99.75,98.25,98.5,21300
2018-11-23,101.0,114.0,97.0,97.75,60800
2018-11-22,97.5,98.25,97.0,97.0,1800
2018-11-21,97.0,97.75,96.75,96.75,14500
2018-11-20,96.5,97.5,96.5,96.5,12800
2018-11-19,96.5,96.5,96.0,96.0,1400
2018-11-16,96.25,97.0,96.0,96.75,1100
2018-11-15,96.5,96.75,96.25,96.5,1700
2018-11-14,96.0,96.5,95.5,96.5,6300
2018-11-13,95.0,96.5,95.0,96.0,3000
2018-11-12,95.25,96.0,95.25,96.0,5200
2018-11-09,97.0,97.0,95.25,95.25,16100
2018-11-08,99.5,99.5,98.5,98.75,800
2018-11-07,99.25,99.25,98.75,98.75,18800
2018-11-06,99.5,99.75,99.5,99.75,1300
2018-11-05,99.5,100.0,99.5,99.5,2000
2018-11-02,100.0,100.0,99.25,99.25,800
2018-11-01,100.0,101.0,99.5,99.5,1000
2018-10-31,98.75,103.0,98.25,100.0,18200
2018-10-30,99.25,100.0,98.5,98.5,2200
2018-10-29,99.0,99.25,99.0,99.0,1500
2018-10-26,95.0,105.0,95.0,99.25,4900
2018-10-25,93.0,99.25,93.0,95.0,11900
2018-10-24,99.75,99.75,99.0,99.0,7200
2018-10-22,100.0,100.0,99.5,99.5,3800
2018-10-19,100.5,100.5,99.75,99.75,1400
2018-10-18,101.5,102.5,99.75,100.0,4500
2018-10-17,103.0,103.0,100.5,100.5,8600
2018-10-16,103.0,104.0,103.0,104.0,1900
2018-10-12,102.0,102.5,102.0,102.5,3600
2018-10-11,103.0,103.0,101.0,102.0,6500
2018-10-10,102.0,104.0,101.5,102.5,3100
2018-10-09,102.0,102.0,101.0,101.0,700
2018-10-08,102.5,104.0,101.0,101.0,11200
2018-10-04,102.0,103.0,102.0,103.0,700
2018-10-03,102.5,102.5,102.0,102.0,1700
2018-10-02,103.5,103.5,102.0,102.0,3500
2018-10-01,104.0,104.0,104.0,104.0,300
2018-09-28,103.5,104.0,102.5,102.5,11700
2018-09-27,104.0,104.5,102.0,103.0,11800
2018-09-26,105.5,105.5,104.0,104.0,8000
2018-09-25,106.5,106.5,105.5,105.5,5400
2018-09-24,106.0,106.0,106.0,106.0,13300
2018-09-21,108.0,108.5,106.5,106.5,5500
2018-09-20,107.5,108.0,107.0,107.0,7100
2018-09-19,107.0,107.5,107.0,107.5,3000
2018-09-18,107.5,107.5,107.0,107.0,500
2018-09-17,106.5,107.5,105.0,106.5,3500
2018-09-14,107.0,107.5,107.0,107.5,3800
2018-09-13,107.0,107.0,107.0,107.0,2600
2018-09-12,106.5,107.5,106.5,107.0,2100
2018-09-11,108.5,108.5,105.0,106.5,3300
2018-09-10,108.0,109.0,105.0,109.0,2800
2018-09-07,108.0,109.0,108.0,109.0,13900
2018-09-06,107.5,108.5,105.0,107.5,5700
2018-09-05,109.5,109.5,108.5,108.5,2400
2018-09-04,109.5,110.0,109.5,110.0,400
2018-09-03,109.0,109.5,109.0,109.5,1000
2018-08-31,109.0,109.0,109.0,109.0,1700
2018-08-30,109.5,109.5,109.0,109.0,1700
2018-08-29,110.0,110.0,110.0,110.0,300
2018-08-28,110.5,111.0,110.5,110.5,1900
2018-08-27,109.5,111.5,109.5,111.5,1400
2018-08-24,109.5,109.5,109.0,109.5,2300
2018-08-23,109.0,109.5,109.0,109.5,400
2018-08-22,107.0,110.5,107.0,109.5,1800
