Date,Open,High,Low,Close,Volume,Return
2009-12-30,6.7,6.7,6.7,6.7,200,
2010-01-04,6.8,6.8,6.8,6.8,500,0.014925
2010-01-05,6.7,7.3,6.6,7.3,14000,0.073529
2010-01-06,7.3,7.6,7.1,7.1,2700,-0.027397
2010-01-07,7.05,7.05,7.05,7.05,500,-0.007042
2010-01-08,7.5,7.5,7.5,7.5,400,0.06383
2010-01-11,7.6,7.6,7.5,7.5,1200,0.0
2010-01-12,7.9,7.9,7.5,7.5,900,0.0
2010-01-15,7.9,8.5,7.9,8.3,3500,0.106667
2010-01-18,8.2,8.2,8.2,8.2,200,-0.012048
2010-01-19,8.15,8.15,8.15,8.15,100,-0.006098
2010-01-20,8.6,8.9,8.6,8.9,2000,0.092025
2010-01-21,8.6,8.6,8.5,8.5,2000,-0.044944
2010-01-22,9.3,9.85,9.3,9.5,4400,0.117647
2010-01-25,9.25,9.3,9.2,9.3,1100,-0.021053
2010-01-26,9.7,9.75,9.7,9.75,700,0.048387
2010-01-27,9.45,9.45,8.8,9.0,7400,-0.076923
2010-01-28,9.0,9.0,8.5,8.6,1000,-0.044444
2010-02-01,7.9,8.5,7.9,8.5,900,-0.011628
2010-02-03,9.3,9.3,9.0,9.0,800,0.058824
2010-02-04,8.55,8.95,8.55,8.95,400,-0.005556
2010-02-05,9.0,9.0,9.0,9.0,200,0.005587
2010-02-08,9.1,9.1,9.1,9.1,200,0.011111
2010-02-10,9.25,9.5,9.25,9.5,600,0.043956
2010-02-17,8.4,8.4,8.4,8.4,100,-0.115789
2010-02-19,8.45,8.95,8.25,8.95,2000,0.065476
2010-02-22,8.8,9.25,8.8,8.8,4800,-0.01676
2010-02-23,8.8,8.8,8.75,8.75,200,-0.005682
2010-02-25,9.0,9.3,9.0,9.3,1100,0.062857
2010-02-26,9.3,10.0,9.05,10.0,10600,0.075269
2010-03-02,9.55,9.95,9.5,9.5,4900,-0.05
2010-03-03,9.5,9.6,9.5,9.6,600,0.010526
2010-03-04,9.45,9.45,9.3,9.3,1000,-0.03125
2010-03-05,9.4,9.4,9.4,9.4,200,0.010753
2010-03-08,9.4,9.5,9.4,9.5,300,0.010638
2010-03-09,9.5,9.5,9.5,9.5,100,0.0
2010-03-10,9.5,10.5,9.4,9.55,4000,0.005263
2010-03-12,9.75,9.75,9.55,9.6,2500,0.005236
2010-03-16,9.75,10.7,9.6,9.95,4600,0.036458
2010-03-17,9.95,10.1,9.95,10.1,296600,0.015075
2010-03-18,10.0,10.0,9.95,10.0,5600,-0.009901
2010-03-19,9.95,10.0,9.95,9.95,6500,-0.005
2010-03-22,9.9,9.9,9.6,9.6,14000,-0.035176
2010-03-24,9.75,9.75,9.75,9.75,500,0.015625
2010-03-25,9.75,9.75,9.7,9.7,3100,-0.005128
2010-03-26,9.7,9.7,9.7,9.7,500,0.0
2010-03-29,9.8,9.8,9.8,9.8,100,0.010309
2010-03-30,9.7,9.75,9.7,9.75,3100,-0.005102
2010-04-01,9.7,9.7,9.7,9.7,100,-0.005128
2010-04-02,9.5,9.5,9.5,9.5,200,-0.020619
2010-04-07,9.5,9.5,9.5,9.5,300,0.0
2010-04-08,9.7,9.7,9.7,9.7,200,0.021053
2010-04-12,9.7,9.9,9.5,9.8,1500,0.010309
2010-04-16,9.8,9.8,9.5,9.5,700,-0.030612
2010-04-19,9.3,9.3,9.3,9.3,500,-0.021053
2010-04-20,9.35,9.4,9.35,9.4,700,0.010753
2010-04-21,9.6,9.65,9.6,9.65,3000,0.026596
