Date,Open,High,Low,Close,Volume,Return
2009-12-30,4.04,4.14,4.04,4.14,287343,
2010-01-04,4.14,4.45,4.14,4.45,1293491,0.074879
2010-01-05,4.45,4.66,4.24,4.24,6855626,-0.047191
2010-01-06,4.35,4.35,4.14,4.14,251411,-0.023585
2010-01-07,4.24,4.24,4.14,4.14,269184,0.0
2010-01-08,4.24,4.24,4.14,4.14,144468,0.0
2010-01-11,4.24,4.24,4.14,4.14,38162,0.0
2010-01-12,4.14,4.24,4.14,4.24,316773,0.024155
2010-01-13,4.24,4.35,4.14,4.14,371095,-0.023585
2010-01-14,4.24,4.24,4.14,4.14,367280,0.0
2010-01-15,4.14,4.24,4.14,4.14,84370,0.0
2010-01-18,4.24,4.24,4.14,4.14,22940,0.0
2010-01-19,4.14,4.35,4.14,4.35,490199,0.050725
2010-01-20,4.35,4.45,4.14,4.14,3088414,-0.048276
2010-01-21,4.14,4.14,4.04,4.04,287941,-0.024155
2010-01-22,4.14,4.14,4.04,4.14,506725,0.024752
2010-01-25,4.14,4.14,4.14,4.14,553745,0.0
2010-01-26,4.14,4.24,4.04,4.04,376311,-0.024155
2010-01-27,4.14,4.14,4.04,4.04,378658,0.0
2010-01-28,4.04,4.04,4.04,4.04,204305,0.0
2010-01-29,3.93,4.04,3.93,4.04,82584,0.0
2010-02-01,4.04,4.04,4.04,4.04,36028,0.0
2010-02-02,4.14,4.14,4.04,4.04,42547,0.0
2010-02-03,4.14,4.14,3.93,4.04,177376,0.0
2010-02-04,4.04,4.14,4.04,4.04,211433,0.0
2010-02-05,4.04,4.04,3.93,3.93,32444,-0.027228
2010-02-08,3.93,4.04,3.93,3.93,52361,0.0
2010-02-09,3.93,4.04,3.93,3.93,19810,0.0
2010-02-10,4.04,4.04,3.93,3.93,13522,0.0
2010-02-12,3.93,3.93,3.93,3.93,2994,0.0
2010-02-15,3.93,3.93,3.93,3.93,6278,0.0
2010-02-16,3.93,4.04,3.93,3.93,41533,0.0
2010-02-17,3.93,3.93,3.93,3.93,107996,0.0
2010-02-18,3.93,3.93,3.93,3.93,67612,0.0
2010-02-19,3.93,3.93,3.93,3.93,150833,0.0
2010-02-22,3.93,3.93,3.93,3.93,146719,0.0
2010-02-23,3.83,4.04,3.83,3.93,80372,0.0
2010-02-24,3.93,3.93,3.83,3.93,22322,0.0
2010-02-25,3.93,3.93,3.83,3.83,41533,-0.025445
2010-02-26,3.83,3.83,3.83,3.83,134954,0.0
2010-03-02,3.83,3.83,3.73,3.73,106576,-0.02611
2010-03-03,3.73,3.83,3.73,3.73,329919,0.0
2010-03-04,3.73,3.83,3.73,3.73,77049,0.0
2010-03-05,3.73,3.73,3.62,3.62,401752,-0.029491
2010-03-08,3.73,3.73,3.52,3.52,108247,-0.027624
2010-03-09,3.52,3.62,3.52,3.52,64396,0.0
2010-03-10,3.52,3.52,3.52,3.52,62339,0.0
2010-03-11,3.62,3.62,3.31,3.31,827130,-0.059659
2010-03-12,3.42,3.52,3.42,3.52,103089,0.063444
2010-03-15,3.52,3.52,3.42,3.52,10345,0.0
2010-03-16,3.52,3.62,3.52,3.52,109677,0.0
2010-03-17,3.52,3.73,3.52,3.73,573488,0.059659
2010-03-18,3.73,3.73,3.62,3.62,184050,-0.029491
2010-03-19,3.62,3.62,3.62,3.62,116737,0.0
2010-03-22,3.62,3.73,3.62,3.62,32550,0.0
2010-03-23,3.62,3.62,3.52,3.52,20989,-0.027624
2010-03-24,3.62,3.62,3.62,3.62,869,0.028409
2010-03-25,3.62,3.62,3.52,3.52,131574,-0.027624
2010-03-26,3.52,3.62,3.52,3.62,66646,0.028409
2010-03-29,3.52,3.62,3.52,3.52,32483,-0.027624
2010-03-30,3.62,3.62,3.42,3.52,122658,0.0
2010-03-31,3.52,3.62,3.42,3.42,21578,-0.028409
2010-04-01,3.52,3.52,3.42,3.52,24311,0.02924
2010-04-02,3.52,3.73,3.52,3.52,141551,0.0
2010-04-05,3.52,3.62,3.42,3.62,30281,0.028409
2010-04-07,3.52,3.52,3.52,3.52,2366,-0.027624
2010-04-08,3.52,3.62,3.42,3.42,168500,-0.028409
2010-04-09,3.42,3.52,3.42,3.52,55056,0.02924
2010-04-12,3.52,3.52,3.31,3.42,141261,-0.028409
2010-04-16,3.42,3.42,3.42,3.42,75803,0.0
2010-04-19,3.42,3.42,3.31,3.42,93305,0.0
2010-04-20,3.52,3.52,3.42,3.42,32309,0.0
2010-04-21,3.42,3.52,3.42,3.42,78469,0.0
2010-04-22,3.42,3.52,3.42,3.42,29373,0.0
2010-04-23,3.31,3.42,3.31,3.42,88437,0.0
2010-04-26,3.42,3.42,3.31,3.31,18593,-0.032164
2010-04-27,3.42,3.42,3.42,3.42,937,0.033233
2010-04-28,3.42,3.42,3.31,3.31,22331,-0.032164
2010-04-29,3.31,3.31,3.31,3.31,14054,0.0
2010-04-30,3.42,3.42,3.42,3.42,31816,0.033233
2010-05-04,3.52,3.52,3.42,3.42,31874,0.0
2010-05-06,3.42,3.42,3.42,3.42,12547,0.0
2010-05-07,3.31,3.42,3.31,3.42,421930,0.0
2010-05-10,3.42,3.42,3.42,3.42,25219,0.0
2010-05-11,3.42,3.52,3.42,3.42,24186,0.0
2010-05-12,3.42,3.52,3.31,3.31,255642,-0.032164
2010-05-13,3.42,3.52,3.31,3.31,67516,0.0
2010-05-14,3.42,3.42,3.31,3.42,33256,0.033233
2010-05-17,3.31,3.31,3.31,3.31,50226,-0.032164
2010-05-18,3.31,3.31,3.31,3.31,2898,0.0
2010-05-19,3.42,3.42,3.42,3.42,193,0.033233
2010-05-24,3.42,3.42,3.31,3.31,7824,-0.032164
2010-05-25,3.31,3.31,3.31,3.31,44025,0.0
2010-05-26,3.42,3.42,3.42,3.42,193,0.033233
2010-05-27,3.31,3.42,3.31,3.42,10190,0.0
2010-05-31,3.31,3.42,3.31,3.42,95469,0.0
2010-06-01,3.42,3.42,3.42,3.42,840,0.0
2010-06-02,3.52,3.52,3.42,3.42,12750,0.0
2010-06-03,3.42,3.52,3.42,3.42,107590,0.0
2010-06-04,3.42,3.42,3.42,3.42,57519,0.0
2010-06-07,3.31,3.42,3.31,3.42,25644,0.0
2010-06-08,3.31,3.42,3.31,3.42,976,0.0
2010-06-09,3.42,3.42,3.31,3.31,247461,-0.032164
2010-06-10,3.31,3.31,3.31,3.31,114960,0.0
2010-06-11,3.31,3.31,3.31,3.31,112043,0.0
2010-06-14,3.31,3.31,3.31,3.31,3864,0.0
2010-06-15,3.42,3.42,3.31,3.31,91740,0.0
2010-06-16,3.42,3.42,3.42,3.42,10,0.033233
2010-06-17,3.31,3.42,3.31,3.42,17869,0.0
2010-06-18,3.42,3.52,3.42,3.42,729141,0.0
2010-06-21,3.42,3.42,3.42,3.42,140344,0.0
2010-06-22,3.42,3.52,3.42,3.42,41060,0.0
2010-06-23,3.42,3.42,3.42,3.42,124629,0.0
2010-06-24,3.42,3.42,3.42,3.42,95140,0.0
2010-06-25,3.42,3.42,3.31,3.42,172759,0.0
2010-06-28,3.31,3.42,3.31,3.31,68810,-0.032164
2010-06-29,3.42,3.42,3.42,3.42,43832,0.033233
2010-06-30,3.42,3.42,3.42,3.42,49801,0.0
2010-07-02,3.42,3.52,3.42,3.52,139088,0.02924
2010-07-05,3.52,3.62,3.42,3.52,493212,0.0
2010-07-06,3.52,3.52,3.42,3.52,147743,0.0
2010-07-07,3.52,3.73,3.52,3.62,1021448,0.028409
2010-07-08,3.62,3.62,3.52,3.52,314784,-0.027624
2010-07-09,3.52,3.52,3.52,3.52,58977,0.0
2010-07-12,3.62,3.73,3.52,3.52,389553,0.0
2010-07-13,3.52,3.62,3.52,3.52,70616,0.0
2010-07-14,3.62,3.62,3.52,3.52,194144,0.0
2010-07-15,3.62,3.62,3.52,3.52,108759,0.0
2010-07-16,3.52,3.52,3.52,3.52,186774,0.0
2010-07-19,3.52,3.73,3.52,3.62,616817,0.028409
2010-07-20,3.73,3.73,3.52,3.52,130173,-0.027624
2010-07-21,3.62,3.73,3.62,3.62,499491,0.028409
2010-07-22,3.73,4.04,3.73,3.73,2876546,0.030387
2010-07-23,3.83,3.93,3.73,3.73,333531,0.0
2010-07-27,3.83,4.45,3.73,4.14,4696466,0.10992
2010-07-28,4.04,4.14,3.93,3.93,585465,-0.050725
2010-07-29,4.04,4.14,4.04,4.04,555754,0.02799
2010-07-30,4.04,4.24,4.04,4.04,1107702,0.0
2010-08-02,4.14,4.14,3.93,4.04,294761,0.0
2010-08-03,4.04,4.14,4.04,4.04,844700,0.0
2010-08-04,4.04,4.24,4.04,4.14,387312,0.024752
2010-08-05,4.14,4.24,4.04,4.04,209415,-0.024155
2010-08-06,4.14,4.14,4.04,4.04,353477,0.0
2010-08-09,4.04,4.24,4.04,4.14,1019082,0.024752
2010-08-10,4.14,4.24,4.04,4.04,688689,-0.024155
2010-08-11,4.04,4.14,4.04,4.04,711426,0.0
2010-08-16,4.04,4.04,3.83,3.83,292607,-0.05198
2010-08-17,3.93,3.93,3.73,3.73,148969,-0.02611
2010-08-18,3.83,3.83,3.73,3.73,168413,0.0
2010-08-19,3.83,3.93,3.83,3.93,167881,0.053619
2010-08-20,3.93,4.04,3.93,4.04,1038902,0.02799
2010-08-23,4.14,4.14,3.93,3.93,70858,-0.027228
2010-08-24,3.93,3.93,3.83,3.83,265581,-0.025445
2010-08-25,3.93,4.04,3.83,3.93,352202,0.02611
2010-08-26,4.04,4.35,3.93,4.04,3219939,0.02799
2010-08-27,4.24,4.35,4.14,4.35,2259622,0.076733
2010-08-30,4.35,4.35,4.14,4.24,639806,-0.025287
2010-08-31,4.24,4.24,4.14,4.14,356481,-0.023585
2010-09-01,4.14,4.24,4.04,4.14,567827,0.0
2010-09-02,4.14,4.24,4.14,4.14,1054520,0.0
2010-09-03,4.24,4.24,4.04,4.14,400564,0.0
2010-09-06,4.14,4.35,4.14,4.14,1595554,0.0
2010-09-07,4.14,4.24,4.14,4.24,291119,0.024155
2010-09-08,4.14,4.24,4.04,4.04,352231,-0.04717
2010-09-09,4.14,4.14,4.04,4.14,73794,0.024752
2010-09-10,4.14,4.14,4.04,4.04,7766,-0.024155
2010-09-13,4.14,4.14,4.04,4.04,91702,0.0
2010-09-14,4.04,4.14,4.04,4.04,268430,0.0
2010-09-15,4.04,4.14,3.93,4.04,491126,0.0
2010-09-16,3.93,4.04,3.93,3.93,50758,-0.027228
2010-09-17,3.93,4.04,3.93,4.04,458585,0.02799
2010-09-20,4.04,4.14,4.04,4.04,43707,0.0
2010-09-21,4.04,4.04,3.93,4.04,221594,0.0
2010-09-22,4.04,4.04,3.93,4.04,77271,0.0
2010-09-23,3.93,3.93,3.93,3.93,115240,-0.027228
2010-09-24,3.93,3.93,3.93,3.93,4646,0.0
2010-09-27,3.93,4.04,3.93,3.93,307163,0.0
2010-09-28,3.93,4.04,3.93,4.04,117723,0.02799
2010-09-29,3.93,4.04,3.93,4.04,377673,0.0
2010-09-30,3.93,4.04,3.93,4.04,49850,0.0
2010-10-01,3.93,4.04,3.93,3.93,26089,-0.027228
2010-10-04,3.93,3.93,3.83,3.83,553020,-0.025445
2010-10-05,3.83,3.93,3.73,3.83,174720,0.0
2010-10-06,3.83,3.83,3.73,3.83,72625,0.0
2010-10-07,3.83,3.83,3.62,3.73,518799,-0.02611
2010-10-08,3.83,3.83,3.62,3.73,83888,0.0
2010-10-11,3.73,3.73,3.62,3.73,28909,0.0
2010-10-12,3.73,3.73,3.73,3.73,42065,0.0
2010-10-13,3.73,3.83,3.62,3.62,60484,-0.029491
2010-10-14,3.73,3.73,3.62,3.62,31498,0.0
2010-10-15,3.62,3.73,3.62,3.62,239985,0.0
2010-10-18,3.62,3.73,3.62,3.73,206652,0.030387
2010-10-19,3.73,3.83,3.62,3.62,24176,-0.029491
2010-10-20,3.62,3.73,3.62,3.62,41234,0.0
2010-10-21,3.62,3.73,3.62,3.73,109648,0.030387
2010-10-22,3.62,3.83,3.62,3.73,1062,0.0
2010-10-26,3.73,3.83,3.62,3.73,26272,0.0
2010-10-27,3.73,3.73,3.73,3.73,57886,0.0
2010-10-28,3.73,3.73,3.73,3.73,48285,0.0
2010-10-29,3.73,3.83,3.62,3.73,21771,0.0
2010-11-01,3.73,3.73,3.62,3.73,30493,0.0
2010-11-02,3.73,3.83,3.73,3.73,147878,0.0
2010-11-03,3.73,3.73,3.62,3.73,77300,0.0
2010-11-04,3.73,3.73,3.62,3.62,11059,-0.029491
2010-11-05,3.73,3.73,3.62,3.62,48130,0.0
2010-11-08,3.62,3.73,3.62,3.73,7737,0.030387
2010-11-09,3.73,3.73,3.62,3.62,38249,-0.029491
2010-11-10,3.62,3.83,3.62,3.73,58552,0.030387
2010-11-11,3.73,3.73,3.52,3.62,211144,-0.029491
2010-11-12,3.52,3.62,3.42,3.52,593027,-0.027624
2010-11-15,3.52,3.52,3.42,3.42,29131,-0.028409
2010-11-16,3.52,3.52,3.42,3.42,23307,0.0
2010-11-17,3.42,3.52,3.42,3.52,101814,0.02924
2010-11-18,3.52,3.52,3.52,3.52,10,0.0
2010-11-19,3.52,3.83,3.52,3.62,915577,0.028409
2010-11-22,3.73,3.73,3.52,3.52,7785,-0.027624
2010-11-23,3.52,3.62,3.52,3.62,43156,0.028409
2010-11-24,3.52,3.62,3.52,3.52,34656,-0.027624
2010-11-25,3.52,3.52,3.52,3.52,966,0.0
2010-11-26,3.52,3.52,3.42,3.52,132008,0.0
