Date,Open,High,Low,Close,Volume,Return
2009-12-30,1.6,1.63,1.58,1.59,325536,
2010-01-04,1.59,1.66,1.59,1.61,2196240,0.012579
2010-01-05,1.62,1.64,1.61,1.63,2045110,0.012422
2010-01-06,1.64,1.92,1.63,1.85,79337320,0.134969
2010-01-07,1.85,1.85,1.7,1.74,23935250,-0.059459
2010-01-08,1.74,1.96,1.73,1.78,71743200,0.022989
2010-01-11,1.78,1.78,1.72,1.74,9289534,-0.022472
2010-01-12,1.74,1.83,1.74,1.74,17930532,0.0
2010-01-13,1.74,1.81,1.74,1.77,18740568,0.017241
2010-01-14,1.79,1.81,1.75,1.75,10913024,-0.011299
2010-01-15,1.76,1.78,1.73,1.74,5305106,-0.005714
2010-01-18,1.73,1.76,1.72,1.72,3025580,-0.011494
2010-01-19,1.73,1.81,1.73,1.79,26024928,0.040698
2010-01-20,1.85,1.87,1.75,1.75,35612752,-0.022346
2010-01-21,1.74,1.74,1.65,1.65,9220809,-0.057143
2010-01-22,1.63,1.64,1.62,1.62,4126402,-0.018182
2010-01-25,1.62,1.69,1.61,1.66,4744491,0.024691
2010-01-26,1.67,1.69,1.61,1.61,6877741,-0.03012
2010-01-27,1.61,1.63,1.59,1.59,3288568,-0.012422
2010-01-28,1.61,1.62,1.57,1.57,2643121,-0.012579
2010-01-29,1.58,1.61,1.57,1.6,1015550,0.019108
2010-02-01,1.59,1.62,1.59,1.61,964475,0.00625
2010-02-02,1.62,1.62,1.6,1.61,333700,0.0
2010-02-03,1.62,1.67,1.62,1.64,3592372,0.018634
2010-02-04,1.64,1.64,1.61,1.61,1081518,-0.018293
2010-02-05,1.58,1.6,1.56,1.58,895197,-0.018634
2010-02-08,1.58,1.59,1.58,1.58,157308,0.0
2010-02-09,1.59,1.61,1.58,1.59,499832,0.006329
2010-02-10,1.59,1.61,1.58,1.58,747487,-0.006289
2010-02-11,1.59,1.66,1.59,1.66,7165661,0.050633
2010-02-12,1.67,1.68,1.6,1.6,9584514,-0.036145
2010-02-15,1.61,1.63,1.59,1.59,5977580,-0.00625
2010-02-16,1.6,1.61,1.59,1.59,1077436,0.0
2010-02-17,1.59,1.63,1.59,1.6,1759066,0.006289
2010-02-18,1.61,1.61,1.58,1.58,1107221,-0.0125
2010-02-19,1.58,1.59,1.57,1.58,1115163,0.0
2010-02-22,1.58,1.61,1.57,1.57,408492,-0.006329
2010-02-23,1.58,1.61,1.57,1.57,2019627,0.0
2010-02-24,1.56,1.56,1.52,1.52,1982672,-0.031847
2010-02-25,1.54,1.54,1.51,1.51,940978,-0.006579
2010-02-26,1.51,1.52,1.49,1.49,773852,-0.013245
2010-03-02,1.49,1.5,1.49,1.5,629561,0.006711
2010-03-03,1.5,1.5,1.5,1.5,323440,0.0
2010-03-04,1.52,1.52,1.5,1.5,1785651,0.0
