Date,Open,High,Low,Close,Volume,Return
2009-12-30,24.9,25.1,24.5,24.6,60611000,
2010-01-04,24.6,24.7,24.1,24.5,40044000,-0.004065
2010-01-05,24.8,25.0,24.3,24.4,69048000,-0.004082
2010-01-06,24.5,24.6,24.3,24.5,29298000,0.004098
2010-01-07,24.7,24.8,24.4,24.4,48300000,-0.004082
2010-01-08,24.4,24.8,24.4,24.6,41024000,0.008197
2010-01-11,24.8,25.1,24.8,24.9,63098000,0.012195
2010-01-12,24.8,24.9,24.7,24.7,36750000,-0.008032
2010-01-13,24.5,24.8,24.4,24.6,62833000,-0.004049
2010-01-14,24.8,24.9,24.6,24.7,32838000,0.004065
2010-01-15,24.8,24.9,24.6,24.7,34491000,0.0
2010-01-18,24.6,24.7,24.5,24.7,29010000,0.0
2010-01-19,24.6,24.7,24.2,24.2,46709000,-0.020243
2010-01-20,24.3,24.3,23.5,23.8,50895000,-0.016529
2010-01-21,23.6,23.7,23.1,23.1,72969000,-0.029412
2010-01-22,22.7,23.0,22.6,22.9,72926000,-0.008658
2010-01-25,22.6,22.8,22.2,22.6,90599000,-0.0131
2010-01-26,22.6,22.7,22.0,22.2,114063000,-0.017699
2010-01-27,22.2,22.3,21.7,21.7,99217000,-0.022523
2010-01-28,21.9,22.1,21.5,22.0,57630000,0.013825
2010-01-29,21.8,22.4,21.8,22.3,43369000,0.013636
2010-02-01,22.2,22.4,21.8,22.4,45300000,0.004484
2010-02-02,22.5,22.6,21.9,21.9,62797000,-0.022321
2010-02-03,22.1,22.6,22.0,22.5,58241000,0.027397
2010-02-04,22.4,22.6,22.1,22.2,54565000,-0.013333
2010-02-05,21.8,21.9,21.6,21.8,64783000,-0.018018
2010-02-08,21.7,21.8,21.5,21.7,34235000,-0.004587
2010-02-09,21.6,21.6,21.1,21.4,94218000,-0.013825
2010-02-10,21.5,21.7,21.3,21.6,38347000,0.009346
2010-02-11,21.7,22.2,21.6,22.0,49747000,0.018519
2010-02-12,22.0,22.1,21.8,22.1,41071000,0.004545
2010-02-15,22.0,22.1,21.5,21.6,26693000,-0.022624
2010-02-16,21.7,21.8,21.5,21.6,51731000,0.0
2010-02-17,21.8,22.0,21.7,21.8,57754000,0.009259
2010-02-18,21.8,22.0,21.7,21.8,32288000,0.0
2010-02-19,22.0,22.4,21.7,22.4,50046000,0.027523
2010-02-22,22.6,22.8,22.5,22.7,68728000,0.013393
2010-02-23,22.8,23.5,22.6,23.3,110918000,0.026432
2010-02-24,23.2,23.4,22.8,23.1,78063000,-0.008584
2010-02-25,23.5,23.6,22.9,23.1,88527000,0.0
2010-02-26,23.1,23.4,23.0,23.2,72551000,0.004329
