Date,Open,High,Low,Close,Volume,Return
2009-12-30,35.75,35.75,35.25,35.25,1810000,
2010-01-04,35.5,35.75,35.0,35.5,850800,0.007092
2010-01-05,35.5,35.75,35.5,35.5,1487600,0.0
2010-01-06,35.5,35.75,35.5,35.75,678300,0.007042
2010-01-07,35.75,35.75,35.5,35.5,1202900,-0.006993
2010-01-08,35.75,35.75,35.5,35.5,848200,0.0
2010-01-11,35.5,36.0,35.5,36.0,882000,0.014085
2010-01-12,36.0,36.0,35.5,35.5,992700,-0.013889
2010-01-13,35.5,35.75,35.5,35.5,810900,0.0
2010-01-14,35.5,36.0,35.5,35.75,1266000,0.007042
2010-01-15,36.0,36.0,35.5,35.5,1544100,-0.006993
2010-01-18,35.5,35.75,35.5,35.75,306400,0.007042
2010-01-19,35.75,35.75,35.5,35.5,579800,-0.006993
2010-01-20,35.5,35.75,35.25,35.5,1053800,0.0
2010-01-21,35.5,35.75,35.25,35.25,908700,-0.007042
2010-01-22,35.0,35.5,35.0,35.25,877500,0.0
2010-01-25,35.0,35.25,35.0,35.25,458800,0.0
2010-01-26,35.0,35.25,34.75,34.75,748100,-0.014184
2010-01-27,35.0,35.0,34.5,34.75,1184000,0.0
2010-01-28,34.75,35.0,34.5,34.5,979400,-0.007194
2010-01-29,34.75,35.0,34.5,34.5,1069600,0.0
2010-02-01,34.5,34.75,34.5,34.75,576100,0.007246
2010-02-02,34.75,34.75,34.5,34.5,933300,-0.007194
2010-02-03,34.75,35.0,34.75,34.75,719500,0.007246
2010-02-04,34.75,35.5,34.75,35.25,807700,0.014388
2010-02-05,35.0,35.25,35.0,35.0,417900,-0.007092
2010-02-08,35.0,35.25,34.75,35.0,376600,0.0
2010-02-09,35.25,35.5,34.75,35.25,610300,0.007143
2010-02-10,35.5,36.5,35.5,36.25,2243000,0.028369
2010-02-11,36.25,36.25,36.0,36.25,310700,0.0
2010-02-12,36.0,36.0,35.75,35.75,596200,-0.013793
2010-02-15,36.0,36.0,35.5,35.75,426800,0.0
2010-02-16,36.0,36.0,35.5,35.5,488600,-0.006993
2010-02-17,36.0,36.5,35.75,36.25,2126200,0.021127
2010-02-18,36.25,36.75,36.0,36.25,1606400,0.0
2010-02-19,36.25,36.5,36.0,36.5,1072800,0.006897
2010-02-22,36.5,37.0,36.5,37.0,1040100,0.013699
2010-02-23,37.0,37.25,36.75,37.0,2069800,0.0
2010-02-24,36.75,37.0,36.75,36.75,1563600,-0.006757
