Date,Open,High,Low,Close,Volume,Return
2009-12-30,10.13,10.13,10.04,10.04,316091,
2010-01-04,10.04,10.04,9.84,9.94,1126734,-0.00996
2010-01-05,9.94,10.04,9.75,9.84,2521368,-0.01006
2010-01-06,9.84,10.04,9.75,9.94,2707188,0.010163
2010-01-07,10.04,10.04,9.84,9.84,439833,-0.01006
2010-01-08,9.94,9.94,9.75,9.75,1841928,-0.009146
2010-01-11,9.75,9.94,9.65,9.75,2828339,0.0
2010-01-12,9.65,9.75,9.6,9.75,6697601,0.0
2010-01-13,9.75,9.75,9.65,9.75,993147,0.0
2010-01-14,9.84,9.84,9.75,9.75,1263120,0.0
2010-01-15,9.84,9.84,9.75,9.84,870649,0.009231
2010-01-18,9.75,9.75,9.65,9.75,916974,-0.009146
2010-01-19,9.75,9.75,9.65,9.65,725143,-0.010256
2010-01-20,9.65,9.65,9.41,9.41,1331934,-0.02487
2010-01-21,9.36,9.36,9.17,9.21,1294003,-0.021254
2010-01-22,9.07,9.12,8.88,9.07,1495369,-0.015201
2010-01-25,9.02,9.07,8.93,8.93,1042271,-0.015436
2010-01-26,8.93,9.02,8.93,9.02,828262,0.010078
2010-01-27,9.02,9.07,8.83,8.83,1164458,-0.021064
2010-01-28,8.88,8.88,8.64,8.68,419934,-0.016988
2010-01-29,8.49,8.68,8.49,8.64,292358,-0.004608
2010-02-01,8.64,8.68,8.64,8.64,174420,0.0
2010-02-02,8.88,8.88,8.64,8.68,104673,0.00463
2010-02-03,8.68,8.78,8.68,8.68,1248921,0.0
2010-02-04,8.68,8.78,8.68,8.78,1337530,0.011521
2010-02-05,8.59,8.73,8.59,8.68,731776,-0.01139
2010-02-08,8.59,8.59,8.35,8.39,813752,-0.03341
2010-02-09,8.3,8.35,8.25,8.3,582540,-0.010727
2010-02-10,8.35,8.44,8.3,8.35,754162,0.006024
2010-02-11,8.44,8.54,8.44,8.54,1257627,0.022754
2010-02-12,8.54,8.59,8.54,8.54,297436,0.0
2010-02-15,8.49,8.54,8.44,8.54,524400,0.0
2010-02-16,8.49,8.59,8.49,8.54,109233,0.0
2010-02-17,8.59,8.64,8.59,8.59,115451,0.005855
