Date,Open,High,Low,Close,Volume,Return
2017-02-28,5.55,5.85,5.5,5.75,56282000,
2017-03-01,5.75,5.8,5.55,5.65,21763700,-0.017391
2017-03-02,5.7,5.7,5.6,5.6,7155700,-0.00885
2017-03-03,5.6,6.1,5.6,5.85,56352000,0.044643
2017-03-06,5.9,6.05,5.9,5.9,32103400,0.008547
2017-03-07,6.0,6.25,6.0,6.1,66961200,0.033898
2017-03-08,6.2,6.2,5.75,5.85,46774800,-0.040984
2017-03-09,5.85,5.85,5.7,5.7,18287500,-0.025641
2017-03-10,5.75,5.8,5.7,5.75,5371700,0.008772
2017-03-13,5.7,5.7,5.4,5.6,6453900,-0.026087
2017-03-14,5.55,5.7,5.55,5.65,2940700,0.008929
2017-03-15,5.6,5.65,5.5,5.6,2360800,-0.00885
2017-03-16,5.6,5.75,5.55,5.75,2832200,0.026786
2017-03-17,5.75,5.8,5.65,5.65,1638600,-0.017391
2017-03-20,5.7,5.75,5.65,5.75,978600,0.017699
2017-03-21,5.75,5.8,5.65,5.7,2152400,-0.008696
2017-03-22,5.65,5.7,5.6,5.65,1859000,-0.008772
2017-03-23,5.65,5.65,5.55,5.6,2657600,-0.00885
2017-03-24,5.6,5.65,5.6,5.6,468700,0.0
2017-03-27,5.65,5.65,5.55,5.6,1424400,0.0
2017-03-28,5.6,5.65,5.55,5.6,2177200,0.0
2017-03-29,5.65,5.65,5.55,5.6,1410400,0.0
2017-03-30,5.6,5.6,5.55,5.55,3260700,-0.008929
2017-03-31,5.55,5.7,5.55,5.65,2827100,0.018018
2017-04-03,5.65,5.65,5.6,5.6,1785000,-0.00885
2017-04-04,5.6,5.8,5.6,5.75,2709100,0.026786
2017-04-05,5.75,5.75,5.7,5.7,1488000,-0.008696
2017-04-07,5.7,5.75,5.6,5.65,1324600,-0.008772
2017-04-10,5.65,5.7,5.65,5.7,550100,0.00885
2017-04-11,5.7,5.75,5.7,5.7,1355000,0.0
2017-04-12,5.7,5.7,5.65,5.7,154600,0.0
2017-04-17,5.7,5.8,5.65,5.7,3275500,0.0
2017-04-18,5.75,5.75,5.65,5.65,2289300,-0.008772
2017-04-19,5.7,5.7,5.65,5.65,1301300,0.0
2017-04-20,5.65,5.7,5.6,5.6,1376900,-0.00885
2017-04-21,5.6,5.7,5.55,5.7,2256300,0.017857
2017-04-24,5.7,5.75,5.55,5.55,3933000,-0.026316
2017-04-25,5.55,5.65,5.4,5.45,4964700,-0.018018
2017-04-26,5.45,5.55,5.45,5.5,939100,0.009174
2017-04-27,5.55,5.6,5.5,5.55,541100,0.009091
2017-04-28,5.55,5.55,5.45,5.5,556500,-0.009009
2017-05-02,5.5,5.55,5.45,5.5,1217500,0.0
2017-05-03,5.5,5.55,5.45,5.45,1098400,-0.009091
2017-05-04,5.45,5.5,5.45,5.5,699300,0.009174
2017-05-05,5.5,5.5,5.45,5.45,1093400,-0.009091
2017-05-08,5.5,5.5,5.4,5.45,793200,0.0
2017-05-09,5.45,5.45,5.3,5.3,2325300,-0.027523
2017-05-11,5.3,5.35,5.2,5.2,2526900,-0.018868
2017-05-12,5.2,5.2,5.1,5.1,1985500,-0.019231
2017-05-15,5.0,5.05,4.94,4.98,4527000,-0.023529
2017-05-16,4.98,5.0,4.94,4.96,2234800,-0.004016
2017-05-17,4.98,5.1,4.98,5.0,3022900,0.008065
2017-05-18,5.0,5.1,5.0,5.05,1055500,0.01
2017-05-19,5.05,5.1,5.0,5.05,1140200,0.0
2017-05-22,5.05,5.15,5.0,5.0,937700,-0.009901
2017-05-23,5.05,5.1,5.0,5.05,806500,0.01
2017-05-24,5.05,5.15,5.0,5.0,999900,-0.009901
2017-05-25,5.05,5.1,5.0,5.0,1095400,0.0
2017-05-26,5.05,5.2,5.05,5.1,2916500,0.02
2017-05-29,5.1,5.15,5.05,5.05,685800,-0.009804
2017-05-30,5.1,5.1,5.05,5.05,693700,0.0
2017-05-31,5.05,5.15,5.0,5.05,972400,0.0
2017-06-01,5.05,5.1,5.0,5.0,557900,-0.009901
2017-06-02,5.0,5.15,5.0,5.1,1313300,0.02
2017-06-05,5.1,5.15,5.05,5.05,397900,-0.009804
2017-06-06,5.1,5.1,5.0,5.05,1050700,0.0
2017-06-07,5.1,5.1,5.0,5.0,2062800,-0.009901
2017-06-08,5.0,5.0,4.96,4.98,1650500,-0.004
2017-06-09,5.0,5.1,4.96,4.98,1722500,0.0
2017-06-12,4.98,5.0,4.98,4.98,373200,0.0
2017-06-13,4.98,5.0,4.98,4.98,437500,0.0
2017-06-14,4.98,5.1,4.98,5.05,1000000,0.014056
2017-06-15,5.05,5.05,5.0,5.05,305700,0.0
2017-06-16,5.0,5.05,4.98,5.0,634300,-0.009901
2017-06-19,5.0,5.0,4.98,4.98,1513700,-0.004
2017-06-20,5.0,5.0,4.96,4.98,444400,0.0
2017-06-21,5.0,5.0,4.98,5.0,630500,0.004016
2017-06-22,5.0,5.0,4.98,5.0,1270700,0.0
2017-06-23,5.0,5.0,4.98,4.98,437100,-0.004
2017-06-26,5.0,5.0,4.98,5.0,945800,0.004016
2017-06-27,5.05,5.05,4.96,4.96,1306100,-0.008
2017-06-28,4.98,5.0,4.96,4.96,408600,0.0
2017-06-29,4.98,5.0,4.96,4.96,1835700,0.0
2017-06-30,4.98,4.98,4.82,4.92,6597100,-0.008065
2017-07-03,4.94,4.94,4.9,4.92,493700,0.0
2017-07-04,4.92,4.92,4.88,4.88,1058700,-0.00813
2017-07-05,4.9,4.9,4.88,4.88,343900,0.0
2017-07-06,4.88,4.9,4.86,4.9,405800,0.004098
2017-07-07,4.9,4.9,4.8,4.84,1416400,-0.012245
2017-07-11,4.84,4.88,4.82,4.82,901300,-0.004132
2017-07-12,4.82,4.84,4.82,4.82,464000,0.0
2017-07-13,4.82,4.84,4.8,4.84,414500,0.004149
2017-07-14,4.82,4.84,4.78,4.78,1830200,-0.012397
2017-07-17,4.8,4.82,4.78,4.82,1077000,0.008368
2017-07-18,4.82,4.84,4.8,4.82,298600,0.0
2017-07-19,4.84,4.84,4.8,4.8,377000,-0.004149
2017-07-20,4.8,4.8,4.8,4.8,574700,0.0
2017-07-21,4.8,4.8,4.76,4.76,742700,-0.008333
2017-07-24,4.76,4.8,4.76,4.8,336400,0.008403
2017-07-25,4.78,4.8,4.78,4.78,457000,-0.004167
2017-07-26,4.8,4.98,4.78,4.96,2509900,0.037657
2017-07-27,4.96,5.05,4.94,4.98,2348800,0.004032
2017-07-31,4.98,5.0,4.94,4.94,1110800,-0.008032
2017-08-01,4.94,4.94,4.92,4.94,547800,0.0
2017-08-02,4.92,4.98,4.92,4.96,477000,0.004049
2017-08-03,4.98,5.1,4.96,5.1,1560200,0.028226
2017-08-04,5.1,5.15,4.98,5.0,1413800,-0.019608
2017-08-07,5.0,5.0,4.96,4.98,824100,-0.004
2017-08-08,4.96,4.96,4.92,4.96,384700,-0.004016
2017-08-09,4.98,4.98,4.9,4.9,473800,-0.012097
2017-08-10,4.92,4.92,4.88,4.88,603000,-0.004082
2017-08-11,4.9,4.92,4.88,4.88,664400,0.0
2017-08-15,4.9,4.96,4.88,4.9,381400,0.004098
2017-08-16,4.9,4.92,4.88,4.9,345200,0.0
2017-08-17,4.88,4.92,4.88,4.88,537200,-0.004082
2017-08-18,4.88,4.9,4.86,4.86,532900,-0.004098
2017-08-21,4.86,4.9,4.86,4.9,144900,0.00823
2017-08-22,4.88,4.9,4.88,4.9,213800,0.0
2017-08-23,4.9,4.9,4.86,4.88,460300,-0.004082
2017-08-24,4.9,4.94,4.88,4.88,864900,0.0
2017-08-25,4.9,4.94,4.9,4.94,183400,0.012295
2017-08-28,4.94,4.94,4.88,4.88,302000,-0.012146
2017-08-29,4.94,4.94,4.88,4.9,456700,0.004098
2017-08-30,4.92,4.94,4.88,4.9,215900,0.0
2017-08-31,4.88,4.92,4.88,4.9,429400,0.0
2017-09-01,4.9,4.92,4.88,4.88,601500,-0.004082
2017-09-04,4.88,4.9,4.88,4.88,748900,0.0
2017-09-05,4.92,4.92,4.88,4.9,240800,0.004098
2017-09-06,4.88,4.9,4.86,4.88,790700,-0.004082
2017-09-07,4.9,4.9,4.86,4.88,1253800,0.0
2017-09-08,4.9,4.9,4.88,4.9,494300,0.004098
2017-09-11,4.9,4.9,4.88,4.9,170800,0.0
2017-09-12,4.88,4.9,4.86,4.9,355400,0.0
2017-09-13,4.88,4.9,4.86,4.86,1151000,-0.008163
2017-09-14,4.88,4.9,4.86,4.9,268600,0.00823
2017-09-15,4.9,4.9,4.86,4.9,783000,0.0
2017-09-18,4.9,4.98,4.88,4.98,2126400,0.016327
2017-09-19,4.98,5.05,4.94,4.94,1413300,-0.008032
2017-09-20,4.96,4.98,4.94,4.94,302900,0.0
2017-09-21,4.94,5.0,4.92,4.98,626000,0.008097
2017-09-22,5.0,5.05,4.96,4.96,1670500,-0.004016
2017-09-25,4.98,5.0,4.94,4.96,407400,0.0
2017-09-26,5.0,5.0,4.94,4.96,467000,0.0
2017-09-27,4.96,4.96,4.94,4.94,582100,-0.004032
2017-09-28,4.96,4.96,4.9,4.94,1382200,0.0
2017-09-29,4.94,4.94,4.9,4.92,554400,-0.004049
2017-10-02,4.9,4.9,4.86,4.88,1966900,-0.00813
2017-10-03,4.88,4.9,4.84,4.86,1596700,-0.004098
2017-10-04,4.86,4.9,4.86,4.88,1312400,0.004115
2017-10-05,4.86,4.88,4.84,4.86,685400,-0.004098
2017-10-06,4.9,4.9,4.86,4.86,254600,0.0
2017-10-09,4.84,4.88,4.84,4.86,672300,0.0
