Date,Open,High,Low,Close,Volume
2020-01-06,9.45,9.45,9.25,9.3,3234700
2020-01-03,9.6,9.6,9.5,9.6,932800
2020-01-02,9.55,9.8,9.45,9.6,3660900
2019-12-30,9.3,9.6,9.25,9.6,3459200
2019-12-27,9.35,9.35,9.2,9.25,1087400
2019-12-26,9.2,9.3,9.15,9.3,2427200
2019-12-25,9.15,9.2,9.1,9.15,913100
2019-12-24,9.0,9.25,9.0,9.2,2156300
2019-12-23,8.95,9.05,8.95,9.0,576100
2019-12-20,9.1,9.1,8.95,9.0,572000
2019-12-19,9.1,9.1,8.95,9.1,1246600
2019-12-18,8.9,9.15,8.9,9.1,1400400
2019-12-17,8.9,9.0,8.8,8.85,2665600
2019-12-16,9.25,9.3,9.0,9.0,1841400
2019-12-13,9.1,9.3,9.05,9.3,6487800
2019-12-12,8.85,9.05,8.85,8.95,2810400
2019-12-11,8.75,8.9,8.65,8.8,2557200
2019-12-09,8.95,8.95,8.8,8.8,1992600
2019-12-06,9.2,9.25,8.9,8.95,2336800
2019-12-04,9.05,9.2,8.95,9.1,1566500
2019-12-03,9.2,9.25,9.1,9.1,2374100
2019-12-02,9.4,9.4,9.15,9.25,2312800
2019-11-29,9.3,9.4,9.1,9.35,3202200
2019-11-28,9.6,9.75,9.0,9.35,8944500
2019-11-27,9.55,9.65,9.55,9.55,1535000
2019-11-26,9.65,9.7,9.55,9.6,3256500
2019-11-25,9.4,9.7,9.4,9.65,12561500
2019-11-22,9.0,9.3,9.0,9.3,8793800
2019-11-21,8.95,9.0,8.85,9.0,1944400
2019-11-20,8.9,9.15,8.85,9.0,7257800
2019-11-19,8.95,8.95,8.85,8.9,609100
2019-11-18,8.85,8.95,8.75,8.95,2046300
2019-11-15,9.05,9.05,8.7,8.8,3674400
2019-11-14,8.85,9.0,8.85,9.0,1452400
2019-11-13,9.0,9.05,8.85,8.85,1966000
2019-11-12,9.0,9.15,8.9,9.05,3979700
2019-11-11,8.9,8.95,8.7,8.95,2969700
2019-11-08,9.05,9.1,8.95,8.95,1213100
2019-11-07,9.0,9.05,8.9,9.05,2498700
2019-11-06,9.15,9.2,8.95,8.95,3845300
2019-11-05,8.9,9.25,8.75,9.1,16658600
2019-11-04,8.8,8.95,8.7,8.85,2851900
2019-11-01,8.85,8.95,8.7,8.7,4611300
2019-10-31,8.6,9.0,8.6,8.9,7698000
2019-10-30,8.55,8.6,8.5,8.6,945400
2019-10-29,8.65,8.7,8.55,8.55,384500
2019-10-28,8.45,8.6,8.3,8.6,1131400
2019-10-25,8.6,8.7,8.3,8.5,2603300
2019-10-24,8.85,8.9,8.6,8.6,1938500
2019-10-22,8.95,9.05,8.75,8.8,3931000
2019-10-21,8.9,9.15,8.75,8.9,10853500
2019-10-18,8.85,8.85,8.75,8.85,1250400
2019-10-17,8.9,8.9,8.8,8.8,2339600
2019-10-16,8.35,8.9,8.35,8.9,6348800
2019-10-15,8.4,8.4,8.2,8.35,2379200
2019-10-11,8.35,8.4,8.25,8.4,1114100
2019-10-10,8.3,8.35,8.25,8.3,406700
2019-10-09,8.35,8.35,8.25,8.3,961000
2019-10-08,8.35,8.45,8.25,8.4,1861100
2019-10-07,8.25,8.3,8.2,8.3,1251000
2019-10-04,8.35,8.4,8.25,8.25,1010900
2019-10-03,8.5,8.5,8.15,8.3,3326900
2019-10-02,8.6,8.65,8.45,8.55,1510700
2019-10-01,8.85,8.85,8.6,8.6,2089100
2019-09-30,8.9,8.9,8.8,8.8,182500
2019-09-27,8.9,8.9,8.75,8.9,1164100
2019-09-26,9.0,9.0,8.85,8.9,2484500
2019-09-25,8.8,8.9,8.7,8.9,2126000
2019-09-24,8.85,8.85,8.75,8.75,876700
2019-09-23,8.65,8.8,8.6,8.8,1556700
2019-09-20,8.75,8.75,8.55,8.65,2992100
2019-09-19,8.75,8.75,8.6,8.7,1390300
2019-09-18,8.95,8.95,8.75,8.75,866400
2019-09-17,8.8,8.95,8.75,8.9,1783800
2019-09-16,8.9,9.15,8.7,8.8,11261200
2019-09-13,8.7,8.9,8.7,8.85,1839400
2019-09-12,8.9,8.9,8.65,8.65,3794300
2019-09-11,8.95,9.05,8.85,8.9,4975600
2019-09-10,8.9,9.0,8.8,8.95,4730100
2019-09-09,8.75,8.95,8.6,8.95,9533100
2019-09-06,8.65,8.75,8.5,8.75,11054100
2019-09-05,8.0,8.6,8.0,8.55,29165800
2019-09-04,8.0,8.05,7.95,8.0,1569300
2019-09-03,8.0,8.05,7.9,8.0,3800200
2019-09-02,8.05,8.05,7.9,8.0,2180300
2019-08-30,8.05,8.05,8.0,8.05,759200
2019-08-29,8.0,8.05,7.9,8.05,2562700
2019-08-28,8.0,8.0,7.9,7.95,859400
2019-08-27,8.0,8.15,7.9,7.95,4486800
2019-08-26,8.0,8.1,7.9,8.0,5393300
2019-08-23,8.15,8.25,8.0,8.1,10025500
2019-08-22,7.8,8.1,7.8,8.1,5918200
2019-08-21,7.9,7.9,7.8,7.9,1270400
2019-08-20,7.8,8.0,7.75,7.85,4644400
2019-08-19,7.85,7.85,7.75,7.8,1202500
2019-08-16,7.65,7.8,7.6,7.8,977000
2019-08-15,7.6,7.75,7.5,7.6,3923900
