Date,Open,High,Low,Close,Volume,Return
2009-12-30,6.1,6.1,6.0,6.05,7128400,
2010-01-04,6.05,6.05,5.95,5.95,3668100,-0.016529
2010-01-05,6.0,6.1,5.9,5.95,10798400,0.0
2010-01-06,5.95,6.0,5.9,5.95,5056700,0.0
2010-01-07,5.95,6.0,5.9,5.95,3907100,0.0
2010-01-08,5.95,6.0,5.9,5.95,8156500,0.0
2010-01-11,6.0,6.05,5.95,6.05,7857500,0.016807
2010-01-12,6.05,6.1,6.0,6.05,8021500,0.0
2010-01-13,6.0,6.1,6.0,6.05,7510000,0.0
2010-01-14,6.15,6.25,6.1,6.15,23876600,0.016529
2010-01-15,6.25,6.4,6.2,6.25,32051800,0.01626
2010-01-18,6.3,6.35,6.2,6.2,10111600,-0.008
2010-01-19,6.25,6.25,6.05,6.1,13057400,-0.016129
2010-01-20,6.1,6.15,6.0,6.05,14747800,-0.008197
2010-01-21,6.05,6.1,6.0,6.05,3584200,0.0
2010-01-22,6.05,6.05,5.95,6.05,15035400,0.0
2010-01-25,6.05,6.1,5.95,6.1,6676200,0.008264
2010-01-26,6.1,6.1,6.0,6.05,5145900,-0.008197
2010-01-27,6.05,6.05,5.95,5.95,5258600,-0.016529
2010-01-28,5.95,6.0,5.85,5.85,8363900,-0.016807
2010-01-29,5.8,6.0,5.8,6.0,4403100,0.025641
2010-02-01,5.95,5.95,5.85,5.9,9170200,-0.016667
2010-02-02,5.95,6.0,5.9,5.95,7873200,0.008475
2010-02-03,5.95,6.05,5.95,6.0,6450500,0.008403
2010-02-04,6.0,6.0,5.95,5.95,2219100,-0.008333
2010-02-05,5.85,5.95,5.85,5.9,5557000,-0.008403
2010-02-08,5.9,5.95,5.85,5.95,6409600,0.008475
2010-02-09,5.95,5.95,5.9,5.95,2029900,0.0
2010-02-10,6.0,6.05,5.95,5.95,5702000,0.0
2010-02-11,6.0,6.0,5.95,6.0,3924700,0.008403
2010-02-12,6.0,6.05,6.0,6.0,3962800,0.0
2010-02-15,6.05,6.05,5.95,6.05,4328200,0.008333
2010-02-16,6.0,6.05,6.0,6.0,571400,-0.008264
2010-02-17,6.05,6.15,6.0,6.1,7718600,0.016667
2010-02-18,6.1,6.15,6.05,6.15,8077200,0.008197
2010-02-19,6.15,6.2,6.1,6.1,8479100,-0.00813
2010-02-22,6.15,6.25,6.15,6.25,6981200,0.02459
2010-02-23,6.25,6.45,6.2,6.35,40360000,0.016
2010-02-24,6.3,6.35,6.25,6.25,10460200,-0.015748
2010-02-25,6.3,6.3,6.25,6.3,1866200,0.008
2010-02-26,6.45,6.5,6.3,6.4,15088100,0.015873
2010-03-02,6.35,6.5,6.35,6.5,9736400,0.015625
2010-03-03,6.5,6.6,6.45,6.5,8396000,0.0
