Date,Open,High,Low,Close,Volume,Return
2009-12-30,3.38,3.4,3.38,3.38,169100,
2010-01-04,3.4,3.4,3.38,3.4,67200,0.005917
2010-01-05,3.42,3.42,3.4,3.4,96600,0.0
2010-01-06,3.42,3.42,3.38,3.38,100100,-0.005882
2010-01-07,3.4,3.42,3.4,3.4,106100,0.005917
2010-01-08,3.42,3.42,3.4,3.42,84100,0.005882
2010-01-11,3.42,3.44,3.4,3.4,450500,-0.005848
2010-01-12,3.4,3.44,3.4,3.4,81000,0.0
2010-01-13,3.42,3.44,3.4,3.4,60900,0.0
2010-01-14,3.4,3.46,3.4,3.42,75500,0.005882
2010-01-15,3.42,3.44,3.4,3.4,109000,-0.005848
2010-01-18,3.4,3.4,3.38,3.4,265800,0.0
2010-01-19,3.42,3.42,3.38,3.38,346600,-0.005882
2010-01-20,3.4,3.4,3.38,3.38,373200,0.0
2010-01-21,3.38,3.54,3.36,3.4,923400,0.005917
2010-01-22,3.4,3.44,3.38,3.42,462000,0.005882
2010-01-25,3.4,3.4,3.4,3.4,2000,-0.005848
2010-01-26,3.4,3.42,3.4,3.4,199000,0.0
2010-01-27,3.4,3.4,3.34,3.36,371000,-0.011765
2010-01-28,3.38,3.38,3.34,3.36,205400,0.0
2010-01-29,3.38,3.44,3.38,3.44,126000,0.02381
2010-02-01,3.42,3.42,3.38,3.42,175000,-0.005814
2010-02-02,3.4,3.42,3.38,3.42,162000,0.0
2010-02-03,3.42,3.46,3.42,3.44,148500,0.005848
2010-02-04,3.42,3.46,3.42,3.46,123800,0.005814
2010-02-05,3.42,3.42,3.4,3.4,129100,-0.017341
2010-02-08,3.4,3.42,3.4,3.4,109000,0.0
2010-02-09,3.4,3.4,3.38,3.38,159000,-0.005882
2010-02-10,3.4,3.4,3.38,3.38,379700,0.0
2010-02-11,3.42,3.44,3.42,3.44,84200,0.017751
2010-02-12,3.44,3.44,3.4,3.42,25000,-0.005814
2010-02-15,3.42,3.42,3.38,3.38,145000,-0.011696
2010-02-16,3.4,3.4,3.38,3.38,40000,0.0
2010-02-17,3.38,3.46,3.38,3.4,84700,0.005917
2010-02-18,3.42,3.42,3.38,3.4,100700,0.0
2010-02-19,3.4,3.4,3.4,3.4,155000,0.0
2010-02-22,3.4,3.44,3.38,3.44,30300,0.011765
2010-02-23,3.4,3.44,3.38,3.44,74900,0.0
2010-02-24,3.42,3.42,3.4,3.42,21400,-0.005814
2010-02-25,3.4,3.4,3.38,3.38,53500,-0.011696
2010-02-26,3.38,3.42,3.38,3.42,190100,0.011834
2010-03-02,3.4,3.4,3.38,3.38,396700,-0.011696
2010-03-03,3.42,3.42,3.4,3.4,453900,0.005917
2010-03-04,3.44,3.44,3.4,3.4,707900,0.0
2010-03-05,3.44,3.44,3.4,3.4,962900,0.0
2010-03-08,3.4,3.4,3.38,3.4,123800,0.0
2010-03-09,3.4,3.4,3.38,3.38,238000,-0.005882
2010-03-10,3.38,3.4,3.38,3.4,341100,0.005917
2010-03-11,3.4,3.42,3.4,3.4,157300,0.0
2010-03-12,3.4,3.4,3.38,3.4,207000,0.0
2010-03-15,3.38,3.4,3.38,3.38,352000,-0.005882
2010-03-16,3.38,3.42,3.38,3.42,487200,0.011834
