Date,Open,High,Low,Close,Volume,Return
2009-12-30,3.75,3.77,3.67,3.67,2644000,
2010-01-04,3.7,3.75,3.65,3.73,7078000,0.016349
2010-01-05,3.75,3.75,3.67,3.67,5994000,-0.016086
2010-01-06,3.7,3.7,3.6,3.65,6214000,-0.00545
2010-01-07,3.65,3.7,3.65,3.67,2016000,0.005479
2010-01-08,3.65,3.67,3.65,3.65,1930000,-0.00545
2010-01-11,3.65,3.67,3.65,3.67,1315000,0.005479
2010-01-12,3.65,3.67,3.62,3.65,1907000,-0.00545
2010-01-13,3.62,3.65,3.62,3.65,1305000,0.0
2010-01-14,3.62,3.77,3.6,3.77,8044000,0.032877
2010-01-15,3.77,3.92,3.75,3.88,26695000,0.029178
2010-01-18,3.88,3.88,3.8,3.8,4301000,-0.020619
2010-01-19,3.85,3.85,3.73,3.77,7749000,-0.007895
2010-01-20,3.8,3.8,3.67,3.75,3662000,-0.005305
2010-01-21,3.7,3.75,3.67,3.73,4144000,-0.005333
2010-01-22,3.67,3.75,3.58,3.75,14434000,0.005362
2010-01-25,3.75,3.77,3.67,3.77,4021000,0.005333
2010-01-26,3.75,3.85,3.73,3.85,8864000,0.02122
2010-01-27,3.83,3.85,3.7,3.7,3830000,-0.038961
2010-01-28,3.73,3.73,3.65,3.73,2343000,0.008108
2010-01-29,3.67,3.73,3.67,3.73,673000,0.0
2010-02-01,3.67,3.7,3.65,3.65,2442000,-0.021448
2010-02-02,3.65,3.65,3.35,3.42,25487000,-0.063014
2010-02-03,3.4,3.48,3.4,3.45,2890000,0.008772
2010-02-04,3.4,3.4,3.25,3.35,16177000,-0.028986
2010-02-05,3.23,3.25,3.12,3.25,14717000,-0.029851
2010-02-08,3.2,3.27,3.12,3.27,9456000,0.006154
2010-02-09,3.2,3.33,3.15,3.27,6882000,0.0
2010-02-10,3.27,3.27,3.23,3.23,2733000,-0.012232
2010-02-11,3.23,3.23,3.23,3.23,1648000,0.0
2010-02-12,3.23,3.23,3.2,3.2,1523000,-0.009288
2010-02-15,3.17,3.17,3.08,3.1,2864000,-0.03125
2010-02-16,3.08,3.12,3.08,3.12,573000,0.006452
2010-02-17,3.12,3.15,3.12,3.12,893000,0.0
2010-02-18,3.15,3.15,3.1,3.12,996000,0.0
2010-02-19,3.08,3.1,3.05,3.05,2154000,-0.022436
2010-02-22,3.05,3.15,3.05,3.15,1936000,0.032787
2010-02-23,3.12,3.25,3.12,3.2,4785000,0.015873
2010-02-24,3.17,3.2,3.17,3.17,561000,-0.009375
2010-02-25,3.17,3.17,3.08,3.12,5949000,-0.015773
2010-02-26,3.12,3.48,3.12,3.33,34043000,0.067308
2010-03-02,3.38,3.42,3.35,3.38,5358000,0.015015
2010-03-03,3.4,3.4,3.38,3.4,2122000,0.005917
2010-03-04,3.4,3.62,3.38,3.55,10573000,0.044118
2010-03-05,3.62,3.67,3.48,3.48,6245000,-0.019718
2010-03-08,3.5,3.52,3.42,3.42,2002000,-0.017241
2010-03-09,3.48,3.52,3.42,3.42,3066000,0.0
2010-03-10,3.42,3.45,3.38,3.38,1457000,-0.011696
2010-03-11,3.35,3.48,3.35,3.4,1822000,0.005917
2010-03-12,3.4,3.45,3.38,3.45,1358000,0.014706
2010-03-15,3.45,3.45,3.4,3.42,278000,-0.008696
2010-03-16,3.4,3.52,3.4,3.52,3515000,0.02924
2010-03-17,3.55,3.58,3.52,3.58,3049000,0.017045
2010-03-18,3.6,3.62,3.52,3.52,2908000,-0.01676
2010-03-19,3.52,3.6,3.52,3.55,1993000,0.008523
2010-03-22,3.48,3.55,3.48,3.5,4200000,-0.014085
2010-03-23,3.52,3.55,3.5,3.52,1155000,0.005714
2010-03-24,3.55,3.55,3.5,3.5,2155000,-0.005682
2010-03-25,3.48,3.7,3.48,3.65,16965000,0.042857
2010-03-26,3.62,3.77,3.62,3.67,12970000,0.005479
2010-03-29,3.7,3.75,3.67,3.7,2514000,0.008174
2010-03-30,3.7,3.7,3.62,3.65,1480000,-0.013514
2010-03-31,3.67,3.7,3.6,3.6,747000,-0.013699
2010-04-01,3.62,3.77,3.62,3.7,9482000,0.027778
2010-04-02,3.7,3.77,3.65,3.67,4496000,-0.008108
2010-04-05,3.6,3.77,3.6,3.73,4511000,0.016349
2010-04-07,3.8,3.85,3.73,3.83,11800000,0.02681
2010-04-08,3.85,3.85,3.65,3.67,6389000,-0.041775
2010-04-09,3.6,3.7,3.6,3.7,2784000,0.008174
2010-04-12,3.55,3.55,3.45,3.52,3567000,-0.048649
2010-04-16,3.5,3.5,3.3,3.3,2759000,-0.0625
2010-04-19,3.25,3.33,3.2,3.33,951000,0.009091
2010-04-20,3.45,3.48,3.38,3.48,2028000,0.045045
2010-04-21,3.42,3.45,3.4,3.4,666000,-0.022989
2010-04-22,3.4,3.45,3.4,3.42,546000,0.005882
2010-04-23,3.25,3.35,3.25,3.35,1067000,-0.020468
2010-04-26,3.4,3.4,3.33,3.33,2145000,-0.00597
2010-04-27,3.33,3.4,3.3,3.33,743000,0.0
2010-04-28,3.3,3.45,3.3,3.35,2154000,0.006006
2010-04-29,3.38,3.4,3.38,3.38,597000,0.008955
2010-04-30,3.4,3.5,3.4,3.5,1692000,0.035503
2010-05-04,3.6,3.6,3.55,3.55,3678000,0.014286
2010-05-06,3.5,3.62,3.5,3.62,4547000,0.019718
2010-05-07,3.58,3.62,3.5,3.62,1986000,0.0
2010-05-10,3.6,3.62,3.58,3.62,3171000,0.0
2010-05-11,3.65,3.65,3.55,3.55,1528000,-0.019337
2010-05-12,3.67,3.73,3.6,3.62,13022000,0.019718
2010-05-13,3.65,3.67,3.55,3.55,2363000,-0.019337
2010-05-14,3.5,3.6,3.5,3.6,722000,0.014085
2010-05-17,3.4,3.5,3.4,3.45,611000,-0.041667
2010-05-18,3.45,3.58,3.45,3.52,538000,0.02029
2010-05-19,3.5,3.55,3.5,3.55,525000,0.008523
2010-05-24,3.55,3.58,3.5,3.55,1432000,0.0
2010-05-25,3.52,3.52,3.42,3.42,2354000,-0.03662
2010-05-26,3.42,3.5,3.42,3.5,955000,0.023392
2010-05-27,3.48,3.55,3.45,3.5,2222000,0.0
2010-05-31,3.5,3.6,3.48,3.58,4823000,0.022857
2010-06-01,3.58,3.77,3.58,3.73,13573000,0.041899
2010-06-02,3.77,3.77,3.62,3.62,5437000,-0.029491
2010-06-03,3.67,3.75,3.67,3.7,11030000,0.022099
2010-06-04,3.7,3.73,3.65,3.67,2896000,-0.008108
2010-06-07,3.62,3.67,3.6,3.62,2475000,-0.013624
2010-06-08,3.67,3.7,3.6,3.62,4171000,0.0
2010-06-09,3.7,3.92,3.7,3.88,38562000,0.071823
2010-06-10,3.95,4.15,3.95,4.15,62815000,0.069588
2010-06-11,4.2,4.2,4.0,4.1,21687000,-0.012048
2010-06-14,4.08,4.2,4.05,4.08,11328000,-0.004878
2010-06-15,4.08,4.15,4.03,4.03,7093000,-0.012255
