Date,Open,High,Low,Close,Volume,Return
2009-12-30,6.72,7.13,6.72,7.07,26940102,
2010-01-04,7.13,7.83,7.13,7.83,22609280,0.107496
2010-01-05,7.71,7.71,7.36,7.71,22250662,-0.015326
2010-01-06,7.65,8.12,7.65,7.83,26254960,0.015564
2010-01-07,7.89,7.94,7.71,7.89,7031593,0.007663
2010-01-08,7.77,7.94,7.77,7.83,4930802,-0.007605
2010-01-11,7.89,7.89,7.71,7.77,5963866,-0.007663
2010-01-12,7.77,7.94,7.77,7.89,13275763,0.015444
2010-01-13,7.89,8.12,7.77,8.06,14543769,0.021546
2010-01-14,8.12,8.12,7.94,8.0,7682928,-0.007444
2010-01-15,8.0,8.12,8.0,8.06,6199236,0.0075
2010-01-18,8.06,8.41,8.0,8.18,22239964,0.014888
2010-01-19,8.18,8.18,7.89,7.94,10141909,-0.02934
2010-01-20,7.94,8.06,7.89,8.0,8242254,0.007557
2010-01-21,8.0,8.06,7.94,8.0,5036077,0.0
2010-01-22,7.94,7.94,7.83,7.94,3418866,-0.0075
2010-01-25,7.83,8.12,7.83,7.94,11446719,0.0
2010-01-26,7.94,8.0,7.71,7.77,5513238,-0.021411
2010-01-27,7.77,7.77,7.42,7.59,6253158,-0.023166
2010-01-28,7.54,7.54,7.42,7.48,6707209,-0.014493
2010-01-29,7.48,7.71,7.48,7.71,5129369,0.030749
2010-02-01,7.59,7.83,7.54,7.83,2917741,0.015564
2010-02-02,7.89,7.94,7.83,7.89,8504585,0.007663
2010-02-03,7.89,7.94,7.89,7.94,4927379,0.006337
2010-02-04,7.94,8.06,7.89,8.0,7184370,0.007557
2010-02-05,7.89,7.94,7.83,7.89,8440393,-0.01375
2010-02-08,7.83,7.89,7.65,7.83,3110317,-0.007605
2010-02-09,7.71,7.89,7.71,7.77,1642887,-0.007663
2010-02-10,7.89,7.94,7.89,7.94,3496325,0.021879
2010-02-11,7.89,8.06,7.89,7.94,4621825,0.0
2010-02-12,7.94,8.0,7.89,7.89,1386119,-0.006297
2010-02-15,7.94,8.0,7.89,7.89,6898501,0.0
2010-02-16,7.94,8.18,7.94,8.06,10309237,0.021546
2010-02-17,8.06,8.12,8.0,8.06,4693720,0.0
2010-02-18,8.06,8.3,8.06,8.12,15009803,0.007444
2010-02-19,8.18,8.18,8.06,8.12,5977132,0.0
2010-02-22,8.18,8.24,8.12,8.24,3365373,0.014778
2010-02-23,8.3,8.47,8.18,8.3,10282704,0.007282
2010-02-24,8.24,8.3,8.18,8.18,5487561,-0.014458
2010-02-25,8.06,8.18,8.0,8.0,3328998,-0.022005
2010-02-26,8.0,8.12,7.94,8.06,4766043,0.0075
2010-03-02,8.06,8.12,7.94,8.06,3698316,0.0
2010-03-03,8.0,8.12,7.94,8.06,3880621,0.0
2010-03-04,8.06,8.24,8.06,8.24,5035649,0.022333
2010-03-05,8.18,8.18,8.06,8.06,2070834,-0.021845
2010-03-08,8.18,8.18,8.06,8.06,1724625,0.0
2010-03-09,8.06,8.12,8.06,8.06,1853437,0.0
2010-03-10,8.06,8.24,8.0,8.18,3620857,0.014888
2010-03-11,8.12,8.24,8.12,8.18,1413080,0.0
2010-03-12,8.24,8.24,8.18,8.24,1290687,0.007335
2010-03-15,8.24,8.3,8.24,8.24,2999907,0.0
2010-03-16,8.3,8.59,8.3,8.47,5716512,0.027913
2010-03-17,8.53,8.53,8.41,8.41,4783161,-0.007084
2010-03-18,8.53,8.53,8.3,8.35,4736942,-0.007134
2010-03-19,8.35,8.53,8.35,8.53,4067206,0.021557
2010-03-22,8.41,8.53,8.24,8.35,4122839,-0.021102
2010-03-23,8.35,8.47,8.3,8.41,7441566,0.007186
2010-03-24,8.53,8.65,8.41,8.47,10262162,0.007134
2010-03-25,8.59,8.59,8.35,8.35,4733947,-0.014168
2010-03-26,8.35,8.47,8.35,8.35,1882966,0.0
2010-03-29,8.41,8.47,8.35,8.41,1276137,0.007186
2010-03-30,8.47,8.65,8.41,8.65,3080788,0.028537
2010-03-31,8.65,8.88,8.59,8.82,11244728,0.019653
2010-04-01,8.94,9.23,8.88,9.11,12094630,0.03288
