Date,Open,High,Low,Close,Volume
2020-01-06,1.76,1.78,1.7,1.71,9420600
2020-01-03,1.76,1.78,1.74,1.78,13283300
2020-01-02,1.71,1.75,1.71,1.74,2336600
2019-12-30,1.7,1.72,1.7,1.71,1061300
2019-12-27,1.67,1.7,1.67,1.7,3516700
2019-12-26,1.66,1.69,1.66,1.66,2192100
2019-12-25,1.64,1.67,1.63,1.66,7976900
2019-12-24,1.65,1.68,1.64,1.64,5617500
2019-12-23,1.73,1.76,1.65,1.66,8586300
2019-12-20,1.77,1.78,1.71,1.72,10004500
2019-12-19,1.81,1.81,1.74,1.78,9922800
2019-12-18,1.84,1.84,1.8,1.8,3565100
2019-12-17,1.83,1.84,1.82,1.84,4257500
2019-12-16,1.86,1.86,1.82,1.83,3664200
2019-12-13,1.88,1.89,1.84,1.85,4787800
2019-12-12,1.86,1.88,1.86,1.88,2552500
2019-12-11,1.86,1.87,1.85,1.86,2853900
2019-12-09,1.86,1.88,1.85,1.85,2423800
2019-12-06,1.89,1.9,1.87,1.87,4122900
2019-12-04,1.89,1.91,1.88,1.9,3334200
2019-12-03,1.89,1.91,1.88,1.89,5217500
2019-12-02,1.93,1.93,1.89,1.89,3221400
2019-11-29,1.9,1.92,1.88,1.92,10977600
2019-11-28,1.9,1.93,1.89,1.9,7079300
2019-11-27,1.93,1.93,1.89,1.89,10371900
2019-11-26,1.89,1.93,1.88,1.91,27635200
2019-11-25,1.88,1.88,1.86,1.88,5164400
2019-11-22,1.86,1.89,1.86,1.87,3768100
2019-11-21,1.87,1.88,1.85,1.87,3704600
2019-11-20,1.87,1.89,1.86,1.86,2916500
2019-11-19,1.86,1.89,1.86,1.87,3937900
2019-11-18,1.88,1.88,1.85,1.86,5323700
2019-11-15,1.89,1.92,1.88,1.88,9128500
2019-11-14,1.94,1.95,1.89,1.89,8499900
2019-11-13,1.97,1.97,1.93,1.93,11620300
2019-11-12,1.98,1.98,1.94,1.97,21348700
2019-11-11,2.0,2.0,1.96,1.98,18565500
2019-11-08,1.97,2.04,1.96,2.02,21282300
2019-11-07,1.91,1.96,1.91,1.96,21005400
2019-11-06,1.9,1.95,1.89,1.91,22399100
2019-11-05,1.89,1.91,1.88,1.89,4889000
2019-11-04,1.92,1.92,1.88,1.88,4931200
2019-11-01,1.92,1.93,1.89,1.89,6289800
2019-10-31,1.89,1.94,1.89,1.91,11993500
2019-10-30,1.9,1.9,1.87,1.88,3663100
2019-10-29,1.91,1.93,1.89,1.89,5578100
2019-10-28,1.93,1.94,1.91,1.91,4610100
2019-10-25,1.96,1.97,1.92,1.92,12581500
2019-10-24,2.0,2.02,1.96,1.96,12225600
2019-10-22,1.96,2.0,1.96,1.98,17188400
2019-10-21,1.97,1.98,1.95,1.95,5334100
2019-10-18,1.99,2.0,1.97,1.97,7342000
2019-10-17,2.0,2.04,1.98,1.99,8531300
2019-10-16,1.98,2.04,1.98,1.99,13723100
2019-10-15,2.0,2.0,1.97,1.98,6227700
2019-10-11,1.96,2.02,1.95,1.99,20060300
2019-10-10,1.95,1.98,1.94,1.95,8676900
2019-10-09,1.98,1.98,1.91,1.93,16088900
2019-10-08,1.99,2.0,1.97,1.98,4730300
2019-10-07,1.99,2.02,1.97,1.98,6744500
2019-10-04,2.02,2.06,1.98,1.98,10492900
2019-10-03,2.02,2.04,2.0,2.02,10226300
2019-10-02,2.02,2.08,2.0,2.04,10883200
2019-10-01,2.04,2.06,2.02,2.02,5933400
2019-09-30,2.06,2.08,2.02,2.04,4929300
2019-09-27,2.04,2.08,2.02,2.06,5954400
2019-09-26,2.08,2.1,2.02,2.04,15090900
2019-09-25,2.06,2.1,2.04,2.06,7938200
2019-09-24,2.08,2.12,2.04,2.06,15385800
2019-09-23,2.16,2.16,2.06,2.06,20238800
2019-09-20,2.04,2.16,2.0,2.16,47417600
2019-09-19,1.97,2.06,1.97,2.0,17814100
2019-09-18,2.06,2.08,1.97,1.97,24275300
2019-09-17,2.12,2.16,2.06,2.06,18475100
2019-09-16,2.16,2.16,2.08,2.1,13343400
2019-09-13,2.14,2.18,2.12,2.14,10733400
2019-09-12,2.26,2.28,2.14,2.14,25947000
2019-09-11,2.2,2.26,2.2,2.24,25099900
2019-09-10,2.22,2.24,2.16,2.18,8669200
2019-09-09,2.24,2.26,2.2,2.22,9207500
2019-09-06,2.16,2.26,2.16,2.22,19729100
2019-09-05,2.26,2.28,2.12,2.16,45502400
2019-09-04,2.26,2.32,2.24,2.24,20651300
2019-09-03,2.24,2.32,2.22,2.24,28550800
2019-09-02,2.2,2.26,2.18,2.24,26114800
2019-08-30,2.34,2.36,2.24,2.26,39813900
2019-08-29,2.24,2.36,2.22,2.32,53425900
2019-08-28,2.26,2.28,2.22,2.24,17402000
2019-08-27,2.26,2.3,2.2,2.24,40824500
2019-08-26,2.08,2.24,2.06,2.22,57998700
2019-08-23,2.1,2.28,2.06,2.12,114048496
2019-08-22,1.91,2.14,1.91,2.1,76560896
2019-08-21,1.8,1.97,1.8,1.94,75042200
2019-08-20,1.8,1.85,1.78,1.78,28503000
2019-08-19,1.81,1.83,1.78,1.79,3335600
2019-08-16,1.81,1.84,1.78,1.81,12037200
2019-08-15,1.81,1.94,1.76,1.79,38496400
2019-08-14,1.57,1.6,1.55,1.55,2774100
2019-08-13,1.63,1.64,1.56,1.56,7495700
2019-08-09,1.68,1.7,1.64,1.64,7687400
2019-08-08,1.77,1.78,1.69,1.7,8816600
2019-08-07,1.81,1.81,1.76,1.78,10675800
2019-08-06,1.84,1.84,1.81,1.81,5543300
2019-08-05,1.85,1.87,1.82,1.84,3168900
2019-08-02,1.84,1.87,1.81,1.84,5508600
2019-08-01,1.85,1.86,1.83,1.84,5426100
2019-07-31,1.85,1.86,1.84,1.85,3907400
2019-07-30,1.93,1.93,1.84,1.85,15682500
2019-07-26,1.96,1.97,1.92,1.93,10467600
2019-07-25,1.98,1.98,1.95,1.96,8688100
2019-07-24,2.0,2.0,1.97,1.97,4762300
2019-07-23,2.0,2.02,1.98,1.99,4116200
2019-07-22,1.99,2.02,1.99,1.99,2302700
2019-07-19,1.99,2.02,1.99,1.99,2755300
2019-07-18,1.98,2.0,1.98,1.98,4550600
2019-07-17,2.0,2.02,1.98,1.98,6018600
2019-07-15,2.0,2.02,1.99,2.0,9012300
2019-07-12,2.02,2.04,2.0,2.0,6142400
2019-07-11,2.02,2.04,2.02,2.04,3193400
2019-07-10,2.02,2.04,2.0,2.02,3961600
2019-07-09,2.02,2.04,2.02,2.02,3131600
2019-07-08,2.06,2.06,2.02,2.02,7257600
2019-07-05,2.06,2.08,2.04,2.06,5513700
2019-07-04,2.04,2.1,2.04,2.06,9845900
2019-07-03,2.04,2.06,2.02,2.04,3962800
2019-07-02,2.06,2.06,2.02,2.04,8579000
2019-07-01,2.06,2.08,2.04,2.04,7475400
2019-06-28,2.08,2.08,2.06,2.06,1664700
2019-06-27,2.1,2.1,2.06,2.08,4833000
2019-06-26,2.12,2.12,2.08,2.08,4892500
2019-06-25,2.08,2.14,2.06,2.12,11261800
2019-06-24,2.08,2.1,2.06,2.08,2391900
2019-06-21,2.06,2.1,2.06,2.1,5962600
2019-06-20,2.06,2.08,2.06,2.06,2038700
2019-06-19,2.1,2.1,2.06,2.06,7031900
2019-06-18,2.06,2.1,2.04,2.1,7916600
2019-06-17,2.06,2.08,2.06,2.06,3357300
2019-06-14,2.08,2.1,2.06,2.06,2481700
2019-06-13,2.08,2.1,2.06,2.08,1937300
2019-06-12,2.08,2.1,2.06,2.08,3090800
2019-06-11,2.08,2.1,2.06,2.08,6519400
2019-06-10,2.08,2.12,2.06,2.08,10748200
2019-06-07,2.08,2.1,2.06,2.06,4276900
2019-06-06,2.1,2.1,2.04,2.08,5381900
2019-06-05,2.08,2.12,2.08,2.08,4146900
2019-06-04,2.06,2.1,2.06,2.08,3205400
2019-05-31,2.06,2.1,2.06,2.06,2694600
2019-05-30,2.08,2.1,2.06,2.06,3560500
2019-05-29,2.12,2.12,2.08,2.08,4608200
2019-05-28,2.04,2.14,2.02,2.14,28400800
2019-05-27,2.06,2.1,2.02,2.04,7231000
2019-05-24,2.0,2.06,1.99,2.04,3623300
2019-05-23,2.08,2.08,1.97,2.02,12534600
2019-05-22,2.04,2.12,2.04,2.08,8040000
2019-05-21,2.1,2.1,2.02,2.04,14859900
2019-05-17,2.18,2.2,2.12,2.14,5709000
2019-05-16,2.24,2.24,2.18,2.18,4775000
2019-05-15,2.26,2.28,2.22,2.24,2542300
2019-05-14,2.26,2.3,2.24,2.26,5849000
2019-05-13,2.26,2.3,2.26,2.26,2947700
2019-05-10,2.26,2.28,2.24,2.26,1322600
2019-05-09,2.26,2.28,2.26,2.26,1725300
2019-05-08,2.24,2.3,2.22,2.26,5202000
2019-05-07,2.28,2.28,2.24,2.24,2638500
2019-05-03,2.3,2.32,2.26,2.28,2504200
2019-05-02,2.3,2.34,2.3,2.3,4239000
2019-04-30,2.28,2.32,2.26,2.28,11244300
2019-04-29,2.28,2.32,2.26,2.28,9427700
2019-04-26,2.32,2.34,2.24,2.26,18858300
2019-04-25,2.22,2.32,2.22,2.32,17114700
2019-04-24,2.2,2.24,2.2,2.22,2262800
2019-04-23,2.26,2.26,2.2,2.2,6042300
2019-04-22,2.24,2.26,2.22,2.24,3900700
2019-04-19,2.34,2.34,2.2,2.24,15364700
2019-04-18,2.38,2.38,2.34,2.34,2617900
2019-04-17,2.32,2.38,2.28,2.38,3974200
2019-04-12,2.46,2.5,2.26,2.32,19396000
2019-04-11,2.52,2.56,2.42,2.46,16286000
2019-04-10,2.32,2.46,2.32,2.44,15139400
2019-04-09,2.24,2.34,2.24,2.32,8066500
2019-04-05,2.26,2.26,2.22,2.26,1466500
2019-04-04,2.28,2.28,2.22,2.26,1833100
2019-04-03,2.3,2.32,2.26,2.28,1417000
2019-04-02,2.3,2.34,2.3,2.32,1800300
2019-04-01,2.22,2.3,2.22,2.3,2256200
2019-03-29,2.18,2.26,2.18,2.22,2410600
2019-03-28,2.2,2.22,2.18,2.18,1105400
2019-03-27,2.18,2.2,2.16,2.2,1773800
2019-03-26,2.18,2.2,2.16,2.18,2342300
2019-03-25,2.26,2.26,2.16,2.18,7085400
2019-03-22,2.26,2.28,2.24,2.26,3153300
2019-03-21,2.28,2.28,2.24,2.28,3439100
2019-03-20,2.3,2.3,2.24,2.28,2947900
2019-03-19,2.32,2.34,2.28,2.28,2115400
2019-03-18,2.38,2.38,2.28,2.34,6709500
2019-03-15,2.4,2.4,2.3,2.36,11242300
2019-03-14,2.44,2.46,2.4,2.4,6463600
2019-03-13,2.46,2.48,2.44,2.44,3366300
2019-03-12,2.46,2.48,2.44,2.46,2236100
