Date,Open,High,Low,Close,Volume
2020-01-06,13.8,14.0,13.4,13.5,1982500
2020-01-03,14.5,14.9,14.1,14.1,3288400
2020-01-02,14.1,14.7,14.0,14.6,2015900
2019-12-30,14.1,14.2,14.0,14.0,159000
2019-12-27,14.0,14.3,13.9,14.1,1587200
2019-12-26,13.6,14.1,13.6,13.9,1906900
2019-12-25,13.3,13.8,13.1,13.6,1918100
2019-12-24,13.6,13.7,13.0,13.4,3282900
2019-12-23,13.9,13.9,13.3,13.6,1797400
2019-12-20,13.7,14.1,13.7,13.8,1725000
2019-12-19,13.8,13.9,13.4,13.7,2104000
2019-12-18,13.6,13.9,13.5,13.7,1910300
2019-12-17,13.6,13.7,13.4,13.5,902000
2019-12-16,13.9,13.9,13.5,13.5,1680400
2019-12-13,13.4,14.2,13.4,13.8,6884300
2019-12-12,13.2,13.5,13.2,13.4,3335100
2019-12-11,13.3,13.5,13.1,13.1,2310000
2019-12-09,13.9,13.9,13.2,13.2,1884100
2019-12-06,14.0,14.3,13.6,13.9,1435700
2019-12-04,13.9,14.0,13.7,14.0,1416600
2019-12-03,13.8,14.1,13.7,13.9,1053600
2019-12-02,14.4,14.4,13.8,13.8,2336000
2019-11-29,14.3,14.5,14.3,14.4,765200
2019-11-28,14.6,14.6,14.3,14.4,1407100
2019-11-27,14.8,15.1,14.5,14.6,3016300
2019-11-26,14.6,14.8,14.6,14.7,1797300
2019-11-25,14.5,14.8,14.4,14.5,3587300
2019-11-22,14.2,14.6,14.2,14.4,4424500
2019-11-21,14.1,14.4,14.0,14.2,3826100
2019-11-20,14.9,15.0,13.8,14.1,9829500
2019-11-19,14.8,15.3,14.7,15.1,6531400
2019-11-18,15.2,15.4,14.7,14.7,8193000
2019-11-15,15.8,15.9,14.5,15.0,15875000
2019-11-14,18.2,18.3,15.5,15.9,17907300
2019-11-13,18.6,18.8,18.0,18.1,12426800
2019-11-12,19.8,20.2,19.7,20.2,1007800
2019-11-11,20.2,20.2,19.7,19.7,1601800
2019-11-08,20.5,20.5,20.2,20.2,1185700
2019-11-07,20.0,20.6,20.0,20.5,3464200
2019-11-06,20.1,20.2,19.9,20.0,1592300
2019-11-05,19.6,20.2,19.5,20.2,4013800
2019-11-04,19.4,19.6,19.1,19.6,1744900
2019-11-01,19.4,19.7,19.1,19.2,1611500
2019-10-31,18.9,19.4,18.9,19.3,5060700
2019-10-30,18.7,19.0,18.4,18.8,3356400
2019-10-29,18.9,19.0,18.6,18.6,2175800
2019-10-28,19.0,19.2,18.4,18.7,2934700
2019-10-25,20.1,20.1,18.8,18.8,6188900
2019-10-24,19.9,20.6,19.8,20.1,7496000
2019-10-22,19.6,20.0,19.6,19.8,1706100
2019-10-21,19.9,19.9,19.6,19.6,1004200
2019-10-18,19.7,19.9,19.5,19.9,1581800
2019-10-17,20.3,20.3,19.7,19.7,2555500
2019-10-16,19.5,20.3,19.5,20.1,7902500
2019-10-15,19.5,19.6,19.2,19.3,2436100
2019-10-11,19.4,19.8,19.4,19.4,2262500
2019-10-10,19.3,19.5,19.2,19.3,1222000
2019-10-09,19.4,19.5,19.2,19.4,756200
2019-10-08,19.4,19.8,19.4,19.4,2614600
2019-10-07,19.3,19.6,19.3,19.3,2121300
2019-10-04,19.7,19.7,19.2,19.2,2372700
2019-10-03,19.7,19.9,19.5,19.6,2027000
2019-10-02,19.9,20.2,19.8,19.8,2772800
2019-10-01,20.3,20.4,19.9,19.9,2753100
2019-09-30,20.8,20.9,20.2,20.3,2372000
2019-09-27,20.1,20.9,20.1,20.7,5418600
2019-09-26,20.3,20.4,20.0,20.1,2336600
2019-09-25,20.4,20.5,19.9,20.1,3213000
2019-09-24,20.4,20.8,20.4,20.5,1167300
2019-09-23,20.5,20.8,20.3,20.3,1336700
2019-09-20,21.4,21.4,20.4,20.5,6314900
2019-09-19,22.4,22.4,21.3,21.3,6097000
2019-09-18,22.5,22.5,22.2,22.2,1639900
2019-09-17,22.6,22.8,22.4,22.4,2232100
2019-09-16,22.5,22.8,22.3,22.6,3372700
2019-09-13,22.5,22.6,22.2,22.3,2862300
2019-09-12,22.7,23.0,22.3,22.4,6985900
2019-09-11,22.4,22.9,22.4,22.6,6011500
2019-09-10,22.5,22.6,22.2,22.3,2203100
2019-09-09,22.6,22.6,22.3,22.4,2031100
2019-09-06,22.8,22.9,22.6,22.6,1129800
2019-09-05,22.8,23.0,22.6,22.7,4856700
2019-09-04,22.8,23.0,22.4,22.4,5558100
2019-09-03,23.0,23.4,22.6,22.6,6033400
2019-09-02,23.1,23.1,22.8,22.9,3124900
2019-08-30,22.8,23.3,22.8,23.1,7673300
2019-08-29,22.4,22.6,22.2,22.5,3040500
2019-08-28,22.4,22.7,22.1,22.2,3309000
2019-08-27,22.6,23.0,22.3,22.3,4832000
2019-08-26,22.3,22.7,22.0,22.4,3317800
2019-08-23,22.7,23.2,22.7,22.9,4932700
2019-08-22,23.3,23.5,22.5,22.5,8127500
2019-08-21,23.3,23.8,23.1,23.6,8802100
2019-08-20,24.7,24.7,23.0,23.1,17660300
2019-08-19,23.4,24.5,23.4,24.5,13016700
2019-08-16,23.2,23.4,22.7,22.9,7151800
2019-08-15,22.4,23.4,22.2,23.1,8681200
2019-08-14,22.4,23.0,22.4,22.7,7755500
2019-08-13,21.9,22.6,21.8,22.1,6822900
2019-08-09,23.4,23.4,21.8,22.0,11722500
2019-08-08,23.3,23.8,23.1,23.1,7322500
2019-08-07,24.9,25.0,23.1,23.1,17417300
