,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,,9.33,7.66,3.80,2.64,,,6.73,5.79,4.46,3.83,3.81,3.71,3.35,3.04,2.77,2.09
Earnings per Share,,-0.018,0.038,0.095,0.27,0.32,0.050,-0.28,,,0.046,-0.010,-0.014,-0.042,-0.088,-0.068,-0.085,-0.060,-0.036,-0.030
Revenue per Share,,0.39,2.07,1.97,2.60,1.96,1.26,0.84,,,0.28,0.28,0.43,0.24,0.18,0.24,0.18,0.13,0.18,0.23
Dividend per Share,,,0.00,0.027,0.74,0.10,0.040,,,,,,0.040,,,,,,,
Capital Expenditures per Share,,0.001,0.013,0.007,0.050,0.32,0.44,0.19,,,0.19,0.18,-0.032,0.017,0.056,0.059,0.062,0.035,0.020,0.020
Book Value per Share,,0.29,0.35,0.43,0.59,1.85,1.80,1.50,,,1.82,1.82,1.80,1.77,1.64,1.59,1.50,1.44,1.41,1.38
Price to Earnings Ratio,,,,,,28.1,76.8,,,,24.3,35.9,73.5,,,,,,,
Price to Book Value Ratio,,,,,,4.88,2.22,1.99,,,3.62,2.64,2.22,1.86,2.30,1.80,1.99,2.08,1.75,1.18
EV to EBITDA,,,,0.00,0.00,33.4,44.4,-22.7,,,27.4,32.0,44.4,75.1,-101.9,-59.7,-22.7,-19.0,-23.6,-20.9
Dividend Payout Ratio,,,0.0%,27.9%,273.9%,31.4%,80.0%,,,,,,76.6%,,,,,,,
Common Shares Outstanding,,"1,000","1,000","1,000","1,000","1,000","1,000","1,016",,,"1,000","1,000","1,000","1,009","1,009","1,016","1,016","1,019","1,019","1,019"
Total Revenue,,390.0,"2,067","1,973","2,602","1,965","1,258",853.7,,,278.9,281.8,425.5,239.6,185.9,247.0,181.1,135.0,186.3,234.5
"Cost of Revenue, Total",,302.4,"1,703","1,598","2,038","1,423","1,024",919.8,,,183.5,225.3,416.7,235.6,212.7,245.5,264.2,136.2,164.7,227.3
Gross Profit,,87.6,364.1,375.0,564.2,541.5,234.4,-66.2,,,95.4,56.5,8.72,3.99,-26.8,1.52,-83.1,-1.29,21.7,7.13
"Selling/General/Administrative Expenses, Total",,75.6,250.1,220.8,243.1,255.7,174.4,206.8,,,52.5,64.4,5.18,43.0,47.4,54.9,23.3,48.7,47.4,42.5
Operating Income,,17.1,113.9,154.9,321.1,285.8,60.0,-273.0,,,42.9,-7.91,3.54,-39.0,-74.2,-53.4,-106.4,-50.0,-25.7,-35.4
Net Income,,-17.6,38.0,95.3,206.7,279.1,56.9,-286.3,,,46.0,-5.90,-13.8,-42.1,-88.7,-68.7,-86.7,-61.3,-37.2,-30.5
EBITDA,,138.5,152.9,193.1,357.1,319.8,111.0,-198.6,,,51.4,6.32,23.0,-17.8,-54.5,-31.8,-94.5,-29.2,-4.67,-12.5
Gross Profit Margin,,22.5%,17.6%,19.0%,21.7%,27.6%,18.6%,-7.8%,,,34.2%,20.1%,2.0%,1.7%,-14.4%,0.6%,-45.9%,-1.0%,11.6%,3.0%
Operating Margin,,4.4%,5.5%,7.9%,12.3%,14.5%,4.8%,-32.0%,,,15.4%,-2.8%,0.8%,-16.3%,-39.9%,-21.6%,-58.7%,-37.0%,-13.8%,-15.1%
Net Profit Margin,,-4.5%,1.8%,4.8%,7.9%,14.2%,4.5%,-33.5%,,,16.5%,-2.1%,-3.2%,-17.6%,-47.7%,-27.8%,-47.9%,-45.4%,-20.0%,-13.0%
Return on Assets,,-1.2%,2.1%,4.7%,9.4%,9.5%,1.7%,-8.4%,,,6.6%,5.0%,1.7%,-0.5%,-4.4%,-6.3%,-8.5%,-9.3%,-8.1%,-7.1%
Return on Equity,,-6.0%,11.0%,22.4%,35.0%,15.1%,3.2%,-18.8%,,,2.5%,-0.3%,-0.8%,-2.4%,-5.4%,-4.3%,-5.7%,-4.2%,-2.6%,-2.2%
Return on Total Capital,,-5.1%,6.7%,22.4%,35.0%,14.4%,3.2%,-18.0%,,,11.8%,9.4%,3.2%,-0.9%,-8.9%,-13.0%,-18.0%,-20.0%,-17.1%,-14.8%
SG&A to Sale,,19.4%,12.1%,11.2%,9.3%,13.0%,13.9%,24.2%,,,18.8%,22.9%,1.2%,17.9%,25.5%,22.2%,12.9%,36.1%,25.4%,18.1%
Depreciation & Amortisation,,121.4,39.0,38.2,36.0,34.0,51.0,74.3,,,8.45,14.2,19.5,21.2,19.6,21.6,11.9,20.8,21.1,22.8
Tax Rate,,-10.7%,26.3%,19.6%,21.5%,12.8%,25.3%,5.3%,,,18.1%,-30.0%,-21.8%,16.0%,1.2%,-7.4%,12.0%,2.7%,-18.5%,25.2%
Current Ratio,,0.92,1.03,1.00,1.07,1.65,1.29,0.82,,,1.39,1.25,1.29,1.28,1.22,1.12,0.82,0.79,0.78,0.78
Quick Ratio,,0.64,0.54,0.53,0.77,1.25,1.01,0.40,,,1.02,0.94,1.01,0.91,0.88,0.79,0.40,0.34,0.30,0.32
