,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,1.07,1.58,2.43,2.98,2.55,2.45,2.36,,,2.66,2.47,2.11,2.22,2.58,2.46,2.02,2.23,2.55,2.70
Earnings per Share,0.010,0.028,0.041,0.044,0.049,0.051,0.051,0.058,,,0.011,0.015,0.011,0.018,0.016,0.014,0.010,0.016,0.011,0.024
Revenue per Share,0.13,0.17,0.20,0.24,0.29,0.33,0.35,0.40,,,0.082,0.094,0.093,0.099,0.095,0.11,0.10,0.11,0.11,0.13
Dividend per Share,0.013,0.016,0.027,0.030,0.036,0.036,0.036,0.050,,,0.012,0.012,0.012,,0.020,0.00,0.030,,0.020,0.00
Capital Expenditures per Share,0.012,0.014,0.039,0.053,0.054,0.092,0.061,0.063,,,0.014,0.016,0.017,0.014,0.016,0.015,0.018,0.015,0.005,0.016
Book Value per Share,0.068,0.10,0.24,0.25,0.27,0.28,0.30,0.32,,,0.30,0.30,0.30,0.32,0.32,0.32,0.32,0.34,0.32,0.33
Price to Earnings Ratio,,,25.1,44.4,52.3,49.9,39.7,31.9,,,48.0,44.3,39.7,42.1,41.3,35.0,31.9,39.4,46.8,42.5
Price to Book Value Ratio,,,4.38,7.70,9.94,8.78,6.43,5.87,,,8.28,6.99,6.43,6.55,8.83,6.09,5.87,6.64,7.65,7.92
EV to EBITDA,0.00,0.00,16.2,29.0,32.0,35.9,23.7,22.0,,,31.2,30.8,23.7,21.8,23.7,26.9,22.0,21.3,27.0,25.1
Dividend Payout Ratio,133.0%,56.7%,66.5%,68.7%,73.6%,70.2%,70.0%,86.8%,,,23.4%,23.1%,23.3%,,33.1%,0.0%,52.1%,,39.0%,0.0%
Common Shares Outstanding,"11,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000",,,"11,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000"
Total Revenue,"1,428","1,874","2,234","2,695","3,171","3,655","3,894","4,427",,,896.5,"1,038","1,020","1,084","1,046","1,155","1,142","1,232","1,186","1,438"
"Cost of Revenue, Total",983.4,"1,198","1,446","1,756","2,081","2,468","2,633","3,072",,,623.9,698.7,685.9,711.9,714.9,826.0,819.2,853.4,866.1,935.1
Gross Profit,444.1,675.8,787.7,938.9,"1,090","1,187","1,261","1,355",,,272.6,338.8,333.7,372.2,330.8,329.3,323.0,378.7,319.7,502.7
"Selling/General/Administrative Expenses, Total",197.3,237.1,287.2,359.3,426.6,494.8,550.8,570.1,,,123.9,129.1,173.0,129.5,115.7,140.8,184.0,154.3,165.0,166.5
Operating Income,246.8,438.6,500.5,579.6,663.3,692.5,710.0,785.3,,,148.7,209.8,160.7,242.8,215.0,188.5,139.0,224.3,154.7,336.2
Net Income,171.5,335.9,414.4,480.6,538.4,564.3,565.4,633.9,,,118.7,168.2,125.7,193.5,178.0,150.8,111.6,179.3,122.8,268.8
EBITDA,342.5,538.1,608.0,711.2,822.1,900.0,960.3,"1,057",,,210.8,275.4,221.9,307.6,280.4,259.2,210.0,302.2,234.1,417.7
Gross Profit Margin,31.1%,36.1%,35.3%,34.8%,34.4%,32.5%,32.4%,30.6%,,,30.4%,32.7%,32.7%,34.3%,31.6%,28.5%,28.3%,30.7%,27.0%,35.0%
Operating Margin,17.3%,23.4%,22.4%,21.5%,20.9%,18.9%,18.2%,17.7%,,,16.6%,20.2%,15.8%,22.4%,20.6%,16.3%,12.2%,18.2%,13.1%,23.4%
Net Profit Margin,12.0%,17.9%,18.5%,17.8%,17.0%,15.4%,14.5%,14.3%,,,13.2%,16.2%,12.3%,17.8%,17.0%,13.1%,9.8%,14.6%,10.4%,18.7%
Return on Assets,14.4%,24.0%,18.2%,15.4%,15.8%,14.0%,11.9%,11.9%,,,11.9%,11.7%,11.4%,11.8%,12.4%,11.7%,11.2%,10.6%,9.5%,11.2%
Return on Equity,22.8%,29.8%,15.7%,17.2%,18.2%,18.0%,17.1%,17.8%,,,3.6%,5.1%,3.8%,5.5%,5.0%,4.3%,3.1%,4.8%,3.5%,7.5%
Return on Total Capital,22.8%,29.8%,15.7%,17.1%,18.0%,17.2%,15.2%,15.2%,,,16.0%,16.1%,15.2%,15.4%,16.4%,16.0%,15.2%,14.1%,13.5%,16.3%
