,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,4.00,5.07,4.56,4.48,4.72,6.83,7.95,6.85,,,6.50,8.10,8.73,7.95,7.95,7.63,7.50,6.90,6.28,6.20
Earnings per Share,0.22,0.026,0.41,-0.045,0.079,0.15,0.20,0.21,,,0.023,0.032,0.064,0.11,0.012,0.016,0.071,0.093,-0.003,0.017
Revenue per Share,1.70,1.93,1.91,1.74,2.12,2.26,2.41,2.51,,,0.54,0.58,0.64,0.71,0.54,0.57,0.68,0.71,0.56,0.60
Dividend per Share,0.080,0.019,0.15,0.040,0.040,0.060,0.090,0.090,,,,,0.090,,,,0.090,,,
Capital Expenditures per Share,0.24,0.49,0.67,0.71,0.29,0.32,0.60,0.65,,,0.14,0.14,0.21,0.15,0.15,0.18,0.16,0.13,0.17,0.22
Book Value per Share,1.60,1.56,2.03,1.84,1.87,1.97,2.09,2.21,,,2.00,2.03,2.09,2.19,2.12,2.12,2.21,2.30,2.20,2.22
Price to Earnings Ratio,11.8,239.1,8.70,,52.7,31.6,42.7,34.8,,,36.0,46.2,42.7,35.2,36.7,33.9,34.8,34.0,32.9,35.9
Price to Book Value Ratio,1.69,3.73,1.91,2.54,2.36,2.32,3.82,3.19,,,3.32,4.29,3.82,2.87,3.82,2.97,3.19,2.74,2.65,2.68
EV to EBITDA,7.60,9.29,7.16,12.4,7.69,7.57,11.0,9.59,,,8.42,10.2,11.0,10.5,9.87,10.0,9.59,9.41,8.33,8.37
Dividend Payout Ratio,36.6%,73.5%,36.6%,-88.8%,50.9%,40.9%,44.7%,42.3%,,,,,44.7%,,,,42.3%,,,
Common Shares Outstanding,"2,245","2,245","2,475","2,479","2,498","2,498","2,501","2,508",,,"2,500","2,500","2,501","2,505","2,506","2,507","2,508","2,512","2,513","2,515"
Total Revenue,"3,811","4,331","4,718","4,308","5,286","5,652","6,037","6,293",,,"1,359","1,456","1,589","1,785","1,360","1,440","1,707","1,772","1,408","1,505"
"Cost of Revenue, Total","1,861","2,033","2,299","2,328","2,615","2,712","2,796","2,972",,,616.8,655.2,846.0,719.3,660.6,689.3,903.1,739.5,709.4,724.9
Gross Profit,"1,950","2,297","2,419","1,980","2,671","2,941","3,242","3,321",,,741.7,801.1,742.6,"1,066",699.8,750.7,804.4,"1,033",698.2,780.0
"Selling/General/Administrative Expenses, Total",990.7,"1,067","1,223","1,107","1,271","1,346","1,411","1,438",,,385.9,380.2,244.4,408.5,376.4,399.7,253.6,423.2,392.1,396.4
Operating Income,316.7,591.3,532.6,202.9,684.1,866.9,"1,094","1,109",,,172.9,233.4,311.9,473.8,135.5,157.5,341.8,403.3,99.0,178.1
Net Income,491.3,57.7,936.8,-111.6,195.5,366.9,505.6,536.3,,,57.4,79.3,161.1,285.6,29.6,41.5,179.7,234.6,-7.29,42.6
EBITDA,943.0,"1,213","1,182",860.2,"1,388","1,583","1,820","1,873",,,355.8,420.9,487.2,657.1,323.4,351.0,541.4,609.4,306.0,383.6
Gross Profit Margin,51.2%,53.0%,51.3%,46.0%,50.5%,52.0%,53.7%,52.8%,,,54.6%,55.0%,46.7%,59.7%,51.4%,52.1%,47.1%,58.3%,49.6%,51.8%
Operating Margin,8.3%,13.7%,11.3%,4.7%,12.9%,15.3%,18.1%,17.6%,,,12.7%,16.0%,19.6%,26.5%,10.0%,10.9%,20.0%,22.8%,7.0%,11.8%
Net Profit Margin,12.9%,1.3%,19.9%,-2.6%,3.7%,6.5%,8.4%,8.5%,,,4.2%,5.4%,10.1%,16.0%,2.2%,2.9%,10.5%,13.2%,-0.5%,2.8%
Return on Assets,3.9%,0.5%,7.1%,-0.8%,1.3%,2.5%,3.3%,3.3%,,,2.8%,2.9%,3.2%,3.6%,3.4%,3.2%,3.2%,2.8%,2.6%,2.6%
Return on Equity,13.7%,1.7%,18.6%,-2.5%,4.2%,7.5%,9.7%,9.7%,,,1.1%,1.6%,3.1%,5.2%,0.6%,0.8%,3.2%,4.1%,-0.1%,0.8%
Return on Total Capital,4.8%,0.6%,8.5%,-1.0%,1.8%,3.4%,4.1%,4.2%,,,3.7%,3.9%,4.1%,4.6%,4.3%,4.0%,4.2%,3.6%,3.4%,3.2%
SG&A to Sale,26.0%,24.6%,25.9%,25.7%,24.1%,23.8%,23.4%,22.9%,,,28.4%,26.1%,15.4%,22.9%,27.7%,27.8%,14.9%,23.9%,27.9%,26.3%
Depreciation & Amortisation,626.3,621.6,649.2,657.3,703.9,716.1,725.6,764.3,,,182.9,187.5,175.4,183.3,187.9,193.5,199.5,206.1,207.0,205.5
Tax Rate,9.2%,48.5%,8.6%,-20.8%,30.0%,23.0%,23.4%,21.7%,,,28.4%,27.3%,22.4%,19.0%,31.9%,29.7%,21.2%,19.6%,128.1%,33.1%
Current Ratio,0.53,0.41,0.58,0.39,0.39,0.34,0.49,0.44,,,0.44,0.43,0.49,0.56,0.50,0.47,0.44,0.53,0.41,0.49
Quick Ratio,0.12,0.11,0.11,0.091,0.072,0.083,0.11,0.10,,,0.085,0.091,0.11,0.11,0.11,0.089,0.10,0.090,0.081,0.093
Days Inventory Outstanding,12.3,9.15,7.99,8.38,8.15,7.72,7.18,6.89,,,6.37,6.56,7.06,6.90,6.39,6.34,6.52,6.40,5.83,5.60
Days Sale Outstanding,16.8,18.3,18.1,21.0,17.8,19.3,21.5,21.2,,,16.9,19.2,21.5,20.2,16.7,17.2,21.2,18.7,15.8,15.5
Days Payable Outstanding,38.0,36.2,37.5,39.0,36.0,34.6,34.7,31.0,,,29.8,30.3,33.9,35.2,32.0,28.9,27.6,27.0,24.0,21.6
Cash Conversion Cycle,-3.82,-15.2,-13.2,-10.9,-10.8,-8.15,-9.35,0.34,,,-4.49,-7.48,-9.19,-6.89,-5.05,-4.80,-1.95,-0.099,1.28,-0.34
Debt to Asset Ratio,0.69,0.71,0.62,0.67,0.67,0.66,0.66,0.66,,,0.66,0.66,0.66,0.65,0.66,0.67,0.66,0.66,0.67,0.67
Debt to Equity Ratio,2.36,2.62,1.69,2.15,2.13,2.00,2.03,2.03,,,2.02,2.03,2.03,1.93,2.00,2.11,2.03,1.99,2.09,2.12
Interest Coverage Ratio,0.78,1.50,1.45,0.56,1.77,2.42,3.21,3.10,,,2.07,2.64,3.67,5.61,1.56,1.74,3.55,4.20,1.00,1.75
Cash and Short Term Investments,450.2,410.3,827.4,676.0,"1,011",795.4,"1,077","1,051",,,961.7,969.1,"1,077","1,181",814.2,"1,075","1,051","1,392",973.5,"1,008"
"Total Receivables, Net",175.3,216.7,234.1,247.8,258.1,299.2,356.4,366.0,,,269.1,308.6,356.4,342.4,283.4,290.7,366.0,321.0,274.7,271.0
Total Inventory,52.8,49.1,51.6,55.3,61.5,53.2,56.8,55.4,,,46.7,51.3,56.8,50.5,50.4,50.8,55.4,49.6,47.5,47.0
Total Current Assets,771.3,818.7,"1,227","1,047","1,409","1,234","1,573","1,560",,,"1,384","1,455","1,573","1,695","1,252","1,524","1,560","1,886","1,413","1,435"
"Property/Plant/Equipment, Total - Net","9,494","10,122","10,558","11,603","11,632","11,707","12,568","13,505",,,"11,970","12,163","12,568","12,697","12,917","13,284","13,505","13,637","13,845","14,188"
Total Assets,"12,238","12,840","13,715","14,517","14,820","14,911","16,048","16,949",,,"15,250","15,524","16,048","16,300","16,049","16,674","16,949","17,451","17,248","17,569"
Accounts Payable,175.3,228.4,243.5,253.9,261.4,252.3,279.5,224.9,,,212.8,239.8,279.5,268.4,236.8,225.3,224.9,218.0,181.9,182.1
Accrued Expenses,155.0,188.0,251.4,259.0,307.7,345.4,384.1,454.5,,,,8.62,384.1,,,7.96,454.5,,,8.62
Debt Due,773.1,"1,082","1,004","1,721","2,618","2,558","2,011","2,274",,,"2,233","2,398","2,011","1,847","1,434","2,123","2,274","2,326","2,277","1,794"
Total Current Liabilities,"1,445","2,020","2,116","2,716","3,593","3,606","3,218","3,540",,,"3,171","3,406","3,218","3,016","2,485","3,266","3,540","3,571","3,407","2,917"
Long Term Debt,"6,731","6,796","6,030","6,722","5,988","5,869","7,058","7,331",,,"6,567","6,524","7,058","7,234","7,742","7,562","7,331","7,549","7,764","8,520"
Total Liabilities,"8,468","9,152","8,486","9,783","9,938","9,839","10,645","11,240",,,"10,108","10,301","10,645","10,623","10,603","11,207","11,240","11,492","11,561","11,831"
Common Stock,"2,245","2,245","2,475","2,479","2,498","2,498","2,501","2,508",,,"2,500","2,500","2,501","2,505","2,506","2,507","2,508","2,512","2,513","2,515"
Additional Paid-In Capital,358.1,359.7,776.1,786.5,836.5,836.5,846.3,871.8,,,843.7,844.6,846.3,861.6,865.0,867.7,871.8,888.9,893.4,900.6
Retained Earnings (Accumulated Deficit),981.2,878.5,"1,773","1,286","1,343","1,610","1,965","2,288",,,"1,725","1,804","1,965","2,251","2,055","2,097","2,288","2,522","2,289","2,332"
Shareholders' Equity,"3,589","3,494","5,035","4,554","4,671","4,918","5,236","5,543",,,"5,007","5,076","5,236","5,490","5,311","5,323","5,543","5,776","5,541","5,579"
Cash from Operating Activities,928.0,"1,235","1,345",926.0,"1,304","1,416","1,680","1,744",,,289.6,331.6,574.5,531.0,304.7,336.6,571.6,518.0,194.8,437.1
Cash from Investing Activities,815.5,"-1,040",-282.7,"-1,746",-705.6,-884.3,"-1,500","-1,661",,,-345.5,-365.9,-523.0,-373.8,-381.3,-488.3,-417.4,-364.6,-410.0,-579.0
Cash from Financing Activities,"-1,514",-235.1,-644.8,668.9,-263.7,-743.4,121.5,-92.9,,,-12.5,41.1,56.9,-34.4,-296.6,430.9,-192.7,198.5,-200.9,179.8
Net Change in Cash,229.8,-39.9,417.1,-151.5,335.3,-215.8,281.6,-25.7,,,-78.0,7.40,107.9,103.6,-366.3,261.2,-24.2,341.1,-418.9,34.2
Free Cashflows,390.0,128.9,-301.9,-823.9,569.4,625.7,181.7,109.1,,,-61.9,-18.6,56.4,151.3,-75.5,-125.7,158.9,195.4,-222.3,-114.1
Free Cashflow per Share,0.17,0.057,-0.12,-0.33,0.23,0.25,0.073,0.043,,,-0.025,-0.007,0.023,0.060,-0.030,-0.050,0.063,0.078,-0.088,-0.045
