,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,,,14.4,15.3,16.4,16.6,,14.5,14.9,14.7,14.8,15.4,15.2,15.5,16.9,17.4,16.8
Earnings per Share,,,,,,0.60,0.79,1.30,1.09,,0.22,0.15,0.22,0.23,0.24,0.61,0.23,0.24,0.23,0.38
Revenue per Share,,,,,,1.32,1.34,1.40,1.49,,0.34,0.34,0.34,0.35,0.36,0.36,0.37,0.37,0.37,0.38
Dividend per Share,,,,,,0.60,0.74,0.82,0.86,,0.20,0.16,0.20,0.21,0.21,0.21,0.21,0.22,0.21,0.22
Capital Expenditures per Share,,,,,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Book Value per Share,,,,,,10.1,10.1,10.6,10.9,,10.1,10.1,10.1,10.2,10.2,10.6,10.6,10.7,10.7,10.9
Price to Earnings Ratio,,,,,,24.7,18.4,11.4,14.7,,19.7,18.4,17.9,18.2,18.6,11.4,11.2,12.0,12.8,14.7
Price to Book Value Ratio,,,,,,1.44,1.44,1.35,1.50,,1.46,1.44,1.42,1.42,1.48,1.35,1.47,1.63,1.57,1.50
EV to EBITDA,,,,,,37.2,17.9,17.4,18.0,,17.5,17.9,17.7,17.4,17.3,17.4,17.4,17.9,18.7,18.0
Dividend Payout Ratio,,,,,,100.0%,93.3%,63.1%,78.6%,,26.9%,19.5%,25.0%,25.6%,24.4%,15.9%,15.9%,16.4%,15.9%,20.1%
Common Shares Outstanding,,,,,,814.8,814.8,814.8,814.8,,814.8,814.8,814.8,814.8,814.8,814.8,814.8,814.8,814.8,814.8
Total Revenue,,,,,,"1,079","1,093","1,144","1,213",,273.9,275.8,277.0,282.8,291.1,293.4,298.4,301.4,303.7,309.1
"Cost of Revenue, Total",,,,,,313.3,303.5,327.4,364.7,,76.0,77.3,77.1,76.5,86.1,87.6,87.4,86.1,96.0,95.3
Gross Profit,,,,,,765.8,789.3,816.9,848.0,,197.9,198.5,199.9,206.3,205.0,205.8,211.1,215.3,207.8,213.9
"Selling/General/Administrative Expenses, Total",,,,,,16.6,16.7,18.0,17.5,,4.31,3.68,4.94,4.35,4.27,4.41,4.32,4.83,4.22,4.10
Operating Income,,,,,,749.2,772.6,799.0,830.6,,193.6,194.9,194.9,201.9,200.8,201.4,206.8,210.5,203.6,209.8
