,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,5.52,4.01,3.12,3.76,3.27,2.49,1.81,1.17,,,2.42,2.26,2.09,1.84,1.78,1.51,1.45,1.17,1.04,0.88
Earnings per Share,0.099,0.25,0.001,0.057,0.19,0.053,-0.14,-0.50,,,0.002,-0.11,-0.073,-0.080,-0.10,-0.18,-0.13,-0.20,-0.24,-0.22
Revenue per Share,13.9,13.6,10.8,11.3,8.79,7.22,7.90,6.19,,,2.06,1.81,1.99,1.99,1.74,1.29,1.17,1.45,1.43,0.83
Dividend per Share,,0.20,,0.50,0.15,0.10,0.050,,,,,,0.050,,,,,,,
Capital Expenditures per Share,0.77,0.39,0.35,0.28,0.19,0.28,0.22,0.29,,,0.044,0.081,0.064,0.072,0.022,0.028,0.17,0.074,0.13,0.088
Book Value per Share,2.53,2.80,2.51,2.06,2.21,2.11,1.85,1.31,,,2.06,1.96,1.85,1.78,1.63,1.44,1.31,1.11,0.87,0.72
Price to Earnings Ratio,41.5,20.3,"2,342",51.5,18.9,50.4,,,,,,,,,,,,,,
Price to Book Value Ratio,1.66,1.52,0.97,1.37,1.55,1.30,1.01,0.91,,,1.16,1.04,1.01,0.92,1.02,0.78,0.91,1.01,1.06,1.12
EV to EBITDA,13.4,14.4,11.1,14.1,10.3,10.7,16.4,-30.5,,,11.9,14.2,16.4,28.1,200.7,-45.8,-30.5,-17.8,-11.7,-10.6
Dividend Payout Ratio,,78.7%,,870.8%,78.6%,189.6%,-34.7%,,,,,,-35.6%,,,,,,,
Common Shares Outstanding,850.0,850.0,"1,000","1,000","1,200","1,200","1,200","1,200",,,"1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,500"
Total Revenue,"11,842","11,539","10,754","11,330","10,544","8,666","9,477","7,428",,,"2,470","2,170","2,388","2,387","2,087","1,547","1,407","1,734","1,720","1,250"
"Cost of Revenue, Total","11,362","11,018","10,319","10,945","9,747","7,993","8,903","7,376",,,"2,271","2,122","2,314","2,317","2,034","1,614","1,415","1,753","1,773","1,317"
Gross Profit,480.0,521.9,435.2,385.1,796.9,673.3,573.5,52.5,,,199.5,47.8,73.4,69.7,53.8,-66.6,-7.78,-18.9,-53.1,-67.1
"Selling/General/Administrative Expenses, Total",510.2,501.9,491.0,537.4,554.8,552.9,672.4,646.8,,,151.2,157.8,192.0,144.7,159.7,168.7,170.3,176.5,193.5,165.5
Operating Income,402.7,402.8,362.5,250.5,467.8,305.1,-35.3,-549.3,,,59.8,-93.0,-100.7,-58.6,-95.1,-221.9,-172.1,-178.4,-240.4,-216.9
Net Income,84.0,216.0,0.88,57.4,212.4,63.3,-172.8,-605.8,,,1.92,-122.4,-105.8,-95.4,-126.0,-221.1,-163.2,-243.2,-288.0,-271.2
EBITDA,"1,006","1,003",996.6,865.3,"1,024",788.3,426.9,-151.4,,,179.0,26.7,4.52,46.8,8.87,-119.1,-78.7,-88.8,-152.4,-130.1
Gross Profit Margin,4.1%,4.5%,4.0%,3.4%,7.6%,7.8%,6.1%,0.7%,,,8.1%,2.2%,3.1%,2.9%,2.6%,-4.3%,-0.6%,-1.1%,-3.1%,-5.4%
Operating Margin,3.4%,3.5%,3.4%,2.2%,4.4%,3.5%,-0.4%,-7.4%,,,2.4%,-4.3%,-4.2%,-2.5%,-4.6%,-14.3%,-12.2%,-10.3%,-14.0%,-17.4%
Net Profit Margin,0.7%,1.9%,0.0%,0.5%,2.0%,0.7%,-1.8%,-8.2%,,,0.1%,-5.6%,-4.4%,-4.0%,-6.0%,-14.3%,-11.6%,-14.0%,-16.7%,-21.7%
Return on Assets,0.9%,2.3%,0.0%,0.6%,2.5%,0.8%,-2.3%,-8.4%,,,-0.2%,-1.5%,-2.3%,-4.4%,-6.2%,-7.8%,-8.7%,-10.4%,-12.8%,-14.3%
Return on Equity,3.9%,9.1%,0.0%,2.8%,8.0%,2.5%,-7.8%,-38.6%,,,0.1%,-5.2%,-4.8%,-4.5%,-6.5%,-12.8%,-10.4%,-18.2%,-27.5%,-25.3%
Return on Total Capital,3.9%,6.2%,0.0%,2.5%,7.5%,1.8%,-6.0%,-22.8%,,,-0.4%,-3.7%,-6.0%,-11.8%,-22.6%,-21.1%,-22.8%,-32.5%,-47.2%,-51.3%
SG&A to Sale,4.3%,4.3%,4.6%,4.7%,5.3%,6.4%,7.1%,8.7%,,,6.1%,7.3%,8.0%,6.1%,7.6%,10.9%,12.1%,10.2%,11.3%,13.2%
Depreciation & Amortisation,602.8,599.8,634.2,614.8,556.4,483.2,462.1,397.9,,,119.2,119.7,105.2,105.4,104.0,102.8,93.4,89.6,88.0,86.8
Tax Rate,21.3%,7.5%,122.3%,-2.4%,11.4%,41.2%,13.4%,16.7%,,,88.2%,11.3%,25.1%,7.5%,12.0%,15.4%,25.6%,-5.2%,3.1%,-1.5%
Current Ratio,0.69,0.88,0.86,0.81,0.93,1.11,1.00,0.88,,,1.10,1.06,1.00,0.99,0.84,0.95,0.88,0.80,0.71,0.68
Quick Ratio,0.32,0.42,0.41,0.35,0.41,0.46,0.44,0.29,,,0.45,0.40,0.44,0.43,0.33,0.31,0.29,0.29,0.29,0.24
Days Inventory Outstanding,73.6,76.6,80.8,82.8,95.5,108.8,91.2,110.5,,,99.4,97.7,92.1,84.4,88.3,99.6,115.3,123.9,115.5,102.5
Days Sale Outstanding,72.2,71.1,76.9,74.1,74.9,79.7,70.6,61.5,,,76.1,67.8,70.6,72.3,66.1,54.4,61.5,76.3,77.3,62.1
Days Payable Outstanding,26.2,26.9,30.6,34.6,38.1,36.2,28.5,28.9,,,27.4,29.6,28.9,28.3,29.0,25.8,25.9,28.5,25.2,17.7
Cash Conversion Cycle,120.0,121.1,126.1,116.6,141.2,160.3,136.4,160.6,,,148.2,135.9,134.3,125.9,132.3,139.1,151.2,166.5,174.5,159.6
Debt to Asset Ratio,0.77,0.73,0.71,0.77,0.68,0.67,0.70,0.78,,,0.67,0.69,0.70,0.71,0.73,0.75,0.78,0.82,0.85,0.84
Debt to Equity Ratio,3.43,2.75,2.50,3.35,2.10,2.05,2.28,3.55,,,2.07,2.23,2.28,2.40,2.66,2.94,3.55,4.51,5.66,5.09
Interest Coverage Ratio,1.57,1.56,1.70,1.27,2.38,1.77,,,,,1.25,,,,,,,,,
Cash and Short Term Investments,245.6,97.2,119.9,249.3,173.0,316.9,225.7,97.0,,,259.7,271.1,225.7,264.3,267.3,180.9,97.0,74.5,67.4,225.1
"Total Receivables, Net","2,343","2,248","2,266","2,301","2,164","1,892","1,834","1,252",,,"1,860","1,735","1,834","1,866","1,635","1,253","1,252","1,416","1,357","1,040"
Total Inventory,"2,356","2,265","2,304","2,660","2,438","2,327","2,122","2,344",,,"2,310","2,387","2,122","2,053","2,200","2,319","2,344","2,282","1,868","1,647"
Total Current Assets,"5,029","4,682","4,776","5,287","4,859","4,567","4,227","3,787",,,"4,583","4,582","4,227","4,285","4,153","3,799","3,787","3,860","3,372","2,976"
