,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,1.94,1.75,2.48,3.37,3.63,4.29,2.42,1.90,,,3.83,3.36,2.83,2.54,2.54,2.15,1.91,1.95,1.87,1.80
Earnings per Share,-0.52,-0.31,-0.64,-0.25,-0.31,0.28,0.093,0.028,,,0.13,-0.022,-0.044,0.24,-0.16,-0.060,0.064,-0.12,-0.074,-0.037
Revenue per Share,0.70,0.62,0.67,1.57,1.40,1.49,0.44,0.14,,,0.087,0.17,0.12,0.072,-0.006,0.049,0.023,-0.030,0.019,0.040
Dividend per Share,,,,,,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.006,0.013,0.006,0.012,0.003,0.009,0.048,0.018,,,0.026,0.011,0.004,0.002,0.002,0.009,0.005,0.001,0.012,0.005
Book Value per Share,1.17,1.91,1.27,1.02,0.71,0.97,2.34,2.35,,,1.90,2.38,2.34,2.58,2.42,2.29,2.35,2.23,2.16,2.12
Price to Earnings Ratio,,,,,,9.12,26.7,63.7,,,7.39,6.15,,7.75,197.0,,22.4,,,
Price to Book Value Ratio,1.28,0.93,0.97,2.87,3.94,2.49,1.10,0.76,,,1.88,1.14,1.10,0.81,0.93,0.80,0.76,0.90,0.70,0.82
EV to EBITDA,-50.1,-27.8,-14.9,-61.6,-44.2,-129.2,-70.5,-14.8,,,-258.2,-211.6,-70.5,-92.3,-21.3,-16.1,-14.8,-10.2,-15.5,-13.9
Dividend Payout Ratio,,,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,220.0,220.0,220.0,220.0,220.0,220.0,924.0,"1,317",,,"1,157",924.0,924.0,"1,317","1,317","1,317","1,317","1,317","1,317","1,317"
Total Revenue,153.4,136.1,147.2,346.1,307.3,328.4,406.0,182.7,,,101.0,161.4,109.4,94.5,-7.92,65.2,30.9,-39.8,25.4,52.0
"Cost of Revenue, Total",119.5,99.2,119.4,269.1,229.9,229.5,292.4,178.1,,,72.9,116.0,80.3,64.4,81.9,51.1,-19.3,53.6,44.7,26.3
Gross Profit,33.8,36.9,27.8,77.0,77.4,98.9,113.7,4.62,,,28.1,45.4,29.1,30.2,-89.8,14.0,50.2,-93.4,-19.2,25.7
"Selling/General/Administrative Expenses, Total",71.0,93.6,130.6,111.6,120.3,120.5,174.3,342.8,,,34.1,49.9,61.2,49.2,110.8,84.8,98.0,60.3,77.9,70.1
Operating Income,-37.2,-56.7,-102.8,-34.5,-42.9,-21.6,-60.6,-338.2,,,-5.99,-4.50,-32.1,-19.0,-200.7,-70.8,-47.7,-153.7,-97.2,-44.4
Net Income,-113.6,-68.2,-140.4,-55.5,-67.3,60.8,69.7,35.3,,,153.4,-15.0,-40.4,244.7,-215.0,-78.7,84.3,-159.9,-97.8,-48.5
EBITDA,-24.8,-54.2,-101.0,-32.3,-40.9,-19.9,-54.9,-323.8,,,-5.67,-2.05,-29.5,-16.3,-197.6,-67.2,-42.8,-146.3,-89.6,-36.7
Gross Profit Margin,22.1%,27.1%,18.9%,22.3%,25.2%,30.1%,28.0%,2.5%,,,27.9%,28.1%,26.6%,31.9%,1133.6%,21.5%,162.4%,234.5%,-75.7%,49.5%
Operating Margin,-24.3%,-41.7%,-69.8%,-10.0%,-14.0%,-6.6%,-14.9%,-185.1%,,,-5.9%,-2.8%,-29.3%,-20.1%,2532.3%,-108.6%,-154.2%,385.7%,-382.0%,-85.2%
Net Profit Margin,-74.1%,-50.2%,-95.4%,-16.0%,-21.9%,18.5%,17.2%,19.3%,,,151.9%,-9.3%,-36.9%,258.8%,2713.6%,-120.7%,272.4%,401.3%,-384.4%,-93.3%
Return on Assets,-8.0%,-4.6%,-8.3%,-3.3%,-4.0%,2.9%,1.9%,0.5%,,,5.8%,4.8%,1.5%,5.7%,-0.3%,-1.1%,0.4%,-4.6%,-3.2%,-2.8%
Return on Equity,-44.1%,-16.2%,-50.2%,-24.8%,-43.0%,28.4%,3.2%,1.1%,,,7.0%,-0.7%,-1.9%,7.2%,-6.8%,-2.6%,2.7%,-5.4%,-3.4%,-1.7%
Return on Total Capital,-27.4%,-9.1%,-22.3%,-9.8%,-12.9%,5.8%,2.2%,0.7%,,,7.2%,7.1%,2.2%,6.0%,-0.5%,-1.7%,0.7%,-7.5%,-5.2%,-4.8%
