,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,1.65,2.36,6.07,5.35,3.58,4.46,3.09,2.50,,,3.56,3.27,3.08,3.16,2.91,2.85,2.84,2.75,2.48,2.19
Earnings per Share,0.21,0.24,0.38,0.36,0.14,0.16,0.13,0.24,,,0.018,0.050,0.048,0.041,0.050,0.071,0.076,0.032,-0.033,0.047
Revenue per Share,6.88,6.87,6.42,6.07,6.04,6.49,5.22,5.97,,,1.18,1.38,1.54,1.28,1.40,1.48,1.81,1.22,1.12,1.46
Dividend per Share,0.089,0.11,0.008,0.18,0.093,0.15,0.12,0.16,,,,,0.12,,,,0.16,,,
Capital Expenditures per Share,0.055,0.28,0.24,1.04,0.53,0.12,0.12,0.087,,,0.015,0.018,0.073,0.016,0.025,0.018,0.028,0.032,0.029,0.017
Book Value per Share,1.75,1.90,2.06,2.39,2.37,2.43,2.39,2.50,,,2.29,2.35,2.39,2.42,2.36,2.43,2.50,2.53,2.33,2.38
Price to Earnings Ratio,6.23,9.51,8.60,18.3,23.9,22.3,22.8,11.6,,,20.2,21.5,23.9,18.1,14.2,12.8,11.7,10.8,15.6,18.1
Price to Book Value Ratio,0.78,1.20,2.04,2.65,1.52,1.78,1.23,1.11,,,1.36,1.28,1.23,1.10,1.15,1.06,1.11,1.04,0.98,0.82
EV to EBITDA,6.84,7.05,6.60,15.9,14.5,9.70,11.8,8.87,,,11.5,11.2,11.8,10.9,9.95,9.51,8.87,8.61,10.1,9.71
Dividend Payout Ratio,41.9%,45.8%,2.1%,50.0%,66.1%,93.8%,93.2%,66.7%,,,,,97.4%,,,,67.3%,,,
Common Shares Outstanding,294.7,330.6,384.1,430.9,444.9,455.9,492.0,492.0,,,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0
Total Revenue,"2,026","2,271","2,467","2,617","2,687","2,959","2,568","2,938",,,578.8,677.9,758.0,630.0,687.2,730.1,890.3,601.7,551.1,718.5
"Cost of Revenue, Total","1,493","1,678","1,739","1,813","1,889","2,105","1,752","1,962",,,391.6,453.4,529.6,416.6,462.5,472.0,611.2,382.0,356.8,483.1
Gross Profit,532.9,592.7,728.7,804.8,797.7,854.3,816.3,975.3,,,187.3,224.5,228.5,213.3,224.7,258.1,279.1,219.6,194.3,235.5
"Selling/General/Administrative Expenses, Total",404.5,449.2,521.2,591.8,660.1,702.4,689.8,775.4,,,163.5,180.7,186.3,176.6,181.4,200.2,217.2,186.2,199.5,194.1
Operating Income,128.4,143.4,207.6,213.0,137.7,151.9,126.5,199.9,,,23.8,43.8,42.2,36.8,43.3,57.9,61.9,33.4,-5.18,41.4
Net Income,71.9,89.4,143.4,147.1,62.7,74.1,61.1,116.9,,,8.38,25.7,23.6,19.9,24.7,35.1,37.2,15.7,-16.2,23.3
EBITDA,153.0,175.0,240.3,244.7,198.0,232.9,208.7,281.9,,,44.1,64.4,62.9,57.0,63.7,78.5,82.7,54.4,17.7,63.8
Gross Profit Margin,26.3%,26.1%,29.5%,30.7%,29.7%,28.9%,31.8%,33.2%,,,32.4%,33.1%,30.1%,33.9%,32.7%,35.4%,31.3%,36.5%,35.3%,32.8%
Operating Margin,6.3%,6.3%,8.4%,8.1%,5.1%,5.1%,4.9%,6.8%,,,4.1%,6.5%,5.6%,5.8%,6.3%,7.9%,7.0%,5.6%,-0.9%,5.8%
Net Profit Margin,3.5%,3.9%,5.8%,5.6%,2.3%,2.5%,2.4%,4.0%,,,1.4%,3.8%,3.1%,3.2%,3.6%,4.8%,4.2%,2.6%,-2.9%,3.2%
Return on Assets,5.1%,5.3%,7.5%,6.0%,2.2%,2.6%,2.2%,4.0%,,,2.7%,2.6%,2.2%,2.7%,3.3%,3.5%,3.9%,3.8%,2.5%,2.1%
Return on Equity,14.0%,14.2%,18.1%,14.3%,5.9%,6.7%,5.2%,9.5%,,,0.7%,2.2%,2.0%,1.7%,2.1%,2.9%,3.0%,1.3%,-1.4%,2.0%
Return on Total Capital,13.6%,13.0%,17.2%,10.9%,4.4%,5.4%,4.5%,8.9%,,,5.4%,5.3%,4.5%,5.8%,7.4%,8.0%,8.9%,8.6%,6.0%,5.0%
