,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,53.6,57.9,57.0,56.5,52.9,53.8,53.0,69.5,,,55.6,56.6,54.5,52.6,52.1,53.0,59.3,65.8,76.0,76.6
Earnings per Share,3.34,5.33,4.49,4.33,2.20,4.25,4.16,3.85,,,1.41,1.40,0.52,0.78,1.47,1.16,0.45,1.20,1.35,0.94
Revenue per Share,30.0,38.2,30.0,34.1,36.0,29.7,26.2,25.0,,,6.80,6.97,6.36,5.60,6.82,7.37,5.19,6.37,6.96,5.56
Dividend per Share,2.25,2.27,2.27,2.27,2.27,2.35,2.40,2.40,,,1.15,0.00,1.25,,1.15,0.00,1.25,,1.15,0.00
Capital Expenditures per Share,0.13,0.65,0.31,0.56,0.092,1.03,3.15,3.71,,,0.41,0.72,1.44,1.91,0.85,0.64,0.32,0.096,0.90,0.28
Book Value per Share,33.1,36.5,40.2,41.9,41.5,43.0,41.2,41.3,,,43.7,43.5,41.2,43.5,41.5,41.3,41.3,41.8,41.2,40.3
Price to Earnings Ratio,12.7,11.8,10.8,14.2,23.3,12.2,12.8,14.1,,,11.5,9.80,12.8,12.6,12.5,12.7,14.1,14.4,17.7,18.0
Price to Book Value Ratio,1.25,1.63,1.29,1.46,1.22,1.17,1.27,1.42,,,1.23,1.25,1.27,1.18,1.25,1.23,1.42,1.60,1.73,1.70
EV to EBITDA,8.65,9.67,28.8,69.3,55.6,58.5,90.1,128.3,,,75.0,58.9,90.1,91.7,98.4,84.2,128.3,75.8,63.6,76.2
Dividend Payout Ratio,67.3%,42.6%,50.5%,52.4%,103.3%,55.3%,57.6%,62.3%,,,23.6%,0.0%,30.0%,,27.6%,0.0%,32.4%,,27.7%,0.0%
Common Shares Outstanding,"1,450","1,450","1,450","1,450","1,450","1,450","1,450","1,450",,,"1,450","1,450","1,450","1,444","1,450","1,449","1,450","1,451","1,446","1,452"
Total Revenue,"43,457","55,365","43,571","49,402","52,171","43,087","38,001","36,184",,,"9,866","10,108","9,228","8,094","9,885","10,679","7,527","9,245","10,065","8,074"
"Cost of Revenue, Total","35,921","47,269","41,060","47,914","50,617","41,623","36,847","35,170",,,"9,424","9,642","9,369","7,734","9,460","10,088","7,888","8,405","9,196","7,751"
Gross Profit,"7,536","8,096","2,511","1,488","1,555","1,464","1,153","1,014",,,442.2,466.2,-141.2,359.4,424.7,590.9,-360.9,840.0,869.7,322.5
"Selling/General/Administrative Expenses, Total","1,213","1,362","1,221","1,381","1,378","1,276","1,466","1,446",,,389.7,396.6,243.9,405.6,372.1,384.5,283.5,340.4,480.3,368.9
Operating Income,"6,430","6,832","1,367",240.1,276.6,265.3,-227.2,-296.9,,,115.4,130.6,-484.3,13.2,111.8,266.1,-688.0,555.6,454.3,16.1
Net Income,"4,849","7,726","6,514","6,279","3,188","6,166","6,039","5,588",,,"2,048","2,033",753.1,"1,127","2,132","1,681",648.6,"1,741","1,952","1,365"
EBITDA,"10,017","10,993","3,095","1,681","1,824","1,844","1,354","1,146",,,514.6,535.8,-120.6,377.5,465.2,620.6,-316.9,986.5,893.9,437.6
Gross Profit Margin,17.3%,14.6%,5.8%,3.0%,3.0%,3.4%,3.0%,2.8%,,,4.5%,4.6%,-1.5%,4.4%,4.3%,5.5%,-4.8%,9.1%,8.6%,4.0%
Operating Margin,14.8%,12.3%,3.1%,0.5%,0.5%,0.6%,-0.6%,-0.8%,,,1.2%,1.3%,-5.2%,0.2%,1.1%,2.5%,-9.1%,6.0%,4.5%,0.2%
Net Profit Margin,11.2%,14.0%,15.0%,12.7%,6.1%,14.3%,15.9%,15.4%,,,20.8%,20.1%,8.2%,13.9%,21.6%,15.7%,8.6%,18.8%,19.4%,16.9%
Return on Assets,5.8%,8.0%,6.8%,6.6%,3.4%,6.5%,6.4%,5.7%,,,7.3%,8.6%,6.4%,6.2%,6.0%,5.5%,5.5%,6.1%,6.0%,5.8%
