,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,2.09,1.91,1.80,1.66,1.51,1.21,1.41,1.19,,,1.21,1.11,1.10,1.30,1.57,1.51,1.35,1.27,1.15,1.10
Earnings per Share,-0.15,0.14,0.21,0.34,0.25,0.24,0.054,0.002,,,0.025,0.007,-0.007,-0.020,0.010,-0.020,0.029,0.020,0.010,0.010
Revenue per Share,0.37,1.54,1.61,1.86,1.44,1.45,0.84,0.76,,,0.25,0.16,0.13,0.15,0.23,0.098,0.35,0.35,0.19,0.14
Dividend per Share,,,,,0.055,0.070,0.030,0.015,,,,,0.030,,,,0.015,,,
Capital Expenditures per Share,0.004,0.005,0.007,0.011,0.004,0.005,0.010,0.000,,,0.002,0.000,0.002,0.005,0.000,0.000,-0.005,0.000,0.001,0.002
Book Value per Share,0.18,0.43,0.64,0.99,1.24,1.43,1.41,1.37,,,1.41,1.42,1.41,1.39,1.37,1.35,1.37,1.41,1.41,1.40
Price to Earnings Ratio,,16.6,5.80,5.88,4.88,5.55,20.2,655.0,,,8.31,10.4,20.2,197.7,,,,30.3,28.5,15.1
Price to Book Value Ratio,9.28,4.75,2.38,1.73,1.04,0.98,0.72,0.94,,,0.82,0.68,0.72,0.74,1.01,0.82,0.94,0.84,0.76,0.73
EV to EBITDA,-75.2,8.69,5.09,4.88,4.15,5.13,13.8,53.6,,,6.47,9.59,13.8,38.6,83.9,"-1,315",53.6,19.0,19.8,15.2
Dividend Payout Ratio,,,,,22.0%,29.4%,55.6%,750.0%,,,,,55.6%,,,,-1374.9%,,,
Common Shares Outstanding,"3,250","3,575","3,575","3,575","3,575","3,575","3,575","4,172",,,"3,575","3,575","3,575","3,575","3,575","3,575","4,172","4,172","4,172","4,172"
Total Revenue,"1,215","5,509","5,760","6,644","5,144","5,202","3,008","3,163",,,901.7,565.4,449.8,542.1,828.1,349.5,"1,443","1,463",795.1,601.6
"Cost of Revenue, Total",818.9,"3,651","3,627","3,832","3,016","3,181","1,934","2,212",,,586.7,345.3,257.8,399.8,564.8,230.5,"1,017",992.3,509.8,375.5
Gross Profit,396.1,"1,858","2,132","2,812","2,128","2,021","1,074",950.5,,,314.9,220.1,192.0,142.3,263.3,118.9,426.0,470.3,285.3,226.1
"Selling/General/Administrative Expenses, Total",576.8,849.8,976.2,"1,042",830.0,855.6,754.4,883.1,,,177.8,157.9,230.4,202.0,190.2,167.1,316.6,256.1,238.2,216.9
Operating Income,-180.7,"1,008","1,156","1,769","1,298","1,165",319.8,67.4,,,137.1,62.2,-38.5,-59.7,73.1,-48.1,109.4,214.2,47.2,9.14
Net Income,-474.3,495.8,746.3,"1,225",900.9,850.7,192.9,8.60,,,90.3,26.0,-24.1,-67.9,38.2,-63.1,107.1,99.9,61.2,43.7
EBITDA,-139.8,"1,047","1,191","1,828","1,363","1,230",385.2,135.4,,,153.7,78.9,-21.8,-43.1,90.2,-31.0,126.6,231.0,64.8,48.9
Gross Profit Margin,32.6%,33.7%,37.0%,42.3%,41.4%,38.8%,35.7%,30.1%,,,34.9%,38.9%,42.7%,26.3%,31.8%,34.0%,29.5%,32.2%,35.9%,37.6%
Operating Margin,-14.9%,18.3%,20.1%,26.6%,25.2%,22.4%,10.6%,2.1%,,,15.2%,11.0%,-8.6%,-11.0%,8.8%,-13.8%,7.6%,14.6%,5.9%,1.5%
Net Profit Margin,-39.0%,9.0%,13.0%,18.4%,17.5%,16.4%,6.4%,0.3%,,,10.0%,4.6%,-5.4%,-12.5%,4.6%,-18.1%,7.4%,6.8%,7.7%,7.3%
Return on Assets,-3.4%,3.3%,5.2%,9.9%,8.5%,8.7%,1.9%,0.1%,,,5.4%,3.6%,1.9%,0.2%,-0.2%,-0.9%,0.1%,1.3%,1.6%,2.5%
Return on Equity,-79.2%,32.0%,32.4%,34.6%,20.3%,16.7%,3.8%,0.2%,,,1.8%,0.5%,-0.5%,-1.4%,0.8%,-1.3%,1.9%,1.7%,1.0%,0.7%
Return on Total Capital,-6.6%,12.3%,18.3%,24.1%,15.4%,12.0%,2.9%,0.1%,,,6.3%,4.8%,2.9%,0.3%,-0.4%,-1.7%,0.2%,2.3%,2.7%,4.3%
SG&A to Sale,47.5%,15.4%,16.9%,15.7%,16.1%,16.4%,25.1%,27.9%,,,19.7%,27.9%,51.2%,37.3%,23.0%,47.8%,21.9%,17.5%,30.0%,36.1%
Depreciation & Amortisation,41.0,38.6,35.3,59.1,65.7,64.5,65.4,68.0,,,16.6,16.7,16.7,16.6,17.1,17.1,17.2,16.8,17.7,39.8
Tax Rate,-76.9%,34.6%,24.6%,25.3%,21.4%,20.9%,23.6%,111.3%,,,21.9%,26.5%,28.0%,12.6%,10.9%,-775.5%,7.0%,38.4%,33.7%,27.0%
Current Ratio,1.76,1.26,1.25,1.57,2.09,3.01,2.19,1.25,,,5.78,2.72,2.19,2.02,1.61,1.37,1.25,1.34,1.14,1.23
Quick Ratio,0.00,0.003,0.001,0.004,0.007,0.005,0.016,0.068,,,0.009,0.003,0.016,0.033,0.13,0.15,0.068,0.014,0.024,0.036
Days Inventory Outstanding,"5,012","1,195","1,096",901.8,977.0,800.8,"1,240",986.7,,,672.3,802.1,"1,264","1,644","1,709","1,597",872.4,624.3,594.7,583.4
Days Sale Outstanding,,2.34,0.79,1.18,0.57,0.74,6.48,24.2,,,0.79,0.65,6.48,7.77,46.7,115.9,24.2,3.54,8.77,12.4
Days Payable Outstanding,325.5,72.7,55.1,34.1,22.3,8.90,13.4,14.2,,,7.79,9.79,14.8,31.2,35.7,18.0,10.1,15.7,28.8,25.5
Cash Conversion Cycle,"4,656","1,131","1,053",876.5,966.8,794.3,"1,229",986.8,,,665.1,792.0,"1,253","1,608","1,710","1,676",910.0,616.4,563.0,579.2
Debt to Asset Ratio,0.96,0.90,0.83,0.68,0.55,0.47,0.52,0.60,,,0.44,0.51,0.52,0.59,0.61,0.63,0.60,0.55,0.55,0.52
Debt to Equity Ratio,24.5,8.66,4.90,2.16,1.24,0.90,1.07,1.51,,,0.79,1.02,1.07,1.45,1.60,1.71,1.51,1.25,1.22,1.08
Interest Coverage Ratio,,3.87,6.72,13.3,8.47,12.4,4.15,0.45,,,6.01,2.11,,,2.11,,2.31,4.09,0.98,0.16
Cash and Short Term Investments,661.6,"1,431",555.9,497.7,505.2,"1,135",651.3,"1,121",,,"1,651","1,035",651.3,"1,721",774.9,566.7,"1,121",664.2,172.9,373.9
"Total Receivables, Net",,35.2,12.5,21.5,7.97,10.5,53.4,209.4,,,9.63,7.04,53.4,52.4,305.2,688.6,209.4,39.6,97.3,145.6
Total Inventory,"12,620","11,295","10,487","8,452","7,695","6,265","6,872","5,088",,,"5,050","6,527","6,872","7,448","7,230","5,487","5,088","4,507","4,454","4,800"
Total Current Assets,"13,896","13,603","11,743","9,496","8,429","7,573","7,913","7,957",,,"6,897","7,929","7,913","9,519","8,819","8,601","7,957","6,751","6,097","6,007"
"Property/Plant/Equipment, Total - Net",65.0,49.9,41.9,912.9,873.1,835.9,822.7,776.3,,,841.5,829.5,822.7,827.6,815.6,803.0,776.3,761.6,751.2,574.4
Total Assets,"15,299","14,997","13,584","11,191","9,947","9,700","10,458","14,330",,,"9,032","10,284","10,458","12,187","12,753","13,110","14,330","13,180","13,035","12,192"
Accounts Payable,798.8,655.3,440.1,275.4,92.6,62.6,78.9,93.3,,,62.9,78.4,78.9,192.7,113.8,29.6,93.3,147.6,286.6,117.4
Accrued Expenses,52.1,108.6,95.6,109.6,68.5,109.5,108.7,136.9,,,58.5,63.9,108.7,88.9,65.4,72.6,136.9,78.4,73.0,104.4
Debt Due,45.0,"3,745","3,663","1,993","1,472",933.8,"2,354","4,448",,,100.0,"1,799","2,354","3,165","3,964","4,483","4,448","3,413","3,876","3,712"
Total Current Liabilities,"7,887","10,812","9,415","6,040","4,035","2,513","3,608","6,370",,,"1,192","2,910","3,608","4,716","5,469","6,298","6,370","5,025","5,331","4,901"
Long Term Debt,"6,592","2,477","1,785","1,545","1,412","2,004","1,705","2,114",,,"2,713","2,215","1,705","2,400","2,274","1,849","2,114","2,149","1,686","1,348"
Total Liabilities,"14,696","13,441","11,278","7,647","5,496","4,592","5,391","8,608",,,"3,983","5,204","5,391","7,194","7,837","8,259","8,608","7,314","7,174","6,332"
Common Stock,"3,250","3,575","3,575","3,575","3,575","3,575","3,575","4,172",,,"3,575","3,575","3,575","3,575","3,575","3,575","4,172","4,172","4,172","4,172"
Additional Paid-In Capital,,131.9,,,0.10,0.10,0.10,167.3,,,0.10,0.10,0.10,0.10,0.11,0.11,167.3,167.3,167.3,167.3
Retained Earnings (Accumulated Deficit),"-2,088","-1,592",-713.6,510.3,"1,412","2,066","2,009","1,911",,,"2,007","2,033","2,009","1,937","1,862","1,799","1,911","2,057","2,056","2,100"
Shareholders' Equity,598.8,"1,552","2,302","3,541","4,448","5,105","5,049","5,717",,,"5,047","5,078","5,049","4,978","4,904","4,842","5,717","5,864","5,865","5,859"
Cash from Operating Activities,"-1,043",802.5,-75.3,"1,914",657.8,"1,592",-904.7,-849.8,,,418.5,"-1,583",-249.2,"-1,032",715.3,"-1,352",819.0,548.9,-208.4,100.1
Cash from Investing Activities,-503.1,-16.4,-26.5,-61.7,-9.80,-795.8,-458.3,"-1,359",,,-11.0,-237.8,-193.0,-223.0,"-1,776",376.9,263.1,181.0,-119.8,139.8
Cash from Financing Activities,"1,627",-16.5,-773.3,"-1,911",-659.6,-149.0,877.1,"2,456",,,85.4,"1,199",60.3,"1,503",559.2,921.0,-527.5,-992.2,-165.2,-43.5
Net Change in Cash,80.8,769.6,-875.3,-58.2,-11.6,647.5,-486.1,248.4,,,491.9,-616.2,-386.4,248.4,-501.6,-54.0,555.6,-261.5,-490.9,198.1
