,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,3.17,4.35,2.94,2.20,2.03,1.06,0.49,0.18,,,1.13,0.99,0.69,0.69,0.51,0.31,0.21,0.18,0.16,0.17
Earnings per Share,0.11,0.066,0.030,-0.38,-0.091,-0.96,-0.51,-0.35,,,-0.16,-0.21,0.019,-0.12,-0.096,-0.055,-0.082,-0.11,-0.18,-0.043
Revenue per Share,8.67,8.39,8.82,7.04,5.34,2.73,2.24,1.66,,,0.57,0.70,0.63,0.63,0.60,0.65,0.45,0.33,0.31,0.33
Dividend per Share,0.12,0.10,0.070,,,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.45,0.20,0.60,0.039,0.031,0.008,0.008,0.018,,,0.005,-0.001,0.004,0.013,0.006,0.004,0.004,0.001,0.001,0.002
Book Value per Share,2.13,2.14,2.08,1.62,1.52,0.57,0.21,0.006,,,0.22,0.013,0.21,0.072,-0.024,-0.005,0.006,-0.082,-0.26,-0.30
Price to Earnings Ratio,25.5,62.4,116.7,,,,,,,,,,,,,,,,,
Price to Book Value Ratio,1.42,1.90,1.63,1.18,1.44,2.10,2.69,34.5,,,4.44,54.6,2.69,7.52,-16.4,-32.9,34.5,-1.70,-0.62,-0.53
EV to EBITDA,8.99,12.2,14.7,-19.0,77.3,-5.11,-6.13,-5.56,,,-4.64,-4.80,-6.13,-6.84,-7.11,-7.35,-5.56,-4.69,-3.53,-3.98
Dividend Payout Ratio,106.2%,151.5%,233.3%,,,,,,,,,,,,,,,,,
Common Shares Outstanding,278.0,292.1,303.3,361.2,376.8,376.8,456.4,709.6,,,376.8,376.8,456.4,456.4,456.4,456.4,709.6,709.6,709.6,709.6
Total Revenue,"2,411","2,452","2,675","2,541","2,012","1,028","1,022","1,178",,,213.2,264.8,289.4,289.6,271.8,296.6,320.5,231.4,221.6,237.6
"Cost of Revenue, Total","1,857","1,923","2,110","2,225","1,677",886.5,820.2,"1,025",,,171.8,198.4,237.6,270.4,229.6,258.6,266.4,219.4,209.5,217.1
Gross Profit,554.2,529.0,565.3,316.7,335.4,141.4,202.3,153.4,,,41.3,66.4,51.8,19.2,42.2,37.9,54.1,12.0,12.1,20.5
"Selling/General/Administrative Expenses, Total",444.9,457.7,487.7,461.3,352.7,358.0,421.6,366.6,,,91.6,130.8,100.6,85.3,95.0,89.2,97.0,91.9,100.0,69.3
Operating Income,102.7,63.6,70.0,-141.8,-22.4,-300.2,-188.3,-219.0,,,-47.9,-66.4,-18.6,-70.2,-53.6,-53.1,-42.1,-85.4,-118.5,-34.1
Net Income,37.2,22.3,12.2,-127.3,-33.9,-358.0,-200.0,-169.3,,,-61.0,-78.9,8.57,-55.7,-43.9,-25.0,-44.7,-76.1,-125.3,-30.4
EBITDA,142.7,112.2,134.4,-88.0,22.6,-257.5,-148.3,-156.9,,,-37.7,-56.4,-9.20,-53.6,-37.0,-36.2,-30.1,-70.0,-103.6,-19.6
Gross Profit Margin,23.0%,21.6%,21.1%,12.5%,16.7%,13.8%,19.8%,13.0%,,,19.4%,25.1%,17.9%,6.6%,15.5%,12.8%,16.9%,5.2%,5.5%,8.6%
Operating Margin,4.3%,2.6%,2.6%,-5.6%,-1.1%,-29.2%,-18.4%,-18.6%,,,-22.5%,-25.1%,-6.4%,-24.2%,-19.7%,-17.9%,-13.1%,-36.9%,-53.5%,-14.3%
Net Profit Margin,1.5%,0.9%,0.5%,-5.0%,-1.7%,-34.8%,-19.6%,-14.4%,,,-28.6%,-29.8%,3.0%,-19.2%,-16.2%,-8.4%,-13.9%,-32.9%,-56.5%,-12.8%
Return on Assets,2.5%,1.3%,0.6%,-6.3%,-1.7%,-19.1%,-13.3%,-11.5%,,,-19.2%,-21.6%,-13.5%,-12.4%,-10.1%,-6.9%,-10.2%,-12.6%,-19.7%,-20.8%
Return on Equity,6.3%,3.6%,1.9%,-21.8%,-5.9%,-167.6%,-210.7%,-4337.3%,,,-72.7%,-1566.3%,9.0%,-169.8%,0.0%,0.0%,-1144.4%,0.0%,0.0%,0.0%
Return on Total Capital,5.3%,2.9%,1.6%,-19.2%,-5.4%,-161.7%,-208.5%,-3121.5%,,,-188.1%,-526.1%,-208.5%,-234.4%,-643.4%,-403.1%,-3121.5%,328.5%,148.0%,129.4%
SG&A to Sale,18.5%,18.7%,18.2%,18.2%,17.5%,34.8%,41.2%,31.1%,,,43.0%,49.4%,34.8%,29.5%,35.0%,30.1%,30.3%,39.7%,45.1%,29.2%
Depreciation & Amortisation,40.0,48.6,64.4,53.9,45.1,42.7,40.0,62.1,,,10.2,10.00,9.40,16.6,16.6,16.9,12.0,15.5,14.9,14.4
Tax Rate,42.4%,47.1%,59.5%,-8.2%,-7.4%,0.3%,-3.5%,-5.4%,,,-9.9%,0.3%,-5.1%,-1.4%,-3.1%,-27.6%,-2.6%,3.8%,-6.1%,-1.5%
Current Ratio,1.08,1.02,0.87,0.89,0.89,0.42,0.38,0.39,,,0.40,0.38,0.38,0.35,0.34,0.34,0.39,0.31,0.31,0.28
Quick Ratio,0.63,0.73,0.69,0.60,0.48,0.22,0.28,0.25,,,0.22,0.25,0.28,0.30,0.28,0.29,0.25,0.24,0.24,0.24
Days Inventory Outstanding,39.5,34.4,23.0,21.4,42.8,89.3,45.6,15.2,,,44.3,29.2,19.7,17.8,19.1,18.9,15.6,17.3,20.9,17.9
Days Sale Outstanding,84.8,99.3,121.8,102.2,121.8,106.7,113.8,115.0,,,124.4,138.9,113.8,153.8,141.0,146.6,115.0,107.8,115.8,119.9
Days Payable Outstanding,39.7,47.7,35.5,19.8,25.7,47.3,42.2,54.1,,,20.7,23.8,38.1,63.5,71.9,66.7,68.7,74.9,75.9,68.7
Cash Conversion Cycle,72.7,78.4,102.8,122.4,135.7,228.9,107.4,52.9,,,140.8,131.4,95.4,68.2,95.3,90.5,75.2,54.7,62.1,78.2
Debt to Asset Ratio,0.63,0.63,0.70,0.69,0.72,0.87,0.92,0.99,,,0.95,1.00,0.92,0.97,1.00,0.99,0.99,1.03,1.12,1.15
Debt to Equity Ratio,1.73,1.73,2.39,2.25,2.62,6.84,12.8,408.5,,,19.0,326.1,12.8,50.1,-148.7,-823.4,408.5,-24.7,-8.29,-7.03
Interest Coverage Ratio,2.58,1.56,1.23,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,125.9,124.6,76.2,40.2,34.9,17.2,52.7,30.0,,,15.7,12.8,52.7,26.3,20.7,17.9,30.0,17.9,20.8,20.2
