,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,17.4,24.9,22.4,25.0,25.9,27.0,22.6,21.2,,,27.4,26.0,23.3,21.6,23.6,24.3,24.3,26.6,24.0,17.9
Earnings per Share,0.59,0.72,1.14,1.00,1.00,0.91,-0.40,1.06,,,0.16,0.14,-0.87,0.19,0.20,0.25,0.42,0.23,0.18,0.18
Revenue per Share,9.74,13.0,14.6,14.2,12.0,11.8,13.2,18.1,,,2.90,3.04,3.94,3.48,3.72,4.74,6.11,4.92,4.78,5.93
Dividend per Share,0.43,0.025,0.50,0.40,0.33,0.22,,0.50,,,,,,,,,0.50,,,
Capital Expenditures per Share,0.23,0.15,0.52,0.58,0.30,0.097,0.47,0.33,,,0.11,0.065,0.25,0.049,0.060,0.076,0.15,0.095,0.083,0.17
Book Value per Share,3.69,3.89,4.98,5.48,6.09,6.79,6.04,7.19,,,6.78,6.92,6.04,6.18,6.19,6.77,7.19,7.76,8.05,8.96
Price to Earnings Ratio,17.9,40.6,14.3,24.7,17.5,28.0,,21.0,,,28.1,26.9,,,,,21.1,22.6,18.0,14.6
Price to Book Value Ratio,2.97,7.39,3.24,3.89,3.73,3.54,3.16,3.35,,,3.80,3.38,3.16,2.93,4.02,3.01,3.35,3.48,2.48,1.58
EV to EBITDA,11.8,17.9,6.19,16.9,17.8,23.3,-22.8,11.7,,,25.2,22.2,-22.8,-16.7,-24.2,-32.7,11.7,12.1,13.1,8.33
Dividend Payout Ratio,72.2%,3.4%,44.0%,40.0%,33.0%,24.2%,,47.2%,,,,,,,,,47.2%,,,
Common Shares Outstanding,"1,525","1,525","1,525","1,525","1,525","1,525","1,525","1,525",,,"1,525","1,525","1,525","1,525","1,525","1,525","1,525","1,525","1,525","1,525"
Total Revenue,"14,854","19,872","22,294","21,652","18,331","17,953","20,075","27,537",,,"4,416","4,641","6,008","5,307","5,677","7,232","9,321","7,500","7,296","9,037"
"Cost of Revenue, Total","13,622","18,198","20,168","19,435","16,599","16,349","21,546","25,421",,,"4,041","4,270","8,634","4,898","5,242","6,665","8,616","6,953","6,921","8,549"
Gross Profit,"1,232","1,674","2,126","2,217","1,731","1,604","-1,471","2,117",,,374.3,370.9,"-2,627",408.7,435.5,567.3,705.1,547.4,375.1,487.7
"Selling/General/Administrative Expenses, Total",482.3,561.4,539.2,583.1,448.1,553.8,419.0,516.9,,,133.9,134.3,33.1,109.1,114.9,115.6,177.3,146.0,147.7,119.5
Operating Income,749.5,"1,112","1,587","1,634","1,283","1,050","-1,890","1,600",,,240.4,236.6,"-2,660",299.6,320.6,451.7,527.8,401.4,227.5,368.2
Net Income,903.5,"1,096","1,733","1,521","1,527","1,381",-610.8,"1,617",,,243.3,216.7,"-1,320",292.1,305.3,381.6,637.9,343.3,267.9,272.2
EBITDA,"1,125","1,486","1,955","2,061","1,777","1,570","-1,409","2,198",,,355.9,353.2,"-2,532",439.5,464.0,602.7,692.1,573.2,417.3,573.3
Gross Profit Margin,8.3%,8.4%,9.5%,10.2%,9.4%,8.9%,-7.3%,7.7%,,,8.5%,8.0%,-43.7%,7.7%,7.7%,7.8%,7.6%,7.3%,5.1%,5.4%
Operating Margin,5.0%,5.6%,7.1%,7.5%,7.0%,5.8%,-9.4%,5.8%,,,5.4%,5.1%,-44.3%,5.6%,5.6%,6.2%,5.7%,5.4%,3.1%,4.1%
Net Profit Margin,6.1%,5.5%,7.8%,7.0%,8.3%,7.7%,-3.0%,5.9%,,,5.5%,4.7%,-22.0%,5.5%,5.4%,5.3%,6.8%,4.6%,3.7%,3.0%
Return on Assets,6.9%,6.0%,7.7%,6.1%,6.4%,5.8%,-2.1%,4.1%,,,5.7%,5.1%,-1.9%,-1.7%,-1.5%,-1.0%,3.9%,3.6%,3.4%,3.2%
Return on Equity,16.0%,18.5%,22.8%,18.2%,16.4%,13.3%,-6.6%,14.8%,,,2.4%,2.1%,-14.3%,3.1%,3.2%,3.7%,5.8%,2.9%,2.2%,2.0%
Return on Total Capital,15.7%,18.0%,22.5%,18.0%,16.3%,13.2%,-6.3%,13.8%,,,13.3%,12.9%,-6.3%,-5.8%,-5.1%,-3.1%,13.8%,13.0%,12.1%,10.2%
SG&A to Sale,3.2%,2.8%,2.4%,2.7%,2.4%,3.1%,2.1%,1.9%,,,3.0%,2.9%,0.6%,2.1%,2.0%,1.6%,1.9%,1.9%,2.0%,1.3%
Depreciation & Amortisation,375.2,373.6,367.8,427.3,494.3,520.5,481.0,598.6,,,115.5,116.6,128.4,140.0,143.4,151.0,164.3,171.8,189.8,205.1
