,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,3.77,3.45,4.23,4.95,3.98,3.42,3.16,3.62,,,3.29,3.17,3.10,3.04,3.14,3.22,3.60,3.86,3.50,3.29
Earnings per Share,0.22,0.29,-0.075,0.50,0.55,-0.20,-0.41,0.51,,,-0.15,-0.063,-0.013,-0.21,0.22,0.27,0.24,0.21,0.055,0.077
Revenue per Share,13.0,16.0,13.3,16.7,14.6,12.3,13.6,15.2,,,3.22,3.88,3.69,3.33,3.85,4.04,3.98,3.87,3.38,4.14
Dividend per Share,0.070,0.10,0.10,0.15,0.15,0.10,0.050,0.15,,,,,0.050,,,,0.15,,,
Capital Expenditures per Share,0.23,0.32,0.22,0.095,0.098,0.21,0.15,0.12,,,0.015,0.080,0.040,0.037,0.016,0.030,0.036,0.059,0.057,0.061
Book Value per Share,4.93,5.17,4.99,5.39,5.78,5.43,4.92,5.37,,,4.99,4.93,4.92,4.70,4.87,5.14,5.37,5.59,5.49,5.57
Price to Earnings Ratio,14.1,13.4,,9.51,8.25,,,6.97,,,,,,,,12.7,6.97,4.14,4.17,5.55
Price to Book Value Ratio,0.65,0.71,0.66,0.79,0.74,0.61,0.61,0.72,,,0.64,0.65,0.61,0.61,0.63,0.60,0.72,0.66,0.57,0.58
EV to EBITDA,13.2,12.4,19.4,8.49,8.12,-32.5,-25.0,5.72,,,-9.11,-14.2,-25.0,-20.3,54.5,8.51,5.72,3.71,4.32,4.64
Dividend Payout Ratio,31.8%,35.0%,-132.5%,30.0%,27.5%,-49.8%,-12.2%,29.5%,,,,,-12.2%,,,,29.5%,,,
Common Shares Outstanding,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,,,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0
Total Revenue,"4,301","5,280","4,394","5,498","4,803","4,071","4,501","5,013",,,"1,064","1,282","1,217","1,097","1,270","1,332","1,314","1,277","1,114","1,366"
"Cost of Revenue, Total","4,052","4,949","4,181","5,077","4,400","3,923","4,392","4,644",,,"1,048","1,240","1,170","1,105","1,183","1,158","1,198","1,152","1,027","1,274"
Gross Profit,249.2,330.9,213.0,420.3,403.4,148.1,108.6,369.0,,,16.0,41.5,47.2,-7.58,86.2,174.1,116.3,124.7,87.3,92.0
"Selling/General/Administrative Expenses, Total",210.9,241.4,201.8,265.2,257.7,236.8,207.7,220.1,,,56.6,55.3,48.9,45.1,48.3,76.3,50.4,49.8,57.5,62.9
Operating Income,38.3,89.4,11.2,155.0,145.6,-88.7,-99.1,149.0,,,-40.6,-13.8,-1.68,-52.7,37.9,97.8,65.9,74.9,29.8,29.1
Net Income,72.8,94.2,-24.9,165.2,180.0,-66.3,-135.4,167.6,,,-48.7,-20.9,-4.14,-70.9,72.1,87.9,78.5,70.7,18.0,25.4
EBITDA,81.7,129.8,61.9,204.4,195.6,-37.5,-45.0,201.4,,,-27.2,-0.37,11.9,-39.1,51.3,111.0,78.3,87.2,42.6,42.4
Gross Profit Margin,5.8%,6.3%,4.8%,7.6%,8.4%,3.6%,2.4%,7.4%,,,1.5%,3.2%,3.9%,-0.7%,6.8%,13.1%,8.9%,9.8%,7.8%,6.7%
Operating Margin,0.9%,1.7%,0.3%,2.8%,3.0%,-2.2%,-2.2%,3.0%,,,-3.8%,-1.1%,-0.1%,-4.8%,3.0%,7.3%,5.0%,5.9%,2.7%,2.1%
Net Profit Margin,1.7%,1.8%,-0.6%,3.0%,3.7%,-1.6%,-3.0%,3.3%,,,-4.6%,-1.6%,-0.3%,-6.5%,5.7%,6.6%,6.0%,5.5%,1.6%,1.9%
Return on Assets,3.1%,3.4%,-0.9%,5.9%,6.2%,-2.5%,-5.7%,6.9%,,,-8.0%,-6.6%,-5.4%,-6.3%,-1.0%,3.3%,6.5%,11.9%,9.5%,7.1%
Return on Equity,4.5%,5.5%,-1.5%,9.3%,9.4%,-3.7%,-8.3%,9.5%,,,-3.0%,-1.3%,-0.3%,-4.6%,4.5%,5.2%,4.4%,3.8%,1.0%,1.4%
Return on Total Capital,4.5%,5.4%,-1.5%,9.2%,9.4%,-3.7%,-8.3%,9.5%,,,-12.1%,-10.6%,-8.3%,-9.3%,-1.5%,5.0%,9.5%,16.8%,14.1%,10.5%
SG&A to Sale,4.9%,4.6%,4.6%,4.8%,5.4%,5.8%,4.6%,4.4%,,,5.3%,4.3%,4.0%,4.1%,3.8%,5.7%,3.8%,3.9%,5.2%,4.6%
Depreciation & Amortisation,43.5,40.4,50.7,49.3,49.9,51.2,54.1,52.5,,,13.5,13.5,13.5,13.6,13.3,13.2,12.4,12.3,12.8,13.3
Tax Rate,9.7%,17.7%,3.9%,13.5%,12.1%,10.0%,-5.1%,-1.9%,,,-2.9%,-20.4%,-158.9%,1.2%,-1.4%,0.6%,-2.3%,2.0%,-73.6%,20.1%
Current Ratio,2.44,1.93,2.29,2.03,2.84,3.08,3.05,2.90,,,2.45,2.11,3.05,2.51,2.43,2.51,2.90,2.98,2.78,2.95
Quick Ratio,1.24,1.04,0.98,1.05,1.35,1.45,1.46,1.22,,,1.15,1.06,1.46,1.07,1.03,1.06,1.22,1.41,1.25,1.48
Days Inventory Outstanding,63.8,70.1,91.8,75.8,86.9,87.4,69.9,73.4,,,82.2,83.8,74.7,69.8,76.4,82.9,83.6,78.4,82.0,79.5
Days Sale Outstanding,82.0,91.2,68.6,81.9,75.7,76.9,63.9,59.6,,,79.0,87.7,63.9,57.6,59.7,62.7,59.6,66.8,68.2,74.6
Days Payable Outstanding,36.9,48.5,59.4,43.7,43.5,33.0,26.5,29.2,,,28.6,31.6,29.9,28.3,30.7,33.7,35.2,34.6,36.6,33.2
Cash Conversion Cycle,103.0,89.1,133.8,96.0,140.5,140.2,111.5,97.9,,,133.3,129.5,123.5,97.8,103.8,107.6,110.1,105.2,114.3,120.0
Debt to Asset Ratio,0.34,0.45,0.36,0.42,0.30,0.28,0.28,0.31,,,0.34,0.40,0.28,0.34,0.35,0.35,0.31,0.30,0.34,0.32
Debt to Equity Ratio,0.51,0.81,0.57,0.71,0.43,0.39,0.40,0.44,,,0.52,0.66,0.40,0.51,0.55,0.54,0.44,0.43,0.51,0.47
Interest Coverage Ratio,9.42,13.5,1.21,21.7,27.6,,,34.2,,,,,,,29.2,70.8,100.7,121.3,42.2,25.8
Cash and Short Term Investments,124.2,42.3,79.7,64.4,93.5,89.0,51.9,64.0,,,38.1,39.0,51.9,55.2,52.8,81.6,64.0,104.1,62.6,78.2
"Total Receivables, Net",966.0,"1,319",825.7,"1,234",995.7,858.2,787.9,818.0,,,872.4,"1,035",787.9,735.7,795.3,844.5,818.0,950.5,940.7,"1,037"
Total Inventory,815.9,"1,085","1,017","1,091","1,005",874.8,808.0,"1,060",,,954.8,989.7,808.0,937.1,"1,030","1,068","1,060",954.8,"1,084",942.0
Total Current Assets,"1,907","2,447","1,924","2,390","2,097","1,823","1,649","1,944",,,"1,866","2,065","1,649","1,729","1,879","1,995","1,944","2,011","2,088","2,058"
"Property/Plant/Equipment, Total - Net",368.3,432.0,453.8,436.6,420.8,440.5,437.5,429.8,,,424.6,438.0,437.5,436.1,428.1,425.1,429.8,438.8,443.4,449.5
Total Assets,"2,461","3,082","2,587","3,043","2,735","2,481","2,268","2,558",,,"2,509","2,706","2,268","2,347","2,490","2,602","2,558","2,633","2,729","2,705"
Accounts Payable,498.7,815.7,544.6,670.8,378.6,330.0,307.4,434.4,,,320.3,412.9,307.4,400.3,389.8,462.0,434.4,455.7,452.9,392.4
Accrued Expenses,44.8,51.5,37.1,72.4,71.1,53.2,45.6,64.1,,,2.77,4.87,45.6,7.22,7.87,5.31,64.1,3.41,3.52,9.15
Debt Due,208.0,359.4,201.6,380.6,247.0,180.1,150.3,141.1,,,379.3,487.9,150.3,210.3,304.1,240.3,141.1,145.6,219.2,190.8
Total Current Liabilities,781.6,"1,266",839.1,"1,175",738.3,592.3,540.1,670.6,,,761.0,976.3,540.1,689.2,774.4,796.0,670.6,673.7,750.7,698.2
Long Term Debt,0.33,42.5,26.4,10.5,0.013,,,,,,,,,,,,,,,
Total Liabilities,835.1,"1,377",939.9,"1,264",828.7,690.1,645.6,784.8,,,861.9,"1,080",645.6,795.6,883.2,907.1,784.8,789.4,916.6,867.4
Common Stock,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,,,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0
Additional Paid-In Capital,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,,,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5
Retained Earnings (Accumulated Deficit),875.3,954.2,896.3,"1,029","1,156","1,040",871.9,"1,022",,,896.9,876.0,871.9,801.0,856.7,944.5,"1,022","1,093","1,062","1,087"
Shareholders' Equity,"1,626","1,705","1,647","1,779","1,907","1,791","1,622","1,773",,,"1,647","1,627","1,622","1,552","1,607","1,695","1,773","1,844","1,812","1,838"
Cash from Operating Activities,106.1,-144.4,311.0,-104.1,264.3,182.4,41.8,79.6,,,-111.9,-79.1,326.3,-43.9,-70.7,99.6,94.6,56.0,-47.6,66.4
Cash from Investing Activities,-31.1,-101.8,-57.3,-33.5,-35.9,-68.4,-11.3,-37.7,,,-4.52,-26.7,26.0,-11.8,-4.28,-9.70,-11.9,-19.5,-17.6,-21.6
Cash from Financing Activities,-24.7,164.3,-216.5,122.7,-199.3,-118.6,-67.5,-29.8,,,74.1,106.7,-339.4,58.9,72.6,-61.2,-100.2,3.62,23.7,-29.3
Net Change in Cash,50.3,-81.9,37.3,-15.0,29.1,-4.56,-37.0,12.1,,,-42.3,0.89,12.9,3.26,-2.41,28.8,-17.5,40.1,-41.5,15.6
Free Cashflows,29.4,-251.4,237.1,-135.3,232.0,111.8,-9.12,40.2,,,-117.0,-105.5,313.2,-56.0,-76.0,89.6,82.6,36.4,-66.4,46.4
Free Cashflow per Share,0.089,-0.76,0.72,-0.41,0.70,0.34,-0.028,0.12,,,-0.35,-0.32,0.95,-0.17,-0.23,0.27,0.25,0.11,-0.20,0.14
