,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,0.80,2.41,1.73,2.06,2.30,3.02,2.87,2.70,,,3.02,3.86,3.65,2.97,2.71,2.33,2.65,3.09,2.61,2.22
Earnings per Share,-0.48,0.91,0.050,0.23,0.26,0.40,0.42,0.36,,,0.081,0.042,0.18,-0.028,0.072,0.031,0.28,0.005,-0.076,-0.015
Revenue per Share,1.91,2.26,2.14,4.93,6.19,7.66,10.1,12.6,,,3.51,3.07,3.75,2.81,3.15,2.90,3.70,2.78,2.99,2.64
Dividend per Share,,0.060,0.040,,0.12,0.12,0.040,0.090,,,,,0.040,,,,0.090,,,
Capital Expenditures per Share,0.043,0.22,0.14,0.066,0.10,0.11,0.097,0.24,,,0.031,0.022,0.032,0.043,0.050,0.018,0.13,0.022,0.033,0.024
Book Value per Share,1.54,2.45,2.48,2.70,3.00,2.74,3.03,3.97,,,2.84,2.93,3.03,2.85,3.66,3.74,3.97,3.99,3.31,3.27
Price to Earnings Ratio,,2.02,23.4,7.29,6.92,5.14,8.38,5.35,,,6.19,10.7,8.57,8.61,10.1,7.68,5.35,6.76,9.89,10.9
Price to Book Value Ratio,0.31,0.73,0.53,0.56,0.62,0.74,1.08,0.80,,,1.34,1.18,1.08,0.83,0.74,0.44,0.80,0.67,0.69,0.62
EV to EBITDA,5.65,8.72,5.86,5.00,5.52,5.56,8.99,5.04,,,4.53,11.2,8.99,8.42,7.05,6.36,5.04,6.38,6.91,7.21
Dividend Payout Ratio,,6.6%,80.0%,,45.5%,29.6%,9.6%,25.3%,,,,,9.8%,,,,25.3%,,,
Common Shares Outstanding,342.2,342.2,342.2,342.2,386.0,508.8,763.2,763.2,,,508.8,508.8,763.2,763.2,763.2,763.2,763.2,763.2,763.2,763.2
Total Revenue,653.9,773.5,731.5,"1,686","2,390","3,895","7,712","9,585",,,"1,788","1,563","2,863","2,143","2,407","2,214","2,821","2,121","2,279","2,015"
"Cost of Revenue, Total",457.9,545.1,511.4,"1,277","1,727","2,861","5,642","6,687",,,"1,349","1,191","2,025","1,534","1,685","1,514","1,961","1,500","1,629","1,437"
Gross Profit,196.0,228.4,220.1,408.9,663.1,"1,034","2,070","2,897",,,439.1,372.5,837.3,608.9,722.1,700.5,859.4,621.5,650.7,578.2
"Selling/General/Administrative Expenses, Total",175.6,207.7,179.5,259.2,432.9,697.5,"1,554","2,251",,,323.2,294.2,641.8,522.1,572.4,569.9,580.1,540.4,645.1,528.4
Operating Income,20.4,20.7,40.6,149.7,230.2,336.8,515.9,646.3,,,115.9,78.3,195.5,86.7,149.6,130.6,279.4,81.2,5.65,49.8
Net Income,-165.2,313.1,21.2,87.1,112.2,174.1,218.9,271.0,,,41.2,21.4,104.0,-21.0,55.1,23.4,213.5,3.53,-58.3,-11.5
EBITDA,48.1,39.1,65.0,226.9,350.9,492.9,729.8,914.9,,,161.3,126.3,269.5,161.1,219.1,201.2,333.5,149.8,71.3,116.1
Gross Profit Margin,30.0%,29.5%,30.1%,24.2%,27.7%,26.6%,26.8%,30.2%,,,24.6%,23.8%,29.2%,28.4%,30.0%,31.6%,30.5%,29.3%,28.5%,28.7%
Operating Margin,3.1%,2.7%,5.6%,8.9%,9.6%,8.6%,6.7%,6.7%,,,6.5%,5.0%,6.8%,4.0%,6.2%,5.9%,9.9%,3.8%,0.2%,2.5%
Net Profit Margin,-25.3%,40.5%,2.9%,5.2%,4.7%,4.5%,2.8%,2.8%,,,2.3%,1.4%,3.6%,-1.0%,2.3%,1.1%,7.6%,0.2%,-2.6%,-0.6%
Return on Assets,-15.6%,27.4%,1.7%,5.6%,4.3%,4.2%,3.1%,2.9%,,,3.5%,2.5%,2.5%,1.6%,1.8%,1.7%,2.9%,3.2%,2.0%,1.7%
Return on Equity,-31.3%,37.3%,2.5%,9.4%,9.7%,12.5%,9.5%,8.9%,,,2.9%,1.4%,4.5%,-1.0%,2.0%,0.8%,7.0%,0.1%,-2.3%,-0.5%
Return on Total Capital,-28.0%,33.8%,2.3%,8.8%,5.2%,5.9%,6.0%,4.2%,,,5.7%,5.8%,6.1%,4.2%,4.0%,4.1%,4.2%,4.6%,3.3%,2.7%
SG&A to Sale,26.9%,26.9%,24.5%,15.4%,18.1%,17.9%,20.1%,23.5%,,,18.1%,18.8%,22.4%,24.4%,23.8%,25.7%,20.6%,25.5%,28.3%,26.2%
Depreciation & Amortisation,27.7,18.4,24.3,77.2,120.6,156.1,213.9,268.6,,,45.5,48.0,74.1,74.4,69.4,70.6,54.2,68.6,65.6,66.3
Tax Rate,18.7%,15.3%,31.2%,14.2%,9.5%,10.7%,14.0%,13.7%,,,22.9%,24.1%,-0.4%,66.4%,30.2%,27.5%,-6.6%,11.8%,14.6%,22.6%
Current Ratio,1.37,3.06,2.82,1.44,1.67,1.33,0.73,1.52,,,1.31,0.62,0.73,0.72,0.72,0.70,1.52,1.55,1.34,1.32
Quick Ratio,0.52,1.27,0.73,0.75,0.80,0.66,0.38,0.70,,,0.69,0.31,0.38,0.37,0.35,0.31,0.70,0.76,0.63,0.63
Days Inventory Outstanding,170.1,145.3,160.8,70.9,65.7,50.2,46.2,55.6,,,41.6,63.6,69.4,59.7,58.7,58.4,58.9,55.8,55.0,57.9
Days Sale Outstanding,71.9,120.2,72.9,81.2,80.6,81.5,73.7,52.6,,,60.3,84.0,73.7,66.4,60.0,50.6,52.6,55.3,52.5,53.5
Days Payable Outstanding,29.7,28.2,13.3,0.090,0.31,31.6,40.0,41.8,,,1.55,0.00,24.1,43.0,41.7,39.5,40.2,40.4,36.5,33.8
Cash Conversion Cycle,202.1,212.8,264.4,128.0,134.9,53.2,56.1,68.7,,,101.8,132.3,93.6,86.1,75.8,74.8,67.9,72.4,74.4,79.4
Debt to Asset Ratio,0.48,0.34,0.31,0.39,0.58,0.64,0.70,0.64,,,0.63,0.79,0.70,0.71,0.67,0.65,0.64,0.63,0.66,0.67
Debt to Equity Ratio,0.92,0.51,0.45,0.78,1.68,2.26,2.74,1.99,,,2.07,4.67,2.74,2.85,2.25,2.13,1.99,1.93,2.26,2.27
Interest Coverage Ratio,2.18,1.80,5.57,8.21,6.11,6.64,4.68,3.51,,,6.77,3.70,3.60,1.89,3.20,2.67,6.55,1.85,0.13,1.18
Cash and Short Term Investments,28.0,119.7,194.4,34.8,199.0,371.8,596.8,583.8,,,246.2,380.4,596.8,621.1,697.1,457.5,583.8,370.0,375.6,287.5
"Total Receivables, Net",128.8,254.8,146.1,375.2,527.6,870.2,"1,557","1,381",,,910.2,"1,468","1,557","1,520","1,476","1,334","1,381","1,450","1,357","1,353"
Total Inventory,197.6,236.3,214.2,281.8,340.0,446.8,981.7,"1,055",,,494.6,"1,164",981.7,"1,012","1,057","1,106","1,055",981.8,"1,007","1,063"
Total Current Assets,357.8,624.6,574.7,718.5,"1,096","1,747","3,232","3,125",,,"1,731","3,187","3,232","3,272","3,330","3,011","3,125","2,962","2,893","2,841"
"Property/Plant/Equipment, Total - Net",565.6,613.1,654.6,"1,107","1,301","1,205","2,700","3,368",,,"1,184","1,629","2,700","1,965","2,653","3,329","3,368","3,347","2,889","2,872"
Total Assets,"1,014","1,267","1,238","1,870","3,368","4,889","9,016","9,456",,,"4,781","8,800","9,016","8,723","9,460","9,323","9,456","9,288","8,638","8,510"
Accounts Payable,47.0,37.1,,0.63,2.29,492.8,744.0,787.8,,,,,744.0,692.7,775.9,688.2,787.8,687.1,633.9,575.1
